DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,13.3,13.3,12.6,13.1,18.8,6.35,3PLAND
2021-11-11,13.1,13.5,12.75,12.9,18.8,6.35,3PLAND
2021-11-10,13.4,13.4,12.6,12.95,18.8,6.35,3PLAND
2021-11-09,13.25,13.25,12.55,13.0,18.8,6.35,3PLAND
2021-11-08,13.2,13.5,12.75,12.95,18.8,6.35,3PLAND
2021-11-04,13.7,13.7,12.55,13.2,18.8,6.2,3PLAND
2021-11-03,13.1,13.1,12.5,13.1,18.8,6.2,3PLAND
2021-11-02,13.0,13.0,12.25,12.5,18.8,6.2,3PLAND
2021-11-01,13.15,13.15,12.25,12.45,18.8,6.2,3PLAND
2021-10-29,13.5,13.5,12.6,12.7,18.8,6.0,3PLAND
2021-10-28,13.5,13.5,13.0,13.2,18.8,5.8,3PLAND
2021-10-27,12.5,13.35,12.5,13.2,18.8,5.8,3PLAND
2021-10-26,12.95,13.35,12.55,12.9,18.8,5.8,3PLAND
2021-10-25,13.35,13.4,12.5,12.95,18.8,5.8,3PLAND
2021-10-22,13.7,13.7,12.55,13.05,18.8,5.8,3PLAND
2021-10-21,13.3,13.5,12.7,13.1,18.8,5.8,3PLAND
2021-10-20,13.45,14.0,13.2,13.3,18.8,5.8,3PLAND
2021-10-19,14.0,14.0,13.4,13.4,18.8,5.8,3PLAND
2021-10-18,13.9,14.1,13.55,13.75,18.8,5.8,3PLAND
2021-10-14,14.0,14.5,13.65,13.75,18.8,5.8,3PLAND
2021-10-13,14.1,14.1,13.75,13.95,18.8,5.8,3PLAND
2021-10-12,13.8,13.95,13.05,13.85,18.8,5.8,3PLAND
2021-07-19,16.95,17.0,16.2,17.0,18.8,5.8,3PLAND
2021-07-16,15.45,16.2,14.7,16.2,18.8,5.8,3PLAND
2021-07-15,15.45,15.95,15.45,15.45,18.8,5.8,3PLAND
2021-07-14,16.25,16.25,16.25,16.25,18.8,5.8,3PLAND
2021-07-13,18.8,18.8,17.1,17.1,18.8,5.8,3PLAND
2021-07-12,18.0,18.0,18.0,18.0,18.0,5.8,3PLAND
2021-07-09,16.9,17.15,16.25,17.15,17.15,5.8,3PLAND
2021-07-08,14.5,15.6,14.5,15.6,17.1,5.8,3PLAND
2021-07-07,13.25,14.2,13.15,14.2,17.1,5.8,3PLAND
2021-07-06,12.95,13.15,12.55,12.95,17.1,5.8,3PLAND
2021-07-05,12.95,13.55,12.85,12.95,17.1,5.8,3PLAND
2021-07-02,12.5,13.15,12.3,12.85,17.1,5.8,3PLAND
2021-07-01,12.9,13.4,12.3,12.95,17.1,5.8,3PLAND
2021-06-30,13.95,13.95,12.65,12.95,17.1,5.8,3PLAND
2021-06-29,13.4,13.8,13.4,13.6,17.1,5.8,3PLAND
2021-06-28,13.95,13.95,13.4,13.6,17.1,5.8,3PLAND
2021-06-25,14.2,14.4,13.4,13.5,17.1,5.8,3PLAND
2021-06-24,13.65,14.2,13.65,14.05,17.1,5.8,3PLAND
2021-06-23,13.85,14.0,13.75,13.9,17.1,5.8,3PLAND
2021-06-22,14.1,14.1,13.75,13.8,17.1,5.8,3PLAND
2021-06-21,14.3,14.3,13.5,13.8,17.1,5.8,3PLAND
2021-06-18,13.75,14.1,13.5,13.8,17.1,5.6,3PLAND
2021-06-17,14.2,14.2,13.15,13.75,17.1,5.6,3PLAND
2021-06-16,13.85,14.2,13.8,13.95,17.1,5.6,3PLAND
2021-06-15,14.0,15.3,13.5,13.85,17.1,5.6,3PLAND
2021-06-14,14.1,14.1,13.6,14.0,17.1,5.6,3PLAND
2021-06-11,13.75,14.0,13.5,13.9,17.1,5.1,3PLAND
2021-06-10,14.0,14.0,13.5,13.55,17.1,5.1,3PLAND
2021-06-09,14.1,14.1,12.6,13.4,17.1,5.1,3PLAND
2021-06-08,14.05,14.1,13.6,13.9,17.1,5.1,3PLAND
2021-06-07,13.8,14.15,13.6,13.75,17.1,5.1,3PLAND
2021-06-04,14.35,14.35,13.5,13.8,17.1,4.3,3PLAND
2021-06-03,14.0,14.1,13.4,13.95,17.1,4.3,3PLAND
2021-06-02,14.05,14.05,13.25,13.5,17.1,4.3,3PLAND
2021-06-01,14.05,14.5,13.5,13.75,17.1,4.3,3PLAND
2021-05-31,14.0,15.2,13.2,14.05,17.1,4.3,3PLAND
2021-05-28,14.2,14.2,13.3,13.85,17.1,4.3,3PLAND
2021-05-27,14.45,14.45,13.0,13.95,17.1,4.3,3PLAND
2021-05-26,14.45,14.45,13.0,13.95,17.1,4.3,3PLAND
2021-05-25,14.65,14.65,13.1,13.6,17.1,4.3,3PLAND
2021-05-24,15.0,15.0,13.5,13.7,17.1,4.3,3PLAND
2021-05-21,13.25,14.1,13.25,13.8,17.1,4.3,3PLAND
2021-05-20,14.1,14.5,13.1,13.7,17.1,4.3,3PLAND
2021-05-19,14.4,14.5,14.05,14.25,17.1,4.3,3PLAND
2021-05-18,15.0,15.0,14.2,14.3,17.1,4.3,3PLAND
2021-05-17,14.3,15.1,14.25,14.35,17.1,4.3,3PLAND
2021-05-14,15.3,16.3,13.7,14.3,17.1,4.3,3PLAND
2021-05-12,16.5,16.9,14.3,15.0,17.1,4.3,3PLAND
2021-05-11,16.45,17.1,14.45,15.6,17.1,4.3,3PLAND
2021-05-10,15.0,16.05,14.65,16.05,16.05,4.3,3PLAND
2021-05-07,13.2,14.6,13.2,14.6,14.6,4.3,3PLAND
2021-05-06,10.85,12.2,10.5,12.2,13.55,4.3,3PLAND
2021-05-05,10.15,10.65,10.1,10.2,13.55,4.3,3PLAND
2021-05-04,11.45,11.45,10.0,10.4,13.55,4.3,3PLAND
2021-05-03,10.5,10.8,10.05,10.35,13.55,4.3,3PLAND
2021-04-30,10.5,10.8,9.8,10.25,13.55,4.3,3PLAND
2021-04-29,10.5,10.5,9.5,9.95,13.55,4.3,3PLAND
2021-04-28,10.55,10.55,9.6,9.95,13.55,4.3,3PLAND
2021-04-27,11.0,11.0,10.0,10.1,13.55,4.3,3PLAND
2021-04-26,9.9,10.2,9.5,9.95,13.55,4.3,3PLAND
2021-04-23,9.45,9.85,9.25,9.7,13.55,4.3,3PLAND
2021-04-22,9.6,9.7,9.25,9.45,13.55,4.3,3PLAND
2021-04-20,9.4,9.75,9.2,9.25,13.55,4.3,3PLAND
2021-04-19,10.25,10.25,8.55,9.4,13.55,4.3,3PLAND
2021-04-16,9.8,9.95,9.05,9.85,13.55,4.2,3PLAND
2021-04-15,9.6,10.0,9.2,9.8,13.55,4.2,3PLAND
2021-04-13,10.95,10.95,8.5,9.7,13.55,4.2,3PLAND
2021-04-12,9.8,10.2,8.7,10.2,13.55,4.2,3PLAND
2021-04-09,8.1,8.9,8.1,8.5,13.55,3.55,3PLAND
2021-04-08,8.95,8.95,8.6,8.8,13.55,3.55,3PLAND
2021-04-07,8.95,8.95,8.55,8.75,13.55,3.55,3PLAND
2021-04-06,8.65,8.95,8.3,8.55,13.55,3.55,3PLAND
2021-04-05,9.0,9.0,8.65,8.85,13.55,3.55,3PLAND
2021-04-01,8.8,9.1,8.5,8.9,13.55,3.4,3PLAND
2021-03-31,8.4,9.0,7.65,8.6,13.55,3.4,3PLAND
2021-03-30,8.6,8.6,8.3,8.4,13.55,3.4,3PLAND
2021-03-26,8.55,8.55,8.25,8.4,13.55,3.4,3PLAND
2021-03-25,8.25,8.65,8.2,8.4,13.55,3.4,3PLAND
2021-03-24,8.4,8.65,8.25,8.3,13.55,3.4,3PLAND
2021-03-23,8.6,9.3,8.05,8.4,13.55,3.4,3PLAND
2021-03-22,8.8,8.8,8.35,8.6,13.55,3.4,3PLAND
2021-03-19,8.45,8.9,8.3,8.4,13.55,3.4,3PLAND
2021-03-18,9.5,9.5,8.6,8.95,13.55,3.4,3PLAND
2021-03-17,10.0,10.0,8.7,9.1,13.55,3.4,3PLAND
2021-03-16,9.4,9.6,9.05,9.2,13.55,3.4,3PLAND
2021-03-15,9.05,10.4,8.6,9.4,13.55,3.4,3PLAND
2021-03-12,9.4,9.6,9.1,9.5,13.55,3.4,3PLAND
2021-03-10,9.35,9.9,8.45,9.4,13.55,3.4,3PLAND
2021-03-09,9.8,9.8,9.3,9.35,13.55,3.4,3PLAND
2021-03-08,9.45,10.15,9.3,9.5,13.55,3.4,3PLAND
2021-03-05,9.65,9.8,8.7,9.25,13.55,3.4,3PLAND
2021-03-04,9.65,9.85,9.25,9.65,13.55,3.4,3PLAND
2021-03-03,9.85,9.85,9.25,9.3,13.55,3.4,3PLAND
2021-03-02,9.4,9.85,9.15,9.55,13.55,3.4,3PLAND
2021-03-01,9.15,9.95,9.15,9.55,13.55,3.4,3PLAND
2021-02-26,10.0,10.0,9.1,9.2,13.55,3.4,3PLAND
2021-02-25,9.05,9.85,9.0,9.25,13.55,3.4,3PLAND
2021-02-24,9.7,9.7,9.0,9.15,13.55,3.4,3PLAND
2021-02-23,9.9,9.9,9.05,9.25,13.55,3.4,3PLAND
2021-02-22,9.95,9.95,8.85,9.45,13.55,3.4,3PLAND
2021-02-19,9.75,9.95,9.25,9.25,13.55,3.4,3PLAND
2021-02-18,9.8,9.8,9.1,9.7,13.55,3.4,3PLAND
2021-02-17,10.15,10.15,9.1,9.25,13.55,3.4,3PLAND
2021-02-16,9.85,9.85,9.25,9.35,13.55,3.4,3PLAND
2021-02-15,10.4,10.4,9.05,9.7,13.55,3.4,3PLAND
2021-02-12,9.9,9.9,9.45,9.5,13.55,3.4,3PLAND
2021-02-11,9.85,9.85,8.6,9.5,13.55,3.4,3PLAND
2021-02-10,9.15,9.65,9.0,9.3,13.55,3.4,3PLAND
2021-02-09,9.55,10.1,9.0,9.15,13.55,3.4,3PLAND
2021-02-08,9.7,10.25,9.5,9.55,13.55,3.4,3PLAND
2021-02-05,9.95,10.25,9.5,9.7,13.55,3.4,3PLAND
2021-02-04,9.9,10.2,9.35,9.7,13.55,3.4,3PLAND
2021-02-03,9.35,9.75,9.35,9.75,13.55,3.4,3PLAND
2021-02-02,9.75,9.8,9.3,9.3,13.55,3.4,3PLAND
2021-02-01,9.5,9.9,9.15,9.55,13.55,3.4,3PLAND
2021-01-29,9.55,9.95,9.35,9.5,13.55,3.4,3PLAND
2021-01-28,9.95,10.15,9.35,9.55,13.55,3.4,3PLAND
2021-01-27,10.4,10.4,9.5,9.7,13.55,3.4,3PLAND
2021-01-25,9.6,10.0,9.6,9.95,13.55,3.4,3PLAND
2021-01-22,10.0,10.4,9.5,9.6,13.55,3.4,3PLAND
2021-01-21,10.0,10.5,10.0,10.0,13.55,3.4,3PLAND
2021-01-20,9.5,10.5,9.5,10.2,13.55,3.4,3PLAND
2021-01-19,10.65,10.65,9.7,10.0,13.55,3.4,3PLAND
2021-01-18,10.8,10.95,10.1,10.2,13.55,3.4,3PLAND
2021-01-15,10.45,10.7,10.05,10.6,13.55,3.4,3PLAND
2021-01-14,10.2,10.65,9.7,10.4,13.55,3.4,3PLAND
2021-01-13,10.2,10.75,10.2,10.2,13.55,3.4,3PLAND
2021-01-12,10.15,10.85,10.15,10.3,13.55,3.4,3PLAND
2021-01-11,10.95,10.95,10.5,10.55,13.55,3.4,3PLAND
2021-01-08,11.0,11.35,10.6,10.95,13.55,3.4,3PLAND
2021-01-07,11.6,11.6,10.8,11.0,13.55,3.4,3PLAND
2021-01-06,11.45,11.5,10.65,11.35,13.55,3.4,3PLAND
2021-01-05,11.4,11.65,10.8,11.15,13.55,3.4,3PLAND
2021-01-04,11.7,11.7,10.75,11.35,13.55,3.4,3PLAND
2021-01-01,11.35,11.65,10.8,11.2,13.55,3.4,3PLAND
2020-12-31,11.45,11.45,11.05,11.35,13.55,3.4,3PLAND
2020-12-30,11.05,11.05,10.55,10.95,13.55,3.4,3PLAND
2020-12-29,10.55,10.6,10.55,10.55,13.55,3.4,3PLAND
2020-12-28,10.05,10.2,9.75,10.1,13.55,3.4,3PLAND
2020-12-24,8.85,9.75,8.85,9.75,13.55,3.4,3PLAND
2020-12-23,9.65,9.65,9.2,9.3,13.55,3.4,3PLAND
2020-12-22,9.65,9.65,9.65,9.65,13.55,3.4,3PLAND
2020-12-21,10.15,10.15,10.15,10.15,13.55,3.4,3PLAND
2020-12-18,10.65,10.65,10.65,10.65,13.55,3.4,3PLAND
2020-12-17,11.2,11.2,11.2,11.2,13.55,3.4,3PLAND
2020-12-16,11.75,11.75,11.75,11.75,13.55,3.4,3PLAND
2020-12-15,13.55,13.55,12.35,12.35,13.55,3.4,3PLAND
2020-12-14,12.95,12.95,12.95,12.95,12.95,3.4,3PLAND
2020-12-11,12.35,12.35,12.35,12.35,12.35,3.4,3PLAND
2020-12-10,11.8,11.8,11.8,11.8,11.8,3.4,3PLAND
2020-12-09,11.25,11.25,11.25,11.25,11.25,3.4,3PLAND
2020-12-08,10.75,10.75,10.75,10.75,10.75,3.4,3PLAND
2020-12-07,10.25,10.25,10.25,10.25,10.25,3.4,3PLAND
2020-12-04,9.8,9.8,9.0,9.8,9.8,3.4,3PLAND
2020-12-03,9.35,9.35,8.95,9.35,9.35,3.4,3PLAND
2020-12-02,8.95,8.95,8.95,8.95,8.95,3.4,3PLAND
2020-12-01,8.55,8.55,8.55,8.55,8.55,3.4,3PLAND
2020-11-27,8.15,8.15,8.1,8.15,8.15,3.4,3PLAND
2020-11-26,7.45,7.8,7.45,7.8,8.1,3.4,3PLAND
2020-11-25,7.8,7.8,7.45,7.45,8.1,3.4,3PLAND
2020-11-24,7.45,7.45,7.1,7.45,8.1,3.4,3PLAND
2020-11-23,7.05,7.1,7.05,7.1,8.1,3.4,3PLAND
2020-11-20,7.0,7.05,7.0,7.05,8.1,3.4,3PLAND
2020-11-19,7.0,7.0,7.0,7.0,8.1,3.4,3PLAND
2020-11-18,7.7,7.7,7.0,7.0,8.1,3.4,3PLAND
2020-11-17,7.35,7.35,7.0,7.35,8.1,3.4,3PLAND
2020-11-13,7.15,7.3,7.0,7.0,8.1,3.4,3PLAND
2020-11-12,6.55,7.15,6.55,7.0,8.1,3.4,3PLAND
2020-11-11,6.55,6.85,6.55,6.85,8.1,3.4,3PLAND
2020-11-10,6.7,6.8,6.5,6.55,8.1,3.4,3PLAND
2020-11-09,6.35,6.5,6.35,6.5,8.1,3.4,3PLAND
2020-11-06,6.3,6.3,6.3,6.3,8.1,3.4,3PLAND
2020-11-05,6.5,6.5,6.3,6.3,8.1,3.4,3PLAND
2020-11-04,6.25,6.25,6.2,6.2,8.1,3.4,3PLAND
2020-11-03,6.5,6.5,6.5,6.5,8.1,3.4,3PLAND
2020-11-02,6.5,6.5,6.5,6.5,8.1,3.4,3PLAND
2020-10-30,6.8,6.8,6.8,6.8,8.1,3.4,3PLAND
2020-10-28,6.5,6.5,6.5,6.5,8.1,3.4,3PLAND
2020-10-23,6.25,6.55,6.0,6.4,8.1,3.4,3PLAND
2020-10-22,6.3,6.3,6.25,6.25,8.1,3.4,3PLAND
2020-10-21,6.85,6.85,6.3,6.3,8.1,3.4,3PLAND
2020-10-20,6.6,6.6,6.0,6.6,8.1,3.4,3PLAND
2020-10-19,6.6,6.85,6.3,6.3,8.1,3.4,3PLAND
2020-10-16,6.65,6.65,6.1,6.6,8.1,3.4,3PLAND
2020-10-15,6.35,6.35,6.35,6.35,8.1,3.4,3PLAND
2020-10-14,6.05,6.05,6.05,6.05,8.1,3.4,3PLAND
2020-10-12,5.95,5.95,5.8,5.8,8.1,3.4,3PLAND
2020-10-09,6.05,6.05,5.9,5.95,8.1,3.4,3PLAND
2020-10-08,6.05,6.05,6.05,6.05,8.1,3.4,3PLAND
2020-10-07,6.05,6.05,6.05,6.05,8.1,3.4,3PLAND
2020-09-22,6.05,6.05,6.05,6.05,8.1,3.4,3PLAND
2020-09-21,6.35,6.35,6.35,6.35,8.1,3.4,3PLAND
2020-09-18,6.65,6.65,6.65,6.65,8.1,3.4,3PLAND
2020-09-11,7.0,7.0,7.0,7.0,8.1,3.4,3PLAND
2020-09-09,7.0,7.0,7.0,7.0,8.1,3.4,3PLAND
2020-09-07,7.1,7.1,7.0,7.0,8.1,3.4,3PLAND
2020-09-04,7.1,7.1,7.1,7.1,8.1,3.4,3PLAND
2020-09-03,7.0,7.0,7.0,7.0,8.1,3.4,3PLAND
2020-09-02,7.0,7.0,7.0,7.0,8.1,3.4,3PLAND
2020-08-28,7.0,7.0,7.0,7.0,8.1,3.4,3PLAND
2020-08-27,7.0,7.0,7.0,7.0,8.1,3.4,3PLAND
2020-08-24,6.7,6.7,6.7,6.7,8.1,3.4,3PLAND
2020-08-21,7.0,7.0,7.0,7.0,8.1,3.4,3PLAND
2020-08-19,6.7,6.7,6.7,6.7,8.1,3.4,3PLAND
2020-08-17,6.9,6.9,6.9,6.9,8.1,3.4,3PLAND
2020-08-12,6.9,6.9,6.9,6.9,8.1,3.4,3PLAND
2020-08-11,7.0,7.0,6.9,6.9,8.1,3.4,3PLAND
2020-08-10,7.6,7.6,7.25,7.25,8.1,3.4,3PLAND
2020-08-07,8.0,8.0,7.6,7.6,8.1,3.4,3PLAND
2020-08-06,8.0,8.0,8.0,8.0,8.1,3.4,3PLAND
2020-08-05,8.0,8.0,8.0,8.0,8.1,3.4,3PLAND
2020-08-03,8.0,8.0,8.0,8.0,8.1,3.4,3PLAND
2020-07-30,8.05,8.05,8.0,8.0,8.1,3.4,3PLAND
2020-07-28,8.05,8.05,8.05,8.05,8.1,3.4,3PLAND
2020-07-27,8.1,8.1,8.05,8.05,8.1,3.4,3PLAND
2020-07-24,8.1,8.1,8.1,8.1,8.1,3.4,3PLAND
2020-07-23,8.1,8.1,8.1,8.1,8.1,3.4,3PLAND
2020-07-22,8.1,8.1,8.1,8.1,8.1,3.4,3PLAND
2020-07-21,7.75,7.75,7.75,7.75,8.0,3.4,3PLAND
2020-07-20,7.75,7.75,7.75,7.75,8.0,3.4,3PLAND
2020-07-17,7.4,7.4,7.4,7.4,8.7,3.4,3PLAND
2020-07-16,7.05,7.05,7.05,7.05,8.7,3.4,3PLAND
2020-07-15,6.75,7.05,6.75,7.05,8.7,3.4,3PLAND
2020-07-14,6.45,6.75,6.45,6.75,8.7,3.4,3PLAND
2020-07-10,6.45,6.45,6.45,6.45,8.7,3.4,3PLAND
2020-07-08,6.45,6.45,6.45,6.45,8.7,3.4,3PLAND
2020-07-07,6.45,6.45,6.45,6.45,8.7,3.4,3PLAND
2020-07-06,6.45,6.45,6.45,6.45,8.7,3.4,3PLAND
2020-07-02,6.4,6.75,6.4,6.75,8.7,3.4,3PLAND
2020-07-01,6.45,6.45,6.45,6.45,8.7,3.4,3PLAND
2020-06-30,6.4,6.45,6.4,6.45,8.7,3.4,3PLAND
2020-06-29,6.7,6.7,6.4,6.4,8.7,3.4,3PLAND
2020-06-26,6.4,6.4,6.4,6.4,8.7,3.4,3PLAND
2020-06-25,6.4,6.4,6.4,6.4,8.7,3.4,3PLAND
2020-06-24,6.4,6.4,6.4,6.4,8.7,3.4,3PLAND
2020-06-23,6.4,6.4,6.4,6.4,8.7,3.4,3PLAND
2020-06-22,6.1,6.1,6.1,6.1,8.7,3.4,3PLAND
2020-06-19,5.85,5.85,5.85,5.85,8.7,3.4,3PLAND
2020-06-18,5.6,5.6,5.6,5.6,8.7,3.4,3PLAND
2020-06-17,5.6,5.6,5.6,5.6,8.7,3.4,3PLAND
2020-06-15,5.6,5.6,5.6,5.6,8.7,3.4,3PLAND
2020-06-11,5.6,5.6,5.6,5.6,8.75,3.4,3PLAND
2020-06-09,5.35,5.35,5.35,5.35,8.75,3.4,3PLAND
2020-06-08,5.1,5.1,5.1,5.1,8.75,3.4,3PLAND
2020-06-05,4.9,4.9,4.9,4.9,8.85,3.4,3PLAND
2020-06-02,4.3,4.7,4.3,4.7,8.85,3.4,3PLAND
2020-06-01,4.5,4.5,4.5,4.5,8.85,3.4,3PLAND
2020-05-28,4.5,4.5,4.5,4.5,8.85,3.4,3PLAND
2020-05-22,4.7,4.7,4.7,4.7,8.85,3.4,3PLAND
2020-05-21,5.0,5.0,4.9,4.9,8.85,3.4,3PLAND
2020-05-20,5.15,5.15,5.15,5.15,8.85,3.4,3PLAND
2020-05-18,5.15,5.15,5.15,5.15,8.85,3.4,3PLAND
2020-05-15,5.15,5.15,5.15,5.15,8.9,3.4,3PLAND
2020-05-14,5.15,5.15,5.15,5.15,8.9,3.4,3PLAND
2020-05-13,5.4,5.4,5.4,5.4,8.9,3.4,3PLAND
2020-05-11,5.65,5.65,5.65,5.65,8.9,3.4,3PLAND
2020-05-08,5.9,5.9,5.9,5.9,8.9,3.4,3PLAND
2020-05-07,6.2,6.2,6.2,6.2,8.9,3.4,3PLAND
2020-05-05,6.8,6.8,6.5,6.5,8.9,3.4,3PLAND
2020-05-04,6.9,6.9,6.8,6.8,8.9,3.4,3PLAND
2020-04-30,7.2,7.2,7.15,7.15,8.9,3.4,3PLAND
2020-04-29,7.2,7.2,7.2,7.2,8.9,3.4,3PLAND
2020-04-28,6.95,6.95,6.9,6.9,8.9,3.4,3PLAND
2020-04-27,6.65,6.65,6.65,6.65,8.9,3.4,3PLAND
2020-04-24,6.35,6.35,6.35,6.35,12.75,3.4,3PLAND
2020-04-23,6.05,6.05,6.05,6.05,12.75,3.4,3PLAND
2020-04-22,5.8,5.8,5.8,5.8,12.75,3.4,3PLAND
2020-04-21,5.55,5.55,5.55,5.55,12.75,3.4,3PLAND
2020-04-20,5.05,5.05,5.05,5.05,12.75,3.4,3PLAND
2020-04-17,4.6,4.6,4.6,4.6,12.75,3.4,3PLAND
2020-04-16,4.2,4.6,4.2,4.6,12.75,3.4,3PLAND
2020-04-13,4.2,4.2,4.2,4.2,12.75,3.4,3PLAND
2020-04-09,3.85,4.2,3.85,4.2,12.75,3.4,3PLAND
2020-04-08,3.7,3.85,3.7,3.85,12.75,3.4,3PLAND
2020-04-07,3.55,3.7,3.55,3.7,12.75,3.4,3PLAND
2020-04-03,3.4,3.55,3.4,3.55,12.75,3.4,3PLAND
2020-04-01,3.55,3.6,3.4,3.4,12.75,3.4,3PLAND
2020-03-31,3.7,3.8,3.55,3.55,12.75,3.55,3PLAND
2020-03-30,3.75,3.75,3.7,3.7,12.75,3.6,3PLAND
2020-03-27,3.75,3.75,3.75,3.75,12.75,3.6,3PLAND
2020-03-26,3.6,3.7,3.6,3.6,12.75,3.6,3PLAND
2020-03-25,3.6,3.6,3.6,3.6,12.75,3.6,3PLAND
2020-03-24,3.6,3.6,3.6,3.6,12.75,3.6,3PLAND
2020-03-23,3.8,3.8,3.65,3.65,12.75,3.65,3PLAND
