DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-05-19,4.45,4.65,4.4,4.45,4.45,A2ZINFRA
2021-05-18,4.7,4.75,4.45,4.65,4.6,A2ZINFRA
2021-05-17,4.8,4.85,4.55,4.6,4.6,A2ZINFRA
2021-05-14,4.95,5.15,4.75,4.85,4.8,A2ZINFRA
2021-05-12,5.15,5.45,4.8,5.1,4.95,A2ZINFRA
2021-05-11,4.5,5.45,4.4,5.1,5.1,A2ZINFRA
2021-05-10,4.15,4.9,4.0,4.75,4.7,A2ZINFRA
2021-05-07,4.05,4.3,3.95,4.2,4.15,A2ZINFRA
2021-05-06,4.1,4.1,4.0,4.0,4.05,A2ZINFRA
2021-05-05,3.95,4.15,3.9,4.05,4.0,A2ZINFRA
2021-05-04,4.25,4.35,3.9,3.95,3.95,A2ZINFRA
2021-05-03,3.7,4.25,3.65,4.2,4.15,A2ZINFRA
2021-04-30,3.75,3.8,3.65,3.75,3.65,A2ZINFRA
2021-04-29,3.8,3.85,3.75,3.8,3.75,A2ZINFRA
2021-04-28,3.9,3.9,3.7,3.85,3.8,A2ZINFRA
2021-04-27,3.85,3.85,3.75,3.85,3.8,A2ZINFRA
2021-04-26,3.95,4.0,3.7,3.85,3.75,A2ZINFRA
2021-04-23,3.95,4.1,3.8,3.9,3.85,A2ZINFRA
2021-04-22,3.9,4.1,3.8,3.9,3.95,A2ZINFRA
2021-04-20,4.4,4.4,3.9,4.0,4.0,A2ZINFRA
2021-04-19,3.7,4.15,3.6,4.1,4.1,A2ZINFRA
2021-04-16,3.7,3.85,3.7,3.75,3.75,A2ZINFRA
2021-04-15,3.8,3.85,3.7,3.75,3.75,A2ZINFRA
2021-04-13,4.0,4.0,3.7,3.85,3.8,A2ZINFRA
2021-04-12,4.2,4.2,3.75,3.9,3.85,A2ZINFRA
2021-04-09,4.25,4.6,4.05,4.1,4.1,A2ZINFRA
2021-04-08,3.8,4.4,3.8,4.05,4.1,A2ZINFRA
2021-04-07,3.7,3.85,3.7,3.7,3.7,A2ZINFRA
2021-04-06,3.8,3.85,3.7,3.7,3.7,A2ZINFRA
2021-04-05,3.85,3.85,3.7,3.75,3.7,A2ZINFRA
2021-04-01,3.85,3.95,3.75,3.75,3.8,A2ZINFRA
2021-03-31,3.8,3.95,3.7,3.95,3.75,A2ZINFRA
2021-03-30,3.85,3.85,3.7,3.7,3.75,A2ZINFRA
2021-03-26,3.8,3.95,3.75,3.8,3.75,A2ZINFRA
2021-03-25,4.0,4.0,3.75,3.85,3.8,A2ZINFRA
2021-03-24,4.0,4.0,3.85,3.9,3.95,A2ZINFRA
2021-03-23,4.05,4.05,3.95,4.05,3.95,A2ZINFRA
2021-03-22,3.9,4.2,3.8,4.05,3.95,A2ZINFRA
2021-03-19,3.85,3.85,3.7,3.85,3.85,A2ZINFRA
2021-03-18,4.0,4.05,3.8,3.85,3.85,A2ZINFRA
2021-03-17,3.95,4.1,3.9,3.9,3.95,A2ZINFRA
2021-03-16,4.15,4.15,3.95,4.05,4.0,A2ZINFRA
2021-03-15,4.2,4.25,4.05,4.1,4.1,A2ZINFRA
2021-03-12,4.3,4.35,4.15,4.2,4.2,A2ZINFRA
2021-03-10,4.35,4.4,4.25,4.35,4.3,A2ZINFRA
2021-03-09,4.4,4.4,4.3,4.35,4.4,A2ZINFRA
2021-03-08,4.4,4.4,4.25,4.35,4.35,A2ZINFRA
2021-03-05,4.25,4.5,4.15,4.35,4.35,A2ZINFRA
2021-03-04,4.2,4.3,4.15,4.25,4.25,A2ZINFRA
2021-03-03,4.25,4.4,4.15,4.25,4.3,A2ZINFRA
2021-03-02,4.15,4.25,4.15,4.2,4.15,A2ZINFRA
2021-03-01,4.2,4.3,4.1,4.15,4.15,A2ZINFRA
2021-02-26,4.3,4.3,4.15,4.15,4.2,A2ZINFRA
2021-02-25,4.2,4.3,4.2,4.25,4.25,A2ZINFRA
2021-02-24,4.2,4.25,4.0,4.15,4.15,A2ZINFRA
2021-02-23,4.15,4.2,4.1,4.1,4.1,A2ZINFRA
2021-02-22,4.3,4.3,4.1,4.15,4.1,A2ZINFRA
2021-02-19,4.25,4.3,4.2,4.25,4.25,A2ZINFRA
2021-02-18,4.2,4.35,4.15,4.2,4.2,A2ZINFRA
2021-02-17,4.35,4.35,4.15,4.3,4.2,A2ZINFRA
2021-02-16,4.35,4.35,4.2,4.3,4.3,A2ZINFRA
2021-02-15,4.45,4.5,4.1,4.35,4.3,A2ZINFRA
2021-02-12,4.2,4.55,4.15,4.45,4.45,A2ZINFRA
2021-02-11,4.3,4.3,3.9,4.15,4.2,A2ZINFRA
2021-02-10,4.35,4.4,4.25,4.3,4.3,A2ZINFRA
2021-02-09,4.45,4.45,4.3,4.4,4.4,A2ZINFRA
2021-02-08,4.5,4.5,4.25,4.45,4.45,A2ZINFRA
2021-02-05,4.6,4.6,4.45,4.5,4.45,A2ZINFRA
2021-02-04,4.65,4.65,4.45,4.6,4.6,A2ZINFRA
2021-02-03,4.6,4.65,4.4,4.65,4.55,A2ZINFRA
2021-02-02,4.75,4.8,4.5,4.6,4.6,A2ZINFRA
2021-02-01,4.6,4.75,4.45,4.65,4.65,A2ZINFRA
2021-01-29,4.65,4.75,4.55,4.6,4.55,A2ZINFRA
2021-01-28,4.65,4.7,4.5,4.65,4.65,A2ZINFRA
2021-01-27,4.65,4.75,4.35,4.75,4.7,A2ZINFRA
2021-01-25,4.95,4.95,4.6,4.65,4.65,A2ZINFRA
2021-01-22,4.85,4.9,4.75,4.9,4.85,A2ZINFRA
2021-01-21,4.95,5.0,4.8,4.9,4.85,A2ZINFRA
2021-01-20,5.0,5.0,4.85,4.95,4.95,A2ZINFRA
2021-01-19,5.05,5.15,4.9,4.95,4.95,A2ZINFRA
2021-01-18,4.95,5.15,4.8,5.05,5.0,A2ZINFRA
2021-01-15,5.05,5.1,4.95,5.0,5.0,A2ZINFRA
2021-01-14,5.25,5.55,5.05,5.1,5.1,A2ZINFRA
2021-01-13,5.6,5.65,5.15,5.25,5.2,A2ZINFRA
2021-01-12,5.6,6.05,5.35,5.5,5.5,A2ZINFRA
2021-01-11,5.1,5.55,4.8,5.55,5.55,A2ZINFRA
2021-01-08,5.25,5.4,4.95,4.95,5.05,A2ZINFRA
2021-01-07,5.7,5.7,5.15,5.35,5.25,A2ZINFRA
2021-01-06,5.95,5.95,5.25,5.55,5.5,A2ZINFRA
2021-01-05,5.9,6.2,5.45,5.8,5.8,A2ZINFRA
2021-01-04,5.5,5.8,5.5,5.8,5.8,A2ZINFRA
2021-01-01,4.75,5.3,4.75,5.3,5.3,A2ZINFRA
2020-12-31,4.65,4.9,4.5,4.85,4.85,A2ZINFRA
2020-12-30,4.8,4.8,4.6,4.7,4.7,A2ZINFRA
2020-12-29,4.85,4.95,4.65,4.75,4.75,A2ZINFRA
