DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,1248.0,1248.0,1211.0,1219.65,1887.0,833.0,AARTISURF
2021-11-11,1235.0,1240.65,1210.25,1222.15,1887.0,833.0,AARTISURF
2021-11-10,1239.0,1258.0,1227.95,1233.8,1887.0,833.0,AARTISURF
2021-11-09,1267.0,1318.3,1235.2,1240.0,1887.0,833.0,AARTISURF
2021-11-08,1293.65,1293.65,1245.45,1256.85,1887.0,833.0,AARTISURF
2021-11-04,1259.9,1322.0,1255.15,1284.65,1887.0,833.0,AARTISURF
2021-11-03,1305.8,1305.8,1244.05,1252.3,1887.0,833.0,AARTISURF
2021-11-02,1185.0,1364.45,1142.15,1311.3,1887.0,833.0,AARTISURF
2021-11-01,1137.0,1179.95,1125.0,1154.6,1887.0,833.0,AARTISURF
2021-10-29,1276.35,1276.35,1169.9,1190.5,1887.0,833.0,AARTISURF
2021-10-28,1280.0,1297.05,1250.1,1270.65,1887.0,833.0,AARTISURF
2021-10-27,1340.0,1340.0,1258.0,1270.9,1887.0,833.0,AARTISURF
2021-10-26,1301.0,1344.7,1281.75,1333.95,1887.0,833.0,AARTISURF
2021-10-25,1375.0,1375.0,1237.55,1303.7,1887.0,833.0,AARTISURF
2021-10-22,1410.0,1410.0,1375.0,1381.9,1887.0,833.0,AARTISURF
2021-10-21,1405.0,1414.95,1360.0,1382.4,1887.0,833.0,AARTISURF
2021-10-20,1446.0,1446.0,1379.25,1395.5,1887.0,833.0,AARTISURF
2021-10-19,1455.0,1473.0,1418.1,1423.55,1887.0,833.0,AARTISURF
2021-10-18,1448.2,1461.75,1432.55,1443.85,1887.0,833.0,AARTISURF
2021-10-14,1460.0,1490.0,1447.4,1456.9,1887.0,833.0,AARTISURF
2021-10-13,1470.0,1475.0,1450.35,1457.95,1887.0,833.0,AARTISURF
2021-10-12,1471.35,1488.3,1455.0,1459.6,1887.0,833.0,AARTISURF
2021-10-11,1490.0,1508.95,1464.1,1471.35,1887.0,833.0,AARTISURF
2021-10-08,1485.0,1508.8,1470.45,1490.35,1887.0,833.0,AARTISURF
2021-10-07,1475.0,1514.4,1440.05,1482.0,1887.0,833.0,AARTISURF
2021-10-06,1501.0,1513.7,1395.05,1445.0,1887.0,833.0,AARTISURF
2021-10-05,1495.0,1517.0,1482.05,1498.55,1887.0,833.0,AARTISURF
2021-10-04,1451.95,1524.0,1449.95,1494.2,1887.0,833.0,AARTISURF
2021-10-01,1464.0,1475.3,1433.0,1453.9,1887.0,833.0,AARTISURF
2021-09-30,1471.0,1476.8,1440.0,1443.75,1887.0,833.0,AARTISURF
2021-09-29,1455.0,1479.75,1455.0,1470.8,1887.0,833.0,AARTISURF
2021-09-28,1476.0,1519.95,1453.45,1471.6,1887.0,833.0,AARTISURF
2021-09-27,1485.2,1510.0,1472.7,1476.25,1887.0,833.0,AARTISURF
2021-09-24,1509.0,1525.0,1475.55,1477.5,1887.0,833.0,AARTISURF
2021-09-23,1480.1,1523.9,1480.1,1496.55,1887.0,833.0,AARTISURF
2021-09-22,1449.0,1544.9,1442.0,1488.25,1887.0,833.0,AARTISURF
2021-09-21,1445.0,1488.0,1427.0,1439.95,1887.0,833.0,AARTISURF
2021-09-20,1475.0,1528.35,1441.4,1457.6,1887.0,833.0,AARTISURF
2021-09-17,1525.0,1560.0,1475.55,1494.75,1887.0,833.0,AARTISURF
2021-09-16,1578.7,1582.5,1500.0,1513.0,1887.0,833.0,AARTISURF
2021-09-15,1671.0,1704.35,1550.0,1564.95,1887.0,833.0,AARTISURF
2021-09-14,1402.2,1679.9,1402.2,1640.05,1887.0,833.0,AARTISURF
2021-09-13,1396.0,1422.4,1396.0,1412.9,1887.0,833.0,AARTISURF
2021-09-09,1415.95,1431.1,1400.0,1408.6,1887.0,833.0,AARTISURF
2021-09-08,1405.0,1416.55,1386.3,1402.55,1887.0,833.0,AARTISURF
2021-09-07,1428.0,1428.0,1390.55,1404.15,1887.0,833.0,AARTISURF
2021-09-06,1415.0,1431.7,1389.9,1398.5,1887.0,833.0,AARTISURF
2021-09-03,1419.05,1436.0,1405.0,1415.05,1887.0,833.0,AARTISURF
2021-09-02,1421.0,1433.6,1401.35,1419.05,1887.0,833.0,AARTISURF
2021-09-01,1408.45,1440.85,1391.7,1421.05,1887.0,833.0,AARTISURF
2021-08-31,1423.0,1435.0,1405.0,1408.45,1887.0,833.0,AARTISURF
2021-08-30,1448.3,1452.85,1415.0,1423.55,1887.0,833.0,AARTISURF
2021-08-27,1418.0,1467.7,1402.55,1430.95,1887.0,833.0,AARTISURF
2021-08-26,1413.0,1427.45,1382.0,1392.5,1887.0,833.0,AARTISURF
2021-08-25,1430.1,1463.15,1411.05,1418.95,1887.0,833.0,AARTISURF
2021-08-24,1340.0,1420.0,1315.0,1399.15,1887.0,833.0,AARTISURF
2021-08-23,1415.0,1418.45,1290.0,1298.05,1887.0,833.0,AARTISURF
2021-08-20,1425.8,1425.8,1380.8,1395.15,1887.0,833.0,AARTISURF
2021-08-18,1447.0,1467.15,1405.05,1425.8,1887.0,833.0,AARTISURF
2021-08-17,1469.0,1488.6,1430.0,1445.05,1887.0,833.0,AARTISURF
2021-08-16,1490.0,1499.95,1453.5,1468.4,1887.0,833.0,AARTISURF
2021-08-13,1520.0,1559.0,1483.1,1498.5,1887.0,833.0,AARTISURF
2021-08-12,1480.0,1549.75,1470.1,1521.2,1887.0,833.0,AARTISURF
2021-08-11,1545.0,1545.0,1425.05,1465.65,1887.0,833.0,AARTISURF
2021-08-10,1767.0,1787.0,1560.0,1600.2,1887.0,833.0,AARTISURF
2021-08-09,1814.75,1832.85,1710.15,1735.35,1887.0,833.0,AARTISURF
2021-08-06,1799.0,1887.0,1740.0,1785.65,1887.0,833.0,AARTISURF
2021-08-05,1737.0,1799.8,1650.15,1773.15,1799.8,833.0,AARTISURF
2021-08-04,1561.1,1787.7,1561.1,1702.1,1787.7,833.0,AARTISURF
2021-08-03,1527.0,1585.0,1526.35,1557.8,1730.0,833.0,AARTISURF
2021-08-02,1540.0,1548.8,1501.0,1514.45,1730.0,833.0,AARTISURF
2021-07-30,1505.0,1516.8,1483.0,1486.65,1730.0,833.0,AARTISURF
2021-07-29,1510.0,1550.0,1485.1,1501.85,1730.0,833.0,AARTISURF
2021-07-28,1535.0,1549.9,1429.95,1476.95,1730.0,833.0,AARTISURF
2021-07-27,1614.8,1614.8,1520.0,1535.3,1730.0,833.0,AARTISURF
2021-07-26,1510.0,1624.3,1470.4,1579.05,1730.0,833.0,AARTISURF
2021-07-23,1428.0,1517.35,1401.0,1481.8,1730.0,833.0,AARTISURF
2021-07-22,1409.3,1448.0,1409.3,1413.6,1730.0,833.0,AARTISURF
2021-07-20,1433.0,1468.95,1392.1,1409.3,1730.0,833.0,AARTISURF
2021-07-19,1380.0,1480.0,1380.0,1415.9,1730.0,833.0,AARTISURF
2021-07-16,1387.0,1400.0,1380.5,1384.75,1730.0,833.0,AARTISURF
2021-07-15,1415.0,1415.0,1370.25,1386.8,1730.0,833.0,AARTISURF
2021-07-14,1395.0,1411.0,1382.0,1393.6,1730.0,833.0,AARTISURF
2021-07-13,1400.0,1414.3,1380.0,1391.85,1730.0,833.0,AARTISURF
2021-07-12,1420.0,1420.0,1388.85,1395.6,1730.0,833.0,AARTISURF
2021-07-09,1388.0,1440.0,1376.95,1401.45,1730.0,833.0,AARTISURF
2021-07-08,1390.0,1398.0,1372.0,1377.65,1730.0,833.0,AARTISURF
2021-07-07,1381.0,1398.0,1376.0,1380.65,1730.0,833.0,AARTISURF
2021-07-06,1425.0,1425.1,1375.05,1380.5,1730.0,833.0,AARTISURF
2021-07-05,1429.5,1438.2,1401.65,1411.05,1730.0,833.0,AARTISURF
2021-07-02,1400.0,1435.15,1393.6,1410.0,1730.0,833.0,AARTISURF
2021-07-01,1450.0,1460.0,1400.0,1432.0,1730.0,833.0,AARTISURF
2021-06-30,1364.9,1463.0,1358.0,1437.8,1730.0,833.0,AARTISURF
2021-06-29,1368.0,1372.7,1350.1,1358.2,1730.0,833.0,AARTISURF
2021-06-28,1369.95,1379.95,1349.65,1358.55,1730.0,833.0,AARTISURF
2021-06-25,1359.0,1364.45,1345.95,1357.4,1730.0,833.0,AARTISURF
2021-06-24,1374.8,1374.8,1340.0,1343.95,1730.0,833.0,AARTISURF
2021-06-23,1373.0,1375.0,1356.0,1361.85,1730.0,833.0,AARTISURF
2021-06-22,1376.55,1378.3,1360.0,1361.35,1730.0,833.0,AARTISURF
2021-06-21,1340.0,1383.4,1307.35,1363.05,1730.0,833.0,AARTISURF
2021-06-18,1362.1,1379.0,1275.0,1340.85,1730.0,833.0,AARTISURF
2021-06-17,1362.1,1378.0,1354.0,1356.8,1730.0,833.0,AARTISURF
