DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,118.95,127.7,118.7,125.05,124.6,ABCAPITAL
2021-07-15,121.0,121.55,118.7,119.1,119.05,ABCAPITAL
2021-07-14,123.6,124.5,120.2,120.75,120.75,ABCAPITAL
2021-07-13,122.5,124.9,120.0,123.5,123.6,ABCAPITAL
2021-07-12,118.0,123.0,117.5,121.15,121.25,ABCAPITAL
2021-07-09,114.0,116.75,113.75,116.4,116.15,ABCAPITAL
2021-07-08,115.2,117.0,113.4,114.2,113.95,ABCAPITAL
2021-07-07,115.3,116.6,113.7,114.55,114.4,ABCAPITAL
2021-07-06,116.3,117.45,115.2,115.7,115.55,ABCAPITAL
2021-07-05,117.8,119.7,115.3,115.55,115.55,ABCAPITAL
2021-07-02,115.0,119.45,114.6,117.45,117.5,ABCAPITAL
2021-07-01,117.4,117.9,114.4,114.75,114.75,ABCAPITAL
2021-06-30,119.0,119.0,116.65,116.7,117.25,ABCAPITAL
2021-06-29,117.75,118.7,116.45,116.8,117.15,ABCAPITAL
2021-06-28,119.2,120.5,117.9,118.6,118.45,ABCAPITAL
2021-06-25,119.0,120.4,118.6,119.1,119.0,ABCAPITAL
2021-06-24,119.9,121.0,116.6,118.35,118.55,ABCAPITAL
2021-06-23,121.2,121.25,119.1,119.6,119.55,ABCAPITAL
2021-06-22,119.0,122.25,118.8,120.65,120.3,ABCAPITAL
2021-06-21,117.0,119.8,117.0,117.6,117.85,ABCAPITAL
2021-06-18,122.3,123.2,117.05,119.1,118.5,ABCAPITAL
2021-06-17,123.0,125.4,121.25,121.75,122.05,ABCAPITAL
2021-06-16,123.9,125.7,123.0,123.15,123.35,ABCAPITAL
2021-06-15,124.0,126.75,124.0,125.0,125.1,ABCAPITAL
2021-06-14,125.5,125.5,122.25,123.9,123.7,ABCAPITAL
2021-06-11,127.85,127.95,125.0,125.4,125.3,ABCAPITAL
2021-06-10,126.2,127.9,124.8,126.5,126.55,ABCAPITAL
2021-06-09,124.8,128.45,123.6,125.25,125.35,ABCAPITAL
2021-06-08,125.55,125.65,122.75,123.8,123.95,ABCAPITAL
