DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,109.2,110.7,107.0,108.45,166.9,35.75,ADANIPOWER
2021-11-11,110.8,111.6,107.35,108.1,166.9,35.75,ADANIPOWER
2021-11-10,111.0,113.7,109.05,110.15,166.9,35.75,ADANIPOWER
2021-11-09,104.4,109.7,104.15,109.7,166.9,35.75,ADANIPOWER
2021-11-08,106.2,106.2,103.0,104.5,166.9,35.75,ADANIPOWER
2021-11-04,105.2,106.5,104.75,105.4,166.9,35.6,ADANIPOWER
2021-11-03,104.9,104.9,101.3,103.25,166.9,35.6,ADANIPOWER
2021-11-02,104.7,105.2,102.1,104.1,166.9,35.6,ADANIPOWER
2021-11-01,98.15,104.4,98.0,102.85,166.9,34.85,ADANIPOWER
2021-10-21,122.95,126.5,120.0,123.2,166.9,34.5,ADANIPOWER
2021-10-20,122.2,128.0,115.0,120.9,166.9,34.5,ADANIPOWER
2021-10-19,133.45,135.5,115.1,124.85,166.9,34.5,ADANIPOWER
2021-10-18,118.45,123.2,117.15,123.2,166.9,34.5,ADANIPOWER
2021-10-14,108.45,112.0,107.5,112.0,166.9,34.5,ADANIPOWER
2021-10-13,102.4,106.7,101.8,106.7,166.9,34.5,ADANIPOWER
2021-10-12,102.9,103.4,101.2,101.65,166.9,34.5,ADANIPOWER
2021-10-11,103.0,104.75,101.0,101.85,166.9,34.5,ADANIPOWER
2021-10-08,102.9,103.45,101.0,101.6,166.9,34.5,ADANIPOWER
2021-10-07,102.3,104.8,101.55,101.95,166.9,34.5,ADANIPOWER
2021-10-06,107.3,108.9,101.2,101.55,166.9,34.5,ADANIPOWER
2021-10-05,102.8,106.8,101.75,106.5,166.9,34.5,ADANIPOWER
2021-10-04,97.85,101.75,97.5,101.75,166.9,34.5,ADANIPOWER
2021-10-01,96.0,99.0,95.0,96.95,166.9,34.5,ADANIPOWER
2021-09-30,99.25,99.4,96.9,97.1,166.9,34.5,ADANIPOWER
2021-09-29,95.7,100.8,94.4,98.3,166.9,34.5,ADANIPOWER
2021-09-28,97.45,97.75,95.15,96.0,166.9,34.5,ADANIPOWER
2021-09-27,96.0,98.5,95.0,97.0,166.9,34.5,ADANIPOWER
2021-09-24,98.0,98.4,95.5,95.85,166.9,34.35,ADANIPOWER
2021-09-23,96.9,98.75,95.7,97.05,166.9,34.35,ADANIPOWER
2021-09-22,95.0,97.5,94.85,95.9,166.9,34.35,ADANIPOWER
2021-09-21,93.6,96.4,91.05,94.55,166.9,34.35,ADANIPOWER
2021-09-20,96.05,98.55,95.45,95.45,166.9,34.35,ADANIPOWER
2021-06-11,159.0,159.5,147.0,148.3,166.9,34.35,ADANIPOWER
2021-06-10,157.35,164.0,153.0,154.1,166.9,34.35,ADANIPOWER
2021-06-09,156.0,166.9,138.5,152.35,166.9,34.35,ADANIPOWER
2021-06-08,134.0,152.25,131.6,151.75,152.25,34.35,ADANIPOWER
2021-06-07,112.55,126.9,111.25,126.9,126.9,34.35,ADANIPOWER
2021-06-04,101.4,105.75,99.35,105.75,108.7,34.35,ADANIPOWER
2021-06-03,97.5,101.2,97.0,100.75,108.7,34.35,ADANIPOWER
2021-06-02,95.95,99.4,95.5,96.4,108.7,34.35,ADANIPOWER
2021-06-01,94.0,97.1,91.8,95.35,108.7,34.35,ADANIPOWER
2021-05-31,92.65,94.25,92.25,92.5,108.7,34.35,ADANIPOWER
2021-05-28,95.9,97.0,90.75,91.95,108.7,33.4,ADANIPOWER
2021-05-27,100.0,100.0,94.3,95.15,108.7,33.4,ADANIPOWER
2021-05-26,101.25,101.35,99.05,99.25,108.7,33.4,ADANIPOWER
2021-05-25,102.0,102.5,100.0,100.4,108.7,33.4,ADANIPOWER
2021-05-24,101.7,103.0,101.0,101.05,108.7,33.4,ADANIPOWER
2021-05-21,101.0,102.75,100.5,101.1,108.7,30.3,ADANIPOWER
2021-05-20,103.0,103.95,98.95,100.1,108.7,30.3,ADANIPOWER
2021-05-19,103.7,106.95,101.3,102.4,108.7,30.3,ADANIPOWER
2021-05-18,97.9,101.9,97.1,101.9,108.7,30.3,ADANIPOWER
2021-05-17,96.3,98.4,96.25,97.05,108.7,30.3,ADANIPOWER
2021-05-14,98.4,98.4,94.0,95.8,108.7,29.05,ADANIPOWER
2021-05-12,99.95,100.8,97.0,97.45,108.7,29.05,ADANIPOWER
2021-05-11,97.95,101.0,97.35,99.0,108.7,29.05,ADANIPOWER
2021-05-10,98.0,99.8,97.05,98.5,108.7,29.05,ADANIPOWER
2021-05-07,99.0,100.0,96.7,97.05,108.7,29.05,ADANIPOWER
2021-05-06,98.0,98.9,96.0,96.85,108.7,29.05,ADANIPOWER
2021-05-05,96.75,98.8,96.1,97.05,108.7,29.05,ADANIPOWER
2021-05-04,96.7,99.0,94.35,95.7,108.7,29.05,ADANIPOWER
2021-05-03,94.0,97.65,92.05,95.55,108.7,29.05,ADANIPOWER
2021-04-30,95.1,98.3,94.45,94.75,108.7,29.0,ADANIPOWER
2021-04-29,96.9,99.2,95.7,97.0,108.7,29.0,ADANIPOWER
