DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,67.85,73.05,66.4,71.1,71.95,ADVANIHOTR
2021-07-15,67.85,68.9,66.25,66.35,66.45,ADVANIHOTR
2021-07-14,69.0,69.2,67.1,67.7,67.85,ADVANIHOTR
2021-07-13,68.0,69.95,67.1,69.8,69.35,ADVANIHOTR
2021-07-12,67.35,68.35,66.5,67.6,67.1,ADVANIHOTR
2021-07-09,69.35,69.45,67.25,67.3,67.35,ADVANIHOTR
2021-07-08,69.8,69.8,67.2,67.9,67.65,ADVANIHOTR
2021-07-07,69.5,69.75,68.3,68.95,68.9,ADVANIHOTR
2021-07-06,68.5,69.95,67.2,67.6,68.1,ADVANIHOTR
2021-07-05,66.5,68.7,66.5,68.0,67.5,ADVANIHOTR
2021-07-02,67.25,68.35,66.8,67.2,67.25,ADVANIHOTR
2021-07-01,69.0,69.75,66.4,66.55,66.75,ADVANIHOTR
2021-06-30,70.8,70.8,67.05,67.55,67.9,ADVANIHOTR
2021-06-29,69.95,70.0,68.15,69.85,69.0,ADVANIHOTR
2021-06-28,65.55,72.0,65.55,69.4,68.35,ADVANIHOTR
2021-06-25,65.05,67.0,65.05,65.15,65.55,ADVANIHOTR
2021-06-24,66.5,66.9,65.2,65.2,65.65,ADVANIHOTR
2021-06-23,67.2,67.9,65.25,66.0,66.55,ADVANIHOTR
2021-06-22,65.6,69.0,65.45,65.8,65.85,ADVANIHOTR
2021-06-21,66.9,68.0,63.55,65.55,65.6,ADVANIHOTR
2021-06-18,66.65,69.0,64.75,67.1,67.05,ADVANIHOTR
2021-06-17,65.1,67.4,62.8,63.9,63.65,ADVANIHOTR
2021-06-16,67.0,67.0,63.4,63.95,63.8,ADVANIHOTR
2021-06-15,68.7,68.7,65.1,65.15,65.35,ADVANIHOTR
2021-06-14,68.0,68.5,64.5,67.1,66.3,ADVANIHOTR
2021-06-11,66.4,67.2,64.65,66.0,65.55,ADVANIHOTR
2021-06-10,68.3,68.3,65.1,66.0,65.75,ADVANIHOTR
2021-06-09,68.75,69.25,66.4,66.85,66.9,ADVANIHOTR
2021-06-08,68.75,69.7,66.35,67.35,67.6,ADVANIHOTR
2021-06-07,66.9,69.5,65.3,68.0,67.9,ADVANIHOTR
2021-06-04,63.35,66.45,62.55,65.35,65.75,ADVANIHOTR
2021-06-03,66.5,66.5,62.1,63.35,63.45,ADVANIHOTR
2021-06-02,67.0,67.0,65.0,65.0,65.2,ADVANIHOTR
2021-06-01,67.5,68.7,65.1,65.9,65.65,ADVANIHOTR
2021-05-31,67.8,68.95,65.15,68.95,67.3,ADVANIHOTR
2021-05-28,65.5,66.65,65.4,66.6,66.35,ADVANIHOTR
2021-05-27,61.6,65.5,61.6,63.5,63.5,ADVANIHOTR
2021-05-26,65.0,65.5,61.0,63.95,64.05,ADVANIHOTR
2021-05-25,63.9,64.2,60.6,63.65,64.0,ADVANIHOTR
2021-05-24,59.0,61.35,59.0,61.25,61.15,ADVANIHOTR
2021-05-21,58.4,58.9,57.2,58.8,58.45,ADVANIHOTR
2021-05-20,58.25,58.25,56.45,58.0,57.85,ADVANIHOTR
2021-05-19,56.3,58.0,54.7,57.25,57.1,ADVANIHOTR
2021-05-18,56.0,56.45,53.65,56.05,56.3,ADVANIHOTR
2021-05-17,56.2,56.2,53.1,55.0,54.95,ADVANIHOTR
2021-05-14,55.75,55.75,52.65,53.55,54.15,ADVANIHOTR
2021-05-12,56.2,56.65,54.3,54.8,54.8,ADVANIHOTR
2021-05-11,54.05,56.15,52.05,56.15,55.75,ADVANIHOTR
2021-05-10,56.6,56.6,53.5,53.8,53.65,ADVANIHOTR
2021-05-07,52.95,54.7,51.85,54.7,54.7,ADVANIHOTR
2021-05-06,52.3,53.0,50.85,52.1,52.1,ADVANIHOTR
2021-05-05,52.75,52.75,51.25,51.35,51.45,ADVANIHOTR
2021-05-04,55.7,55.75,52.5,52.6,52.8,ADVANIHOTR
2021-05-03,57.0,57.0,53.5,54.0,54.05,ADVANIHOTR
