DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,208.55,211.7,207.8,210.2,387.9,201.5,AEGISCHEM
2021-11-11,210.9,211.85,206.25,207.5,387.9,201.5,AEGISCHEM
2021-11-10,211.0,213.15,210.25,210.5,387.9,201.5,AEGISCHEM
2021-11-09,211.0,215.85,210.9,211.65,387.9,201.5,AEGISCHEM
2021-11-08,213.0,215.95,210.05,210.8,387.9,201.5,AEGISCHEM
2021-11-04,210.95,213.9,210.95,211.7,387.9,200.5,AEGISCHEM
2021-11-03,213.2,216.3,209.0,210.1,387.9,200.5,AEGISCHEM
2021-11-02,210.0,216.65,210.0,212.25,387.9,200.5,AEGISCHEM
2021-11-01,213.7,215.65,208.7,209.9,387.9,200.5,AEGISCHEM
2021-10-29,222.0,222.75,210.25,212.7,387.9,200.5,AEGISCHEM
2021-10-28,221.0,230.0,215.5,220.45,387.9,200.5,AEGISCHEM
2021-10-27,219.25,219.25,213.4,214.75,387.9,200.5,AEGISCHEM
2021-10-26,208.9,218.8,207.9,217.0,387.9,200.5,AEGISCHEM
2021-10-25,212.7,213.7,207.1,208.9,387.9,200.5,AEGISCHEM
2021-10-22,212.25,214.9,207.75,210.3,387.9,200.1,AEGISCHEM
2021-10-21,212.5,215.8,205.05,211.1,387.9,200.1,AEGISCHEM
2021-10-20,220.0,220.0,211.5,212.25,387.9,200.1,AEGISCHEM
2021-10-19,226.0,229.55,216.65,219.35,387.9,200.1,AEGISCHEM
2021-10-18,229.0,230.3,225.5,226.2,387.9,200.1,AEGISCHEM
2021-10-14,231.95,232.05,226.4,227.2,387.9,200.1,AEGISCHEM
2021-10-13,233.85,236.0,230.0,230.75,387.9,200.1,AEGISCHEM
2021-10-12,240.05,240.4,231.55,233.8,387.9,200.1,AEGISCHEM
2021-10-11,230.25,247.0,229.6,238.9,387.9,200.1,AEGISCHEM
2021-10-08,231.0,231.45,229.05,229.45,387.9,200.1,AEGISCHEM
