DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,62.55,63.65,62.25,62.95,67.0,41.9,AJOONI
2021-11-11,62.0,67.0,61.2,63.05,67.0,41.9,AJOONI
2021-11-10,63.05,63.05,61.85,62.0,67.0,41.9,AJOONI
2021-11-09,63.0,64.75,62.3,63.55,67.0,41.9,AJOONI
2021-11-08,61.4,65.75,61.4,63.55,67.0,41.9,AJOONI
2021-11-04,64.9,64.9,62.5,63.2,67.0,41.9,AJOONI
2021-11-03,65.4,65.4,62.6,63.1,67.0,41.9,AJOONI
2021-11-02,65.5,65.65,63.35,63.9,67.0,41.9,AJOONI
2021-11-01,65.5,65.5,63.2,64.0,67.0,41.9,AJOONI
2021-10-29,60.3,63.4,49.3,62.25,67.0,41.9,AJOONI
2021-10-28,61.5,64.9,57.8,60.25,67.0,41.9,AJOONI
2021-10-27,65.5,65.5,63.0,63.7,67.0,41.9,AJOONI
2021-10-26,63.05,65.7,63.05,64.15,67.0,41.9,AJOONI
2021-10-25,64.5,65.2,62.85,64.0,67.0,41.9,AJOONI
2021-10-22,64.9,64.9,59.0,61.5,67.0,41.9,AJOONI
2021-10-21,59.9,64.0,56.85,63.3,67.0,41.9,AJOONI
2021-10-20,63.35,64.5,61.35,62.45,67.0,41.9,AJOONI
2021-10-19,65.75,66.5,62.0,63.35,67.0,41.9,AJOONI
2021-10-18,64.15,67.0,63.9,66.65,67.0,41.9,AJOONI
2021-10-14,63.05,65.0,61.0,64.15,65.0,41.9,AJOONI
2021-10-13,63.0,63.95,62.3,63.3,65.0,41.9,AJOONI
2021-10-12,62.4,63.65,59.15,63.05,65.0,41.9,AJOONI
2021-10-11,62.95,65.0,61.5,62.5,65.0,41.9,AJOONI
2021-10-08,62.85,63.0,60.0,61.7,64.45,41.9,AJOONI
2021-10-07,60.95,63.0,60.15,61.6,64.45,41.9,AJOONI
2021-10-06,60.05,60.8,59.55,60.7,64.45,41.9,AJOONI
2021-10-05,60.0,60.5,57.0,59.5,64.45,41.9,AJOONI
2021-10-04,59.5,60.0,58.5,59.75,64.45,41.9,AJOONI
2021-10-01,55.55,59.35,54.9,58.35,64.45,41.9,AJOONI
2021-09-30,53.95,56.4,53.4,55.85,64.45,41.9,AJOONI
2021-09-29,51.75,55.75,49.7,54.1,64.45,41.9,AJOONI
2021-09-28,51.45,52.25,49.7,52.15,64.45,41.9,AJOONI
2021-09-27,51.25,51.45,49.35,50.1,64.45,41.9,AJOONI
2021-09-24,51.7,51.75,49.8,49.95,64.45,41.9,AJOONI
2021-09-23,51.55,52.1,50.4,51.1,64.45,41.9,AJOONI
2021-09-22,52.55,52.55,50.1,51.6,64.45,41.9,AJOONI
2021-09-21,52.85,52.9,51.0,51.65,64.45,41.9,AJOONI
