DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,253.25,257.35,251.25,253.9,253.0,ANDHRAPAP
2021-07-15,265.0,267.1,251.7,253.3,253.05,ANDHRAPAP
2021-07-14,270.0,270.05,260.3,261.65,262.35,ANDHRAPAP
2021-07-13,270.0,273.8,267.3,268.2,267.95,ANDHRAPAP
2021-07-12,268.1,276.0,266.0,270.0,268.05,ANDHRAPAP
2021-07-09,266.2,275.25,263.05,268.0,267.95,ANDHRAPAP
2021-07-08,278.0,281.7,264.05,267.45,266.2,ANDHRAPAP
2021-07-07,269.0,282.0,267.0,273.5,273.7,ANDHRAPAP
2021-07-06,270.0,283.7,260.0,261.55,261.85,ANDHRAPAP
2021-07-05,254.3,272.6,250.05,269.0,266.55,ANDHRAPAP
2021-07-02,248.65,255.8,244.0,250.2,249.35,ANDHRAPAP
2021-07-01,253.5,262.5,243.2,248.8,245.35,ANDHRAPAP
2021-06-30,244.8,255.0,239.95,254.0,252.4,ANDHRAPAP
2021-06-29,249.0,249.0,239.2,242.0,241.35,ANDHRAPAP
2021-06-28,246.3,246.55,241.05,245.0,244.1,ANDHRAPAP
2021-06-25,248.55,250.7,243.95,245.5,246.3,ANDHRAPAP
2021-06-24,255.6,259.8,244.9,247.3,247.8,ANDHRAPAP
2021-06-23,258.7,265.25,252.0,254.8,254.95,ANDHRAPAP
2021-06-22,249.8,261.85,238.3,254.0,254.55,ANDHRAPAP
2021-06-21,237.0,246.95,234.5,245.45,244.55,ANDHRAPAP
2021-06-18,244.95,245.05,229.05,238.0,238.35,ANDHRAPAP
2021-06-17,244.9,249.45,241.0,241.9,242.25,ANDHRAPAP
2021-06-16,253.7,254.9,242.75,244.9,244.2,ANDHRAPAP
2021-06-15,244.95,259.5,243.1,252.15,252.3,ANDHRAPAP
2021-06-14,247.15,247.55,238.45,243.4,243.1,ANDHRAPAP
2021-06-11,248.0,252.95,244.7,246.75,247.15,ANDHRAPAP
2021-06-10,238.35,252.0,238.3,248.2,247.55,ANDHRAPAP
2021-06-09,237.4,246.05,237.0,239.0,238.3,ANDHRAPAP
2021-06-08,240.5,243.9,235.75,236.2,236.65,ANDHRAPAP
2021-06-07,246.0,246.0,233.0,242.9,241.0,ANDHRAPAP
2021-06-04,245.8,247.9,241.0,241.5,242.15,ANDHRAPAP
2021-06-03,237.8,243.4,234.85,242.75,242.15,ANDHRAPAP
2021-06-02,232.0,238.5,229.75,233.0,233.2,ANDHRAPAP
2021-06-01,236.0,239.9,230.2,231.55,231.6,ANDHRAPAP
2021-05-31,229.55,239.0,229.55,236.85,238.35,ANDHRAPAP
2021-05-28,230.65,235.95,230.25,231.15,232.05,ANDHRAPAP
2021-05-27,227.35,239.95,227.35,232.35,233.05,ANDHRAPAP
2021-05-26,237.55,237.55,227.0,229.7,229.1,ANDHRAPAP
2021-05-25,236.05,241.8,235.0,236.0,236.1,ANDHRAPAP
2021-05-24,234.0,239.45,231.0,236.05,237.75,ANDHRAPAP
2021-05-21,236.2,237.5,228.1,234.0,231.2,ANDHRAPAP
2021-05-20,231.05,242.8,230.55,231.05,231.8,ANDHRAPAP
2021-05-19,230.0,232.4,226.6,230.5,231.05,ANDHRAPAP
2021-05-18,228.3,230.15,225.0,230.0,226.9,ANDHRAPAP
2021-05-17,228.2,231.0,224.95,228.4,227.75,ANDHRAPAP
2021-05-14,227.0,231.0,224.75,228.0,227.35,ANDHRAPAP
2021-05-12,239.0,239.0,227.3,230.75,230.7,ANDHRAPAP
2021-05-11,233.0,244.0,230.0,240.0,240.3,ANDHRAPAP
2021-05-10,233.9,234.9,226.15,230.5,232.95,ANDHRAPAP
2021-05-07,227.0,234.0,224.3,228.3,229.5,ANDHRAPAP
2021-05-06,231.85,231.85,225.0,225.0,225.2,ANDHRAPAP
2021-05-05,231.0,235.15,225.0,228.0,228.2,ANDHRAPAP
2021-05-04,214.9,239.4,212.45,226.0,226.0,ANDHRAPAP
2021-05-03,212.25,215.5,212.0,213.5,212.85,ANDHRAPAP
2021-04-30,214.0,215.6,210.0,214.8,211.85,ANDHRAPAP
2021-04-29,217.6,217.6,211.5,213.6,213.0,ANDHRAPAP
2021-04-28,215.0,218.5,212.0,215.85,215.75,ANDHRAPAP
2021-04-27,212.75,215.05,210.0,212.35,214.15,ANDHRAPAP
2021-04-26,213.1,217.15,211.0,211.0,211.5,ANDHRAPAP
2021-04-23,218.4,218.45,212.0,215.0,215.2,ANDHRAPAP
2021-04-22,214.35,216.5,209.6,215.0,215.65,ANDHRAPAP
2021-04-20,208.05,213.05,208.05,211.4,211.0,ANDHRAPAP
2021-04-19,211.5,213.1,208.0,210.0,210.2,ANDHRAPAP
2021-04-16,217.3,217.9,209.0,211.0,210.95,ANDHRAPAP
2021-04-15,218.5,218.5,203.65,212.5,213.4,ANDHRAPAP
2021-04-13,211.75,227.4,211.0,212.5,212.95,ANDHRAPAP
2021-04-12,220.0,220.0,210.5,213.35,213.05,ANDHRAPAP
2021-04-09,218.95,222.8,214.0,221.0,219.35,ANDHRAPAP
2021-04-08,218.7,220.75,216.4,218.3,217.55,ANDHRAPAP
2021-04-07,225.85,228.3,214.7,217.65,216.65,ANDHRAPAP
2021-04-06,220.0,230.95,217.45,226.2,228.85,ANDHRAPAP
2021-04-05,218.95,223.0,213.65,220.0,220.0,ANDHRAPAP
2021-04-01,220.0,225.0,220.0,225.0,224.4,ANDHRAPAP
2021-03-31,226.3,232.9,216.8,219.9,219.05,ANDHRAPAP
2021-03-30,236.1,236.1,220.3,223.5,222.75,ANDHRAPAP
2021-03-26,225.2,233.7,225.2,230.85,228.7,ANDHRAPAP
2021-03-25,229.65,234.1,224.05,225.9,226.2,ANDHRAPAP
2021-03-24,235.1,236.7,228.5,231.0,231.05,ANDHRAPAP
2021-03-23,231.5,238.7,231.5,235.5,235.6,ANDHRAPAP
2021-03-22,230.65,234.85,227.1,233.55,233.35,ANDHRAPAP
2021-03-19,235.0,235.0,220.2,232.95,230.65,ANDHRAPAP
2021-03-18,240.0,244.0,228.0,234.95,232.25,ANDHRAPAP
2021-03-17,247.8,248.55,237.45,241.7,239.9,ANDHRAPAP
2021-03-16,246.5,254.55,243.3,243.55,245.15,ANDHRAPAP
2021-03-15,242.25,245.0,234.6,239.7,240.6,ANDHRAPAP
2021-03-12,243.9,248.5,236.6,237.0,238.05,ANDHRAPAP
2021-03-10,247.05,248.55,238.8,239.1,240.8,ANDHRAPAP
2021-03-09,250.2,253.85,242.1,244.5,245.15,ANDHRAPAP
2021-03-08,252.8,252.8,244.0,247.0,248.45,ANDHRAPAP
2021-03-05,258.1,263.6,245.0,250.0,248.35,ANDHRAPAP
2021-03-04,256.0,264.0,256.0,259.0,259.15,ANDHRAPAP
2021-03-03,275.0,275.0,259.35,261.0,261.85,ANDHRAPAP
2021-03-02,265.0,272.0,256.0,267.0,268.5,ANDHRAPAP
2021-03-01,231.0,255.55,230.2,252.0,249.05,ANDHRAPAP
2021-02-26,238.0,238.0,224.0,229.3,227.45,ANDHRAPAP
2021-02-25,238.0,241.4,231.7,237.0,237.4,ANDHRAPAP
2021-02-24,225.2,239.95,225.0,238.0,237.5,ANDHRAPAP
2021-02-23,228.0,229.7,225.1,227.0,227.05,ANDHRAPAP
2021-02-22,238.0,238.45,224.75,226.0,227.0,ANDHRAPAP
2021-02-19,236.3,241.1,235.0,238.0,236.8,ANDHRAPAP
2021-02-18,237.0,248.0,234.2,242.0,239.65,ANDHRAPAP
2021-02-17,239.5,245.8,231.35,236.55,238.95,ANDHRAPAP
2021-02-16,242.0,242.5,232.0,240.0,239.45,ANDHRAPAP
2021-02-15,229.95,245.9,224.8,242.0,237.35,ANDHRAPAP
2021-02-12,227.3,232.0,222.0,229.0,227.35,ANDHRAPAP
2021-02-11,221.55,229.4,221.55,229.0,228.4,ANDHRAPAP
2021-02-10,222.4,225.15,217.5,222.0,224.0,ANDHRAPAP
2021-02-09,219.4,224.5,217.0,222.0,222.2,ANDHRAPAP
2021-02-08,221.0,223.0,216.9,220.0,218.9,ANDHRAPAP
2021-02-05,220.0,222.0,214.2,217.6,215.65,ANDHRAPAP
2021-02-04,213.05,226.95,210.05,219.5,220.85,ANDHRAPAP
2021-02-03,212.0,216.0,209.6,214.0,214.25,ANDHRAPAP
2021-02-02,212.65,213.4,209.1,210.05,210.0,ANDHRAPAP
2021-02-01,205.0,213.75,205.0,209.9,212.05,ANDHRAPAP
2021-01-29,205.0,209.0,202.0,206.0,205.9,ANDHRAPAP
2021-01-28,207.75,211.85,205.05,209.2,208.05,ANDHRAPAP
2021-01-27,204.0,209.6,202.0,208.25,208.45,ANDHRAPAP
2021-01-25,211.05,211.85,200.55,202.0,202.65,ANDHRAPAP
2021-01-22,209.0,212.3,206.6,209.9,209.45,ANDHRAPAP
2021-01-21,215.05,216.95,206.7,209.75,209.1,ANDHRAPAP
2021-01-20,216.8,218.5,213.1,214.0,214.3,ANDHRAPAP
2021-01-19,213.05,216.6,212.65,214.9,213.3,ANDHRAPAP
2021-01-18,219.05,223.7,213.0,213.0,214.0,ANDHRAPAP
2021-01-15,218.65,220.0,215.0,219.25,219.05,ANDHRAPAP
2021-01-14,218.0,219.9,215.65,217.05,216.75,ANDHRAPAP
2021-01-13,219.0,221.9,215.05,219.5,219.15,ANDHRAPAP
2021-01-12,215.0,220.5,215.0,219.0,218.95,ANDHRAPAP
2021-01-11,212.4,218.25,212.4,217.5,217.6,ANDHRAPAP
2021-01-08,216.85,216.85,210.9,212.75,212.35,ANDHRAPAP
2021-01-07,215.0,217.5,212.1,213.6,212.9,ANDHRAPAP
2021-01-06,217.0,219.7,210.55,213.5,214.05,ANDHRAPAP
2021-01-05,216.5,221.0,215.05,215.95,216.55,ANDHRAPAP
2021-01-04,217.45,224.0,215.3,218.95,217.9,ANDHRAPAP
2021-01-01,217.8,221.85,215.15,217.35,217.7,ANDHRAPAP
2020-12-31,210.85,217.45,210.2,216.35,215.95,ANDHRAPAP
2020-12-30,211.0,215.3,208.0,210.5,212.0,ANDHRAPAP
2020-12-29,208.3,213.35,208.0,212.4,210.6,ANDHRAPAP
2020-12-28,210.05,213.45,207.85,209.0,209.75,ANDHRAPAP
2020-12-24,213.3,217.45,209.0,209.05,209.6,ANDHRAPAP
2020-12-23,207.0,217.4,207.0,214.85,215.1,ANDHRAPAP
2020-12-22,210.0,212.3,202.1,207.0,206.7,ANDHRAPAP
2020-12-21,219.2,224.9,204.95,209.45,208.1,ANDHRAPAP
2020-12-18,216.9,221.0,208.6,217.5,217.25,ANDHRAPAP
2020-12-17,214.75,221.0,212.4,216.1,216.15,ANDHRAPAP
2020-12-16,210.0,215.5,207.2,211.65,212.55,ANDHRAPAP
2020-12-15,213.0,213.0,206.5,208.0,208.2,ANDHRAPAP
2020-12-14,211.9,214.9,207.3,214.4,212.9,ANDHRAPAP
2020-12-11,215.8,217.0,206.55,208.95,208.6,ANDHRAPAP
2020-12-10,211.9,215.0,206.05,214.0,213.95,ANDHRAPAP
2020-12-09,214.8,216.6,208.85,210.25,211.15,ANDHRAPAP
2020-12-08,210.1,219.0,206.55,211.85,213.0,ANDHRAPAP
2020-12-07,204.3,211.0,202.05,209.0,208.95,ANDHRAPAP
2020-12-04,206.0,207.5,198.9,201.6,201.35,ANDHRAPAP
2020-12-03,199.0,208.0,199.0,204.0,204.35,ANDHRAPAP
2020-12-02,201.1,205.85,196.35,198.4,198.7,ANDHRAPAP
2020-12-01,198.0,205.95,198.0,203.0,203.0,ANDHRAPAP
2020-11-27,199.7,200.25,196.3,197.7,197.5,ANDHRAPAP
2020-11-26,202.1,203.0,195.0,199.5,198.6,ANDHRAPAP
2020-11-25,201.35,203.7,198.0,203.0,201.95,ANDHRAPAP
2020-11-24,208.4,208.4,201.0,201.0,201.65,ANDHRAPAP
2020-11-23,204.0,208.85,204.0,205.0,205.9,ANDHRAPAP
2020-11-20,204.9,209.8,202.1,204.05,204.45,ANDHRAPAP
2020-11-19,196.7,209.0,191.9,200.8,201.1,ANDHRAPAP
2020-11-18,192.95,195.0,189.0,194.2,194.3,ANDHRAPAP
2020-11-17,190.0,194.65,188.55,189.35,189.45,ANDHRAPAP
2020-11-14,191.35,194.9,186.35,193.5,192.85,ANDHRAPAP
2020-11-13,191.05,195.0,191.05,195.0,192.95,ANDHRAPAP
2020-11-12,193.5,194.5,190.45,194.0,193.35,ANDHRAPAP
2020-11-11,192.0,194.5,188.05,190.0,190.75,ANDHRAPAP
2020-11-10,189.1,195.5,188.05,190.3,191.45,ANDHRAPAP
2020-11-09,189.0,191.5,187.8,191.5,190.35,ANDHRAPAP
2020-11-06,187.35,191.0,185.6,188.5,188.65,ANDHRAPAP
2020-11-05,184.3,188.0,183.6,186.4,186.65,ANDHRAPAP
2020-11-04,184.4,187.9,182.8,185.0,185.2,ANDHRAPAP
2020-11-03,183.95,186.5,183.95,185.0,185.3,ANDHRAPAP
2020-11-02,186.0,186.0,183.0,185.0,185.0,ANDHRAPAP
2020-10-30,183.0,186.85,179.8,186.0,185.1,ANDHRAPAP
2020-10-29,184.6,186.85,180.0,183.3,183.8,ANDHRAPAP
2020-10-28,187.4,188.9,183.0,185.0,184.25,ANDHRAPAP
2020-10-27,191.75,191.75,186.15,186.3,187.15,ANDHRAPAP
2020-10-26,194.9,196.0,188.45,191.75,190.5,ANDHRAPAP
2020-10-23,189.0,196.95,188.0,194.0,193.65,ANDHRAPAP
2020-10-22,185.15,189.1,183.5,188.25,187.35,ANDHRAPAP
2020-10-21,188.25,189.1,183.8,186.45,184.85,ANDHRAPAP
2020-10-20,185.15,187.35,184.0,185.9,186.6,ANDHRAPAP
2020-10-19,186.2,186.2,184.1,185.85,185.05,ANDHRAPAP
