DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,178.95,180.8,173.4,180.35,191.0,20.85,ARIHANTSUP
2021-11-11,177.0,180.75,174.0,175.35,191.0,20.85,ARIHANTSUP
2021-11-10,178.9,179.0,176.0,178.2,191.0,20.85,ARIHANTSUP
2021-11-09,181.0,181.0,176.5,177.05,191.0,20.85,ARIHANTSUP
2021-11-08,184.0,184.95,173.3,178.3,191.0,20.85,ARIHANTSUP
2021-11-04,183.9,184.7,182.3,183.3,191.0,19.75,ARIHANTSUP
2021-11-03,183.95,183.95,178.05,181.25,191.0,19.75,ARIHANTSUP
2021-11-02,179.0,182.95,175.15,181.35,191.0,19.75,ARIHANTSUP
2021-11-01,179.9,179.9,175.0,177.15,191.0,19.75,ARIHANTSUP
2021-10-29,177.0,177.05,167.05,175.1,191.0,19.15,ARIHANTSUP
2021-10-28,181.05,181.05,171.95,176.25,191.0,19.15,ARIHANTSUP
2021-10-27,178.85,181.0,176.35,178.75,191.0,19.15,ARIHANTSUP
2021-10-26,169.0,175.0,165.25,174.2,191.0,19.15,ARIHANTSUP
2021-10-25,159.9,168.0,153.0,165.9,191.0,19.15,ARIHANTSUP
2021-10-22,174.25,176.7,156.1,160.85,191.0,18.5,ARIHANTSUP
2021-10-21,174.5,177.95,167.0,169.95,191.0,18.5,ARIHANTSUP
2021-10-20,175.2,181.0,166.1,168.6,191.0,18.5,ARIHANTSUP
2021-10-19,173.5,191.0,170.5,174.7,191.0,18.5,ARIHANTSUP
2021-10-18,172.0,175.0,166.05,174.4,183.9,18.5,ARIHANTSUP
2021-10-14,168.85,170.9,166.05,168.15,183.9,17.7,ARIHANTSUP
2021-10-13,177.5,178.9,167.0,168.9,183.9,17.7,ARIHANTSUP
2021-10-12,182.0,182.0,173.6,175.7,183.9,17.7,ARIHANTSUP
2021-10-11,173.0,180.0,171.0,176.2,183.9,17.7,ARIHANTSUP
2021-10-08,172.55,174.6,165.0,173.5,183.9,17.7,ARIHANTSUP
2021-10-07,179.0,183.9,172.9,175.05,183.9,17.7,ARIHANTSUP
2021-10-06,166.0,176.0,164.5,171.05,176.0,17.7,ARIHANTSUP
2021-10-05,148.6,163.45,146.95,161.3,163.45,17.7,ARIHANTSUP
2021-10-04,146.5,154.0,146.5,148.6,156.0,17.7,ARIHANTSUP
2021-10-01,150.0,151.0,145.0,148.15,156.0,17.7,ARIHANTSUP
