DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-06-16,27.4,28.25,27.4,28.25,27.65,ARIHANT
2021-06-15,30.75,30.75,28.0,29.5,28.8,ARIHANT
2021-06-14,31.35,31.35,28.45,29.2,29.45,ARIHANT
2021-06-11,29.9,29.9,29.15,29.9,29.9,ARIHANT
2021-06-10,28.5,28.5,27.5,28.5,28.5,ARIHANT
2021-06-09,27.15,27.15,25.0,27.15,27.15,ARIHANT
2021-06-08,25.9,25.9,25.0,25.9,25.9,ARIHANT
2021-06-07,24.7,24.7,24.7,24.7,24.7,ARIHANT
2021-06-04,23.55,23.55,23.55,23.55,23.55,ARIHANT
2021-06-03,21.0,22.45,21.0,22.45,22.45,ARIHANT
2021-06-02,21.8,21.8,20.8,21.65,21.4,ARIHANT
2021-06-01,21.55,22.05,20.5,21.1,21.3,ARIHANT
2021-05-31,22.25,22.25,20.3,21.6,21.55,ARIHANT
2021-05-28,21.5,22.2,20.25,21.25,21.35,ARIHANT
2021-05-27,22.35,22.35,21.25,21.3,21.25,ARIHANT
2021-05-26,23.45,23.95,22.35,22.35,22.35,ARIHANT
2021-05-25,22.2,23.75,22.2,23.65,23.5,ARIHANT
2021-05-24,22.35,22.9,21.4,22.9,22.65,ARIHANT
2021-05-21,21.85,21.85,21.8,21.85,21.85,ARIHANT
2021-05-20,20.0,20.85,19.6,20.85,20.85,ARIHANT
2021-05-19,20.0,20.35,19.05,20.3,19.9,ARIHANT
2021-05-18,19.2,19.9,18.8,19.1,19.4,ARIHANT
2021-05-17,20.4,20.4,18.55,19.2,19.45,ARIHANT
2021-05-14,19.15,20.05,19.0,19.8,19.5,ARIHANT
2021-05-12,18.95,19.15,18.0,19.15,19.15,ARIHANT
2021-05-11,18.45,18.45,18.0,18.4,18.25,ARIHANT
2021-05-10,17.95,18.45,17.85,18.35,18.15,ARIHANT
2021-05-07,18.45,18.45,17.2,18.1,17.95,ARIHANT
2021-05-06,18.45,18.45,17.1,18.15,17.7,ARIHANT
2021-05-05,16.9,17.65,16.9,17.65,17.65,ARIHANT
2021-05-04,18.0,18.0,16.6,16.85,16.85,ARIHANT
2021-05-03,18.0,18.0,17.0,17.6,17.2,ARIHANT
2021-04-30,17.9,18.5,17.85,17.85,17.85,ARIHANT
2021-04-29,19.4,19.4,18.5,18.5,18.5,ARIHANT
2021-04-28,18.75,19.5,18.2,19.5,19.45,ARIHANT
2021-04-27,19.25,19.25,18.05,18.45,18.75,ARIHANT
2021-04-26,18.2,18.95,18.2,18.4,18.4,ARIHANT
2021-04-23,18.2,18.2,17.5,18.2,18.2,ARIHANT
2021-04-22,17.75,17.75,16.95,17.05,17.35,ARIHANT
2021-04-20,18.1,18.2,17.0,17.25,17.3,ARIHANT
2021-04-19,17.55,18.9,17.3,17.85,17.4,ARIHANT
2021-04-16,18.65,19.3,17.9,17.9,18.15,ARIHANT
2021-04-15,19.6,19.6,18.65,18.65,18.65,ARIHANT
2021-04-13,18.05,19.65,17.85,19.65,19.6,ARIHANT
2021-04-12,19.5,19.5,18.75,18.75,18.75,ARIHANT
2021-04-09,19.4,20.35,18.8,19.7,19.7,ARIHANT
2021-04-08,19.25,19.4,19.2,19.4,19.4,ARIHANT
2021-04-07,18.15,19.05,18.1,18.35,18.5,ARIHANT
2021-04-06,18.25,18.25,17.7,18.15,18.15,ARIHANT
2021-04-05,18.3,18.3,17.0,18.2,17.7,ARIHANT
2021-04-01,17.9,17.9,16.4,17.65,17.5,ARIHANT
2021-03-31,16.5,17.35,16.4,16.9,17.2,ARIHANT
2021-03-30,17.9,17.9,16.4,17.0,17.0,ARIHANT
2021-03-26,18.75,18.75,17.1,17.1,17.2,ARIHANT
2021-03-25,17.6,18.3,17.35,18.0,18.0,ARIHANT
2021-03-24,18.8,19.15,17.55,17.6,17.8,ARIHANT
2021-03-23,19.2,20.0,18.45,18.5,18.45,ARIHANT
2021-03-22,19.7,20.2,19.1,19.15,19.2,ARIHANT
2021-03-19,20.25,20.25,19.1,19.95,19.3,ARIHANT
2021-03-18,21.0,21.05,19.3,19.3,19.35,ARIHANT
2021-03-17,21.35,21.9,20.15,20.15,20.3,ARIHANT
2021-03-16,22.25,22.25,21.05,21.05,21.2,ARIHANT
2021-03-15,21.05,22.3,21.05,22.3,22.0,ARIHANT
2021-03-12,21.65,22.35,21.15,21.3,21.75,ARIHANT
2021-03-10,21.2,22.25,20.7,21.3,21.65,ARIHANT
2021-03-09,22.15,22.15,21.15,21.15,21.2,ARIHANT
2021-03-08,21.15,22.55,21.15,22.15,22.0,ARIHANT
2021-03-05,21.65,22.4,21.0,21.15,21.65,ARIHANT
2021-03-04,22.4,22.55,21.2,21.65,21.65,ARIHANT
2021-03-03,22.65,23.7,21.55,21.95,22.0,ARIHANT
2021-03-02,23.85,23.85,22.55,22.6,22.6,ARIHANT
2021-03-01,22.85,23.3,22.65,23.0,23.0,ARIHANT
2021-02-26,22.85,23.0,22.1,22.1,22.4,ARIHANT
2021-02-25,22.45,23.7,22.45,23.0,23.0,ARIHANT
2021-02-24,23.8,24.45,22.5,23.9,22.9,ARIHANT
2021-02-23,23.85,23.85,22.65,23.5,23.3,ARIHANT
2021-02-22,23.8,23.8,22.1,23.0,23.2,ARIHANT
2021-02-19,21.85,23.5,21.6,22.9,22.85,ARIHANT
2021-02-18,22.55,22.9,22.0,22.9,22.7,ARIHANT
2021-02-17,22.45,22.9,21.75,22.1,22.1,ARIHANT
2021-02-16,22.15,22.3,21.85,21.85,22.0,ARIHANT
2021-02-15,22.6,23.4,21.5,22.0,22.0,ARIHANT
2021-02-12,22.55,23.35,22.55,22.6,22.6,ARIHANT
2021-02-11,23.2,23.6,22.5,22.5,22.5,ARIHANT
2021-02-10,23.95,24.05,22.6,23.1,23.1,ARIHANT
2021-02-09,24.8,24.8,22.6,22.85,22.95,ARIHANT
2021-02-08,25.05,25.05,23.6,23.6,23.7,ARIHANT
2021-02-05,25.5,25.6,23.5,24.3,24.3,ARIHANT
2021-02-04,23.7,24.75,23.7,24.45,24.65,ARIHANT
2021-02-03,24.75,24.85,23.25,23.7,23.6,ARIHANT
2021-02-02,24.5,24.5,23.35,23.6,23.75,ARIHANT
2021-02-01,23.8,25.0,22.85,24.95,24.05,ARIHANT
2021-01-29,25.25,25.3,23.85,24.05,24.05,ARIHANT
2021-01-28,24.15,24.7,23.55,24.0,24.1,ARIHANT
2021-01-27,26.5,27.2,24.75,24.75,24.75,ARIHANT
2021-01-25,27.35,28.45,26.0,26.05,26.05,ARIHANT
2021-01-22,27.85,28.6,26.8,27.3,27.35,ARIHANT
2021-01-21,28.4,29.7,27.0,28.0,27.3,ARIHANT
2021-01-20,29.5,30.4,27.0,28.25,28.4,ARIHANT
2021-01-19,24.6,28.45,24.6,27.85,27.75,ARIHANT
2021-01-18,26.2,26.8,23.6,25.8,26.0,ARIHANT
2021-01-15,25.1,26.2,24.35,26.2,26.2,ARIHANT
2021-01-14,22.15,23.85,21.05,23.85,23.85,ARIHANT
2021-01-13,22.6,23.3,21.6,21.6,21.7,ARIHANT
2021-01-12,23.25,23.25,22.55,22.55,22.55,ARIHANT
2021-01-11,25.05,26.0,22.6,23.2,23.0,ARIHANT
2021-01-08,25.7,25.7,24.0,25.2,25.05,ARIHANT
2021-01-07,24.65,24.65,23.9,24.0,24.0,ARIHANT
2021-01-06,24.95,26.45,23.5,24.05,24.65,ARIHANT
2021-01-05,25.7,26.45,23.85,25.95,25.35,ARIHANT
2021-01-04,25.4,25.5,22.25,25.1,24.7,ARIHANT
2021-01-01,21.85,24.3,21.85,24.25,23.2,ARIHANT
2020-12-31,23.5,23.9,23.05,23.5,23.5,ARIHANT
2020-12-30,22.9,23.5,21.15,23.5,23.05,ARIHANT
2020-12-29,24.5,24.5,22.5,22.5,22.95,ARIHANT
2020-12-28,24.3,24.3,21.1,23.6,23.55,ARIHANT
2020-12-24,20.1,22.55,20.1,22.55,22.45,ARIHANT
2020-12-23,20.0,21.45,20.0,20.5,20.5,ARIHANT
2020-12-22,20.0,20.0,18.0,19.75,19.75,ARIHANT
2020-12-21,22.35,22.4,19.4,19.4,20.0,ARIHANT
2020-12-18,19.1,21.65,19.1,21.65,21.55,ARIHANT
2020-12-17,19.5,21.0,19.5,19.7,19.7,ARIHANT
2020-12-16,18.95,20.35,18.95,20.1,19.5,ARIHANT
2020-12-15,20.0,20.3,19.4,20.25,20.2,ARIHANT
2020-12-14,19.95,20.8,19.05,19.85,20.05,ARIHANT
2020-12-11,18.95,20.1,18.6,18.6,18.95,ARIHANT
2020-12-10,19.35,20.0,18.3,20.0,19.95,ARIHANT
2020-12-09,18.4,19.25,18.3,18.3,18.4,ARIHANT
2020-12-08,17.85,18.9,17.8,18.35,18.3,ARIHANT
2020-12-07,17.0,18.45,16.8,17.9,17.7,ARIHANT
2020-12-04,17.3,17.3,16.45,17.15,16.95,ARIHANT
2020-12-03,17.3,17.3,16.7,17.15,17.15,ARIHANT
2020-12-02,16.65,16.95,16.3,16.95,16.7,ARIHANT
2020-12-01,16.75,16.75,16.0,16.65,16.6,ARIHANT
2020-11-27,16.0,16.8,15.85,16.8,16.0,ARIHANT
2020-11-26,16.9,16.9,15.6,16.6,16.6,ARIHANT
2020-11-25,16.0,16.5,16.0,16.5,16.3,ARIHANT
2020-11-24,17.0,17.0,15.7,16.25,16.25,ARIHANT
2020-11-23,16.6,16.85,16.2,16.65,16.35,ARIHANT
2020-11-20,16.5,16.5,15.35,16.3,16.3,ARIHANT
2020-11-19,17.1,17.1,15.85,16.35,15.85,ARIHANT
2020-11-18,16.15,16.85,15.55,16.7,16.65,ARIHANT
2020-11-17,15.5,16.2,15.5,16.15,16.15,ARIHANT
2020-11-13,16.0,16.0,15.5,15.5,15.5,ARIHANT
2020-11-12,16.1,16.1,16.05,16.05,16.05,ARIHANT
2020-11-10,15.45,16.25,15.45,16.2,16.05,ARIHANT
2020-11-09,15.6,16.1,15.5,15.6,15.6,ARIHANT
2020-11-06,16.15,16.15,15.6,16.15,16.15,ARIHANT
2020-11-05,15.85,16.2,15.55,16.15,15.6,ARIHANT
2020-11-04,15.2,15.9,15.2,15.9,15.9,ARIHANT
2020-11-03,15.1,15.85,14.65,15.2,15.2,ARIHANT
2020-11-02,15.3,15.3,15.3,15.3,15.3,ARIHANT
2020-10-30,15.7,15.7,15.3,15.3,15.3,ARIHANT
2020-10-29,15.7,15.7,15.7,15.7,15.7,ARIHANT
2020-10-28,16.45,16.45,16.35,16.35,16.35,ARIHANT
2020-10-27,15.5,16.65,15.35,16.65,16.4,ARIHANT
2020-10-26,15.7,16.4,15.65,16.4,16.15,ARIHANT
2020-10-23,15.55,16.0,15.55,15.95,15.7,ARIHANT
2020-10-22,15.5,16.2,15.45,16.1,16.05,ARIHANT
2020-10-21,15.95,16.75,15.9,16.0,16.0,ARIHANT
2020-10-20,16.5,16.5,15.85,16.5,16.5,ARIHANT
2020-10-19,16.55,16.55,15.85,16.5,16.5,ARIHANT
2020-10-16,16.3,16.6,15.6,16.6,16.6,ARIHANT
2020-10-15,15.4,16.35,15.4,16.3,16.3,ARIHANT
2020-10-14,16.0,16.75,15.8,16.75,15.9,ARIHANT
2020-10-13,15.9,16.55,15.9,16.55,16.55,ARIHANT
2020-10-12,16.0,16.5,15.8,15.9,15.9,ARIHANT
2020-10-09,16.65,16.65,15.35,16.5,15.75,ARIHANT
2020-10-08,16.05,16.15,16.05,16.15,16.15,ARIHANT
2020-10-07,15.6,16.6,15.6,16.6,16.6,ARIHANT
2020-10-06,15.8,16.1,15.75,16.1,16.1,ARIHANT
2020-10-05,15.35,16.1,15.35,16.1,16.1,ARIHANT
2020-10-01,15.35,15.35,15.35,15.35,15.35,ARIHANT
2020-09-30,16.1,16.8,15.8,15.8,15.9,ARIHANT
2020-09-29,16.3,16.8,16.0,16.8,16.6,ARIHANT
2020-09-28,15.55,16.3,15.15,16.3,16.3,ARIHANT
2020-09-25,15.7,16.5,15.5,16.25,15.55,ARIHANT
2020-09-24,16.05,16.05,16.05,16.05,16.05,ARIHANT
2020-09-23,16.4,16.8,15.8,16.8,16.8,ARIHANT
2020-09-22,15.7,16.55,15.25,16.55,16.3,ARIHANT
2020-09-21,15.9,16.45,15.9,15.9,15.9,ARIHANT
2020-09-18,16.9,16.9,15.85,15.9,15.95,ARIHANT
2020-09-17,17.25,17.25,16.4,16.4,16.45,ARIHANT
