DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-08-03,153.85,161.45,153.8,161.45,161.45,161.45,42.15,ARROWGREEN
2021-08-02,154.45,156.45,150.15,152.5,153.8,161.0,42.15,ARROWGREEN
2021-07-30,144.8,149.5,142.55,149.4,149.5,161.0,42.15,ARROWGREEN
2021-07-29,148.5,149.45,140.05,144.5,142.4,161.0,42.15,ARROWGREEN
2021-07-28,152.25,155.0,143.55,143.55,144.8,161.0,42.15,ARROWGREEN
2021-07-27,152.85,153.85,149.25,150.35,151.05,161.0,42.15,ARROWGREEN
2021-07-26,148.55,154.05,148.55,151.05,151.4,161.0,42.15,ARROWGREEN
2021-07-23,155.0,156.0,150.0,152.85,150.75,161.0,42.05,ARROWGREEN
2021-07-22,150.6,153.7,146.1,151.35,151.1,161.0,42.05,ARROWGREEN
2021-07-20,150.0,161.0,149.05,157.9,153.55,161.0,42.05,ARROWGREEN
2021-05-19,109.7,111.35,107.0,111.35,111.35,111.35,42.05,ARROWGREEN
2021-05-18,104.95,106.05,97.1,106.05,106.05,106.05,42.05,ARROWGREEN
2021-05-17,103.0,103.7,93.95,96.7,101.0,103.7,42.05,ARROWGREEN
2021-05-14,98.9,98.9,92.95,98.2,98.85,98.9,42.05,ARROWGREEN
2021-05-12,94.2,94.2,94.2,94.2,94.2,94.2,42.05,ARROWGREEN
2021-05-11,86.9,89.75,86.85,89.75,89.75,89.75,42.05,ARROWGREEN
2021-05-10,83.0,85.5,80.15,85.5,85.5,86.55,42.05,ARROWGREEN
2021-05-07,81.45,81.45,77.65,81.45,81.45,86.55,42.05,ARROWGREEN
2021-05-06,75.15,77.6,73.05,77.6,77.6,86.55,42.05,ARROWGREEN
2021-05-05,71.35,74.2,71.35,73.95,73.95,86.55,42.05,ARROWGREEN
2021-05-04,76.45,76.45,70.7,73.0,71.35,86.55,38.3,ARROWGREEN
2021-05-03,76.5,76.5,73.25,74.8,74.0,86.55,36.5,ARROWGREEN
