DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,122.35,133.0,115.0,116.85,167.95,43.55,ARROWGREEN
2021-10-28,122.65,127.0,118.3,122.35,167.95,43.55,ARROWGREEN
2021-10-27,113.8,121.0,108.95,117.65,167.95,43.55,ARROWGREEN
2021-10-26,106.8,115.1,106.7,113.9,167.95,43.55,ARROWGREEN
2021-10-25,105.0,108.15,102.0,104.65,167.95,43.55,ARROWGREEN
2021-10-22,114.4,114.65,103.55,104.95,167.95,43.55,ARROWGREEN
2021-10-21,115.9,121.0,110.1,112.15,167.95,43.55,ARROWGREEN
2021-10-20,120.9,120.9,113.0,113.7,167.95,43.55,ARROWGREEN
2021-10-19,114.25,124.9,114.1,119.55,167.95,43.55,ARROWGREEN
2021-10-18,117.9,119.95,113.0,114.25,167.95,43.55,ARROWGREEN
2021-10-14,117.15,119.3,111.65,116.55,167.95,43.55,ARROWGREEN
2021-10-13,121.95,123.9,115.6,117.5,167.95,43.55,ARROWGREEN
2021-10-12,122.5,122.75,117.4,118.5,167.95,43.55,ARROWGREEN
2021-10-11,123.5,123.9,119.4,119.6,167.95,43.55,ARROWGREEN
2021-10-08,124.0,124.0,118.05,119.15,167.95,43.55,ARROWGREEN
2021-10-07,120.0,122.9,119.1,119.9,167.95,43.55,ARROWGREEN
2021-10-06,119.1,122.9,119.1,119.5,167.95,43.55,ARROWGREEN
2021-10-05,125.0,125.2,118.05,120.1,167.95,43.55,ARROWGREEN
2021-10-04,119.9,123.8,116.05,119.25,167.95,43.55,ARROWGREEN
2021-10-01,122.9,123.65,119.0,119.7,167.95,43.55,ARROWGREEN
2021-09-30,125.15,125.15,120.8,121.45,167.95,43.55,ARROWGREEN
2021-09-29,127.0,127.05,120.35,122.7,167.95,43.55,ARROWGREEN
2021-09-28,126.15,126.9,122.1,123.1,167.95,43.55,ARROWGREEN
2021-09-27,132.0,132.0,120.6,123.0,167.95,43.55,ARROWGREEN
2021-09-24,121.3,128.95,121.3,126.35,167.95,43.55,ARROWGREEN
2021-09-23,128.0,128.9,124.0,125.3,167.95,43.55,ARROWGREEN
2021-09-22,121.85,124.15,119.2,124.15,167.95,43.55,ARROWGREEN
2021-09-21,125.95,125.95,116.0,118.25,167.95,43.55,ARROWGREEN
2021-09-20,126.0,127.65,121.6,121.65,167.95,43.55,ARROWGREEN
2021-09-17,129.95,130.0,127.15,127.95,167.95,43.15,ARROWGREEN
2021-09-16,130.1,134.95,128.0,128.55,167.95,43.15,ARROWGREEN
2021-09-15,135.0,135.0,128.8,129.9,167.95,43.15,ARROWGREEN
2021-09-14,134.95,136.25,129.05,130.45,167.95,43.15,ARROWGREEN
2021-09-13,129.65,135.4,125.35,130.3,167.95,43.15,ARROWGREEN
2021-09-09,132.0,135.8,126.25,129.7,167.95,42.15,ARROWGREEN
2021-09-08,130.3,132.9,127.15,130.6,167.95,42.15,ARROWGREEN
2021-09-07,134.0,141.0,129.1,130.25,167.95,42.15,ARROWGREEN
2021-09-06,142.95,145.0,134.0,134.95,167.95,42.15,ARROWGREEN
2021-09-03,146.3,146.3,137.95,140.1,167.95,42.15,ARROWGREEN
2021-09-02,135.05,141.8,134.85,139.6,167.95,42.15,ARROWGREEN
2021-09-01,128.8,135.05,123.2,135.05,167.95,42.15,ARROWGREEN
2021-08-31,130.2,132.0,128.45,128.65,167.95,42.15,ARROWGREEN
2021-08-30,139.95,141.0,130.2,135.2,167.95,42.15,ARROWGREEN
2021-08-27,132.8,134.3,130.4,134.3,167.95,42.15,ARROWGREEN
2021-08-26,126.95,127.95,124.0,127.95,167.95,42.15,ARROWGREEN
2021-08-25,121.8,121.9,118.95,121.9,167.95,42.15,ARROWGREEN
2021-08-24,106.5,116.7,105.6,116.1,167.95,42.15,ARROWGREEN
2021-08-23,115.25,115.25,111.15,111.15,167.95,42.15,ARROWGREEN
2021-08-20,127.0,127.0,114.0,117.0,167.95,42.15,ARROWGREEN
2021-08-18,130.05,131.95,122.25,123.85,167.95,42.15,ARROWGREEN
2021-08-17,141.7,144.0,131.3,132.6,167.95,42.15,ARROWGREEN
2021-08-16,151.0,151.0,138.25,141.25,167.95,42.15,ARROWGREEN
2021-08-13,155.95,158.45,149.3,153.6,167.95,42.15,ARROWGREEN
2021-08-12,154.7,157.15,139.2,154.05,167.95,42.15,ARROWGREEN
2021-08-11,155.0,155.0,139.0,142.9,167.95,42.15,ARROWGREEN
2021-08-10,162.55,162.55,143.2,145.5,167.95,42.15,ARROWGREEN
2021-08-09,156.1,160.9,153.7,156.75,167.95,42.15,ARROWGREEN
2021-08-06,159.0,162.6,151.55,153.55,167.95,42.15,ARROWGREEN
2021-08-05,167.95,167.95,152.85,153.1,167.95,42.15,ARROWGREEN
2021-08-04,164.0,167.35,156.7,160.85,167.35,42.15,ARROWGREEN
2021-08-03,153.85,161.45,153.8,161.45,161.45,42.15,ARROWGREEN
2021-08-02,154.45,156.45,150.15,153.8,161.0,42.15,ARROWGREEN
2021-07-30,144.8,149.5,142.55,149.5,161.0,42.15,ARROWGREEN
2021-07-29,148.5,149.45,140.05,142.4,161.0,42.15,ARROWGREEN
2021-07-28,152.25,155.0,143.55,144.8,161.0,42.15,ARROWGREEN
2021-07-27,152.85,153.85,149.25,151.05,161.0,42.15,ARROWGREEN
2021-07-26,148.55,154.05,148.55,151.4,161.0,42.15,ARROWGREEN
2021-07-23,155.0,156.0,150.0,150.75,161.0,42.05,ARROWGREEN
2021-07-22,150.6,153.7,146.1,151.1,161.0,42.05,ARROWGREEN
2021-07-20,150.0,161.0,149.05,153.55,161.0,42.05,ARROWGREEN
2021-05-19,109.7,111.35,107.0,111.35,111.35,42.05,ARROWGREEN
2021-05-18,104.95,106.05,97.1,106.05,106.05,42.05,ARROWGREEN
2021-05-17,103.0,103.7,93.95,101.0,103.7,42.05,ARROWGREEN
2021-05-14,98.9,98.9,92.95,98.85,98.9,42.05,ARROWGREEN
2021-05-12,94.2,94.2,94.2,94.2,94.2,42.05,ARROWGREEN
2021-05-11,86.9,89.75,86.85,89.75,89.75,42.05,ARROWGREEN
2021-05-10,83.0,85.5,80.15,85.5,86.55,42.05,ARROWGREEN
2021-05-07,81.45,81.45,77.65,81.45,86.55,42.05,ARROWGREEN
2021-05-06,75.15,77.6,73.05,77.6,86.55,42.05,ARROWGREEN
2021-05-05,71.35,74.2,71.35,73.95,86.55,42.05,ARROWGREEN
