DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-14,88.1,89.95,84.2,88.6,90.0,43.55,ARVEE
2021-10-13,87.0,89.95,87.0,88.1,90.0,43.55,ARVEE
2021-10-12,89.0,90.0,84.55,88.7,90.0,43.55,ARVEE
2021-04-07,67.3,67.3,67.3,67.3,67.3,43.55,ARVEE
2021-04-06,64.1,64.1,64.1,64.1,64.1,43.55,ARVEE
2021-04-05,61.05,61.05,61.05,61.05,61.05,43.55,ARVEE
2021-04-01,58.15,58.15,58.15,58.15,58.15,43.55,ARVEE
2021-03-31,55.4,55.4,55.4,55.4,55.4,43.55,ARVEE
2021-03-26,52.8,52.8,52.8,52.8,52.8,43.55,ARVEE
2021-03-25,50.3,50.3,50.3,50.3,50.3,43.55,ARVEE
2021-03-24,47.95,47.95,47.95,47.95,47.95,43.55,ARVEE
2021-03-23,45.7,45.7,45.7,45.7,45.7,43.55,ARVEE
2021-03-22,43.55,43.55,43.55,43.55,43.55,43.55,ARVEE
