DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,424.0,498.0,415.55,481.65,498.0,221.15,ASAHIINDIA
2021-11-11,418.2,428.25,415.0,417.05,454.65,221.15,ASAHIINDIA
2021-11-10,430.65,436.5,412.3,415.0,454.65,221.15,ASAHIINDIA
2021-11-09,454.65,454.65,428.0,430.65,454.65,221.15,ASAHIINDIA
2021-11-08,449.0,454.65,442.55,450.0,454.65,221.15,ASAHIINDIA
2021-11-04,439.0,449.1,430.0,444.6,449.1,220.0,ASAHIINDIA
2021-11-03,428.2,440.0,421.1,427.7,448.0,220.0,ASAHIINDIA
2021-11-02,423.95,435.0,419.0,429.55,448.0,220.0,ASAHIINDIA
2021-11-01,439.9,448.0,418.8,422.4,448.0,220.0,ASAHIINDIA
2021-10-29,406.35,439.95,400.0,429.2,439.95,218.1,ASAHIINDIA
2021-10-28,387.5,429.0,381.5,417.7,429.0,218.1,ASAHIINDIA
2021-10-27,355.0,394.9,352.2,388.45,408.3,218.1,ASAHIINDIA
2021-10-26,354.0,359.0,350.25,352.7,408.3,218.1,ASAHIINDIA
2021-10-25,357.55,359.0,345.25,352.5,408.3,218.1,ASAHIINDIA
2021-10-22,358.1,365.2,355.0,357.0,408.3,216.0,ASAHIINDIA
2021-10-21,365.0,369.45,356.0,359.95,408.3,216.0,ASAHIINDIA
2021-10-20,373.0,373.05,360.55,362.95,408.3,216.0,ASAHIINDIA
2021-10-19,381.0,385.5,369.0,371.05,408.3,216.0,ASAHIINDIA
2021-10-18,374.0,397.8,374.0,379.05,408.3,216.0,ASAHIINDIA
2021-10-14,374.95,381.1,370.0,370.75,408.3,216.0,ASAHIINDIA
2021-10-13,366.75,375.0,362.9,372.0,408.3,216.0,ASAHIINDIA
2021-10-12,362.15,370.0,361.5,362.75,408.3,216.0,ASAHIINDIA
2021-10-11,364.4,370.5,361.1,362.15,408.3,216.0,ASAHIINDIA
2021-10-08,369.05,370.0,362.4,364.4,408.3,206.0,ASAHIINDIA
2021-10-07,369.0,373.5,368.65,369.6,408.3,206.0,ASAHIINDIA
2021-10-06,373.9,374.0,364.0,366.1,408.3,206.0,ASAHIINDIA
2021-10-05,361.4,372.0,360.0,370.85,408.3,206.0,ASAHIINDIA
2021-10-04,358.05,362.85,357.15,359.2,408.3,206.0,ASAHIINDIA
2021-10-01,362.7,364.0,355.0,357.45,408.3,205.5,ASAHIINDIA
2021-09-30,357.0,364.7,355.85,362.7,408.3,205.5,ASAHIINDIA
2021-09-29,368.2,370.25,356.05,358.95,408.3,205.5,ASAHIINDIA
2021-09-28,357.0,384.95,357.0,368.2,408.3,205.5,ASAHIINDIA
2021-09-27,358.0,366.45,354.0,357.8,408.3,205.5,ASAHIINDIA
2021-09-24,359.2,365.3,358.0,358.55,408.3,201.1,ASAHIINDIA
