DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-01-22,34.5,35.0,31.4,34.05,43.3,10.4,AUTOLITIND
2021-01-21,36.25,37.05,34.25,34.85,43.3,10.4,AUTOLITIND
2021-01-20,38.0,38.2,36.05,36.25,43.3,10.4,AUTOLITIND
2021-01-19,37.6,38.5,36.6,37.15,43.3,10.4,AUTOLITIND
2021-01-18,36.85,37.8,35.1,36.25,43.3,10.4,AUTOLITIND
2021-01-15,37.75,40.9,35.0,36.1,43.3,10.4,AUTOLITIND
2021-01-14,42.2,43.3,37.15,37.2,43.3,10.4,AUTOLITIND
2021-01-13,37.5,41.25,36.1,41.25,41.25,10.4,AUTOLITIND
2021-01-12,31.0,34.4,29.5,34.4,34.4,10.4,AUTOLITIND
2021-01-11,25.4,28.7,23.45,28.7,28.7,10.4,AUTOLITIND
2021-01-08,25.15,25.2,23.8,23.95,28.65,10.4,AUTOLITIND
2021-01-07,24.55,25.2,24.2,24.9,28.65,10.4,AUTOLITIND
2021-01-06,25.15,25.6,24.1,24.4,28.65,10.4,AUTOLITIND
2021-01-05,25.6,25.95,24.6,25.15,28.65,10.4,AUTOLITIND
2021-01-04,25.95,25.95,24.25,24.6,28.65,10.4,AUTOLITIND
2021-01-01,26.3,26.3,24.5,24.95,28.65,10.4,AUTOLITIND
2020-12-31,25.5,26.2,24.85,24.95,28.65,10.4,AUTOLITIND
2020-12-30,24.95,25.8,23.25,24.95,28.65,10.4,AUTOLITIND
2020-12-29,25.5,25.5,23.5,24.3,28.65,10.4,AUTOLITIND
2020-12-28,23.0,25.8,22.6,24.1,28.65,10.4,AUTOLITIND
2020-12-24,23.75,23.8,22.5,22.75,28.65,10.4,AUTOLITIND
2020-12-23,22.6,23.2,22.05,23.05,28.65,10.4,AUTOLITIND
2020-12-22,23.15,25.0,21.5,22.2,28.65,10.4,AUTOLITIND
2020-12-21,23.35,25.6,22.5,23.15,28.65,10.4,AUTOLITIND
2020-12-18,24.8,24.8,23.0,23.35,28.65,10.4,AUTOLITIND
2020-12-17,24.15,25.45,24.0,24.35,28.65,10.4,AUTOLITIND
2020-12-16,24.5,25.8,24.35,24.55,28.65,10.4,AUTOLITIND
2020-12-15,27.0,27.0,22.95,24.35,28.65,10.4,AUTOLITIND
2020-12-14,24.35,27.45,22.2,25.75,28.65,10.4,AUTOLITIND
2020-12-11,26.0,26.0,21.15,23.05,28.65,10.4,AUTOLITIND
2020-12-10,25.0,26.2,23.95,24.3,28.65,10.4,AUTOLITIND
2020-12-09,28.25,28.25,24.1,25.3,28.65,10.4,AUTOLITIND
2020-12-08,23.85,26.2,22.85,25.8,28.65,10.4,AUTOLITIND
2020-12-07,22.0,23.9,21.4,22.65,28.65,10.4,AUTOLITIND
2020-12-04,20.15,20.8,20.15,20.55,28.65,10.4,AUTOLITIND
2020-12-03,20.15,21.0,19.8,20.05,28.65,10.4,AUTOLITIND
2020-12-02,21.0,21.0,19.55,20.85,28.65,10.4,AUTOLITIND
2020-12-01,21.0,21.0,19.2,20.25,28.65,10.4,AUTOLITIND
2020-11-27,20.95,21.0,20.1,21.0,28.65,10.4,AUTOLITIND
2020-11-26,20.15,20.65,20.05,20.2,28.65,10.4,AUTOLITIND
2020-11-25,21.3,21.3,19.55,20.0,28.65,10.4,AUTOLITIND
2020-11-24,19.2,20.0,19.0,19.7,28.65,10.4,AUTOLITIND
2020-11-23,19.4,19.9,18.7,19.4,28.65,10.4,AUTOLITIND
2020-11-20,19.5,20.0,19.25,19.95,28.65,10.4,AUTOLITIND
2020-11-19,19.1,20.35,18.85,19.05,28.65,10.4,AUTOLITIND
2020-11-18,20.5,20.5,19.25,19.7,28.65,10.4,AUTOLITIND
2020-11-17,18.6,19.9,18.15,19.55,28.65,10.4,AUTOLITIND
2020-11-14,18.15,18.95,18.0,18.6,28.65,10.4,AUTOLITIND
2020-11-13,17.9,18.75,17.8,18.65,28.65,10.4,AUTOLITIND
2020-11-12,18.95,18.95,17.8,18.45,28.65,10.4,AUTOLITIND
2020-11-11,18.4,19.0,17.9,18.3,28.65,10.4,AUTOLITIND
2020-11-10,18.55,19.15,18.5,18.9,28.65,10.4,AUTOLITIND
2020-11-09,18.5,19.5,18.3,19.0,28.65,10.4,AUTOLITIND
2020-11-06,18.5,19.0,17.75,18.6,28.65,10.4,AUTOLITIND
2020-11-05,18.7,18.7,17.6,18.2,28.65,10.4,AUTOLITIND
2020-11-04,18.75,18.75,16.35,17.05,28.65,10.4,AUTOLITIND
2020-11-03,18.85,18.85,17.8,18.0,28.65,10.4,AUTOLITIND
2020-11-02,18.05,19.0,18.0,18.05,28.65,10.4,AUTOLITIND
2020-10-30,18.75,18.9,18.05,18.45,28.65,10.4,AUTOLITIND
2020-10-29,18.05,19.0,18.0,18.25,28.65,10.4,AUTOLITIND
2020-10-28,17.8,18.6,17.8,18.4,28.65,10.4,AUTOLITIND
2020-10-27,18.05,19.0,18.0,18.5,28.65,10.4,AUTOLITIND
2020-10-26,19.3,19.3,17.85,18.55,28.65,10.4,AUTOLITIND
2020-10-23,18.5,19.0,18.1,18.55,28.65,10.4,AUTOLITIND
2020-10-22,18.85,18.85,17.95,18.2,28.65,10.4,AUTOLITIND
2020-10-21,17.25,18.85,17.2,18.35,28.65,10.4,AUTOLITIND
2020-10-20,18.15,18.15,17.0,17.2,28.65,10.4,AUTOLITIND
2020-10-19,18.4,18.4,17.7,17.8,28.65,10.4,AUTOLITIND
2020-10-16,18.45,18.45,17.6,17.7,28.65,10.4,AUTOLITIND
2020-10-15,18.3,18.35,17.4,17.9,28.65,10.4,AUTOLITIND
2020-10-14,17.55,18.1,17.5,18.1,28.65,10.4,AUTOLITIND
2020-10-13,18.15,18.95,17.15,17.55,28.65,10.4,AUTOLITIND
2020-10-12,19.45,19.45,17.75,18.15,28.65,10.4,AUTOLITIND
2020-10-09,19.35,19.35,18.7,19.15,28.65,10.4,AUTOLITIND
2020-10-08,19.0,19.55,19.0,19.05,28.65,10.4,AUTOLITIND
2020-10-07,20.15,20.5,19.25,19.45,28.65,10.4,AUTOLITIND
2020-10-06,19.85,20.1,19.55,20.05,28.65,10.4,AUTOLITIND
2020-10-05,19.85,20.4,19.7,19.85,28.65,10.4,AUTOLITIND
2020-10-01,20.25,20.3,19.3,19.75,28.65,10.4,AUTOLITIND
2020-09-30,20.45,20.45,19.25,19.55,28.65,10.4,AUTOLITIND
2020-09-29,20.0,20.0,19.05,19.7,28.65,10.4,AUTOLITIND
2020-09-28,18.7,20.1,18.7,19.35,28.65,10.4,AUTOLITIND
2020-09-25,18.15,19.9,18.15,19.15,28.65,10.4,AUTOLITIND
2020-09-24,18.35,19.25,17.4,18.15,28.65,10.4,AUTOLITIND
