DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,81.15,82.4,79.0,79.3,93.7,40.1,AVTNPL
2021-11-11,82.0,82.5,80.0,81.0,93.7,40.1,AVTNPL
2021-11-10,82.0,83.3,79.0,81.45,93.7,40.1,AVTNPL
2021-11-09,85.0,85.4,78.75,81.65,93.7,40.1,AVTNPL
2021-11-08,84.0,85.3,83.15,84.55,93.7,40.1,AVTNPL
2021-11-04,81.8,84.0,81.8,83.0,93.7,40.1,AVTNPL
2021-11-03,83.0,83.15,79.1,81.05,93.7,40.1,AVTNPL
2021-11-02,82.0,83.25,81.35,82.1,93.7,40.1,AVTNPL
2021-11-01,83.5,84.6,81.05,81.85,93.7,40.1,AVTNPL
2021-10-29,87.45,87.5,82.65,83.1,93.7,40.1,AVTNPL
2021-10-28,87.75,87.75,85.15,86.0,93.7,40.1,AVTNPL
2021-10-27,85.6,87.45,84.8,86.9,93.7,40.1,AVTNPL
2021-10-26,82.4,85.8,82.4,84.8,93.7,40.1,AVTNPL
2021-10-25,87.0,87.4,81.3,83.15,93.7,40.1,AVTNPL
2021-10-22,87.95,90.3,85.8,86.3,93.7,40.1,AVTNPL
2021-10-21,85.95,88.1,85.55,87.35,93.7,40.1,AVTNPL
2021-10-20,88.4,88.6,84.8,85.5,93.7,40.1,AVTNPL
2021-10-19,91.2,91.8,88.5,89.0,93.7,40.1,AVTNPL
2021-10-18,90.2,93.7,89.2,90.6,93.7,40.1,AVTNPL
2021-10-14,88.8,90.9,88.0,89.85,92.95,40.1,AVTNPL
2021-10-13,87.1,89.9,86.55,88.15,92.95,40.1,AVTNPL
2021-10-12,89.15,91.2,87.0,87.35,92.95,40.1,AVTNPL
2021-10-11,85.6,92.95,85.05,88.9,92.95,40.1,AVTNPL
2021-10-08,85.5,86.5,84.4,85.2,90.1,40.1,AVTNPL
2021-10-07,85.0,86.8,84.25,84.95,90.1,40.1,AVTNPL
2021-10-06,83.25,85.45,82.55,83.9,90.1,40.1,AVTNPL
2021-10-05,81.85,86.0,81.25,83.45,90.1,40.1,AVTNPL
2021-10-04,82.0,84.5,79.55,82.5,90.1,40.1,AVTNPL
2021-10-01,81.95,82.6,80.45,81.15,90.1,40.1,AVTNPL
2021-09-30,82.0,83.0,81.45,81.95,90.1,40.1,AVTNPL
2021-09-29,78.8,81.45,78.45,81.0,90.1,40.1,AVTNPL
2021-09-28,78.75,79.3,77.5,78.8,90.1,40.1,AVTNPL
2021-09-27,78.95,80.0,77.5,77.8,90.1,40.1,AVTNPL
2021-09-24,81.35,81.35,78.1,78.35,90.1,40.1,AVTNPL
2021-09-23,80.75,81.45,79.55,80.05,90.1,40.1,AVTNPL
2021-09-22,79.45,81.45,79.45,79.95,90.1,40.1,AVTNPL
2021-09-21,80.0,80.75,77.4,80.1,90.1,40.1,AVTNPL
2021-09-20,82.45,83.55,79.15,79.75,90.1,40.1,AVTNPL
2021-09-17,84.8,85.2,79.1,82.55,90.1,40.1,AVTNPL
2021-09-16,86.5,88.6,83.85,84.2,90.1,40.1,AVTNPL
2021-09-15,80.75,90.1,80.5,85.7,90.1,40.1,AVTNPL
2021-09-14,76.55,82.4,76.55,80.75,84.75,40.1,AVTNPL
2021-09-13,76.95,77.55,75.65,76.05,84.75,40.1,AVTNPL
2021-09-09,76.45,78.45,76.05,76.7,84.75,39.9,AVTNPL
2021-09-08,75.45,78.8,75.45,77.1,84.75,39.9,AVTNPL
2021-09-07,75.95,76.85,75.25,75.35,84.75,39.9,AVTNPL
2021-09-06,75.9,77.45,74.95,75.45,84.75,39.9,AVTNPL
2021-09-03,75.1,76.35,74.6,74.8,84.75,39.4,AVTNPL
2021-09-02,74.4,77.3,74.4,74.65,84.75,39.4,AVTNPL
2021-09-01,74.0,75.3,72.7,74.0,84.75,39.4,AVTNPL
2021-08-31,76.05,76.5,72.95,73.6,84.75,39.4,AVTNPL
2021-08-30,72.55,77.9,72.55,75.65,84.75,39.4,AVTNPL
2021-08-27,70.85,73.5,69.7,72.4,84.75,39.4,AVTNPL
2021-08-26,69.8,71.45,69.0,69.9,84.75,39.4,AVTNPL
2021-08-25,71.05,72.95,69.35,69.75,84.75,39.4,AVTNPL
2021-08-24,68.3,71.4,67.65,70.95,84.75,39.4,AVTNPL
2021-08-23,72.35,73.75,67.6,68.3,84.75,39.4,AVTNPL
2021-08-20,74.0,74.65,72.4,72.85,84.75,39.4,AVTNPL
2021-08-18,75.65,78.25,74.7,75.2,84.75,39.4,AVTNPL
2021-08-17,76.95,77.25,75.0,75.55,84.75,39.4,AVTNPL
2021-08-16,79.0,79.85,76.35,76.65,84.75,39.4,AVTNPL
2021-08-13,76.9,77.7,73.8,74.35,84.75,39.4,AVTNPL
2021-08-12,66.5,77.7,66.5,76.65,84.75,39.4,AVTNPL
2021-08-11,66.4,70.0,63.2,67.9,84.75,39.4,AVTNPL
2021-08-10,68.5,70.0,65.0,67.0,84.75,39.4,AVTNPL
2021-08-09,71.35,74.4,67.35,68.45,84.75,39.4,AVTNPL
2021-08-06,73.55,76.45,70.85,71.4,84.75,37.75,AVTNPL
2021-08-05,73.5,74.9,71.0,73.55,84.75,37.75,AVTNPL
2021-08-04,77.5,78.5,71.8,73.5,84.75,37.75,AVTNPL
2021-08-03,77.85,78.8,76.5,76.8,84.75,37.75,AVTNPL
2021-08-02,81.45,81.45,77.0,77.45,84.75,37.75,AVTNPL
2021-07-30,77.7,79.25,77.45,78.45,84.75,37.0,AVTNPL
2021-07-29,76.5,79.55,76.5,77.7,84.75,37.0,AVTNPL
2021-07-28,78.7,79.0,75.5,76.7,84.75,37.0,AVTNPL
2021-07-27,79.9,81.25,77.6,78.5,84.75,37.0,AVTNPL
2021-07-26,79.45,81.3,78.5,78.75,84.75,37.0,AVTNPL
2021-07-23,81.95,83.0,78.15,78.55,84.75,37.0,AVTNPL
2021-07-22,78.75,83.0,78.1,81.2,84.75,37.0,AVTNPL
2021-07-20,79.7,80.25,75.6,77.8,84.75,37.0,AVTNPL
2021-07-19,78.6,82.2,78.25,79.25,84.75,37.0,AVTNPL
2021-07-16,78.6,81.0,77.0,79.3,84.75,37.0,AVTNPL
2021-07-15,80.75,81.75,76.55,77.45,84.75,37.0,AVTNPL
2021-07-14,83.9,83.9,79.45,80.15,84.75,37.0,AVTNPL
2021-07-13,76.75,84.75,75.25,82.45,84.75,37.0,AVTNPL
2021-07-12,76.05,76.95,75.2,75.65,81.8,37.0,AVTNPL
2021-07-09,74.0,76.95,73.65,74.55,81.8,37.0,AVTNPL
2021-07-08,75.3,76.2,73.05,73.6,81.8,37.0,AVTNPL
2021-07-07,74.7,76.0,73.4,74.35,81.8,37.0,AVTNPL
2021-07-06,76.65,77.8,74.25,74.75,81.8,37.0,AVTNPL
2021-07-05,75.0,77.55,72.45,75.95,81.8,37.0,AVTNPL
2021-07-02,72.5,72.85,69.85,72.45,81.8,36.95,AVTNPL
2021-07-01,71.4,73.4,68.75,71.95,81.8,36.95,AVTNPL
2021-06-30,81.0,81.8,68.2,70.6,81.8,36.95,AVTNPL
2021-06-29,67.0,79.0,66.75,76.85,79.0,36.95,AVTNPL
