DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,85.1,85.85,82.2,83.75,105.5,39.5,AXISCADES
2021-11-11,88.0,88.45,84.25,85.0,105.5,39.5,AXISCADES
2021-11-10,93.35,93.35,87.1,87.6,105.5,39.5,AXISCADES
2021-11-09,93.85,93.85,87.5,90.9,105.5,39.5,AXISCADES
2021-11-08,89.4,89.4,89.4,89.4,105.5,39.5,AXISCADES
2021-11-04,81.85,85.15,81.85,85.15,105.5,39.5,AXISCADES
2021-11-03,83.15,83.15,80.1,81.1,105.5,39.5,AXISCADES
2021-11-02,81.75,84.8,80.25,83.15,105.5,39.5,AXISCADES
2021-11-01,79.5,81.8,77.9,81.0,105.5,39.5,AXISCADES
2021-10-29,80.0,80.05,77.0,78.1,105.5,39.5,AXISCADES
2021-10-28,81.8,81.8,79.0,79.5,105.5,39.5,AXISCADES
2021-10-27,83.0,84.4,79.5,81.8,105.5,39.5,AXISCADES
2021-10-26,81.8,85.4,80.3,81.65,105.5,39.5,AXISCADES
2021-10-25,85.55,85.55,81.15,81.6,105.5,39.5,AXISCADES
2021-10-22,83.8,87.2,81.8,85.4,105.5,39.5,AXISCADES
2021-10-21,83.0,84.55,82.35,83.05,105.5,39.5,AXISCADES
2021-10-20,82.8,85.0,81.55,82.25,105.5,39.5,AXISCADES
2021-10-19,88.3,88.3,84.0,85.1,105.5,39.5,AXISCADES
2021-10-18,95.25,95.25,87.15,88.35,105.5,39.5,AXISCADES
2021-10-14,90.75,90.75,90.75,90.75,105.5,39.5,AXISCADES
2021-10-13,81.95,86.45,81.95,86.45,105.5,39.5,AXISCADES
2021-10-12,86.9,87.05,80.8,82.35,105.5,39.5,AXISCADES
2021-10-11,85.95,87.4,84.0,85.05,105.5,39.5,AXISCADES
2021-10-08,85.65,90.45,85.1,85.95,105.5,39.5,AXISCADES
2021-10-07,85.9,87.4,83.8,86.15,105.5,39.5,AXISCADES
2021-10-06,86.85,89.0,84.1,84.9,105.5,39.5,AXISCADES
2021-10-05,93.05,93.05,85.6,88.15,105.5,39.5,AXISCADES
2021-10-04,88.65,88.65,88.65,88.65,105.5,39.5,AXISCADES
2021-10-01,84.45,84.45,84.45,84.45,105.5,39.5,AXISCADES
2021-09-30,80.45,80.45,80.45,80.45,105.5,39.5,AXISCADES
2021-09-29,76.65,76.65,74.2,76.65,105.5,39.5,AXISCADES
2021-09-28,70.0,73.0,69.4,73.0,105.5,39.5,AXISCADES
2021-09-27,71.4,71.4,69.0,69.55,105.5,39.5,AXISCADES
2021-09-24,72.4,72.4,68.9,69.75,105.5,39.5,AXISCADES
2021-09-23,71.3,72.35,69.6,70.45,105.5,39.5,AXISCADES
2021-09-22,70.9,71.9,68.6,68.95,105.5,39.5,AXISCADES
2021-09-21,72.05,72.05,69.05,70.9,105.5,39.5,AXISCADES
2021-09-20,71.8,74.15,68.4,70.35,105.5,39.5,AXISCADES
2021-09-17,76.3,77.4,71.3,71.95,105.5,39.5,AXISCADES
2021-09-16,76.15,77.9,74.4,74.6,105.5,39.5,AXISCADES
2021-09-15,74.7,76.3,72.6,75.35,105.5,39.5,AXISCADES
