DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,130.3,131.8,128.95,130.25,196.1,116.5,BAFNAPH
2021-11-11,133.0,133.0,128.7,130.2,196.1,116.5,BAFNAPH
2021-11-10,129.0,133.0,129.0,132.3,196.1,116.5,BAFNAPH
2021-11-09,132.0,133.3,128.9,132.45,196.1,116.5,BAFNAPH
2021-11-08,126.35,132.9,126.35,129.9,196.1,116.5,BAFNAPH
2021-11-04,131.5,131.5,129.0,129.45,196.1,116.5,BAFNAPH
2021-11-03,130.0,130.0,126.5,127.8,196.1,116.5,BAFNAPH
2021-11-02,128.0,130.0,124.0,128.4,196.1,116.5,BAFNAPH
2021-11-01,125.7,125.7,123.0,125.3,196.1,116.5,BAFNAPH
2021-10-29,127.7,127.7,119.9,121.8,196.1,116.5,BAFNAPH
2021-10-28,126.0,129.65,122.7,124.8,196.1,116.5,BAFNAPH
2021-10-27,126.25,130.75,126.25,127.75,196.1,116.5,BAFNAPH
2021-10-26,130.9,130.9,126.85,127.85,196.1,116.5,BAFNAPH
2021-10-25,134.7,134.7,126.3,128.6,196.1,116.5,BAFNAPH
2021-10-22,129.0,137.75,129.0,130.8,196.1,116.5,BAFNAPH
2021-10-21,132.0,140.15,130.0,132.6,196.1,116.5,BAFNAPH
2021-10-20,138.05,142.05,131.15,133.5,196.1,116.5,BAFNAPH
2021-10-19,139.5,144.6,133.0,135.3,196.1,116.5,BAFNAPH
2021-10-18,134.8,139.0,132.1,138.3,196.1,116.5,BAFNAPH
2021-10-14,131.85,136.5,130.0,132.7,196.1,116.5,BAFNAPH
2021-10-13,133.0,137.1,128.8,131.85,196.1,116.5,BAFNAPH
2021-10-12,127.1,131.0,127.1,130.6,196.1,116.5,BAFNAPH
2021-10-11,132.0,132.0,128.75,128.85,196.1,116.5,BAFNAPH
2021-10-08,134.8,134.8,127.0,129.3,196.1,116.5,BAFNAPH
2021-10-07,130.85,132.5,128.75,131.45,196.1,116.5,BAFNAPH
2021-10-06,127.0,131.55,127.0,128.75,196.1,116.5,BAFNAPH
2021-10-05,128.0,129.5,127.25,128.4,196.1,116.5,BAFNAPH
2021-10-04,128.9,129.55,127.5,128.0,196.1,116.5,BAFNAPH
2021-10-01,131.05,131.05,127.0,127.65,196.1,110.05,BAFNAPH
2021-09-30,128.1,129.8,127.5,128.45,196.1,110.05,BAFNAPH
2021-09-29,128.5,131.25,127.0,128.7,196.1,110.05,BAFNAPH
2021-09-28,126.65,131.5,126.65,129.5,196.1,110.05,BAFNAPH
2021-09-27,129.0,130.25,126.2,127.1,196.1,110.05,BAFNAPH
2021-09-24,128.5,131.25,127.0,128.55,196.1,110.0,BAFNAPH
2021-09-23,131.95,133.4,128.6,129.6,196.1,110.0,BAFNAPH
2021-09-22,128.0,131.0,128.0,130.35,196.1,110.0,BAFNAPH
2021-09-21,129.55,130.4,128.0,129.35,196.1,110.0,BAFNAPH
2021-09-20,126.15,131.7,126.15,128.55,196.1,110.0,BAFNAPH
2021-09-17,133.9,134.3,128.6,129.5,196.1,110.0,BAFNAPH
2021-09-16,132.9,133.9,129.5,130.9,196.1,110.0,BAFNAPH
2021-09-15,132.0,132.9,128.4,132.0,196.1,110.0,BAFNAPH
