DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,7500.0,7600.25,7453.0,7579.1,8050.0,3786.05,BAJFINANCE
2021-11-11,7570.2,7600.95,7410.0,7452.7,8050.0,3786.05,BAJFINANCE
2021-11-10,7545.0,7610.0,7505.0,7581.45,8050.0,3786.05,BAJFINANCE
2021-11-09,7700.0,7754.4,7550.0,7577.5,8050.0,3786.05,BAJFINANCE
2021-11-08,7543.9,7713.15,7486.0,7673.65,8050.0,3786.05,BAJFINANCE
2021-11-04,7561.0,7569.0,7515.0,7525.1,8050.0,3274.65,BAJFINANCE
2021-11-03,7486.0,7538.8,7451.0,7516.25,8050.0,3274.65,BAJFINANCE
2021-11-02,7466.7,7555.0,7400.25,7455.35,8050.0,3274.65,BAJFINANCE
2021-11-01,7430.0,7500.2,7220.0,7413.95,8050.0,3274.65,BAJFINANCE
2021-10-29,7480.0,7549.7,7313.05,7400.2,8050.0,3236.65,BAJFINANCE
2021-10-28,7540.0,7596.0,7353.4,7484.25,8050.0,3236.65,BAJFINANCE
2021-10-27,7870.0,7919.95,7461.0,7482.15,8050.0,3236.65,BAJFINANCE
2021-10-26,7695.0,7894.95,7651.1,7855.65,8050.0,3236.65,BAJFINANCE
2021-10-25,7750.0,7837.75,7350.5,7646.65,8050.0,3236.65,BAJFINANCE
2021-10-22,7756.0,7935.0,7665.0,7710.2,8050.0,3101.35,BAJFINANCE
2021-10-21,7830.0,7830.0,7685.0,7737.3,8050.0,3101.35,BAJFINANCE
2021-10-20,7741.0,7833.55,7575.0,7761.35,8050.0,3101.35,BAJFINANCE
2021-10-19,7890.0,7914.7,7671.0,7739.3,8050.0,3101.35,BAJFINANCE
2021-10-18,8050.0,8050.0,7800.8,7865.55,8050.0,3101.35,BAJFINANCE
2021-10-14,7969.0,7969.0,7812.35,7862.9,8010.0,3101.35,BAJFINANCE
2021-10-13,7907.9,8010.0,7861.3,7929.3,8010.0,3101.35,BAJFINANCE
2021-10-12,7810.0,7925.0,7750.0,7855.75,7999.0,3101.35,BAJFINANCE
2021-10-11,7773.9,7904.4,7752.0,7817.1,7999.0,3101.35,BAJFINANCE
2021-10-08,7750.0,7829.0,7712.0,7732.2,7999.0,3101.35,BAJFINANCE
2021-10-07,7845.9,7885.0,7738.0,7747.9,7999.0,3101.35,BAJFINANCE
2021-10-06,7810.0,7880.6,7685.0,7735.15,7999.0,3101.35,BAJFINANCE
2021-10-05,7683.0,7765.0,7634.1,7724.2,7999.0,3101.35,BAJFINANCE
2021-10-04,7588.0,7769.0,7560.15,7695.05,7999.0,3101.35,BAJFINANCE
2021-10-01,7620.0,7639.2,7475.0,7522.75,7999.0,3101.35,BAJFINANCE
2021-09-30,7545.0,7700.0,7490.9,7668.1,7999.0,3101.35,BAJFINANCE
2021-09-29,7529.0,7635.85,7456.15,7515.4,7999.0,3101.35,BAJFINANCE
2021-09-28,7815.0,7825.0,7425.05,7543.3,7999.0,3101.35,BAJFINANCE
2021-09-27,7849.0,7860.0,7740.05,7795.45,7999.0,3101.35,BAJFINANCE
2021-09-24,7949.85,7949.85,7725.65,7793.4,7999.0,3006.9,BAJFINANCE
2021-09-23,7863.6,7999.0,7804.65,7899.05,7999.0,3006.9,BAJFINANCE
2021-09-22,7850.0,7895.0,7771.0,7793.65,7895.0,3006.9,BAJFINANCE
2021-09-21,7481.15,7847.1,7401.0,7813.85,7847.1,3006.9,BAJFINANCE
2021-09-20,7360.0,7581.0,7320.75,7442.45,7679.95,3006.9,BAJFINANCE
2021-09-17,7445.5,7679.95,7360.0,7428.8,7679.95,3006.9,BAJFINANCE
2021-09-16,7445.0,7445.0,7330.5,7411.5,7674.5,3006.9,BAJFINANCE
2021-09-15,7445.0,7480.0,7380.0,7414.15,7674.5,3006.9,BAJFINANCE
2021-09-14,7480.0,7530.0,7408.0,7417.55,7674.5,3006.9,BAJFINANCE
2021-09-13,7430.65,7495.0,7352.0,7445.55,7674.5,3006.9,BAJFINANCE
2021-09-09,7430.0,7460.0,7380.0,7430.65,7674.5,3006.9,BAJFINANCE
2021-09-08,7457.0,7514.0,7411.05,7463.2,7674.5,3006.9,BAJFINANCE
2021-09-07,7528.9,7566.25,7407.2,7457.3,7674.5,3006.9,BAJFINANCE
2021-09-06,7550.0,7615.0,7485.1,7506.35,7674.5,3006.9,BAJFINANCE
2021-09-03,7500.0,7555.0,7461.75,7523.4,7674.5,3006.9,BAJFINANCE
2021-09-02,7500.0,7586.4,7445.05,7498.45,7674.5,3006.9,BAJFINANCE
2021-09-01,7525.0,7674.5,7483.35,7519.6,7674.5,3006.9,BAJFINANCE
2021-08-31,7160.0,7598.8,7130.0,7524.5,7598.8,3006.9,BAJFINANCE
2021-08-30,6995.95,7197.0,6980.0,7165.5,7197.0,3006.9,BAJFINANCE
