DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-27,3323.9,3441.0,3282.15,3391.0,3390.75,3441.0,555.2,BALAMINES
2021-07-26,3085.0,3397.0,3080.05,3292.0,3254.05,3397.0,555.2,BALAMINES
2021-07-23,2963.0,3120.0,2960.15,3059.0,3045.9,3180.0,555.2,BALAMINES
2021-07-22,2830.0,2984.55,2790.0,2950.25,2941.45,3180.0,555.2,BALAMINES
2021-07-20,2893.7,2893.7,2765.0,2832.0,2820.45,3180.0,555.2,BALAMINES
2021-07-19,2880.0,2940.75,2817.4,2846.0,2832.6,3180.0,555.2,BALAMINES
2021-07-16,2888.6,3180.0,2870.0,2930.6,2910.05,3180.0,555.2,BALAMINES
2021-07-15,2911.95,2923.0,2842.0,2877.0,2875.4,3034.35,555.2,BALAMINES
2021-07-14,2980.0,3013.0,2880.1,2901.35,2887.2,3034.35,555.2,BALAMINES
2021-07-13,2935.0,3034.35,2935.0,2956.65,2963.5,3034.35,555.2,BALAMINES
2021-07-12,2790.0,2970.0,2790.0,2893.0,2904.8,2970.0,555.2,BALAMINES
2021-07-09,2790.0,2817.7,2755.05,2795.05,2797.5,2957.8,545.35,BALAMINES
2021-07-08,2778.0,2848.0,2764.0,2795.0,2795.25,2957.8,545.35,BALAMINES
2021-07-07,2751.9,2795.0,2746.05,2770.0,2759.3,2957.8,545.35,BALAMINES
2021-07-06,2827.0,2835.0,2765.0,2775.0,2776.1,2957.8,545.35,BALAMINES
2021-07-05,2808.5,2855.05,2796.0,2824.0,2818.0,2957.8,545.35,BALAMINES
2021-07-02,2821.0,2855.0,2760.15,2785.0,2785.15,2957.8,490.0,BALAMINES
2021-07-01,2695.0,2829.0,2670.0,2790.0,2804.4,2957.8,490.0,BALAMINES
2021-06-30,2678.9,2701.1,2651.0,2673.0,2673.8,2957.8,490.0,BALAMINES
2021-06-29,2706.0,2737.25,2642.0,2669.95,2670.25,2957.8,490.0,BALAMINES
2021-06-28,2708.0,2757.75,2661.8,2690.35,2701.25,2957.8,490.0,BALAMINES
2021-06-25,2547.8,2766.0,2545.45,2695.0,2691.6,2957.8,438.0,BALAMINES
2021-06-24,2595.0,2604.85,2538.2,2547.0,2543.5,2957.8,438.0,BALAMINES
2021-06-23,2599.9,2630.0,2541.5,2580.0,2578.05,2957.8,438.0,BALAMINES
2021-06-22,2544.0,2632.65,2540.0,2590.0,2585.8,2957.8,438.0,BALAMINES
2021-06-21,2550.0,2568.0,2495.0,2530.0,2525.4,2957.8,438.0,BALAMINES
2021-06-18,2634.8,2653.3,2451.7,2581.2,2575.65,2957.8,395.0,BALAMINES
2021-06-17,2638.0,2680.0,2616.65,2628.0,2621.55,2957.8,395.0,BALAMINES
2021-06-16,2675.0,2717.0,2642.0,2642.0,2650.95,2957.8,395.0,BALAMINES
2021-06-15,2679.2,2730.0,2648.7,2679.0,2671.05,2957.8,395.0,BALAMINES
2021-06-14,2690.0,2719.0,2608.4,2669.0,2664.2,2957.8,395.0,BALAMINES
2021-06-11,2723.9,2746.85,2683.0,2700.0,2700.6,2957.8,389.05,BALAMINES
2021-06-10,2690.9,2732.25,2690.9,2700.0,2699.0,2957.8,389.05,BALAMINES
2021-06-09,2738.0,2806.0,2667.0,2689.95,2685.65,2957.8,389.05,BALAMINES
2021-06-08,2665.0,2743.95,2665.0,2722.0,2720.2,2957.8,389.05,BALAMINES
2021-06-07,2720.0,2721.7,2657.95,2663.0,2662.4,2957.8,389.05,BALAMINES
2021-06-04,2714.0,2738.0,2683.0,2712.0,2701.15,2957.8,389.05,BALAMINES
2021-06-03,2686.0,2738.0,2668.0,2702.7,2700.6,2957.8,389.05,BALAMINES
2021-06-02,2705.0,2749.9,2645.0,2666.5,2662.6,2957.8,389.05,BALAMINES
2021-06-01,2814.05,2828.2,2718.25,2740.0,2736.8,2957.8,389.05,BALAMINES
2021-05-31,2849.8,2879.4,2800.0,2814.0,2807.65,2957.8,389.05,BALAMINES
2021-05-28,2916.95,2934.85,2835.0,2845.0,2846.55,2957.8,379.0,BALAMINES
2021-05-27,2800.0,2920.0,2780.0,2898.0,2896.05,2957.8,379.0,BALAMINES
2021-05-26,2847.8,2863.25,2761.1,2775.0,2777.8,2957.8,379.0,BALAMINES
2021-05-25,2790.0,2957.8,2711.0,2797.0,2794.7,2957.8,379.0,BALAMINES
2021-05-24,2834.0,2944.0,2834.0,2905.0,2893.9,2944.0,379.0,BALAMINES
2021-05-21,2704.75,2926.4,2663.45,2829.0,2803.0,2926.4,356.2,BALAMINES
2021-05-20,2730.8,2764.95,2642.0,2680.0,2676.75,2764.95,356.2,BALAMINES
2021-05-19,2639.0,2739.9,2630.0,2712.0,2713.7,2739.9,356.2,BALAMINES
2021-05-18,2509.0,2649.0,2500.0,2630.0,2628.35,2673.7,356.2,BALAMINES
2021-05-17,2419.4,2491.0,2419.4,2485.0,2472.25,2673.7,356.2,BALAMINES
2021-05-14,2467.0,2473.25,2360.2,2409.4,2406.25,2673.7,356.2,BALAMINES
