DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-23,407.0,408.65,392.0,394.5,394.75,481.7,280.4,BDL
2021-07-22,388.0,408.2,384.05,406.25,406.4,481.7,280.4,BDL
2021-07-20,379.5,389.0,368.3,381.0,384.3,481.7,280.4,BDL
2021-07-19,373.0,383.1,372.2,378.5,379.8,481.7,280.4,BDL
2021-07-16,380.0,380.7,373.25,373.25,374.25,481.7,280.4,BDL
2021-07-15,379.1,383.5,376.6,378.0,379.2,481.7,280.4,BDL
2021-07-14,378.3,384.55,375.5,378.5,379.15,481.7,280.4,BDL
2021-07-13,387.0,387.0,373.35,376.2,376.15,481.7,280.4,BDL
2021-07-12,387.25,387.25,380.35,383.25,383.5,481.7,280.4,BDL
2021-07-09,385.0,399.0,378.1,378.5,381.7,481.7,280.4,BDL
2021-07-08,372.6,376.6,366.5,370.0,372.35,481.7,280.4,BDL
2021-07-07,373.0,376.8,369.9,375.1,375.05,481.7,280.4,BDL
2021-07-06,368.9,385.6,366.35,372.05,373.6,481.7,280.4,BDL
2021-07-05,373.25,374.0,368.05,369.15,369.05,481.7,280.4,BDL
2021-07-02,362.1,374.0,362.1,371.0,370.25,481.7,280.4,BDL
2021-07-01,362.95,369.5,359.25,361.95,361.45,481.7,280.4,BDL
2021-06-30,360.0,361.5,356.85,358.0,357.95,481.7,280.4,BDL
2021-06-29,363.3,363.5,358.0,358.2,359.65,481.7,280.4,BDL
2021-06-28,357.1,362.0,354.25,361.15,361.2,481.7,280.4,BDL
2021-06-25,357.0,357.35,353.0,354.0,354.3,481.7,257.0,BDL
2021-06-24,358.75,358.75,353.05,356.95,356.1,481.7,257.0,BDL
2021-06-23,350.2,362.8,345.35,356.9,356.15,481.7,257.0,BDL
2021-06-22,350.0,354.15,347.15,348.0,349.45,481.7,257.0,BDL
2021-06-21,356.7,361.95,345.25,350.7,351.95,481.7,257.0,BDL
2021-06-18,366.0,368.9,350.1,357.0,356.7,481.7,231.65,BDL
2021-06-17,359.9,370.5,359.75,363.3,363.0,481.7,231.65,BDL
2021-06-16,360.15,363.95,358.55,359.95,359.45,481.7,231.65,BDL
2021-06-15,361.9,364.1,359.05,361.05,360.15,481.7,231.65,BDL
2021-06-14,363.0,365.0,357.0,359.3,359.65,481.7,231.65,BDL
2021-06-11,365.0,369.4,360.3,360.95,360.85,481.7,224.0,BDL
2021-06-10,366.15,370.5,362.7,364.05,364.35,481.7,224.0,BDL
2021-06-09,366.9,372.9,363.8,366.45,365.8,481.7,224.0,BDL
2021-06-08,371.4,371.4,364.15,365.0,365.05,481.7,224.0,BDL
2021-06-07,374.2,374.7,366.8,369.7,369.15,481.7,224.0,BDL
2021-06-04,368.85,373.0,363.7,365.2,365.2,481.7,224.0,BDL
2021-06-03,369.6,370.0,366.0,368.7,368.2,481.7,224.0,BDL
