DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,68.4,68.95,65.25,65.8,78.2,31.6,BGRENERGY
2021-11-11,65.9,66.45,64.3,64.8,78.2,31.6,BGRENERGY
2021-11-10,64.2,66.55,64.15,65.9,78.2,31.6,BGRENERGY
2021-11-09,63.6,66.4,63.25,64.8,78.2,31.6,BGRENERGY
2021-11-08,64.75,64.8,63.35,63.6,78.2,31.6,BGRENERGY
2021-11-04,64.1,64.65,63.7,64.1,78.2,30.8,BGRENERGY
2021-11-03,64.95,65.25,63.1,63.3,78.2,30.8,BGRENERGY
2021-11-02,63.4,65.3,63.15,64.95,78.2,30.8,BGRENERGY
2021-11-01,63.7,65.5,62.5,62.95,78.2,30.8,BGRENERGY
2021-10-29,62.55,64.9,62.05,63.3,78.2,30.8,BGRENERGY
2021-10-28,65.5,67.4,63.05,63.35,78.2,30.8,BGRENERGY
2021-10-27,66.4,67.3,65.35,65.65,78.2,30.8,BGRENERGY
2021-10-26,63.4,66.85,63.3,65.9,78.2,30.8,BGRENERGY
2021-10-25,67.0,67.9,63.4,63.7,78.2,30.8,BGRENERGY
2021-10-22,68.0,69.25,65.4,66.4,78.2,30.8,BGRENERGY
2021-10-21,69.95,70.1,66.8,67.65,78.2,30.8,BGRENERGY
2021-10-20,71.1,72.2,68.75,69.15,78.2,30.8,BGRENERGY
2021-10-19,75.0,78.2,69.2,71.55,78.2,30.8,BGRENERGY
2021-10-18,72.25,75.9,71.95,73.15,76.8,30.8,BGRENERGY
2021-10-14,69.0,70.85,68.0,69.4,76.8,30.8,BGRENERGY
2021-10-13,71.9,73.15,68.05,69.6,76.8,30.8,BGRENERGY
2021-10-12,70.45,72.4,69.5,70.7,76.8,30.8,BGRENERGY
2021-10-11,67.75,72.3,67.5,70.6,76.8,30.8,BGRENERGY
2021-10-08,69.0,69.6,66.35,67.05,76.8,30.8,BGRENERGY
2021-10-07,67.95,70.35,67.9,68.55,76.8,30.8,BGRENERGY
2021-10-06,73.0,73.7,66.5,67.3,76.8,30.8,BGRENERGY
2021-10-05,66.5,73.4,65.5,72.3,76.8,30.8,BGRENERGY
2021-10-04,65.25,68.1,63.6,66.15,76.8,30.8,BGRENERGY
2021-10-01,65.4,66.35,63.65,65.25,76.8,30.8,BGRENERGY
2021-09-30,66.5,68.45,64.55,65.6,76.8,30.8,BGRENERGY
2021-09-29,59.25,68.4,58.4,66.1,76.8,30.8,BGRENERGY
2021-09-28,58.95,59.9,57.9,58.45,76.8,30.8,BGRENERGY
2021-09-27,57.7,59.9,57.7,58.0,76.8,30.8,BGRENERGY
2021-09-24,58.65,60.8,57.3,57.65,76.8,30.8,BGRENERGY
2021-09-23,59.0,60.3,58.15,58.7,76.8,30.8,BGRENERGY
2021-09-22,58.25,59.0,57.5,58.45,76.8,30.8,BGRENERGY
2021-09-21,58.45,58.45,55.3,57.5,76.8,30.8,BGRENERGY
2021-09-20,59.0,60.35,57.05,57.45,76.8,30.8,BGRENERGY
2021-09-17,63.25,63.75,60.1,60.5,76.8,30.8,BGRENERGY
2021-09-16,63.0,65.2,63.0,63.25,76.8,30.8,BGRENERGY
2021-09-15,62.0,64.5,61.4,63.25,76.8,30.8,BGRENERGY
2021-09-14,61.5,63.5,60.75,62.0,76.8,30.8,BGRENERGY
2021-09-13,58.45,62.0,57.9,61.1,76.8,30.8,BGRENERGY
2021-09-09,58.75,59.6,57.15,58.45,76.8,30.8,BGRENERGY
2021-09-08,56.8,58.85,56.1,58.1,76.8,30.8,BGRENERGY
2021-09-07,55.45,58.7,55.0,57.0,76.8,30.8,BGRENERGY
2021-09-06,54.6,60.75,52.0,55.75,76.8,30.8,BGRENERGY
2021-09-03,53.85,55.0,53.6,53.85,76.8,30.8,BGRENERGY
2021-09-02,52.8,54.0,52.5,53.1,76.8,30.8,BGRENERGY
2021-09-01,53.5,54.95,50.6,52.35,76.8,30.8,BGRENERGY
2021-08-31,54.45,54.55,52.85,53.05,76.8,30.8,BGRENERGY
2021-08-30,51.5,55.55,50.65,54.0,76.8,30.8,BGRENERGY
2021-08-27,52.1,52.4,50.65,51.35,76.8,30.8,BGRENERGY
2021-08-26,51.75,53.15,51.05,52.05,76.8,30.8,BGRENERGY
2021-08-25,50.55,52.95,50.1,51.05,76.8,30.8,BGRENERGY
2021-08-24,48.1,50.8,48.1,50.55,76.8,30.8,BGRENERGY
2021-08-23,51.2,53.0,48.0,48.3,76.8,30.8,BGRENERGY
2021-08-20,52.3,52.95,50.55,51.1,76.8,30.8,BGRENERGY
2021-08-18,54.25,56.5,51.75,52.3,76.8,30.8,BGRENERGY
2021-08-17,53.7,57.4,53.7,54.3,76.8,30.8,BGRENERGY
2021-08-16,56.1,56.7,53.6,54.0,76.8,30.8,BGRENERGY
2021-08-13,56.45,57.7,55.85,56.15,76.8,30.8,BGRENERGY
2021-08-12,52.1,56.8,52.05,55.8,76.8,30.8,BGRENERGY
2021-08-11,53.0,54.65,46.2,52.05,76.8,30.8,BGRENERGY
2021-08-10,56.1,57.15,52.2,52.95,76.8,30.8,BGRENERGY
2021-08-09,60.0,60.0,54.8,56.05,76.8,30.8,BGRENERGY
2021-08-06,59.7,61.9,59.55,60.35,76.8,30.8,BGRENERGY
2021-08-05,61.65,62.2,58.2,59.7,76.8,30.8,BGRENERGY
2021-08-04,64.5,65.4,61.3,61.65,76.8,30.8,BGRENERGY
2021-08-03,65.0,65.4,64.25,64.45,76.8,30.8,BGRENERGY
2021-08-02,64.1,65.75,64.1,64.5,76.8,30.8,BGRENERGY
2021-07-30,66.5,66.5,64.1,64.3,76.8,30.8,BGRENERGY
2021-07-29,64.5,67.45,64.05,65.55,76.8,30.8,BGRENERGY
2021-07-28,65.7,65.8,62.7,63.75,76.8,30.8,BGRENERGY
2021-07-27,66.65,67.3,64.0,65.05,76.8,30.8,BGRENERGY
2021-07-26,66.1,68.8,65.2,66.2,76.8,30.8,BGRENERGY
2021-07-23,68.4,68.95,65.6,66.1,76.8,30.8,BGRENERGY
2021-07-22,65.3,69.5,64.6,67.85,76.8,30.8,BGRENERGY
2021-07-20,66.0,66.6,63.1,64.15,76.8,30.8,BGRENERGY
2021-07-19,67.35,69.0,65.5,66.1,76.8,30.8,BGRENERGY
2021-07-16,70.8,71.5,67.2,67.6,76.8,30.8,BGRENERGY
2021-07-15,66.4,70.9,64.1,69.8,76.8,30.8,BGRENERGY
2021-07-14,63.65,67.25,63.65,65.6,76.8,30.8,BGRENERGY
2021-07-13,64.0,64.45,62.3,63.65,76.8,30.8,BGRENERGY
2021-07-12,65.15,65.3,63.5,63.7,76.8,30.8,BGRENERGY
2021-07-09,64.5,65.75,63.8,64.45,76.8,30.8,BGRENERGY
2021-07-08,64.4,66.4,62.55,63.85,76.8,30.8,BGRENERGY
2021-07-07,64.9,65.15,63.25,63.7,76.8,30.8,BGRENERGY
2021-07-06,64.6,67.55,64.05,64.6,76.8,30.8,BGRENERGY
2021-07-05,67.95,68.4,62.7,64.15,76.8,30.8,BGRENERGY
2021-07-02,67.4,68.8,66.4,67.2,76.8,30.8,BGRENERGY
2021-07-01,68.2,68.2,65.8,66.6,76.8,30.8,BGRENERGY
2021-06-30,73.65,73.95,65.5,67.1,76.8,30.8,BGRENERGY
2021-06-29,70.7,75.3,69.6,73.35,76.8,30.8,BGRENERGY
2021-06-28,70.05,71.9,69.45,70.7,76.8,30.8,BGRENERGY
2021-06-25,71.5,72.9,69.7,70.05,76.8,30.8,BGRENERGY
2021-06-24,72.0,75.0,70.1,70.95,76.8,30.8,BGRENERGY
2021-06-23,74.05,74.8,71.7,72.2,76.8,30.8,BGRENERGY
2021-06-22,69.2,76.8,69.2,72.55,76.8,30.8,BGRENERGY
2021-06-21,67.0,71.0,66.5,69.05,76.5,30.8,BGRENERGY
2021-06-18,69.45,70.95,64.5,68.4,76.5,29.3,BGRENERGY
2021-06-17,68.55,72.15,68.55,69.2,76.5,29.3,BGRENERGY
2021-06-16,68.6,72.4,66.1,69.9,76.5,29.3,BGRENERGY
2021-06-15,68.1,69.9,67.5,67.9,76.5,29.3,BGRENERGY
2021-06-14,71.25,71.7,64.25,67.6,76.5,29.3,BGRENERGY
2021-06-11,73.75,75.3,70.2,70.8,76.5,27.75,BGRENERGY
2021-06-10,67.7,76.5,67.05,73.15,76.5,27.75,BGRENERGY
2021-06-09,64.8,71.7,64.0,66.95,71.7,27.75,BGRENERGY
2021-06-08,64.65,66.5,63.5,64.2,66.5,27.75,BGRENERGY
2021-06-07,62.6,65.7,62.25,64.1,66.15,27.75,BGRENERGY
2021-06-04,62.35,64.5,61.85,62.15,66.15,26.25,BGRENERGY
2021-06-03,65.5,65.8,62.1,62.7,66.15,26.25,BGRENERGY
2021-06-02,58.95,66.15,58.95,64.4,66.15,26.25,BGRENERGY
2021-06-01,60.95,61.0,57.8,58.15,65.35,26.25,BGRENERGY
2021-05-31,58.95,62.7,58.0,60.7,65.35,26.25,BGRENERGY
2021-05-28,62.15,62.9,58.6,58.8,65.35,24.25,BGRENERGY
2021-05-27,62.4,64.6,60.8,62.35,65.35,24.25,BGRENERGY
2021-05-26,56.9,63.45,56.7,61.8,65.35,24.25,BGRENERGY
2021-05-25,57.2,57.85,55.35,56.25,65.35,24.25,BGRENERGY
2021-05-24,58.0,58.0,56.2,56.7,65.35,24.25,BGRENERGY
2021-05-21,57.9,59.95,57.05,57.4,65.35,24.0,BGRENERGY
2021-05-20,58.35,58.35,56.5,56.9,65.35,24.0,BGRENERGY
2021-05-19,57.4,59.8,55.85,57.55,65.35,24.0,BGRENERGY
2021-05-18,61.15,61.45,57.25,57.75,65.35,24.0,BGRENERGY
2021-05-17,59.0,63.5,57.5,60.0,65.35,24.0,BGRENERGY
2021-05-14,56.0,58.25,53.55,55.25,65.35,21.85,BGRENERGY
2021-05-12,51.65,57.5,49.5,55.15,65.35,21.85,BGRENERGY
2021-05-11,49.0,54.55,48.35,51.05,65.35,21.85,BGRENERGY
2021-05-10,47.0,51.1,47.0,49.45,65.35,21.85,BGRENERGY
2021-05-07,47.3,47.75,46.0,46.8,65.35,21.85,BGRENERGY
2021-05-06,46.3,47.5,45.5,46.8,65.35,21.85,BGRENERGY
2021-05-05,46.1,47.4,44.95,45.7,65.35,21.85,BGRENERGY
2021-05-04,47.0,48.25,45.25,45.65,65.35,21.85,BGRENERGY
2021-05-03,45.4,47.25,45.0,46.8,65.35,21.85,BGRENERGY
2021-04-30,45.75,48.0,44.8,45.9,65.35,21.85,BGRENERGY
2021-04-29,47.8,47.8,45.6,45.8,65.35,21.85,BGRENERGY
2021-04-28,47.7,49.9,46.15,46.65,65.35,21.85,BGRENERGY
2021-04-27,51.9,51.9,47.2,47.6,65.35,21.85,BGRENERGY
2021-04-26,43.5,52.05,43.2,52.05,65.35,21.85,BGRENERGY
2021-04-23,42.75,44.7,42.15,43.4,65.35,21.85,BGRENERGY
2021-04-22,42.8,42.9,41.8,42.3,65.35,21.85,BGRENERGY
2021-04-20,42.55,43.75,41.15,41.9,65.35,21.85,BGRENERGY
2021-04-19,44.1,44.1,42.05,42.25,65.35,21.85,BGRENERGY
2021-04-16,44.75,45.95,43.6,44.35,65.35,21.15,BGRENERGY
2021-04-15,44.8,45.1,43.5,44.05,65.35,21.15,BGRENERGY
2021-04-13,44.5,46.7,44.2,45.5,65.35,21.15,BGRENERGY
