DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,800.0,832.0,785.85,810.4,943.0,719.15,BHAGCHEM
2021-11-11,810.05,810.05,779.05,798.05,943.0,719.15,BHAGCHEM
2021-11-10,829.9,846.0,790.9,809.05,943.0,719.15,BHAGCHEM
2021-11-09,848.95,848.95,775.3,807.35,943.0,719.15,BHAGCHEM
2021-11-08,849.95,904.9,805.0,821.0,943.0,719.15,BHAGCHEM
2021-11-04,850.0,851.0,780.0,830.4,943.0,719.15,BHAGCHEM
2021-11-03,819.95,843.0,747.65,818.9,943.0,719.15,BHAGCHEM
2021-11-02,850.0,856.0,780.0,788.25,943.0,719.15,BHAGCHEM
2021-11-01,849.0,850.0,800.45,823.85,943.0,719.15,BHAGCHEM
2021-10-29,772.5,830.0,750.35,809.5,943.0,719.15,BHAGCHEM
2021-10-28,801.4,803.0,767.05,775.65,943.0,719.15,BHAGCHEM
2021-10-27,826.0,850.0,761.1,782.75,943.0,719.15,BHAGCHEM
2021-10-26,775.0,855.0,774.6,820.65,943.0,719.15,BHAGCHEM
2021-10-25,804.95,845.0,730.25,814.1,943.0,719.15,BHAGCHEM
2021-10-22,757.95,811.0,756.95,787.75,943.0,719.15,BHAGCHEM
2021-10-21,808.6,808.6,719.15,767.35,943.0,719.15,BHAGCHEM
2021-10-20,830.0,831.8,790.0,804.7,943.0,761.3,BHAGCHEM
2021-10-19,845.15,939.0,781.0,806.6,943.0,761.3,BHAGCHEM
2021-10-18,849.95,943.0,761.3,828.55,943.0,761.3,BHAGCHEM
