DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-28,702.75,706.05,684.4,689.75,753.0,427.5,BHARTIARTL
2021-10-27,699.4,714.65,694.0,702.35,753.0,427.5,BHARTIARTL
2021-10-26,695.0,709.85,689.0,696.2,753.0,427.5,BHARTIARTL
2021-10-25,693.0,704.0,675.0,691.1,753.0,427.5,BHARTIARTL
2021-10-22,698.5,705.3,684.25,694.5,753.0,394.0,BHARTIARTL
2021-10-21,710.95,712.35,689.2,696.05,753.0,394.0,BHARTIARTL
2021-10-20,683.4,713.9,681.4,708.45,753.0,394.0,BHARTIARTL
2021-10-19,699.0,699.0,675.45,681.1,753.0,394.0,BHARTIARTL
2021-10-18,700.0,701.95,679.65,680.6,753.0,394.0,BHARTIARTL
2021-10-14,693.0,694.0,681.85,685.8,753.0,394.0,BHARTIARTL
2021-10-13,689.0,696.8,683.1,689.9,753.0,394.0,BHARTIARTL
2021-10-12,691.0,698.4,684.2,686.35,753.0,394.0,BHARTIARTL
2021-10-11,693.1,696.05,685.0,690.85,753.0,394.0,BHARTIARTL
2021-10-08,695.15,699.55,688.9,695.5,753.0,394.0,BHARTIARTL
2021-10-07,695.75,702.2,691.3,692.5,753.0,394.0,BHARTIARTL
2021-10-06,705.75,707.95,688.2,691.4,753.0,394.0,BHARTIARTL
2021-10-05,684.4,703.45,680.4,699.25,753.0,394.0,BHARTIARTL
2021-10-04,675.0,686.2,669.7,681.4,753.0,394.0,BHARTIARTL
2021-10-01,687.35,687.35,667.65,675.9,753.0,394.0,BHARTIARTL
2021-09-30,695.8,709.8,686.8,688.3,753.0,394.0,BHARTIARTL
2021-09-29,697.0,702.0,689.15,694.1,753.0,394.0,BHARTIARTL
2021-09-28,724.4,726.8,686.0,696.15,753.0,394.0,BHARTIARTL
2021-09-27,731.0,731.9,718.15,722.55,753.0,394.0,BHARTIARTL
2021-09-24,729.05,753.0,728.0,739.4,753.0,394.0,BHARTIARTL
2021-09-23,733.4,740.1,723.2,726.8,740.75,394.0,BHARTIARTL
2021-09-22,727.0,732.05,724.1,726.75,740.75,394.0,BHARTIARTL
2021-09-21,722.9,740.75,722.0,726.65,740.75,394.0,BHARTIARTL
2021-09-20,725.0,733.7,720.3,724.95,737.0,394.0,BHARTIARTL
2021-09-17,721.0,734.75,721.0,728.15,737.0,394.0,BHARTIARTL
2021-09-16,735.0,737.0,715.4,718.6,737.0,394.0,BHARTIARTL
2021-09-15,697.0,734.95,696.15,725.5,734.95,394.0,BHARTIARTL
2021-09-14,695.0,699.7,689.1,694.2,699.7,394.0,BHARTIARTL
2021-09-13,692.0,697.0,685.85,693.3,697.0,394.0,BHARTIARTL
2021-09-09,667.85,688.2,667.05,686.15,688.2,394.0,BHARTIARTL
2021-09-08,678.0,683.8,665.0,667.85,683.8,394.0,BHARTIARTL
2021-09-07,657.95,680.5,648.0,670.55,680.5,394.0,BHARTIARTL
2021-09-06,664.4,665.75,653.4,654.6,673.75,394.0,BHARTIARTL
2021-09-03,668.0,669.6,654.0,658.45,673.75,394.0,BHARTIARTL
2021-09-02,669.95,673.75,664.05,666.5,673.75,394.0,BHARTIARTL
2021-09-01,668.0,673.3,654.0,666.4,673.3,394.0,BHARTIARTL
2021-08-31,626.05,668.1,625.0,664.05,668.1,394.0,BHARTIARTL
2021-08-30,596.0,625.0,590.1,620.45,644.0,394.0,BHARTIARTL
2021-08-27,588.8,605.4,585.05,595.15,644.0,394.0,BHARTIARTL
2021-08-26,610.0,611.5,584.3,586.9,644.0,394.0,BHARTIARTL
2021-08-25,622.35,622.35,611.0,612.45,644.0,394.0,BHARTIARTL
2021-08-24,627.95,627.95,617.05,620.1,644.0,394.0,BHARTIARTL
2021-08-23,618.4,630.5,607.6,622.65,644.0,394.0,BHARTIARTL
2021-08-20,619.5,633.0,607.0,613.7,644.0,394.0,BHARTIARTL
2021-08-18,625.9,634.0,620.85,622.95,644.0,394.0,BHARTIARTL
2021-08-17,634.05,638.0,623.0,626.35,644.0,394.0,BHARTIARTL
