DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,121.4,122.1,116.2,117.2,116.9,BODALCHEM
2021-07-15,120.9,125.0,120.0,121.0,121.15,BODALCHEM
2021-07-14,120.4,125.95,117.0,119.5,120.1,BODALCHEM
2021-07-13,110.5,120.85,108.0,120.0,119.5,BODALCHEM
2021-07-12,104.1,112.4,103.35,109.4,109.65,BODALCHEM
2021-07-09,103.1,105.5,102.9,103.55,103.25,BODALCHEM
2021-07-08,107.2,108.3,103.25,103.9,104.05,BODALCHEM
2021-07-07,105.6,109.5,105.2,107.25,107.2,BODALCHEM
2021-07-06,101.5,108.95,101.1,105.5,105.2,BODALCHEM
2021-07-05,101.35,102.6,100.1,101.1,100.8,BODALCHEM
2021-07-02,102.0,103.75,101.1,101.4,101.35,BODALCHEM
2021-07-01,102.25,103.25,101.05,101.55,101.4,BODALCHEM
2021-06-30,103.4,104.55,101.0,101.3,101.4,BODALCHEM
2021-06-29,101.95,104.35,101.0,102.5,102.4,BODALCHEM
2021-06-28,100.85,101.9,99.5,100.7,100.45,BODALCHEM
2021-06-25,105.6,105.6,98.4,101.0,100.9,BODALCHEM
2021-06-24,107.95,110.8,105.65,106.35,106.15,BODALCHEM
2021-06-23,109.15,109.4,106.0,107.2,106.55,BODALCHEM
2021-06-22,109.6,112.7,107.85,108.4,108.3,BODALCHEM
2021-06-21,106.0,109.5,104.4,108.45,108.65,BODALCHEM
2021-06-18,110.35,111.6,104.0,107.95,107.35,BODALCHEM
2021-06-17,107.25,114.5,107.25,109.6,109.55,BODALCHEM
2021-06-16,108.3,111.8,107.5,108.0,108.5,BODALCHEM
2021-06-15,108.25,111.1,107.0,107.1,107.5,BODALCHEM
2021-06-14,111.0,111.1,105.2,107.4,107.55,BODALCHEM
2021-06-11,112.0,113.4,107.95,110.4,110.55,BODALCHEM
2021-06-10,109.25,115.45,109.0,112.4,111.7,BODALCHEM
2021-06-09,108.4,114.7,106.6,108.65,108.3,BODALCHEM
2021-06-08,103.0,109.6,102.05,107.85,107.75,BODALCHEM
2021-06-07,103.0,105.7,102.05,103.5,103.2,BODALCHEM
2021-06-04,103.6,104.75,101.8,102.8,102.3,BODALCHEM
2021-06-03,104.25,105.8,102.5,103.45,103.15,BODALCHEM
2021-06-02,101.4,104.8,101.15,103.3,103.25,BODALCHEM
2021-06-01,104.7,105.05,100.0,101.8,101.6,BODALCHEM
2021-05-31,103.25,106.55,101.6,104.5,104.2,BODALCHEM
2021-05-28,107.15,108.9,102.8,103.6,103.1,BODALCHEM
2021-05-27,112.45,112.6,105.05,106.65,106.7,BODALCHEM
2021-05-26,102.5,113.5,102.2,111.7,111.4,BODALCHEM
2021-05-25,99.5,104.5,99.1,102.15,101.8,BODALCHEM
2021-05-24,99.5,100.9,98.35,98.75,98.7,BODALCHEM
2021-05-21,101.9,102.65,98.6,99.35,99.7,BODALCHEM
