DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,289.8,292.9,281.0,282.8,315.0,152.1,BOROLTD
2021-11-11,292.5,299.0,286.0,287.8,315.0,152.1,BOROLTD
2021-11-10,297.4,303.15,293.0,294.8,315.0,152.1,BOROLTD
2021-11-09,297.45,304.8,294.0,299.8,315.0,152.1,BOROLTD
2021-11-08,297.6,302.0,290.75,299.65,315.0,152.1,BOROLTD
2021-11-04,293.85,302.5,292.95,298.2,315.0,152.1,BOROLTD
2021-11-03,295.7,305.0,285.7,291.8,315.0,152.1,BOROLTD
2021-11-02,288.05,304.0,288.05,294.7,315.0,152.1,BOROLTD
2021-11-01,275.8,288.0,275.8,285.15,315.0,152.1,BOROLTD
2021-10-29,272.0,290.0,264.4,274.4,315.0,152.1,BOROLTD
2021-10-28,278.05,284.6,269.05,273.35,315.0,152.1,BOROLTD
2021-10-27,286.0,292.0,274.0,277.9,315.0,152.1,BOROLTD
2021-10-26,252.9,290.0,248.05,284.3,315.0,152.1,BOROLTD
2021-10-25,257.85,265.9,241.0,252.35,315.0,152.1,BOROLTD
2021-10-22,267.0,271.9,251.0,255.7,315.0,152.1,BOROLTD
2021-10-21,265.8,279.0,260.15,264.6,315.0,152.1,BOROLTD
2021-10-20,277.7,277.7,241.7,260.3,315.0,152.1,BOROLTD
2021-10-19,304.1,311.0,271.15,277.8,315.0,152.1,BOROLTD
2021-10-18,285.0,315.0,283.0,301.05,315.0,152.1,BOROLTD
2021-10-14,233.05,276.2,233.0,276.2,276.2,152.1,BOROLTD
2021-10-13,227.8,237.0,227.6,230.2,254.0,152.1,BOROLTD
2021-10-12,225.8,232.0,225.65,226.8,254.0,152.1,BOROLTD
2021-10-11,217.6,233.0,217.6,225.65,254.0,152.1,BOROLTD
2021-10-08,221.25,222.05,214.7,216.75,254.0,152.1,BOROLTD
2021-10-07,223.5,225.35,218.4,220.5,254.0,152.1,BOROLTD
2021-10-06,229.0,233.45,213.8,220.75,254.0,152.1,BOROLTD
2021-10-05,221.9,229.65,220.05,227.45,254.0,152.1,BOROLTD
2021-10-04,219.7,224.45,218.5,221.35,254.0,152.1,BOROLTD
2021-10-01,217.95,220.5,215.95,217.25,254.0,152.1,BOROLTD
2021-09-30,219.0,220.85,214.6,218.95,254.0,152.1,BOROLTD
2021-09-29,213.6,223.65,211.5,218.25,254.0,152.1,BOROLTD
2021-09-28,217.7,219.3,212.65,214.3,254.0,152.1,BOROLTD
2021-09-27,215.25,219.45,213.0,216.6,254.0,152.1,BOROLTD
2021-09-24,221.2,223.9,212.5,214.3,254.0,152.1,BOROLTD
2021-09-23,222.1,224.5,218.35,220.85,254.0,152.1,BOROLTD
2021-09-22,220.0,223.1,218.55,221.7,254.0,152.1,BOROLTD
2021-09-21,225.95,225.95,217.05,218.55,254.0,152.1,BOROLTD
2021-09-20,226.4,232.9,222.0,223.55,254.0,152.1,BOROLTD
2021-09-17,224.4,234.3,212.3,227.6,254.0,152.1,BOROLTD
2021-09-16,229.15,230.55,221.0,222.8,254.0,152.1,BOROLTD
2021-09-15,230.55,233.9,227.0,228.2,254.0,152.1,BOROLTD
2021-09-14,239.75,246.7,226.1,227.75,254.0,152.1,BOROLTD
2021-09-13,204.5,242.55,202.35,238.75,254.0,152.1,BOROLTD
2021-09-09,200.65,204.3,199.45,202.15,254.0,152.1,BOROLTD
2021-09-08,201.9,203.7,199.6,200.65,254.0,152.1,BOROLTD
2021-09-07,204.9,205.0,198.9,200.1,254.0,152.1,BOROLTD
2021-09-06,206.0,208.0,202.6,204.3,254.0,152.1,BOROLTD
2021-09-03,209.9,212.05,204.0,206.55,254.0,152.1,BOROLTD
2021-09-02,203.4,210.0,201.9,209.05,254.0,152.1,BOROLTD
2021-09-01,204.8,204.8,200.1,202.1,254.0,152.1,BOROLTD
2021-08-31,204.9,206.4,200.75,203.5,254.0,152.1,BOROLTD
2021-08-30,203.0,207.9,202.0,203.8,254.0,152.1,BOROLTD
2021-08-27,209.25,211.9,199.0,201.1,254.0,152.1,BOROLTD
2021-08-26,210.9,213.25,207.0,209.2,254.0,152.1,BOROLTD
2021-08-25,204.8,214.0,202.3,210.9,254.0,152.1,BOROLTD
2021-08-24,200.0,205.0,198.0,202.3,254.0,152.1,BOROLTD
2021-08-23,206.0,210.0,196.5,199.05,254.0,152.1,BOROLTD
2021-08-20,205.0,214.95,201.1,203.3,254.0,152.1,BOROLTD
2021-08-18,211.0,213.3,207.1,208.1,254.0,152.1,BOROLTD
2021-08-17,213.6,216.0,206.0,209.75,254.0,152.1,BOROLTD
2021-08-16,203.1,217.4,203.1,213.0,254.0,152.1,BOROLTD
2021-08-13,218.0,224.0,217.0,219.9,254.0,152.1,BOROLTD
2021-08-12,207.5,219.0,207.5,218.0,254.0,152.1,BOROLTD
2021-08-11,213.0,216.5,198.55,205.8,254.0,152.1,BOROLTD
2021-08-10,217.5,222.45,211.2,213.4,254.0,152.1,BOROLTD
2021-08-09,221.0,225.2,218.55,221.55,254.0,152.1,BOROLTD
2021-08-06,225.0,225.7,219.0,220.55,254.0,152.1,BOROLTD
2021-08-05,221.7,227.5,217.0,221.8,254.0,152.1,BOROLTD
2021-08-04,224.0,232.0,218.1,220.0,254.0,152.1,BOROLTD
2021-08-03,219.65,226.9,218.0,223.85,254.0,152.1,BOROLTD
2021-08-02,215.9,220.5,215.05,219.65,254.0,152.1,BOROLTD
2021-07-30,217.3,219.0,212.75,213.5,254.0,152.1,BOROLTD
2021-07-29,216.35,221.3,215.0,216.15,254.0,152.1,BOROLTD
2021-07-28,216.7,220.2,214.5,216.35,254.0,152.1,BOROLTD
2021-07-27,219.4,223.55,215.25,216.7,254.0,152.1,BOROLTD
2021-07-26,221.0,223.95,216.2,217.25,254.0,152.1,BOROLTD
