DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,15375.0,15420.0,15250.0,15289.8,15287.95,BOSCHLTD
2021-07-15,15449.0,15500.0,15291.05,15325.0,15336.9,BOSCHLTD
2021-07-14,15294.0,15400.0,15220.05,15390.0,15371.15,BOSCHLTD
2021-07-13,15370.0,15533.95,15122.55,15247.35,15238.35,BOSCHLTD
2021-07-12,15374.7,15496.95,15180.0,15257.6,15219.75,BOSCHLTD
2021-07-09,15323.0,15400.0,15115.2,15381.55,15299.05,BOSCHLTD
2021-07-08,15555.0,15600.0,15180.4,15300.0,15273.3,BOSCHLTD
2021-07-07,15519.0,15609.9,15380.0,15498.95,15498.35,BOSCHLTD
2021-07-06,15715.45,15764.9,15319.6,15370.0,15378.65,BOSCHLTD
2021-07-05,15400.1,16179.8,15375.05,15714.75,15716.35,BOSCHLTD
2021-07-02,15264.0,15394.95,15143.35,15365.1,15357.75,BOSCHLTD
2021-07-01,15100.0,15243.5,14980.7,15212.0,15187.6,BOSCHLTD
2021-06-30,15070.7,15151.2,14941.0,15005.0,15025.15,BOSCHLTD
2021-06-29,15200.0,15250.0,14970.0,15074.95,15025.6,BOSCHLTD
2021-06-28,15180.0,15185.95,15070.0,15120.1,15152.3,BOSCHLTD
2021-06-25,14994.85,15147.6,14971.05,15070.0,15076.6,BOSCHLTD
2021-06-24,15076.0,15169.9,14911.0,14935.0,14950.0,BOSCHLTD
2021-06-23,15220.0,15267.4,15011.4,15076.0,15064.55,BOSCHLTD
2021-06-22,15185.0,15287.4,15079.5,15090.0,15128.6,BOSCHLTD
2021-06-21,15099.0,15125.0,14950.0,15090.0,15096.85,BOSCHLTD
2021-06-18,15450.0,15545.0,15089.0,15235.0,15211.3,BOSCHLTD
2021-06-17,15750.0,15767.15,15375.0,15404.0,15399.85,BOSCHLTD
2021-06-16,15898.8,15942.45,15728.3,15839.95,15831.25,BOSCHLTD
2021-06-15,15999.0,16069.95,15371.25,15850.95,15859.6,BOSCHLTD
2021-06-14,15950.0,15981.0,15554.3,15924.9,15914.6,BOSCHLTD
2021-06-11,15940.0,16029.1,15811.2,15899.0,15919.25,BOSCHLTD
2021-06-10,15929.9,16005.0,15632.0,15838.0,15786.6,BOSCHLTD
2021-06-09,15951.2,16200.0,15650.0,15800.0,15827.5,BOSCHLTD
2021-06-08,15691.0,16028.95,15686.7,15900.0,15908.4,BOSCHLTD
2021-06-07,15798.65,15870.0,15570.0,15635.0,15649.25,BOSCHLTD
2021-06-04,15574.0,15733.25,15515.1,15593.3,15636.85,BOSCHLTD
2021-06-03,15318.3,15690.9,15301.0,15560.0,15552.05,BOSCHLTD
2021-06-02,15120.0,15339.0,15120.0,15300.5,15302.75,BOSCHLTD
2021-06-01,15270.0,15375.0,15080.5,15115.0,15108.55,BOSCHLTD
2021-05-31,15133.0,15440.0,15005.1,15253.0,15256.5,BOSCHLTD
2021-05-28,15100.0,15189.9,15002.65,15100.0,15104.45,BOSCHLTD
2021-05-27,14945.0,15211.15,14840.0,15130.0,15067.9,BOSCHLTD
2021-05-26,15170.0,15247.65,14855.05,14903.0,14882.35,BOSCHLTD
2021-05-25,15259.0,15349.9,14977.45,15067.7,15030.3,BOSCHLTD
2021-05-24,15380.0,15570.4,15150.0,15190.5,15193.3,BOSCHLTD
2021-05-21,15841.0,15841.0,15053.0,15290.0,15288.15,BOSCHLTD
2021-05-20,14770.0,16250.0,14550.2,15845.0,15845.8,BOSCHLTD
2021-05-19,14437.0,14835.0,14357.05,14699.95,14780.55,BOSCHLTD
2021-05-18,14317.0,14520.0,14117.2,14427.0,14450.55,BOSCHLTD
2021-05-17,13880.0,14250.0,13722.85,14210.0,14218.85,BOSCHLTD
2021-05-14,14324.8,14367.6,13690.0,13799.95,13772.05,BOSCHLTD
2021-05-12,14200.0,14379.95,13960.25,14307.0,14294.6,BOSCHLTD
2021-05-11,13789.0,14388.45,13740.0,14238.95,14204.6,BOSCHLTD
2021-05-10,13600.0,13880.0,13544.3,13870.0,13848.2,BOSCHLTD
2021-05-07,13651.05,13672.0,13480.0,13627.2,13632.4,BOSCHLTD
2021-05-06,13316.05,13646.95,13316.05,13630.0,13616.65,BOSCHLTD
2021-05-05,13225.0,13434.15,13225.0,13350.0,13343.55,BOSCHLTD
2021-05-04,13589.0,13677.95,13285.05,13350.0,13323.15,BOSCHLTD
2021-05-03,13230.0,13554.45,13230.0,13502.05,13515.55,BOSCHLTD
2021-04-30,13475.0,13630.0,13460.05,13520.0,13509.0,BOSCHLTD
2021-04-29,13899.9,13966.75,13513.7,13568.0,13571.5,BOSCHLTD
2021-04-28,13560.05,13899.7,13560.05,13829.3,13833.0,BOSCHLTD
2021-04-27,13475.0,13725.6,13450.0,13555.1,13561.85,BOSCHLTD
2021-04-26,13610.0,13735.0,13471.55,13493.6,13496.7,BOSCHLTD
2021-04-23,13380.05,13619.1,13376.0,13600.0,13538.65,BOSCHLTD
2021-04-22,13418.0,13575.0,13303.35,13534.0,13510.3,BOSCHLTD
2021-04-20,13550.05,13689.85,13304.0,13439.9,13416.8,BOSCHLTD
2021-04-19,13550.05,13616.95,13354.25,13490.0,13512.95,BOSCHLTD
2021-04-16,13700.0,13889.4,13647.6,13884.55,13855.95,BOSCHLTD
2021-04-15,13859.0,13866.7,13575.0,13660.0,13647.6,BOSCHLTD
2021-04-13,13625.0,14039.45,13447.1,13879.75,13887.95,BOSCHLTD
2021-04-12,14085.0,14380.0,13620.5,13710.0,13681.95,BOSCHLTD
2021-04-09,14698.75,14819.9,14390.05,14520.0,14490.7,BOSCHLTD
2021-04-08,14575.0,14847.8,14560.1,14725.0,14710.2,BOSCHLTD
2021-04-07,14101.25,14750.0,14026.05,14580.0,14564.8,BOSCHLTD
2021-04-06,14015.05,14337.7,13901.0,14140.0,14127.15,BOSCHLTD
2021-04-05,14178.9,14178.9,13815.0,14090.0,14035.65,BOSCHLTD
2021-04-01,14244.95,14404.95,14033.15,14300.0,14178.9,BOSCHLTD
2021-03-31,14239.9,14349.0,14030.0,14065.0,14088.4,BOSCHLTD
2021-03-30,13890.0,14371.85,13765.95,14225.1,14256.6,BOSCHLTD
2021-03-26,13800.0,13898.25,13619.9,13782.55,13754.65,BOSCHLTD
2021-03-25,13950.0,13999.95,13590.0,13730.0,13688.0,BOSCHLTD
2021-03-24,14178.0,14337.8,13970.45,14000.0,14016.85,BOSCHLTD
