DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,3681.0,3708.95,3641.05,3675.75,4153.0,3317.3,BRITANNIA
2021-10-28,3725.0,3728.7,3654.0,3681.9,4153.0,3317.3,BRITANNIA
2021-10-27,3700.9,3731.2,3681.45,3697.85,4153.0,3317.3,BRITANNIA
2021-10-26,3649.0,3705.05,3605.85,3692.8,4153.0,3317.3,BRITANNIA
2021-10-25,3690.0,3696.55,3617.7,3631.05,4153.0,3317.3,BRITANNIA
2021-10-22,3734.0,3760.0,3650.0,3690.0,4153.0,3317.3,BRITANNIA
2021-10-21,3798.5,3798.5,3680.0,3714.35,4153.0,3317.3,BRITANNIA
2021-10-20,3800.0,3917.35,3740.0,3762.0,4153.0,3317.3,BRITANNIA
2021-10-19,3860.35,3868.35,3780.0,3795.9,4153.0,3317.3,BRITANNIA
2021-10-18,3960.0,3960.0,3825.0,3837.35,4153.0,3317.3,BRITANNIA
2021-10-14,3912.0,3925.0,3881.0,3894.85,4153.0,3317.3,BRITANNIA
2021-10-13,3871.4,3894.1,3854.5,3883.7,4153.0,3317.3,BRITANNIA
2021-10-12,3821.0,3874.75,3815.0,3867.95,4153.0,3317.3,BRITANNIA
2021-10-11,3880.0,3900.75,3831.2,3840.6,4153.0,3317.3,BRITANNIA
2021-10-08,3915.0,3929.0,3846.85,3883.3,4153.0,3317.3,BRITANNIA
2021-10-07,3959.8,3963.65,3877.45,3900.6,4153.0,3317.3,BRITANNIA
2021-10-06,3893.0,3993.15,3882.25,3938.6,4153.0,3317.3,BRITANNIA
2021-10-05,3894.0,3905.25,3865.5,3882.2,4153.0,3317.3,BRITANNIA
2021-10-04,3910.0,3967.25,3881.0,3892.9,4153.0,3317.3,BRITANNIA
2021-10-01,3958.8,3958.8,3885.0,3921.1,4153.0,3317.3,BRITANNIA
2021-09-30,3972.0,3993.0,3940.3,3948.95,4153.0,3317.3,BRITANNIA
2021-09-29,3982.0,4019.9,3959.15,3972.75,4153.0,3317.3,BRITANNIA
2021-09-28,4005.2,4068.95,3990.05,4003.65,4153.0,3317.3,BRITANNIA
2021-09-27,4049.9,4064.6,4000.0,4009.6,4153.0,3317.3,BRITANNIA
2021-09-24,4040.0,4098.95,4030.0,4042.9,4153.0,3317.3,BRITANNIA
2021-09-23,4060.0,4075.45,4017.5,4042.35,4153.0,3317.3,BRITANNIA
2021-09-22,4082.0,4105.0,4049.1,4058.5,4153.0,3317.3,BRITANNIA
2021-09-21,4062.2,4111.55,4053.0,4075.55,4153.0,3317.3,BRITANNIA
2021-09-20,4035.0,4115.0,4000.0,4084.5,4153.0,3317.3,BRITANNIA
2021-09-17,4077.4,4115.0,4041.0,4051.85,4153.0,3317.3,BRITANNIA
2021-09-16,4086.35,4120.0,4039.8,4073.05,4153.0,3317.3,BRITANNIA
2021-09-15,4105.2,4135.0,4071.05,4086.35,4153.0,3317.3,BRITANNIA
2021-09-14,4097.0,4153.0,4082.4,4101.5,4153.0,3317.3,BRITANNIA
2021-09-13,4070.8,4103.0,4058.8,4093.85,4149.3,3317.3,BRITANNIA
2021-09-09,4058.8,4118.8,4050.1,4070.8,4149.3,3317.3,BRITANNIA
2021-09-08,4079.8,4087.9,4015.7,4061.4,4149.3,3317.3,BRITANNIA
2021-09-07,4096.9,4129.6,4080.0,4095.45,4149.3,3317.3,BRITANNIA
2021-09-06,4144.4,4149.3,4061.0,4079.05,4149.3,3317.3,BRITANNIA
2021-09-03,4105.0,4134.7,4073.15,4124.2,4134.7,3317.3,BRITANNIA
