DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,96.55,97.95,94.0,94.5,108.75,29.15,BSL
2021-11-11,108.75,108.75,98.45,98.55,108.75,29.15,BSL
2021-11-10,103.6,103.6,102.25,103.6,103.6,29.15,BSL
2021-11-09,95.8,98.7,94.0,98.7,98.7,29.15,BSL
2021-11-08,89.05,94.0,88.0,94.0,94.0,29.15,BSL
2021-11-04,89.3,91.3,86.5,89.55,92.55,29.1,BSL
2021-11-03,86.95,89.5,86.1,87.0,92.55,29.1,BSL
2021-11-02,85.25,85.25,85.25,85.25,92.55,29.1,BSL
2021-11-01,79.8,81.2,77.2,81.2,92.55,29.1,BSL
2021-10-29,81.5,81.5,77.0,77.35,92.55,29.1,BSL
2021-10-28,77.85,81.95,77.0,80.1,92.55,29.1,BSL
2021-10-27,76.4,78.6,74.85,78.05,92.55,29.1,BSL
2021-10-26,73.6,77.3,73.6,74.9,92.55,29.1,BSL
2021-10-25,77.05,77.05,74.5,74.55,92.55,29.1,BSL
2021-10-22,76.0,79.8,76.0,77.05,92.55,28.6,BSL
2021-10-21,78.9,79.1,75.3,76.0,92.55,28.6,BSL
2021-10-20,81.0,81.0,74.8,76.3,92.55,28.6,BSL
2021-10-19,79.5,83.7,78.05,78.4,92.55,28.6,BSL
2021-10-18,84.8,86.5,80.6,81.1,92.55,28.6,BSL
2021-10-14,91.8,92.55,84.8,84.8,92.55,24.45,BSL
2021-10-13,87.95,89.25,85.15,89.25,89.25,24.45,BSL
2021-10-12,82.25,85.0,82.25,85.0,85.0,24.45,BSL
2021-10-11,70.0,77.3,68.45,77.3,77.3,24.45,BSL
2021-10-08,74.5,76.8,69.1,70.3,76.8,24.2,BSL
2021-10-07,70.0,73.2,66.05,73.2,75.35,24.2,BSL
2021-10-06,63.0,66.55,63.0,66.55,75.35,24.2,BSL
2021-10-05,62.5,64.0,62.5,63.4,75.35,24.2,BSL
2021-10-04,61.9,64.65,61.9,63.2,75.35,24.2,BSL
2021-10-01,64.4,64.55,62.25,63.05,75.35,24.05,BSL
2021-09-30,62.25,63.8,62.25,63.15,75.35,24.05,BSL
2021-09-29,63.75,63.85,62.0,62.25,75.35,24.05,BSL
2021-09-28,61.5,64.85,61.3,63.75,75.35,24.05,BSL
2021-09-27,62.2,64.4,61.2,61.8,75.35,24.05,BSL
2021-09-24,60.7,63.05,60.7,62.2,75.35,23.0,BSL
2021-09-23,63.4,63.4,61.25,62.1,75.35,23.0,BSL
2021-09-22,62.5,62.65,60.05,61.6,75.35,23.0,BSL
2021-09-21,61.5,62.7,60.0,60.65,75.35,23.0,BSL
2021-09-20,63.5,65.2,61.1,61.7,75.35,23.0,BSL
2021-09-17,64.05,65.5,62.1,63.5,75.35,22.3,BSL
2021-09-16,65.0,66.7,63.8,64.2,75.35,22.3,BSL
2021-09-15,65.95,66.7,64.0,65.05,75.35,22.3,BSL
2021-09-14,66.5,66.9,64.5,64.8,75.35,22.3,BSL
2021-09-13,68.5,68.5,64.9,65.55,75.35,22.3,BSL
2021-09-09,68.9,68.9,66.0,66.8,75.35,22.2,BSL
2021-09-08,69.05,71.4,68.25,68.95,75.35,22.2,BSL
2021-09-07,67.95,69.55,64.0,68.75,75.35,22.2,BSL
2021-09-06,66.25,66.25,65.6,66.25,75.35,22.2,BSL
2021-09-03,60.05,63.1,60.05,63.1,75.35,22.2,BSL
2021-09-02,59.5,61.25,58.15,60.1,75.35,22.2,BSL
2021-09-01,61.1,61.1,56.3,58.45,75.35,22.2,BSL
2021-08-31,58.25,60.75,58.1,59.1,75.35,22.2,BSL
2021-08-30,57.2,59.0,56.7,58.15,75.35,22.2,BSL
2021-08-27,58.9,58.9,56.5,56.7,75.35,22.2,BSL
2021-08-26,58.35,58.35,56.25,57.5,75.35,22.2,BSL
2021-08-25,59.45,59.45,56.05,56.75,75.35,22.2,BSL
2021-08-24,58.5,58.5,53.95,57.35,75.35,22.2,BSL
2021-08-23,58.55,61.7,56.75,56.75,75.35,22.2,BSL
2021-08-20,62.5,62.65,59.0,59.7,75.35,22.2,BSL
2021-08-18,63.5,63.5,60.5,60.9,75.35,22.2,BSL
2021-08-17,64.8,64.8,61.15,62.4,75.35,22.2,BSL
2021-08-16,65.0,67.0,63.0,63.75,75.35,22.2,BSL
2021-08-13,63.35,64.4,62.65,64.4,75.35,22.2,BSL
2021-08-12,61.7,63.45,60.5,61.35,75.35,22.2,BSL
2021-08-11,63.1,64.0,59.9,60.45,75.35,22.2,BSL
2021-08-10,64.35,66.1,62.2,63.05,75.35,22.2,BSL
2021-08-09,66.95,68.45,64.15,65.0,75.35,22.2,BSL
2021-08-06,69.25,69.25,66.0,66.95,75.35,22.2,BSL
2021-08-05,70.8,70.9,67.05,67.85,75.35,22.2,BSL
2021-08-04,73.05,74.0,68.25,68.75,75.35,22.2,BSL
2021-08-03,69.4,72.85,66.0,71.45,75.35,22.2,BSL
2021-08-02,75.35,75.35,69.4,69.4,75.35,22.2,BSL
2021-07-30,71.8,73.05,70.05,73.05,73.05,22.0,BSL
2021-07-29,68.0,69.6,66.55,69.6,69.6,22.0,BSL
2021-07-28,64.9,66.45,63.8,66.3,68.9,22.0,BSL
2021-07-27,60.55,63.45,60.5,63.3,68.9,22.0,BSL
2021-07-26,62.0,62.0,60.15,60.45,68.9,22.0,BSL
2021-07-23,63.35,63.35,61.35,61.95,68.9,21.75,BSL
2021-07-22,63.45,63.6,60.55,62.95,68.9,21.75,BSL
2021-07-20,61.8,63.85,60.0,60.6,68.9,21.75,BSL
2021-07-19,60.9,63.7,59.1,61.9,68.9,21.75,BSL
2021-07-16,60.2,61.4,59.55,60.7,68.9,21.75,BSL
2021-07-15,60.7,60.9,59.1,59.7,68.9,21.75,BSL
2021-07-14,60.9,60.9,58.1,59.35,68.9,21.75,BSL
2021-07-13,60.9,61.45,57.2,59.15,68.9,21.75,BSL
2021-07-12,58.35,59.8,57.9,59.3,68.9,21.75,BSL
2021-07-09,55.1,57.5,55.1,57.35,68.9,21.75,BSL
2021-07-08,55.7,56.7,55.05,55.7,68.9,21.75,BSL
2021-07-07,57.4,59.4,54.1,55.75,68.9,21.75,BSL
2021-07-06,55.5,57.7,55.5,56.6,68.9,21.75,BSL
2021-07-05,58.7,58.7,57.0,57.2,68.9,21.75,BSL
2021-07-02,56.15,58.95,56.0,57.35,68.9,21.75,BSL
2021-07-01,55.4,56.3,55.25,56.15,68.9,21.75,BSL
2021-06-30,56.0,56.95,55.0,55.3,68.9,21.75,BSL
2021-06-29,55.7,56.9,55.5,55.95,68.9,21.75,BSL
2021-06-28,58.4,58.4,55.75,56.45,68.9,21.75,BSL
2021-06-25,56.55,57.0,54.7,56.6,68.9,21.75,BSL
2021-06-24,55.65,56.4,55.0,55.4,68.9,21.75,BSL
2021-06-23,56.0,56.7,55.25,55.65,68.9,21.75,BSL
2021-06-22,55.0,56.7,54.8,55.25,68.9,21.75,BSL
2021-06-21,57.0,57.2,54.5,54.95,68.9,21.75,BSL
2021-06-18,57.85,58.45,53.55,55.4,68.9,21.75,BSL
2021-06-17,58.5,59.25,55.0,56.35,68.9,21.75,BSL
