DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,433.0,437.75,421.1,423.1,424.55,CANTABIL
2021-07-15,454.9,454.9,426.55,430.0,431.4,CANTABIL
2021-07-14,435.9,453.6,431.0,445.05,445.75,CANTABIL
2021-07-13,433.0,445.7,425.1,436.4,435.9,CANTABIL
2021-07-12,430.0,452.5,425.3,433.0,435.05,CANTABIL
2021-07-09,422.35,432.0,417.5,424.0,426.9,CANTABIL
2021-07-08,434.0,434.0,416.3,418.0,418.4,CANTABIL
2021-07-07,410.0,438.0,410.0,435.0,434.5,CANTABIL
2021-07-06,433.55,434.35,409.5,414.95,412.2,CANTABIL
2021-07-05,428.45,444.0,427.0,428.6,431.55,CANTABIL
2021-07-02,413.0,439.8,412.1,428.9,428.45,CANTABIL
2021-07-01,417.7,419.0,407.35,410.0,409.7,CANTABIL
2021-06-30,419.75,426.2,410.95,411.0,412.95,CANTABIL
2021-06-29,427.15,430.95,416.8,419.9,421.35,CANTABIL
2021-06-28,437.0,438.8,413.15,423.0,427.15,CANTABIL
2021-06-25,441.35,445.0,433.7,436.65,436.55,CANTABIL
2021-06-24,440.0,460.6,435.45,442.0,440.9,CANTABIL
2021-06-23,395.5,454.0,387.25,443.9,445.3,CANTABIL
2021-06-22,406.8,411.9,390.8,390.8,391.95,CANTABIL
2021-06-21,400.05,408.8,385.0,400.0,402.6,CANTABIL
2021-06-18,409.15,410.0,388.05,402.3,401.0,CANTABIL
2021-06-17,414.0,414.0,404.1,408.8,407.3,CANTABIL
2021-06-16,386.6,417.0,383.4,415.0,408.7,CANTABIL
2021-06-15,387.9,393.9,386.2,387.0,387.2,CANTABIL
2021-06-14,394.9,394.9,385.05,389.4,387.5,CANTABIL
2021-06-11,394.95,394.95,388.6,388.6,389.0,CANTABIL
2021-06-10,388.0,398.2,384.3,391.5,388.65,CANTABIL
2021-06-09,393.4,397.75,380.25,384.9,383.85,CANTABIL
2021-06-08,396.45,396.45,392.7,394.4,394.5,CANTABIL
2021-06-07,380.5,395.9,380.5,394.75,393.7,CANTABIL
2021-06-04,390.15,397.3,381.35,383.0,385.5,CANTABIL
2021-06-03,395.5,400.0,391.1,391.75,396.5,CANTABIL
2021-06-02,388.6,399.5,388.6,395.85,393.95,CANTABIL
2021-06-01,394.3,411.95,383.5,394.9,398.25,CANTABIL
2021-05-31,381.0,400.0,381.0,390.0,390.55,CANTABIL
2021-05-28,384.6,388.7,378.55,388.7,380.7,CANTABIL
2021-05-27,369.0,384.0,369.0,383.5,378.85,CANTABIL
2021-05-26,370.0,374.8,369.25,369.4,370.15,CANTABIL
2021-05-25,371.5,373.9,369.1,369.1,369.6,CANTABIL
2021-05-24,375.0,377.0,367.55,367.55,369.0,CANTABIL
2021-05-21,372.0,372.65,364.15,368.0,369.55,CANTABIL
2021-05-20,371.1,372.5,369.8,372.4,370.65,CANTABIL
2021-05-19,372.1,372.85,367.5,369.3,369.4,CANTABIL
2021-05-18,371.9,372.35,367.0,369.0,369.75,CANTABIL
2021-05-17,369.9,374.15,369.9,370.15,370.25,CANTABIL
2021-05-14,371.4,372.35,369.8,370.0,370.5,CANTABIL
2021-05-12,373.95,373.95,370.1,370.1,370.2,CANTABIL
2021-05-11,375.2,375.2,370.0,370.0,370.7,CANTABIL
2021-05-10,375.0,375.75,370.0,370.0,370.95,CANTABIL
2021-05-07,371.0,379.7,369.5,370.95,371.05,CANTABIL
2021-05-06,370.05,371.5,369.8,370.0,370.35,CANTABIL
2021-05-05,370.75,371.15,368.35,370.9,370.6,CANTABIL
2021-05-04,370.3,372.0,369.8,372.0,371.3,CANTABIL
2021-05-03,373.1,373.1,369.0,369.8,369.7,CANTABIL
2021-04-30,370.55,371.95,369.6,369.6,370.55,CANTABIL
2021-04-29,369.3,372.2,369.3,372.2,371.55,CANTABIL
2021-04-28,370.3,372.0,369.45,370.0,371.15,CANTABIL
2021-04-27,373.0,373.0,367.7,368.0,368.1,CANTABIL
2021-04-26,373.0,373.0,366.15,372.5,369.55,CANTABIL
2021-04-23,372.4,372.4,368.5,368.5,368.6,CANTABIL
2021-04-22,372.4,374.0,368.1,368.1,369.2,CANTABIL
2021-04-20,371.45,373.4,370.1,370.1,370.2,CANTABIL
2021-04-19,370.3,372.0,368.5,368.5,368.95,CANTABIL
2021-04-16,375.15,376.5,370.5,370.5,370.6,CANTABIL
2021-04-15,375.0,377.65,370.25,370.4,371.15,CANTABIL
2021-04-13,372.85,377.4,370.85,372.05,374.35,CANTABIL
2021-04-12,378.5,378.5,370.5,371.25,372.55,CANTABIL
2021-04-09,377.25,380.0,375.1,375.1,377.15,CANTABIL
2021-04-08,383.6,383.6,373.5,374.2,374.45,CANTABIL
2021-04-07,375.0,383.5,375.0,383.5,381.8,CANTABIL
2021-04-06,376.0,382.5,374.6,375.1,375.8,CANTABIL
2021-04-05,382.0,382.3,375.1,375.1,376.3,CANTABIL
2021-04-01,383.75,384.8,375.45,381.8,379.1,CANTABIL
2021-03-31,387.0,387.0,375.3,387.0,378.1,CANTABIL
2021-03-30,373.6,391.3,371.3,387.8,385.95,CANTABIL
2021-03-26,375.95,376.9,365.45,370.0,368.95,CANTABIL
2021-03-25,373.7,377.0,369.9,372.75,370.2,CANTABIL
2021-03-24,378.0,383.0,370.1,373.0,372.4,CANTABIL
2021-03-23,377.5,378.6,373.5,373.95,375.15,CANTABIL
2021-03-22,377.8,378.0,372.4,373.0,374.2,CANTABIL
2021-03-19,372.9,378.5,370.35,372.5,374.05,CANTABIL
2021-03-18,375.65,378.9,372.05,378.9,374.95,CANTABIL
2021-03-17,377.95,378.65,370.3,376.0,375.6,CANTABIL
2021-03-16,383.55,384.6,370.55,374.9,374.1,CANTABIL
2021-03-15,385.0,385.0,374.1,375.8,375.25,CANTABIL
2021-03-12,378.8,399.8,367.15,383.0,384.0,CANTABIL
2021-03-10,379.0,379.9,375.0,375.6,375.6,CANTABIL
2021-03-09,379.0,379.5,375.0,376.0,376.65,CANTABIL
2021-03-08,379.0,380.75,375.0,375.0,375.25,CANTABIL
2021-03-05,378.45,382.35,374.9,376.0,376.0,CANTABIL
2021-03-04,383.9,383.9,376.0,376.0,378.45,CANTABIL
2021-03-03,381.0,387.35,375.0,380.0,378.7,CANTABIL
2021-03-02,390.0,390.0,377.6,380.5,380.1,CANTABIL
2021-03-01,380.0,387.5,374.9,385.0,384.65,CANTABIL
2021-02-26,383.45,396.4,380.0,380.05,380.85,CANTABIL
2021-02-25,380.2,394.0,380.2,392.0,389.65,CANTABIL
2021-02-24,375.15,384.8,365.0,376.05,380.1,CANTABIL
2021-02-23,376.8,379.0,371.3,371.3,373.6,CANTABIL
2021-02-22,374.95,385.7,366.95,385.4,375.2,CANTABIL
2021-02-19,372.0,390.0,368.0,373.75,370.5,CANTABIL
2021-02-18,381.85,381.85,373.1,374.1,374.65,CANTABIL
2021-02-17,377.25,405.1,369.8,372.5,376.2,CANTABIL
2021-02-16,378.0,379.75,372.6,373.1,374.55,CANTABIL
2021-02-15,377.8,379.55,372.6,377.0,374.5,CANTABIL
2021-02-12,380.0,380.0,372.65,373.1,373.65,CANTABIL
2021-02-11,378.8,379.7,372.25,375.0,375.35,CANTABIL
2021-02-10,379.7,381.8,366.0,373.0,371.95,CANTABIL
2021-02-09,385.0,386.4,372.5,372.5,374.1,CANTABIL
2021-02-08,394.85,394.85,377.5,381.4,379.8,CANTABIL
2021-02-05,381.0,404.55,377.05,385.75,383.7,CANTABIL
2021-02-04,385.0,387.7,375.5,378.0,377.0,CANTABIL
2021-02-03,380.5,386.5,374.25,379.0,379.6,CANTABIL
2021-02-02,375.65,380.9,374.5,379.3,376.9,CANTABIL
2021-02-01,375.0,379.8,370.05,374.7,373.25,CANTABIL
2021-01-29,375.15,375.25,370.0,370.0,370.95,CANTABIL
2021-01-28,373.8,376.95,366.1,370.0,369.75,CANTABIL
2021-01-27,379.0,379.0,369.1,373.15,377.8,CANTABIL
2021-01-25,379.0,379.0,370.75,377.0,372.4,CANTABIL
2021-01-22,376.0,377.75,368.0,371.5,373.75,CANTABIL
2021-01-21,375.0,378.35,370.0,372.65,373.25,CANTABIL
2021-01-20,371.1,377.6,369.35,374.6,371.75,CANTABIL
2021-01-19,385.55,387.75,371.0,371.95,371.7,CANTABIL
2021-01-18,378.75,385.0,370.3,382.2,379.1,CANTABIL
2021-01-15,376.85,379.65,369.1,371.25,372.3,CANTABIL
2021-01-14,378.0,380.95,372.0,372.0,373.05,CANTABIL
2021-01-13,378.0,381.3,371.0,374.0,374.75,CANTABIL
2021-01-12,375.0,381.8,372.5,374.75,375.15,CANTABIL
2021-01-11,386.6,386.6,375.5,375.6,375.9,CANTABIL
2021-01-08,384.0,387.15,375.25,378.85,378.45,CANTABIL
2021-01-07,383.8,387.55,375.25,380.55,379.05,CANTABIL
2021-01-06,382.1,387.65,378.5,378.55,379.2,CANTABIL
2021-01-05,385.0,391.1,380.4,382.0,382.1,CANTABIL
2021-01-04,386.0,406.45,381.85,385.5,386.85,CANTABIL
2021-01-01,385.0,387.4,381.0,382.5,381.6,CANTABIL
2020-12-31,389.45,393.6,375.15,381.0,380.45,CANTABIL
2020-12-30,426.9,426.9,380.55,389.5,386.65,CANTABIL
2020-12-29,390.0,430.0,383.9,421.05,414.35,CANTABIL
2020-12-28,380.0,387.9,380.0,385.0,384.75,CANTABIL
2020-12-24,380.0,380.0,371.9,379.0,377.8,CANTABIL
2020-12-23,370.65,373.2,363.35,369.9,371.5,CANTABIL
2020-12-22,364.3,373.25,360.0,365.0,365.3,CANTABIL
2020-12-21,380.0,381.65,360.55,367.1,368.05,CANTABIL
2020-12-18,380.0,386.7,362.15,384.95,378.6,CANTABIL
2020-12-17,372.25,378.35,369.6,377.0,372.95,CANTABIL
2020-12-16,357.3,380.0,355.3,380.0,369.25,CANTABIL
2020-12-15,356.3,357.9,352.3,357.5,355.2,CANTABIL
2020-12-14,355.5,359.25,352.0,355.55,357.05,CANTABIL
2020-12-11,356.95,357.6,351.1,357.0,352.2,CANTABIL
2020-12-10,357.0,357.0,344.6,350.0,352.15,CANTABIL
2020-12-09,358.2,358.2,351.1,351.5,355.05,CANTABIL
2020-12-08,359.0,359.0,350.7,350.9,351.7,CANTABIL
2020-12-07,354.3,359.65,350.0,351.2,355.55,CANTABIL
2020-12-04,373.0,373.0,350.0,352.0,354.3,CANTABIL
2020-12-03,356.7,372.95,356.7,365.1,367.8,CANTABIL
2020-12-02,365.75,370.0,350.55,350.55,356.7,CANTABIL
2020-12-01,340.75,395.0,340.75,365.8,362.8,CANTABIL
2020-11-27,330.0,345.95,326.5,345.95,340.75,CANTABIL
2020-11-26,330.8,330.8,326.6,326.6,327.35,CANTABIL
2020-11-25,327.3,329.3,326.5,326.6,327.15,CANTABIL
2020-11-24,330.0,332.85,326.25,326.7,327.1,CANTABIL
2020-11-23,332.7,332.7,325.85,328.9,328.55,CANTABIL
2020-11-20,331.7,332.8,326.0,326.2,328.5,CANTABIL
2020-11-19,330.0,332.75,325.35,329.0,328.05,CANTABIL
2020-11-18,330.0,331.95,327.15,330.0,330.45,CANTABIL
2020-11-17,328.0,332.0,326.1,329.9,329.8,CANTABIL
2020-11-14,339.8,340.0,325.1,331.5,331.65,CANTABIL
2020-11-13,324.6,338.0,324.6,333.75,330.9,CANTABIL
2020-11-12,328.5,331.0,327.05,330.0,329.7,CANTABIL
2020-11-11,334.15,334.15,328.2,330.0,331.4,CANTABIL
2020-11-10,335.0,335.0,329.2,330.25,331.65,CANTABIL
2020-11-09,326.3,334.4,326.3,331.2,331.4,CANTABIL
2020-11-06,329.0,334.8,324.55,330.3,331.6,CANTABIL
2020-11-05,326.65,335.0,313.0,318.0,326.95,CANTABIL
2020-11-04,327.45,329.95,320.55,326.7,327.1,CANTABIL
2020-11-03,330.0,330.0,325.3,325.3,329.0,CANTABIL
2020-11-02,335.0,335.0,320.55,325.0,325.3,CANTABIL
2020-10-30,326.0,330.0,323.05,325.0,327.1,CANTABIL
2020-10-29,323.5,332.3,320.25,327.0,327.55,CANTABIL
2020-10-28,333.35,333.45,327.55,329.1,329.35,CANTABIL
2020-10-27,332.0,334.4,330.0,330.0,330.7,CANTABIL
2020-10-26,337.9,338.0,325.7,330.1,332.05,CANTABIL
2020-10-23,338.0,338.0,328.2,334.85,331.85,CANTABIL
2020-10-22,334.5,338.0,329.25,331.0,333.25,CANTABIL
2020-10-21,335.0,337.25,331.9,334.5,335.0,CANTABIL
2020-10-20,335.0,335.0,330.0,335.0,333.0,CANTABIL
2020-10-19,332.2,334.8,324.6,333.25,332.55,CANTABIL
2020-10-16,327.45,333.0,320.05,324.0,328.6,CANTABIL
2020-10-15,324.0,325.0,311.1,323.0,323.25,CANTABIL
