DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-30,231.8,232.0,226.0,229.9,228.55,244.95,90.0,CAPACITE
2021-07-29,224.9,234.9,224.4,232.35,231.8,244.95,90.0,CAPACITE
2021-07-28,223.9,232.0,218.5,224.8,223.6,244.95,90.0,CAPACITE
2021-07-27,229.0,232.05,219.2,224.0,223.9,244.95,90.0,CAPACITE
2021-07-26,234.0,237.05,224.25,231.0,227.3,244.95,90.0,CAPACITE
2021-07-23,235.55,237.65,231.0,234.5,234.75,244.95,90.0,CAPACITE
2021-07-22,229.45,238.05,229.45,235.15,235.2,244.95,90.0,CAPACITE
2021-07-20,232.0,236.05,218.05,226.65,227.2,244.95,90.0,CAPACITE
2021-07-19,230.3,238.85,230.3,232.0,231.6,244.95,90.0,CAPACITE
2021-07-16,240.8,242.35,234.0,236.0,235.3,244.95,90.0,CAPACITE
2021-07-15,234.5,244.95,233.0,241.7,240.4,244.95,90.0,CAPACITE
2021-07-14,233.2,243.2,232.55,235.0,235.2,243.2,90.0,CAPACITE
2021-07-13,235.0,242.6,231.25,233.0,232.65,242.6,90.0,CAPACITE
2021-07-12,216.8,237.95,216.2,232.5,231.2,237.95,90.0,CAPACITE
2021-07-09,216.2,219.5,212.1,214.5,214.9,234.5,90.0,CAPACITE
2021-07-08,226.0,226.0,215.0,218.4,217.25,234.5,90.0,CAPACITE
2021-07-07,219.5,227.9,219.4,226.4,225.3,234.5,90.0,CAPACITE
2021-07-06,214.0,234.5,210.9,220.7,219.5,234.5,90.0,CAPACITE
2021-07-05,206.9,215.0,202.0,213.1,213.0,228.45,90.0,CAPACITE
2021-07-02,204.6,207.0,199.5,205.95,205.55,228.45,90.0,CAPACITE
2021-07-01,194.65,208.2,193.25,206.0,203.05,228.45,90.0,CAPACITE
2021-06-30,196.0,197.5,193.1,194.0,194.0,228.45,90.0,CAPACITE
2021-06-29,193.9,196.8,192.2,194.05,194.75,228.45,90.0,CAPACITE
2021-06-28,194.0,196.3,192.25,192.5,193.15,228.45,90.0,CAPACITE
2021-06-25,195.55,199.2,191.1,192.7,192.85,228.45,90.0,CAPACITE
2021-06-24,198.75,199.35,194.45,195.45,195.5,228.45,90.0,CAPACITE
2021-06-23,198.95,203.95,196.85,196.85,197.1,228.45,90.0,CAPACITE
2021-06-22,199.0,201.15,196.6,197.05,197.4,228.45,90.0,CAPACITE
2021-06-21,199.4,204.95,196.45,198.25,198.15,228.45,90.0,CAPACITE
2021-06-18,207.5,208.5,196.25,201.4,201.35,228.45,90.0,CAPACITE
2021-06-17,209.6,213.2,203.7,206.4,206.8,228.45,90.0,CAPACITE
2021-06-16,212.65,214.5,205.55,209.85,209.85,228.45,90.0,CAPACITE
2021-06-15,212.7,216.45,209.0,209.9,210.0,228.45,90.0,CAPACITE
2021-06-14,212.0,219.4,207.05,209.55,209.8,228.45,90.0,CAPACITE
2021-06-11,206.5,208.25,204.0,206.0,206.15,228.45,86.0,CAPACITE
2021-06-10,204.6,209.5,202.8,205.3,204.95,228.45,86.0,CAPACITE
2021-06-09,206.9,209.9,201.2,203.4,203.05,228.45,86.0,CAPACITE
2021-06-08,207.75,209.15,204.35,205.95,206.55,228.45,86.0,CAPACITE
2021-06-07,207.9,214.8,203.2,205.5,207.7,228.45,86.0,CAPACITE
2021-06-04,207.3,212.0,204.85,207.0,207.35,228.45,78.0,CAPACITE
2021-06-03,202.75,222.7,202.75,205.8,206.2,228.45,78.0,CAPACITE
2021-06-02,205.45,206.95,198.5,202.5,201.7,228.45,78.0,CAPACITE
2021-06-01,213.0,214.5,204.0,205.0,204.7,228.45,78.0,CAPACITE
2021-05-31,201.85,213.0,200.25,213.0,211.25,228.45,78.0,CAPACITE
2021-05-28,205.5,207.55,198.65,198.95,201.1,228.45,71.65,CAPACITE
2021-05-27,209.0,209.0,200.85,203.6,205.5,228.45,71.65,CAPACITE
2021-05-26,212.1,216.1,208.0,208.0,209.45,228.45,71.65,CAPACITE
2021-05-25,209.5,219.0,207.3,212.65,212.0,228.45,71.65,CAPACITE
2021-05-24,203.5,213.0,202.5,208.1,208.9,228.45,71.65,CAPACITE
2021-05-21,200.15,203.85,199.5,202.6,201.8,228.45,71.2,CAPACITE
2021-05-20,202.5,204.75,199.7,202.65,203.0,228.45,71.2,CAPACITE
2021-05-19,194.0,206.25,193.4,203.0,202.2,228.45,71.2,CAPACITE
2021-05-18,191.4,196.1,191.0,195.0,194.85,228.45,71.2,CAPACITE
2021-05-17,191.7,194.0,189.9,190.5,190.85,228.45,71.2,CAPACITE
2021-05-14,193.0,195.0,187.0,189.0,189.85,228.45,71.2,CAPACITE
2021-05-12,193.7,197.0,190.0,192.8,193.45,228.45,71.2,CAPACITE
2021-05-11,190.35,194.4,188.15,193.5,193.7,228.45,71.2,CAPACITE
2021-05-10,188.9,195.0,187.45,191.4,189.45,228.45,71.2,CAPACITE
2021-05-07,185.3,191.2,185.3,187.0,186.5,228.45,71.2,CAPACITE
2021-05-06,186.0,191.3,184.0,186.3,187.25,228.45,71.2,CAPACITE
2021-05-05,185.0,189.4,184.15,187.3,187.7,228.45,71.2,CAPACITE
2021-05-04,188.25,190.7,183.8,184.0,184.25,228.45,71.2,CAPACITE
2021-05-03,192.0,193.8,188.0,188.2,188.25,228.45,71.2,CAPACITE
2021-04-30,189.35,194.95,188.1,189.0,189.65,228.45,71.2,CAPACITE
2021-04-29,192.75,193.55,185.0,189.0,188.4,228.45,71.2,CAPACITE
2021-04-28,190.15,195.4,189.0,189.3,190.6,228.45,71.2,CAPACITE
2021-04-27,183.0,191.55,183.0,191.0,189.7,228.45,71.2,CAPACITE
2021-04-26,184.0,187.0,182.1,184.7,183.45,228.45,71.2,CAPACITE
2021-04-23,184.0,187.15,182.15,182.95,182.6,228.45,71.2,CAPACITE
2021-04-22,185.35,188.7,183.0,184.8,184.3,228.45,71.2,CAPACITE
2021-04-20,187.95,189.0,185.05,185.05,187.25,228.45,71.2,CAPACITE
2021-04-19,186.6,188.8,180.45,187.0,186.8,228.45,71.2,CAPACITE
2021-04-16,190.0,193.65,188.5,192.0,190.4,228.45,71.2,CAPACITE
2021-04-15,192.1,193.95,184.5,191.0,191.5,228.45,71.2,CAPACITE
2021-04-13,184.0,194.8,184.0,192.8,192.55,228.45,71.2,CAPACITE
2021-04-12,193.05,197.0,182.55,184.1,184.2,228.45,71.2,CAPACITE
2021-04-09,201.5,205.0,199.75,201.0,200.75,228.45,71.2,CAPACITE
2021-04-08,199.1,204.4,198.75,201.9,201.15,228.45,71.2,CAPACITE
2021-04-07,201.0,204.95,198.0,199.0,198.85,228.45,71.2,CAPACITE
2021-04-06,198.5,205.0,198.5,199.15,200.3,228.45,71.2,CAPACITE
2021-04-05,205.9,205.9,196.7,199.0,197.5,228.45,71.2,CAPACITE
2021-04-01,202.8,209.9,201.65,204.4,203.35,228.45,70.2,CAPACITE
2021-03-31,201.85,207.4,200.0,200.05,201.75,228.45,70.2,CAPACITE
2021-03-30,201.1,205.35,200.0,202.0,201.85,228.45,70.2,CAPACITE
2021-03-26,200.0,208.0,197.1,202.0,202.3,228.45,70.2,CAPACITE
2021-03-25,196.25,198.8,190.0,195.0,196.35,228.45,70.2,CAPACITE
2021-03-24,200.5,205.0,196.0,200.0,199.4,228.45,70.2,CAPACITE
2021-03-23,198.8,207.0,198.75,201.0,200.65,228.45,70.2,CAPACITE
2021-03-22,196.45,201.7,193.0,198.55,198.65,228.45,70.2,CAPACITE
2021-03-19,198.55,199.85,191.25,195.8,196.45,228.45,70.2,CAPACITE
2021-03-18,206.0,209.05,191.15,200.0,196.95,228.45,70.2,CAPACITE
