DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-30,663.0,682.0,651.6,679.0,672.95,697.3,232.0,CARBORUNIV
2021-07-29,659.4,684.0,655.4,660.0,659.8,697.3,232.0,CARBORUNIV
2021-07-28,669.0,672.75,655.3,658.0,659.15,697.3,232.0,CARBORUNIV
2021-07-27,666.9,679.0,665.0,668.0,668.55,697.3,232.0,CARBORUNIV
2021-07-26,667.5,697.3,662.1,668.9,666.9,697.3,232.0,CARBORUNIV
2021-07-23,643.8,672.3,636.35,666.9,666.3,676.65,231.6,CARBORUNIV
2021-07-22,648.0,648.0,635.15,645.45,643.8,676.65,231.6,CARBORUNIV
2021-07-20,628.0,643.8,618.0,641.5,637.85,676.65,231.6,CARBORUNIV
2021-07-19,654.0,654.0,626.35,636.5,636.05,676.65,231.6,CARBORUNIV
2021-07-16,653.35,656.85,636.8,653.0,650.35,676.65,231.6,CARBORUNIV
2021-07-15,640.7,662.4,637.1,655.0,655.35,676.65,231.6,CARBORUNIV
2021-07-14,646.4,655.95,631.85,643.9,640.6,676.65,231.6,CARBORUNIV
2021-07-13,641.0,649.0,635.0,646.0,642.6,676.65,231.6,CARBORUNIV
2021-07-12,648.35,650.7,630.25,637.7,636.55,676.65,231.6,CARBORUNIV
2021-07-09,657.7,658.0,634.0,643.0,640.7,676.65,231.6,CARBORUNIV
2021-07-08,670.0,672.7,642.55,657.9,655.2,676.65,231.6,CARBORUNIV
2021-07-07,637.0,676.65,612.0,670.0,670.25,676.65,231.6,CARBORUNIV
2021-07-06,636.3,637.9,621.3,628.0,625.35,668.0,231.6,CARBORUNIV
2021-07-05,666.0,668.0,633.5,636.75,636.3,668.0,231.6,CARBORUNIV
2021-07-02,641.0,663.3,640.0,659.0,656.8,663.3,231.6,CARBORUNIV
2021-07-01,610.0,645.0,607.25,633.05,634.2,645.0,231.6,CARBORUNIV
2021-06-30,592.2,611.0,590.55,607.0,606.25,627.0,231.6,CARBORUNIV
2021-06-29,610.0,610.0,588.3,595.2,596.2,627.0,231.6,CARBORUNIV
2021-06-28,584.5,610.2,583.05,609.3,603.0,627.0,231.6,CARBORUNIV
2021-06-25,584.9,588.35,580.15,586.35,584.5,627.0,231.6,CARBORUNIV
2021-06-24,588.1,589.0,580.05,581.95,583.9,627.0,231.6,CARBORUNIV
2021-06-23,591.9,593.85,583.15,590.0,585.45,627.0,231.6,CARBORUNIV
2021-06-22,583.95,591.45,579.75,588.0,588.5,627.0,231.6,CARBORUNIV
2021-06-21,594.0,598.05,572.4,582.5,581.75,627.0,231.6,CARBORUNIV
2021-06-18,589.0,597.3,577.6,594.0,593.2,627.0,231.6,CARBORUNIV
2021-06-17,567.0,589.0,567.0,588.8,586.3,627.0,231.6,CARBORUNIV
2021-06-16,580.0,584.8,571.25,575.1,575.0,627.0,231.6,CARBORUNIV
2021-06-15,571.0,587.0,565.5,576.0,575.9,627.0,231.6,CARBORUNIV
2021-06-14,579.9,579.9,562.5,569.1,570.05,627.0,231.6,CARBORUNIV
2021-06-11,594.1,594.8,570.35,575.0,574.9,627.0,231.6,CARBORUNIV
2021-06-10,588.05,597.9,583.0,588.7,588.75,627.0,231.6,CARBORUNIV
2021-06-09,609.9,610.6,585.55,593.0,590.25,627.0,231.6,CARBORUNIV
