DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,140.0,152.4,139.35,149.05,148.5,CAREERP
2021-07-15,142.0,144.05,139.55,139.65,140.05,CAREERP
2021-07-14,143.45,143.45,139.0,141.7,141.55,CAREERP
2021-07-13,140.0,143.0,140.0,142.3,142.0,CAREERP
2021-07-12,138.45,143.25,137.7,138.8,138.6,CAREERP
2021-07-09,138.3,139.1,136.75,136.75,137.3,CAREERP
2021-07-08,137.8,140.35,136.5,137.7,137.65,CAREERP
2021-07-07,137.5,139.5,136.55,136.95,136.95,CAREERP
2021-07-06,140.0,143.0,136.3,137.5,137.35,CAREERP
2021-07-05,143.05,143.55,139.25,139.5,139.75,CAREERP
2021-07-02,136.55,148.05,136.3,141.5,142.25,CAREERP
2021-07-01,135.0,141.0,134.1,136.65,137.05,CAREERP
2021-06-30,141.0,142.55,133.0,135.5,134.55,CAREERP
2021-06-29,144.0,147.9,139.3,140.0,139.95,CAREERP
2021-06-28,161.9,162.8,156.0,156.75,157.15,CAREERP
2021-06-25,158.7,164.0,156.4,161.5,161.35,CAREERP
2021-06-24,161.0,161.9,153.35,156.0,155.8,CAREERP
2021-06-23,151.8,165.6,148.5,158.6,159.25,CAREERP
2021-06-22,153.0,154.45,148.3,150.1,150.6,CAREERP
2021-06-21,140.0,156.7,136.1,154.0,151.85,CAREERP
2021-06-18,152.0,154.45,138.5,141.0,141.65,CAREERP
2021-06-17,137.55,153.0,137.55,149.0,149.8,CAREERP
2021-06-16,140.1,141.45,138.1,138.9,138.45,CAREERP
2021-06-15,141.25,141.8,139.85,140.2,140.05,CAREERP
2021-06-14,142.3,142.3,137.0,140.1,139.6,CAREERP
2021-06-11,138.9,143.5,137.3,141.4,141.8,CAREERP
2021-06-10,135.5,140.15,134.95,138.0,137.25,CAREERP
2021-06-09,138.8,141.7,133.1,134.55,134.05,CAREERP
2021-06-08,138.15,144.75,136.1,138.55,138.7,CAREERP
2021-06-07,142.95,144.0,138.0,138.3,139.4,CAREERP
2021-06-04,139.0,145.05,136.2,139.05,140.25,CAREERP
2021-06-03,131.0,136.8,130.0,136.75,135.0,CAREERP
2021-06-02,131.0,131.0,127.0,130.05,129.65,CAREERP
2021-06-01,130.2,132.0,127.05,127.8,127.7,CAREERP
2021-05-31,132.3,132.3,129.3,130.0,129.85,CAREERP
2021-05-28,132.5,133.7,130.4,130.75,130.8,CAREERP
