DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-23,413.0,429.9,399.1,423.0,421.35,431.85,225.0,CCL
2021-07-22,398.95,422.95,388.55,408.0,405.4,431.85,225.0,CCL
2021-07-20,388.0,394.8,382.55,386.05,385.3,431.85,225.0,CCL
2021-07-19,381.0,390.65,380.0,381.0,381.15,431.85,225.0,CCL
2021-07-16,381.5,391.0,381.1,385.25,386.0,431.85,225.0,CCL
2021-07-15,391.0,392.4,379.1,380.0,381.9,431.85,225.0,CCL
2021-07-14,387.4,390.05,381.3,388.6,388.4,431.85,225.0,CCL
2021-07-13,387.05,392.3,381.0,385.75,386.2,431.85,225.0,CCL
2021-07-12,397.5,404.7,383.2,386.8,385.55,431.85,225.0,CCL
2021-07-09,402.3,402.3,393.0,393.0,394.15,431.85,225.0,CCL
2021-07-08,405.0,407.55,396.05,401.0,400.3,431.85,225.0,CCL
2021-07-07,395.0,407.85,389.0,403.0,404.3,431.85,225.0,CCL
2021-07-06,399.3,400.0,388.4,397.0,396.05,431.85,225.0,CCL
2021-07-05,400.0,431.85,392.3,397.8,399.7,431.85,225.0,CCL
2021-07-02,358.15,386.4,356.7,383.0,383.35,386.4,222.6,CCL
2021-07-01,362.85,366.0,353.0,356.35,357.95,375.55,222.6,CCL
2021-06-30,363.0,368.2,355.05,357.0,361.65,375.55,222.6,CCL
2021-06-29,363.45,368.0,358.0,362.45,362.25,375.55,222.6,CCL
2021-06-28,349.45,363.0,341.5,362.95,360.65,375.55,222.6,CCL
2021-06-25,342.0,346.35,336.55,343.0,342.95,375.55,222.6,CCL
2021-06-24,341.9,345.55,336.25,340.3,339.8,375.55,222.6,CCL
2021-06-23,346.95,346.95,338.55,342.4,341.9,375.55,222.6,CCL
2021-06-22,351.0,351.0,342.8,345.0,345.1,375.55,222.6,CCL
2021-06-21,333.4,352.55,329.15,347.3,347.5,375.55,222.6,CCL
2021-06-18,345.55,348.5,325.65,334.65,341.65,375.55,222.6,CCL
2021-06-17,342.0,354.3,340.0,345.0,345.5,375.55,222.6,CCL
2021-06-16,346.3,348.0,341.05,343.0,343.95,375.55,222.6,CCL
2021-06-15,350.9,352.0,342.1,343.0,343.55,375.55,222.6,CCL
2021-06-14,358.9,358.9,347.2,350.7,349.15,375.55,222.6,CCL
2021-06-11,363.45,364.75,354.0,357.0,356.2,375.55,213.5,CCL
2021-06-10,355.0,371.6,355.0,362.15,362.75,375.55,213.5,CCL
2021-06-09,350.9,363.0,346.05,360.3,360.2,375.55,213.5,CCL
2021-06-08,357.4,365.4,346.25,348.2,349.6,375.55,213.5,CCL
2021-06-07,364.8,366.5,352.25,358.9,357.2,375.55,213.5,CCL
2021-06-04,373.0,373.0,359.1,364.9,364.1,375.55,200.0,CCL
2021-06-03,362.0,375.55,361.25,370.45,371.15,375.55,200.0,CCL
2021-06-02,345.5,361.0,342.1,360.0,359.3,369.0,200.0,CCL
2021-06-01,358.25,360.6,342.0,345.6,344.95,369.0,200.0,CCL
2021-05-31,367.7,367.7,338.2,362.0,354.5,369.0,200.0,CCL
2021-05-28,359.0,369.0,352.25,366.0,364.7,369.0,174.25,CCL
2021-05-27,341.9,358.8,340.5,357.9,355.2,360.0,174.25,CCL
2021-05-26,339.0,360.0,331.0,340.0,339.8,360.0,174.25,CCL
2021-05-25,330.0,339.9,328.5,334.1,336.85,342.7,174.25,CCL
2021-05-24,314.7,342.7,313.5,328.95,327.8,342.7,174.25,CCL
2021-05-21,321.0,324.35,310.0,311.25,312.2,326.5,174.25,CCL
2021-05-20,318.05,324.85,315.3,317.2,317.65,326.5,174.25,CCL
2021-05-19,301.5,323.0,301.0,316.75,314.85,326.5,174.25,CCL
2021-05-18,312.0,314.3,298.5,301.9,299.8,326.5,174.25,CCL
2021-05-17,308.0,315.8,306.65,309.2,309.3,326.5,174.25,CCL
2021-05-14,301.9,310.45,291.25,308.5,306.6,326.5,174.25,CCL
2021-05-12,320.35,321.9,295.55,300.9,298.75,326.5,174.25,CCL
2021-05-11,312.0,325.1,310.0,317.3,318.7,326.5,174.25,CCL
2021-05-10,321.0,326.5,310.2,314.0,316.25,326.5,174.25,CCL
2021-05-07,315.25,322.0,310.35,314.5,315.7,322.0,174.25,CCL
2021-05-06,312.4,319.0,306.8,312.0,311.7,319.0,174.25,CCL
2021-05-05,303.0,310.2,295.9,307.9,307.15,314.5,174.25,CCL
2021-05-04,297.35,314.5,295.1,300.5,301.55,314.5,174.25,CCL
2021-05-03,267.95,290.0,266.25,289.75,288.05,292.2,174.25,CCL
2021-04-30,259.8,272.3,258.55,269.75,266.8,292.2,174.25,CCL
2021-04-29,267.0,270.95,259.0,260.7,260.8,292.2,174.25,CCL
2021-04-28,263.75,272.0,263.0,266.1,265.75,292.2,174.25,CCL
2021-04-27,267.0,270.0,263.0,263.15,263.75,292.2,174.25,CCL
2021-04-26,279.8,279.8,265.1,266.75,267.9,292.2,174.25,CCL
2021-04-23,259.0,272.9,256.1,272.0,268.4,292.2,174.25,CCL
2021-04-22,252.0,261.05,249.85,256.5,256.15,292.2,174.25,CCL
2021-04-20,252.1,264.5,251.2,253.9,254.65,292.2,174.25,CCL
2021-04-19,252.0,253.9,245.85,250.0,250.75,292.2,174.25,CCL
2021-04-16,245.9,258.6,234.8,256.9,256.4,292.2,174.25,CCL
2021-04-15,234.65,244.8,234.65,242.3,241.7,292.2,174.25,CCL
2021-04-13,230.5,242.0,230.2,240.95,239.75,292.2,174.25,CCL
2021-04-12,244.7,244.7,229.6,234.0,232.7,292.2,174.25,CCL
2021-04-09,244.85,248.8,242.1,244.0,243.95,292.2,174.25,CCL
2021-04-08,244.9,249.0,240.65,244.9,244.5,292.2,174.25,CCL
2021-04-07,244.0,245.45,238.15,243.05,242.8,292.2,174.25,CCL
2021-04-06,229.95,242.45,228.0,240.0,239.45,292.2,174.25,CCL
2021-04-05,233.95,233.95,226.35,228.95,228.8,292.2,174.25,CCL
2021-04-01,235.0,239.0,229.1,230.0,230.55,292.2,159.05,CCL
2021-03-31,239.55,239.9,230.5,234.0,233.95,292.2,159.05,CCL
2021-03-30,244.9,244.9,233.8,237.25,238.7,292.2,159.05,CCL
2021-03-26,232.1,239.65,232.1,237.0,236.4,292.2,137.0,CCL
