DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,1460.0,1493.85,1450.6,1485.0,1579.0,455.05,CDSL
2021-11-11,1450.0,1495.0,1443.0,1458.45,1579.0,442.1,CDSL
2021-11-10,1458.0,1468.0,1437.1,1449.5,1579.0,442.1,CDSL
2021-11-09,1446.65,1470.0,1432.25,1453.9,1579.0,442.1,CDSL
2021-11-08,1470.0,1480.0,1430.0,1450.2,1579.0,442.1,CDSL
2021-11-04,1448.0,1482.35,1439.0,1467.9,1579.0,420.3,CDSL
2021-11-03,1375.0,1426.1,1356.15,1411.8,1579.0,420.3,CDSL
2021-11-02,1400.0,1400.0,1368.0,1378.25,1579.0,420.3,CDSL
2021-11-01,1400.0,1400.0,1362.5,1388.15,1579.0,396.1,CDSL
2021-10-29,1325.0,1370.0,1295.0,1353.15,1579.0,363.65,CDSL
2021-10-28,1386.0,1386.0,1328.1,1336.9,1579.0,360.95,CDSL
2021-10-27,1410.0,1419.0,1375.0,1380.35,1579.0,351.2,CDSL
2021-10-26,1359.0,1395.2,1334.25,1395.2,1579.0,337.0,CDSL
2021-10-25,1375.0,1390.0,1280.0,1328.8,1579.0,327.15,CDSL
2021-07-20,1530.5,1577.45,1480.0,1501.7,1579.0,300.0,CDSL
2021-07-19,1437.95,1579.0,1345.05,1537.45,1579.0,300.0,CDSL
2021-07-16,1410.0,1496.9,1410.0,1449.3,1496.9,283.0,CDSL
2021-07-15,1309.0,1424.0,1305.0,1399.5,1424.0,283.0,CDSL
2021-07-14,1244.7,1329.4,1217.1,1304.35,1329.4,283.0,CDSL
2021-07-13,1094.0,1279.8,1090.1,1254.45,1279.8,283.0,CDSL
2021-07-12,1061.0,1093.0,1053.45,1083.35,1093.0,283.0,CDSL
2021-07-09,1042.0,1064.0,1040.95,1052.55,1064.0,280.0,CDSL
2021-07-08,1020.0,1045.0,1010.1,1025.2,1064.0,280.0,CDSL
2021-07-07,1028.95,1028.95,1011.0,1022.55,1064.0,280.0,CDSL
2021-07-06,1042.0,1049.0,1012.0,1023.4,1064.0,280.0,CDSL
2021-07-05,1042.0,1064.0,1034.5,1039.55,1064.0,280.0,CDSL
2021-07-02,987.7,1058.9,980.5,1034.75,1058.9,268.15,CDSL
2021-07-01,983.35,995.0,975.0,981.9,1029.95,268.15,CDSL
2021-06-30,990.95,990.95,974.0,978.55,1029.95,268.15,CDSL
2021-06-29,998.0,998.0,981.7,985.05,1029.95,268.15,CDSL
2021-06-28,980.0,997.5,971.5,992.3,1029.95,268.15,CDSL
2021-06-25,964.9,976.0,964.0,971.9,1029.95,266.0,CDSL
2021-06-24,978.9,978.95,959.0,964.5,1029.95,266.0,CDSL
2021-06-23,979.7,983.65,968.0,972.95,1029.95,266.0,CDSL
2021-06-22,1005.0,1005.0,916.15,967.45,1029.95,266.0,CDSL
2021-06-21,971.0,998.5,962.3,993.75,1029.95,266.0,CDSL
2021-06-18,997.45,999.0,950.05,984.9,1029.95,256.2,CDSL
2021-06-17,1005.0,1007.0,987.3,990.5,1029.95,256.2,CDSL
