DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-16,36.6,38.4,35.1,37.3,37.5,43.25,11.4,CEBBCO
2021-07-15,38.15,39.0,36.9,36.9,36.9,43.25,11.4,CEBBCO
2021-07-14,40.75,40.8,38.8,38.8,38.8,43.25,11.4,CEBBCO
2021-07-13,43.0,43.25,39.65,41.3,40.8,43.25,11.4,CEBBCO
2021-07-12,39.5,41.2,39.5,41.2,41.2,41.3,11.4,CEBBCO
2021-07-09,38.5,40.4,38.5,39.3,39.25,41.3,11.4,CEBBCO
2021-07-08,40.0,40.05,37.55,38.5,38.5,41.3,11.4,CEBBCO
2021-07-07,41.3,41.3,37.4,38.55,38.25,41.3,11.4,CEBBCO
2021-07-06,39.35,39.35,39.35,39.35,39.35,39.35,11.4,CEBBCO
2021-07-05,37.5,37.5,37.5,37.5,37.5,37.5,11.4,CEBBCO
2021-07-02,35.75,35.75,34.9,35.75,35.75,35.75,11.4,CEBBCO
2021-07-01,32.45,34.05,32.4,34.05,34.05,35.5,11.4,CEBBCO
2021-06-30,34.8,34.9,32.45,32.45,32.45,35.5,11.4,CEBBCO
2021-06-29,33.5,34.15,32.0,34.15,34.15,35.5,11.4,CEBBCO
2021-06-28,29.45,32.55,29.45,32.55,32.55,35.5,11.4,CEBBCO
2021-06-25,31.55,31.65,31.0,31.0,31.0,35.5,11.4,CEBBCO
2021-06-24,33.5,35.5,32.6,32.6,32.6,35.5,11.4,CEBBCO
2021-06-23,34.5,34.5,31.65,34.2,34.3,34.5,11.4,CEBBCO
2021-06-22,32.9,32.9,32.0,32.9,32.9,32.9,11.4,CEBBCO
2021-06-21,30.8,31.35,29.9,31.35,31.35,31.35,11.4,CEBBCO
2021-06-18,29.9,29.9,27.1,29.9,29.9,30.4,11.4,CEBBCO
2021-06-17,28.5,28.5,28.5,28.5,28.5,30.4,11.4,CEBBCO
2021-06-16,27.15,27.15,27.15,27.15,27.15,30.4,11.4,CEBBCO
2021-06-15,25.9,25.9,25.9,25.9,25.9,30.4,11.4,CEBBCO
2021-06-14,24.7,24.7,24.7,24.7,24.7,30.4,11.4,CEBBCO
2021-06-11,23.55,23.55,23.55,23.55,23.55,30.4,11.4,CEBBCO
2021-06-10,21.4,22.45,21.4,22.45,22.45,30.4,11.4,CEBBCO
2021-06-09,21.95,21.95,21.15,21.45,21.4,30.4,11.4,CEBBCO
2021-06-08,20.9,21.35,20.5,21.0,20.95,30.4,11.4,CEBBCO
