DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-08-04,55.05,55.9,52.25,52.55,52.6,62.45,29.2,CMICABLES
2021-08-03,55.8,56.35,53.6,54.75,54.6,62.45,29.2,CMICABLES
2021-08-02,54.6,59.35,53.8,55.5,54.8,62.45,29.2,CMICABLES
2021-07-30,56.95,57.85,53.7,56.0,54.85,62.45,29.2,CMICABLES
2021-07-29,53.9,57.4,53.8,56.8,56.35,62.45,29.2,CMICABLES
2021-07-28,54.9,54.9,51.3,53.7,53.7,62.45,29.2,CMICABLES
2021-07-27,56.45,56.5,53.75,54.0,54.35,62.45,29.2,CMICABLES
2021-07-26,56.1,58.0,54.45,55.15,55.35,62.45,29.2,CMICABLES
2021-07-23,59.9,59.9,55.0,55.65,55.55,62.45,29.2,CMICABLES
2021-07-22,52.9,57.35,52.5,57.35,57.35,62.45,29.2,CMICABLES
2021-07-20,54.7,54.7,51.35,52.35,52.15,62.45,29.2,CMICABLES
2021-07-19,53.5,57.2,53.5,54.65,54.25,62.45,29.2,CMICABLES
2021-07-16,56.5,58.8,52.7,54.8,54.25,62.45,29.2,CMICABLES
2021-07-15,60.65,60.7,55.25,55.4,55.65,62.45,29.2,CMICABLES
2021-07-14,54.9,57.9,54.9,57.9,57.9,62.45,29.2,CMICABLES
2021-07-13,51.4,54.95,50.5,54.3,52.65,62.45,29.2,CMICABLES
2021-07-12,51.85,51.85,50.15,50.35,50.35,62.45,29.2,CMICABLES
2021-07-09,51.55,52.65,49.65,50.75,50.35,62.45,29.2,CMICABLES
2021-07-08,52.75,53.8,51.25,52.75,52.0,62.45,29.2,CMICABLES
2021-07-07,52.9,55.15,52.1,52.9,52.7,62.45,29.2,CMICABLES
2021-07-06,56.45,56.7,52.0,53.0,52.75,62.45,29.2,CMICABLES
2021-07-05,53.4,56.7,52.5,54.75,54.1,62.45,29.2,CMICABLES
2021-07-02,53.25,53.55,52.2,53.0,52.65,62.45,29.2,CMICABLES
2021-07-01,53.35,54.7,52.0,53.55,53.3,62.45,29.2,CMICABLES
2021-06-30,55.5,55.5,52.0,52.3,52.45,62.45,29.2,CMICABLES
2021-06-29,50.15,54.5,50.15,54.25,54.1,62.45,29.2,CMICABLES
2021-06-28,54.0,54.0,50.65,51.75,51.3,62.45,29.2,CMICABLES
2021-06-25,55.85,57.9,52.5,53.75,54.0,62.45,29.2,CMICABLES
2021-06-24,54.0,58.2,53.0,55.7,55.1,62.45,29.2,CMICABLES
2021-06-23,48.95,53.25,48.95,53.25,53.25,62.45,29.2,CMICABLES
2021-06-22,48.9,49.9,47.65,48.55,48.45,62.45,29.2,CMICABLES
2021-06-21,46.35,48.5,45.6,47.9,47.5,62.45,29.2,CMICABLES
