DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,54.4,55.95,53.1,54.0,83.55,38.0,CORDSCABLE
2021-11-11,53.5,55.95,53.2,54.25,83.55,38.0,CORDSCABLE
2021-11-10,53.65,54.75,53.1,54.15,83.55,38.0,CORDSCABLE
2021-11-09,54.95,55.7,52.1,53.05,83.55,38.0,CORDSCABLE
2021-11-08,55.5,55.5,53.65,54.3,83.55,38.0,CORDSCABLE
2021-11-04,54.2,54.9,53.55,54.45,83.55,38.0,CORDSCABLE
2021-11-03,54.9,55.6,53.1,53.85,83.55,38.0,CORDSCABLE
2021-11-02,53.15,56.8,52.3,54.6,83.55,38.0,CORDSCABLE
2021-11-01,53.6,53.65,52.5,52.7,83.55,38.0,CORDSCABLE
2021-10-29,53.05,53.95,52.1,52.35,83.55,38.0,CORDSCABLE
2021-10-28,54.45,54.6,52.9,53.05,83.55,38.0,CORDSCABLE
2021-10-27,55.7,55.7,53.65,54.05,83.55,38.0,CORDSCABLE
2021-10-26,53.15,56.0,53.0,55.35,83.55,38.0,CORDSCABLE
2021-10-25,54.0,55.05,52.55,53.25,83.55,38.0,CORDSCABLE
2021-10-22,54.6,55.3,53.2,53.95,83.55,38.0,CORDSCABLE
2021-10-21,53.65,57.0,52.65,54.75,83.55,38.0,CORDSCABLE
2021-10-20,55.65,55.65,53.0,53.55,83.55,38.0,CORDSCABLE
2021-10-19,57.8,58.0,55.5,55.65,83.55,38.0,CORDSCABLE
2021-10-18,57.75,58.8,57.0,57.2,83.55,38.0,CORDSCABLE
2021-10-14,58.8,59.75,56.2,57.95,83.55,37.55,CORDSCABLE
2021-10-13,57.9,60.85,56.85,57.85,83.55,37.55,CORDSCABLE
2021-10-12,56.35,57.75,56.35,57.0,83.55,37.55,CORDSCABLE
2021-10-11,56.35,57.9,56.0,56.3,83.55,37.55,CORDSCABLE
2021-10-08,57.85,58.6,56.1,56.4,83.55,37.55,CORDSCABLE
2021-10-07,58.0,58.9,56.6,57.6,83.55,37.55,CORDSCABLE
2021-10-06,54.9,63.0,54.75,58.35,83.55,37.55,CORDSCABLE
2021-10-05,53.05,54.95,53.05,54.65,83.55,37.55,CORDSCABLE
2021-10-04,54.35,54.5,52.8,53.5,83.55,37.55,CORDSCABLE
2021-10-01,53.45,53.85,52.5,53.3,83.55,37.55,CORDSCABLE
2021-09-30,54.4,54.55,53.2,53.45,83.55,37.55,CORDSCABLE
2021-09-29,53.5,54.65,52.55,53.65,83.55,37.55,CORDSCABLE
2021-09-28,55.0,55.0,52.35,53.0,83.55,37.55,CORDSCABLE
2021-09-27,54.1,54.7,53.35,53.5,83.55,37.55,CORDSCABLE
2021-09-24,53.65,55.45,53.2,54.55,83.55,37.55,CORDSCABLE
2021-09-23,54.9,54.9,53.3,53.65,83.55,37.55,CORDSCABLE
2021-09-22,52.6,56.0,52.6,54.25,83.55,37.55,CORDSCABLE
2021-09-21,53.9,53.9,52.1,52.85,83.55,37.55,CORDSCABLE
2021-09-20,54.0,54.75,52.6,53.0,83.55,37.55,CORDSCABLE
2021-09-17,56.9,57.0,54.0,54.7,83.55,37.55,CORDSCABLE
2021-09-16,55.15,56.9,55.1,56.45,83.55,37.55,CORDSCABLE
