DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,785.0,792.0,778.0,785.6,956.0,700.0,COROMANDEL
2021-10-28,803.3,808.45,774.05,796.9,956.0,700.0,COROMANDEL
2021-10-27,808.9,817.0,801.25,803.3,956.0,700.0,COROMANDEL
2021-10-26,814.8,816.25,799.05,807.9,956.0,700.0,COROMANDEL
2021-10-25,825.0,826.5,792.0,814.15,956.0,700.0,COROMANDEL
2021-10-22,835.0,846.95,820.0,824.25,956.0,682.0,COROMANDEL
2021-10-21,834.0,848.4,824.8,830.65,956.0,682.0,COROMANDEL
2021-10-20,840.0,845.7,820.55,835.5,956.0,682.0,COROMANDEL
2021-10-19,857.0,869.75,835.5,841.15,956.0,682.0,COROMANDEL
2021-10-18,863.5,876.75,850.85,857.35,956.0,682.0,COROMANDEL
2021-10-14,871.8,887.95,860.5,863.2,956.0,682.0,COROMANDEL
2021-10-13,859.95,882.65,856.8,869.6,956.0,682.0,COROMANDEL
2021-10-12,841.0,886.4,841.0,852.8,956.0,682.0,COROMANDEL
2021-10-11,859.8,876.75,850.8,856.9,956.0,682.0,COROMANDEL
2021-10-08,858.0,879.8,844.8,859.15,956.0,682.0,COROMANDEL
2021-10-07,870.0,874.9,841.5,857.8,956.0,682.0,COROMANDEL
2021-10-06,831.0,865.0,829.2,857.0,956.0,682.0,COROMANDEL
2021-10-05,800.0,830.0,799.3,827.05,956.0,682.0,COROMANDEL
2021-10-04,802.0,811.0,798.15,800.9,956.0,682.0,COROMANDEL
2021-10-01,790.8,802.0,788.1,799.9,956.0,682.0,COROMANDEL
2021-09-30,801.3,808.0,791.5,794.45,956.0,682.0,COROMANDEL
2021-09-29,791.6,814.95,788.0,797.15,956.0,682.0,COROMANDEL
2021-09-28,798.0,806.65,785.2,799.0,956.0,682.0,COROMANDEL
2021-09-27,807.75,815.3,793.5,797.15,956.0,682.0,COROMANDEL
2021-09-24,807.6,827.75,782.7,807.4,956.0,682.0,COROMANDEL
2021-09-23,824.85,833.45,802.75,806.15,956.0,682.0,COROMANDEL
2021-09-22,806.1,825.6,806.1,818.75,956.0,682.0,COROMANDEL
2021-09-21,787.0,808.55,782.0,806.3,956.0,682.0,COROMANDEL
2021-09-20,805.0,814.65,785.0,793.5,956.0,682.0,COROMANDEL
2021-09-17,833.35,836.95,802.4,807.6,956.0,682.0,COROMANDEL
2021-09-16,831.35,845.35,830.75,833.5,956.0,682.0,COROMANDEL
2021-09-15,827.15,835.95,825.1,831.35,956.0,682.0,COROMANDEL
2021-09-14,834.5,835.95,821.65,827.2,956.0,682.0,COROMANDEL
2021-09-13,821.5,839.6,807.05,835.05,956.0,682.0,COROMANDEL
2021-09-09,789.1,829.7,789.1,814.4,956.0,682.0,COROMANDEL
2021-09-08,790.1,793.7,779.15,789.1,956.0,682.0,COROMANDEL
2021-09-07,798.65,801.8,786.9,788.65,956.0,682.0,COROMANDEL
2021-09-06,806.9,806.9,792.1,797.65,956.0,682.0,COROMANDEL
2021-09-03,803.5,808.25,791.55,799.25,956.0,682.0,COROMANDEL
2021-09-02,794.95,819.1,794.95,801.45,956.0,682.0,COROMANDEL
2021-09-01,792.5,802.9,789.05,794.95,956.0,682.0,COROMANDEL
2021-08-31,793.75,796.95,779.1,792.9,956.0,682.0,COROMANDEL
2021-08-30,770.3,790.85,770.3,786.85,956.0,682.0,COROMANDEL
2021-08-27,767.8,782.95,765.15,766.8,956.0,682.0,COROMANDEL
2021-08-26,773.7,783.6,764.95,767.8,956.0,682.0,COROMANDEL
2021-08-25,784.35,790.95,772.05,773.0,956.0,682.0,COROMANDEL
2021-08-24,798.0,805.7,781.1,783.85,956.0,682.0,COROMANDEL
2021-08-23,822.45,827.85,780.2,794.75,956.0,682.0,COROMANDEL
2021-08-20,839.95,845.95,810.1,821.1,956.0,682.0,COROMANDEL
2021-08-18,827.8,854.0,822.95,848.7,956.0,682.0,COROMANDEL
2021-08-17,822.05,829.7,817.4,826.2,956.0,682.0,COROMANDEL
2021-08-16,835.7,840.0,816.7,824.85,956.0,682.0,COROMANDEL
2021-08-13,828.0,842.45,825.75,835.85,956.0,682.0,COROMANDEL
2021-08-12,819.8,837.8,815.1,823.95,956.0,682.0,COROMANDEL
2021-08-11,831.5,835.0,785.55,816.85,956.0,682.0,COROMANDEL
2021-08-10,851.0,863.95,809.2,827.15,956.0,682.0,COROMANDEL
2021-08-09,858.0,866.45,849.35,851.3,956.0,682.0,COROMANDEL
2021-08-06,845.05,868.0,841.1,858.3,956.0,682.0,COROMANDEL
2021-08-05,871.05,876.65,820.35,841.85,956.0,682.0,COROMANDEL
2021-08-04,897.9,897.9,863.05,869.0,956.0,682.0,COROMANDEL
2021-08-03,916.0,917.05,881.55,890.15,956.0,682.0,COROMANDEL
2021-08-02,920.0,929.8,906.85,913.8,956.0,682.0,COROMANDEL
2021-07-30,861.95,924.95,861.9,918.0,956.0,682.0,COROMANDEL
2021-07-29,875.0,881.45,859.4,864.5,956.0,682.0,COROMANDEL
2021-07-28,891.65,893.8,855.55,871.55,956.0,682.0,COROMANDEL
2021-07-27,922.5,923.3,882.5,887.1,956.0,682.0,COROMANDEL
