DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-09-24,28.5,28.73,28.08,28.24,28.73,15.65,CPSEETF
2021-09-23,28.15,28.57,28.0,28.53,28.57,15.65,CPSEETF
2021-09-22,27.94,28.1,27.71,28.0,28.5,15.65,CPSEETF
2021-09-21,27.54,27.85,27.31,27.79,28.5,15.65,CPSEETF
2021-09-20,27.8,27.8,27.3,27.45,28.5,15.65,CPSEETF
2021-09-17,28.11,28.15,27.4,27.74,28.5,15.65,CPSEETF
2021-09-16,28.1,28.15,27.9,28.03,28.5,15.65,CPSEETF
2021-09-15,27.05,28.05,26.97,27.98,28.5,15.65,CPSEETF
2021-09-14,26.8,27.05,26.68,26.97,28.5,15.65,CPSEETF
2021-09-13,26.6,26.77,26.31,26.74,28.5,15.65,CPSEETF
2021-09-09,26.42,26.64,25.6,26.6,28.5,15.65,CPSEETF
2021-09-08,26.18,26.42,25.92,26.38,28.5,15.65,CPSEETF
2021-09-07,26.29,26.4,26.01,26.09,28.5,15.65,CPSEETF
2021-09-06,26.4,26.48,26.06,26.27,28.5,15.65,CPSEETF
2021-09-03,25.97,26.43,25.97,26.38,28.5,15.65,CPSEETF
2021-09-02,26.0,26.02,25.86,26.0,28.5,15.65,CPSEETF
2021-09-01,25.95,26.1,25.75,25.95,28.5,15.65,CPSEETF
2021-08-31,25.69,25.98,24.3,25.93,28.5,15.65,CPSEETF
2021-08-30,25.5,25.89,25.35,25.8,28.5,15.65,CPSEETF
2021-08-27,25.39,25.44,25.02,25.38,28.5,15.65,CPSEETF
2021-08-26,24.55,25.5,24.45,25.17,28.5,15.65,CPSEETF
2021-08-25,25.16,25.48,25.02,25.39,28.5,15.65,CPSEETF
2021-08-24,24.7,25.29,24.7,25.16,28.5,15.65,CPSEETF
2021-08-23,25.2,25.3,24.43,24.82,28.5,15.65,CPSEETF
2021-08-20,25.65,25.65,24.95,24.99,28.5,15.65,CPSEETF
2021-08-18,25.85,25.97,25.51,25.57,28.5,15.65,CPSEETF
2021-08-17,26.2,26.2,25.61,25.73,28.5,15.65,CPSEETF
2021-08-16,25.99,26.22,25.88,25.93,28.5,15.65,CPSEETF
2021-08-13,26.11,26.28,25.97,26.1,28.5,15.65,CPSEETF
2021-08-12,26.0,26.26,25.72,26.22,28.5,15.65,CPSEETF
2021-08-11,25.49,25.85,25.22,25.77,28.5,15.65,CPSEETF
2021-08-10,25.94,25.94,25.15,25.31,28.5,15.65,CPSEETF
2021-08-09,26.38,26.38,25.7,25.73,28.5,15.65,CPSEETF
2021-08-06,26.25,26.25,25.76,26.11,28.5,15.65,CPSEETF
2021-08-05,26.03,26.18,25.69,25.94,28.5,15.65,CPSEETF
2021-08-04,24.5,26.34,24.5,26.03,28.5,15.65,CPSEETF
2021-08-03,25.95,26.16,25.87,26.11,28.5,15.65,CPSEETF
2021-08-02,26.2,26.2,25.8,26.0,28.5,15.65,CPSEETF
2021-07-30,26.19,26.19,25.67,26.02,28.5,15.65,CPSEETF
2021-07-29,25.82,25.98,25.61,25.79,28.5,15.65,CPSEETF
2021-07-28,26.2,26.2,25.57,25.82,28.5,15.65,CPSEETF
2021-07-27,26.2,26.2,25.8,25.88,28.5,15.65,CPSEETF
2021-07-26,26.02,26.13,25.55,25.98,28.5,15.65,CPSEETF
2021-07-23,25.85,26.24,25.01,25.97,28.5,15.65,CPSEETF
2021-07-22,25.95,26.1,25.8,26.05,28.5,15.65,CPSEETF
2021-07-20,26.13,26.13,25.65,25.8,28.5,15.65,CPSEETF
2021-07-19,27.5,28.5,25.78,26.12,28.5,15.65,CPSEETF
2021-07-16,26.2,26.21,26.0,26.13,27.5,15.65,CPSEETF
2021-07-15,26.99,26.99,26.08,26.1,27.5,15.65,CPSEETF
2021-07-14,26.26,26.47,26.0,26.39,27.5,15.65,CPSEETF
2021-07-13,26.4,26.4,26.0,26.26,27.5,15.65,CPSEETF
2021-07-12,26.39,26.39,26.0,26.12,27.5,15.65,CPSEETF
2021-07-09,26.09,26.09,25.7,26.03,27.5,15.65,CPSEETF
2021-07-08,26.25,26.3,25.9,25.98,27.5,15.65,CPSEETF
2021-07-07,26.39,26.39,25.95,26.19,27.5,15.65,CPSEETF
2021-07-06,26.35,26.53,26.16,26.19,27.5,15.65,CPSEETF
2021-07-05,26.4,26.41,26.16,26.36,27.5,15.65,CPSEETF
2021-07-02,26.25,26.41,26.0,26.16,27.5,15.65,CPSEETF
2021-07-01,26.23,26.34,25.91,26.25,27.5,15.65,CPSEETF
2021-06-30,26.45,26.5,26.06,26.1,27.5,15.65,CPSEETF
2021-06-29,26.4,26.5,26.14,26.21,27.5,15.65,CPSEETF
2021-06-28,27.5,27.5,26.18,26.42,27.5,15.65,CPSEETF
2021-06-25,26.33,26.4,26.04,26.18,27.28,15.65,CPSEETF
2021-06-24,26.29,26.43,26.01,26.17,27.28,15.65,CPSEETF
2021-06-23,26.45,26.45,26.07,26.29,27.28,15.65,CPSEETF
2021-06-22,26.22,26.29,25.75,26.12,27.28,15.65,CPSEETF
2021-06-21,25.3,26.04,24.51,25.98,27.28,15.65,CPSEETF
2021-06-18,26.32,26.44,25.22,25.55,27.28,15.65,CPSEETF
2021-06-17,26.62,26.62,26.01,26.22,27.28,15.65,CPSEETF
2021-06-16,27.2,27.28,26.48,26.6,27.28,15.65,CPSEETF
2021-06-15,26.8,27.0,26.51,26.78,27.0,15.65,CPSEETF
2021-06-14,26.77,26.84,26.1,26.8,26.94,15.65,CPSEETF
2021-06-11,26.6,26.94,26.21,26.81,26.94,15.65,CPSEETF
2021-06-10,26.5,26.68,26.33,26.4,26.88,15.65,CPSEETF
2021-06-09,26.44,26.88,26.19,26.35,26.88,15.65,CPSEETF
2021-06-08,26.28,26.44,25.83,26.19,26.44,15.65,CPSEETF
2021-06-07,26.0,26.42,25.9,26.28,26.42,15.65,CPSEETF
2021-06-04,25.8,25.95,25.45,25.9,26.28,15.65,CPSEETF
2021-06-03,25.4,25.58,25.22,25.52,26.28,15.65,CPSEETF
2021-06-02,25.05,25.3,24.9,25.26,26.28,15.65,CPSEETF
2021-06-01,24.95,25.22,24.86,25.01,26.28,15.65,CPSEETF
2021-05-31,24.71,24.99,24.51,24.85,26.28,15.65,CPSEETF
2021-05-28,24.99,25.04,24.7,24.72,26.28,15.65,CPSEETF
2021-05-27,25.0,25.01,24.7,24.79,26.28,15.65,CPSEETF
2021-05-26,25.49,25.49,24.8,24.85,26.28,15.65,CPSEETF
2021-05-25,25.45,25.6,25.16,25.22,26.28,15.65,CPSEETF
2021-05-24,25.13,25.35,24.81,25.24,26.28,15.65,CPSEETF
2021-05-21,25.17,25.44,24.95,25.05,26.28,15.65,CPSEETF
2021-05-20,25.5,25.5,24.97,25.02,26.28,15.65,CPSEETF
2021-05-19,25.5,25.55,24.5,25.46,26.28,15.65,CPSEETF
2021-05-18,25.05,25.66,25.05,25.35,26.28,15.65,CPSEETF
2021-05-17,25.17,25.17,24.76,25.1,26.28,15.65,CPSEETF
2021-05-14,25.74,25.89,24.62,24.91,26.28,15.65,CPSEETF
2021-05-12,25.69,26.28,25.24,25.5,26.28,15.65,CPSEETF
2021-05-11,24.67,25.63,24.0,25.53,25.63,15.65,CPSEETF
2021-05-10,24.0,24.8,23.5,24.72,24.9,15.65,CPSEETF
2021-05-07,23.7,23.91,23.52,23.79,24.9,15.65,CPSEETF
2021-05-06,23.43,23.7,23.32,23.49,24.9,15.65,CPSEETF
2021-05-05,23.4,23.6,23.34,23.48,24.9,15.65,CPSEETF
2021-05-04,23.19,23.52,23.11,23.19,24.9,15.65,CPSEETF
2021-05-03,22.93,23.23,22.75,23.13,24.9,15.65,CPSEETF
2021-04-30,22.65,23.48,22.51,23.12,24.9,15.65,CPSEETF
2021-04-29,22.69,22.98,22.65,22.73,24.9,15.65,CPSEETF
2021-04-28,22.69,22.7,22.45,22.67,24.9,15.65,CPSEETF
2021-04-27,22.45,22.57,22.34,22.46,24.9,15.65,CPSEETF
2021-04-26,22.5,22.5,22.13,22.35,24.9,15.65,CPSEETF
2021-04-23,21.82,22.25,21.75,22.13,24.9,13.7,CPSEETF
2021-04-22,21.99,21.99,21.5,21.82,24.9,13.7,CPSEETF
2021-04-20,22.5,22.5,21.66,21.74,24.9,13.7,CPSEETF
2021-04-19,22.58,22.58,21.61,21.71,24.9,13.7,CPSEETF
2021-04-16,22.34,22.68,22.14,22.58,24.9,13.7,CPSEETF
2021-04-15,22.0,22.5,21.75,22.26,24.9,13.7,CPSEETF
2021-04-13,21.51,22.13,21.1,22.03,24.9,13.7,CPSEETF
2021-04-12,23.0,23.0,21.3,21.36,24.9,13.7,CPSEETF
2021-04-09,22.89,22.9,22.45,22.5,24.9,13.7,CPSEETF
2021-04-08,22.74,22.9,22.65,22.73,24.9,13.7,CPSEETF
2021-04-07,22.79,22.86,22.5,22.64,24.9,13.7,CPSEETF
2021-04-06,22.92,23.04,22.5,22.59,24.9,13.7,CPSEETF
2021-04-05,22.94,22.94,22.3,22.69,24.9,13.7,CPSEETF
2021-04-01,22.66,23.04,22.61,22.89,24.9,13.7,CPSEETF
2021-03-31,22.89,22.95,22.53,22.66,24.9,13.7,CPSEETF
2021-03-30,22.25,22.95,22.25,22.83,24.9,13.7,CPSEETF
2021-03-26,22.69,22.69,22.1,22.2,24.9,11.54,CPSEETF
2021-03-25,22.89,22.89,22.15,22.17,24.9,11.54,CPSEETF
2021-03-24,23.17,23.17,22.7,22.73,24.9,11.54,CPSEETF
2021-03-23,23.3,23.48,23.05,23.07,24.9,11.54,CPSEETF
2021-03-22,23.48,23.5,23.12,23.33,24.9,11.54,CPSEETF
2021-03-19,22.99,23.6,22.22,23.39,24.9,11.54,CPSEETF
2021-03-18,23.65,23.65,22.51,23.0,24.9,11.54,CPSEETF
2021-03-17,24.09,24.09,23.2,23.31,24.9,11.54,CPSEETF
2021-03-16,23.91,24.1,23.11,23.95,24.9,11.54,CPSEETF
2021-03-15,24.02,24.02,23.63,23.94,24.9,11.54,CPSEETF
2021-03-12,23.91,24.19,23.5,23.86,24.9,11.54,CPSEETF
2021-03-10,24.1,24.19,23.63,23.81,24.9,11.54,CPSEETF
2021-03-09,24.69,24.9,23.71,23.97,24.9,11.54,CPSEETF
2021-03-08,24.21,24.7,24.02,24.43,24.7,11.54,CPSEETF
2021-03-05,24.33,24.42,23.85,23.98,24.55,11.54,CPSEETF
2021-03-04,24.49,24.49,23.91,24.17,24.55,11.54,CPSEETF
2021-03-03,24.42,24.55,24.25,24.38,24.55,11.54,CPSEETF
2021-03-02,24.25,24.52,24.11,24.25,24.52,11.54,CPSEETF
2021-03-01,23.71,24.24,23.35,24.15,24.3,11.54,CPSEETF
2021-02-26,23.4,24.3,22.7,23.48,24.3,11.54,CPSEETF
2021-02-25,23.21,24.3,23.16,24.15,24.3,11.54,CPSEETF
2021-02-24,22.86,23.28,22.86,23.08,23.98,11.54,CPSEETF
2021-02-23,22.6,23.05,22.59,22.86,23.98,11.54,CPSEETF
2021-02-22,22.95,22.95,22.33,22.41,23.98,11.54,CPSEETF
2021-02-19,23.37,23.98,22.61,22.77,23.98,11.54,CPSEETF
2021-02-18,22.43,23.41,22.21,23.22,23.41,11.54,CPSEETF
2021-02-17,21.94,22.24,21.5,22.21,22.61,11.54,CPSEETF
2021-02-16,21.44,22.1,21.25,21.94,22.61,11.54,CPSEETF
2021-02-15,20.05,21.49,20.05,21.25,22.61,11.54,CPSEETF
2021-02-12,21.7,21.74,21.15,21.26,22.61,11.54,CPSEETF
2021-02-11,21.84,21.84,21.5,21.59,22.61,11.54,CPSEETF
2021-02-10,21.94,21.94,21.46,21.64,22.61,11.54,CPSEETF
2021-02-09,21.9,22.04,21.65,21.73,22.61,11.54,CPSEETF
2021-02-08,21.7,21.89,21.41,21.74,22.61,11.54,CPSEETF
2021-02-05,21.6,22.05,21.32,21.54,22.61,11.54,CPSEETF
2021-02-04,21.03,21.6,20.83,21.57,22.61,11.54,CPSEETF
2021-02-03,20.75,21.1,20.27,20.99,22.61,11.54,CPSEETF
2021-02-02,20.0,20.5,19.9,20.37,22.61,11.54,CPSEETF
2021-02-01,19.99,20.05,19.44,19.88,22.61,11.54,CPSEETF
2021-01-29,20.19,20.19,19.43,19.59,22.61,11.54,CPSEETF
2021-01-28,19.95,19.95,19.64,19.83,22.61,11.54,CPSEETF
2021-01-27,20.16,20.35,19.85,19.97,22.61,11.54,CPSEETF
2021-01-25,20.56,20.75,20.0,20.13,22.61,11.54,CPSEETF
2021-01-22,21.09,21.09,20.35,20.41,23.79,11.54,CPSEETF
2021-01-21,21.3,21.37,20.76,20.87,23.79,11.54,CPSEETF
2021-01-20,21.5,21.5,21.1,21.29,23.79,11.54,CPSEETF
2021-01-19,21.2,21.39,21.11,21.31,23.79,11.54,CPSEETF
2021-01-18,21.57,21.6,20.9,21.05,23.79,11.54,CPSEETF
2021-01-15,22.61,22.61,21.56,21.62,23.88,11.54,CPSEETF
2021-01-14,22.16,22.3,21.98,22.08,23.88,11.54,CPSEETF
2021-01-13,22.0,22.31,21.76,22.01,23.88,11.54,CPSEETF
2021-01-12,21.63,22.01,21.43,21.87,23.88,11.54,CPSEETF
2021-01-11,21.49,21.69,21.31,21.63,23.88,11.54,CPSEETF
2021-01-08,21.12,21.6,21.11,21.48,23.88,11.54,CPSEETF
2021-01-07,20.94,21.22,20.92,21.09,23.88,11.54,CPSEETF
2021-01-06,20.88,21.11,20.62,20.92,23.88,11.54,CPSEETF
2021-01-05,20.82,20.82,20.55,20.61,23.88,11.54,CPSEETF
2021-01-04,20.73,20.9,20.44,20.82,23.88,11.54,CPSEETF
2021-01-01,20.5,20.55,20.36,20.44,23.88,11.54,CPSEETF
2020-12-31,20.49,20.53,20.3,20.36,23.88,11.54,CPSEETF
2020-12-30,20.49,20.49,20.1,20.35,23.88,11.54,CPSEETF
2020-12-29,20.73,20.75,20.2,20.32,23.88,11.54,CPSEETF
2020-12-28,20.53,20.6,20.17,20.5,23.88,11.54,CPSEETF
2020-12-24,20.49,20.56,19.76,20.27,23.88,11.54,CPSEETF
2020-12-23,20.05,20.14,19.83,20.06,23.88,11.54,CPSEETF
2020-12-22,19.72,20.49,19.2,19.97,23.88,11.54,CPSEETF
2020-12-21,21.09,21.1,19.52,19.72,23.88,11.54,CPSEETF
2020-12-18,21.33,21.35,20.85,21.04,23.88,11.54,CPSEETF
2020-12-17,21.49,21.49,21.18,21.2,23.88,11.54,CPSEETF
2020-12-16,21.3,21.48,21.18,21.37,23.88,11.54,CPSEETF
2020-12-15,21.1,21.25,20.81,21.15,23.88,11.54,CPSEETF
2020-12-14,20.65,21.2,20.49,21.1,23.88,11.54,CPSEETF
2020-12-11,20.0,20.89,19.87,20.49,23.88,11.54,CPSEETF
2020-12-10,20.19,20.27,19.71,19.98,23.88,11.54,CPSEETF
2020-12-09,20.07,20.28,19.91,19.98,23.88,11.54,CPSEETF
2020-12-08,20.35,20.35,19.81,19.95,23.88,11.54,CPSEETF
2020-12-07,19.99,20.33,19.83,20.21,23.88,11.54,CPSEETF
2020-12-04,19.83,20.1,19.75,19.99,23.88,11.54,CPSEETF
2020-12-03,19.39,19.9,19.27,19.83,23.88,11.54,CPSEETF
2020-12-02,19.03,19.4,18.95,19.39,23.88,11.54,CPSEETF
2020-12-01,18.65,19.06,17.7,19.03,23.88,11.54,CPSEETF
2020-11-27,18.82,19.04,18.6,18.79,23.88,11.54,CPSEETF
2020-11-26,18.74,18.85,18.67,18.82,23.88,11.54,CPSEETF
2020-11-25,18.6,18.9,18.53,18.74,23.88,11.54,CPSEETF
2020-11-24,18.4,18.65,18.36,18.58,23.88,11.54,CPSEETF
2020-11-23,18.04,18.49,17.92,18.44,23.88,11.54,CPSEETF
2020-11-20,17.95,18.1,17.69,18.04,24.25,11.54,CPSEETF
2020-11-19,17.76,18.3,16.9,17.79,24.25,11.54,CPSEETF
2020-11-18,17.75,17.88,17.56,17.75,24.25,11.54,CPSEETF
2020-11-17,18.25,18.25,17.64,17.79,24.25,11.54,CPSEETF
2020-11-14,17.83,17.89,17.57,17.77,24.46,11.54,CPSEETF
2020-11-13,17.67,17.73,17.0,17.7,24.46,11.54,CPSEETF
2020-11-12,17.8,17.85,17.52,17.62,24.46,11.54,CPSEETF
2020-11-11,17.55,17.89,17.5,17.78,24.46,11.54,CPSEETF
2020-11-10,17.48,17.59,17.11,17.55,24.46,11.54,CPSEETF
2020-11-09,17.0,17.24,16.6,17.2,24.46,11.54,CPSEETF
2020-11-06,16.9,17.0,16.67,16.95,25.11,11.54,CPSEETF
2020-11-05,16.5,16.89,16.48,16.85,25.11,11.54,CPSEETF
2020-11-04,16.65,16.75,16.33,16.48,25.11,11.54,CPSEETF
2020-11-03,16.52,16.73,16.46,16.6,25.11,11.54,CPSEETF
2020-11-02,16.49,16.58,16.2,16.52,25.11,11.54,CPSEETF
2020-10-30,16.22,16.45,15.81,16.35,25.11,11.54,CPSEETF
2020-10-29,16.3,16.48,16.15,16.22,25.11,11.54,CPSEETF
2020-10-28,16.54,16.59,16.39,16.4,25.11,11.54,CPSEETF
2020-10-27,16.52,16.66,16.41,16.54,25.11,11.54,CPSEETF
2020-10-26,16.72,16.79,16.4,16.49,25.11,11.54,CPSEETF
2020-10-23,16.48,16.75,16.47,16.72,25.11,11.54,CPSEETF
2020-10-22,16.21,16.6,16.13,16.47,25.11,11.54,CPSEETF
2020-10-21,16.06,16.4,15.99,16.2,25.11,11.54,CPSEETF
2020-10-20,16.35,16.45,15.93,15.99,25.11,11.54,CPSEETF
2020-10-19,15.84,16.24,15.84,16.12,25.11,11.54,CPSEETF
2020-10-16,15.81,15.88,15.65,15.84,25.11,11.54,CPSEETF
2020-10-15,15.98,15.98,15.68,15.72,25.11,11.54,CPSEETF
2020-10-14,16.11,16.11,15.72,15.87,25.11,11.54,CPSEETF
2020-10-13,16.5,16.5,16.05,16.06,25.11,11.54,CPSEETF
2020-10-12,16.35,16.35,16.06,16.1,25.11,11.54,CPSEETF
2020-10-09,16.13,16.26,16.0,16.2,25.11,11.54,CPSEETF
2020-10-08,16.38,16.38,16.06,16.1,25.11,11.54,CPSEETF
2020-10-07,16.75,16.75,16.28,16.29,25.11,11.54,CPSEETF
2020-10-06,16.48,16.8,16.37,16.43,25.11,11.54,CPSEETF
2020-10-05,16.64,16.69,16.42,16.46,25.11,11.54,CPSEETF
2020-10-01,16.45,16.55,16.41,16.47,25.11,11.54,CPSEETF
2020-09-30,16.96,16.96,16.3,16.43,25.11,11.54,CPSEETF
2020-09-29,16.84,16.95,16.5,16.61,25.11,11.54,CPSEETF
2020-09-28,16.45,16.93,16.35,16.84,25.11,11.54,CPSEETF
2020-09-25,16.17,16.33,16.05,16.27,25.11,11.54,CPSEETF
2020-09-24,16.54,16.54,16.01,16.05,25.11,11.54,CPSEETF
2020-09-23,16.75,16.84,16.42,16.51,25.11,11.54,CPSEETF
2020-09-22,17.0,17.05,16.52,16.68,25.11,11.54,CPSEETF
2020-09-21,17.42,17.49,16.92,17.0,25.11,11.54,CPSEETF
2020-09-18,17.4,17.47,17.24,17.42,25.11,11.54,CPSEETF
2020-09-17,17.49,17.49,17.21,17.25,25.11,11.54,CPSEETF
2020-09-16,17.57,17.7,17.33,17.38,25.11,11.54,CPSEETF
2020-09-15,17.6,17.6,17.46,17.51,25.11,11.54,CPSEETF
2020-09-14,17.8,17.8,17.4,17.5,25.11,11.54,CPSEETF
2020-09-11,17.66,18.0,17.41,17.47,25.11,11.54,CPSEETF
2020-09-10,17.58,17.89,17.45,17.56,25.11,11.54,CPSEETF
2020-09-09,17.93,17.93,17.3,17.48,25.11,11.54,CPSEETF
2020-09-08,18.02,18.02,17.68,17.7,25.11,11.54,CPSEETF
2020-09-07,19.5,19.5,17.94,17.99,25.11,11.54,CPSEETF
2020-09-04,18.5,18.62,18.11,18.2,25.11,11.54,CPSEETF
2020-09-03,18.8,18.8,18.47,18.52,25.11,11.54,CPSEETF
2020-09-02,18.48,18.78,18.28,18.72,25.11,11.54,CPSEETF
2020-09-01,18.86,18.86,18.25,18.48,25.11,11.54,CPSEETF
2020-08-31,19.19,19.33,18.5,18.57,25.11,11.54,CPSEETF
2020-08-28,19.04,19.32,18.94,19.05,25.11,11.54,CPSEETF
2020-08-27,19.19,19.28,18.95,18.99,25.11,11.54,CPSEETF
2020-08-26,19.15,19.27,19.05,19.11,25.11,11.54,CPSEETF
2020-08-25,19.23,19.38,19.0,19.05,25.11,11.54,CPSEETF
2020-08-24,19.5,19.59,19.12,19.21,25.11,11.54,CPSEETF
2020-08-21,19.2,19.51,18.88,19.3,25.11,11.54,CPSEETF
2020-08-20,18.69,19.07,18.11,18.98,25.11,11.54,CPSEETF
2020-08-19,18.5,18.63,18.35,18.4,25.11,11.54,CPSEETF
2020-08-18,18.36,18.53,18.14,18.4,25.11,11.54,CPSEETF
2020-08-17,17.89,18.48,17.36,18.36,25.11,11.54,CPSEETF
2020-08-14,17.95,18.06,17.65,17.83,25.11,11.54,CPSEETF
2020-08-13,17.91,17.91,17.7,17.88,25.11,11.54,CPSEETF
2020-08-12,17.7,17.78,17.4,17.71,25.11,11.54,CPSEETF
2020-08-11,17.65,17.9,17.6,17.63,25.11,11.54,CPSEETF
2020-08-10,17.44,17.74,17.12,17.66,25.11,11.54,CPSEETF
2020-08-07,17.35,17.49,17.27,17.34,25.11,11.54,CPSEETF
2020-08-06,17.01,17.78,17.01,17.27,25.11,11.54,CPSEETF
2020-08-05,17.91,17.91,17.16,17.2,25.11,11.54,CPSEETF
2020-08-04,17.25,17.33,17.18,17.2,25.11,11.54,CPSEETF
2020-08-03,17.29,17.31,17.1,17.19,25.11,11.54,CPSEETF
2020-07-31,17.49,17.49,17.18,17.3,25.11,11.54,CPSEETF
2020-07-30,17.5,17.68,17.27,17.31,25.11,11.54,CPSEETF
2020-07-29,17.56,17.75,17.53,17.59,25.11,11.54,CPSEETF
2020-07-28,17.77,18.24,17.42,17.56,25.11,11.54,CPSEETF
2020-07-27,17.69,17.8,17.5,17.56,25.11,11.54,CPSEETF
2020-07-24,18.49,18.49,17.63,17.75,25.9,11.54,CPSEETF
2020-07-23,18.0,18.05,17.8,17.93,25.9,11.54,CPSEETF
2020-07-22,17.63,18.09,17.45,17.84,25.9,11.54,CPSEETF
2020-07-21,17.45,17.63,17.25,17.6,25.9,11.54,CPSEETF
2020-07-20,17.45,17.45,17.12,17.22,25.9,11.54,CPSEETF
2020-07-17,16.75,17.48,16.73,17.33,26.45,11.54,CPSEETF
2020-07-16,16.85,16.85,16.61,16.75,26.45,11.54,CPSEETF
2020-07-15,17.15,17.29,16.85,16.89,26.45,11.54,CPSEETF
2020-07-14,17.5,17.5,17.0,17.02,26.45,11.54,CPSEETF
