DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,63.9,63.9,61.05,63.9,63.9,CTE
2021-07-15,59.25,60.9,58.0,60.9,60.9,CTE
2021-07-14,56.85,58.05,54.7,58.05,58.0,CTE
2021-07-13,54.8,55.3,54.2,55.3,55.3,CTE
2021-07-12,52.7,52.7,51.3,52.7,52.7,CTE
2021-07-09,50.2,50.2,48.1,50.2,50.2,CTE
2021-07-08,47.85,47.85,46.85,47.85,47.85,CTE
2021-07-07,45.6,45.6,43.1,45.6,45.6,CTE
2021-07-06,43.45,43.45,43.45,43.45,43.45,CTE
2021-07-05,41.4,41.4,41.4,41.4,41.4,CTE
2021-07-02,39.45,39.45,39.45,39.45,39.45,CTE
2021-07-01,37.6,37.6,37.6,37.6,37.6,CTE
2021-06-30,35.85,35.85,35.85,35.85,35.85,CTE
2021-06-29,35.85,37.1,34.1,34.1,34.15,CTE
2021-06-28,39.35,39.35,35.85,35.85,35.85,CTE
2021-06-25,37.3,37.7,36.0,37.7,37.7,CTE
2021-06-24,35.0,35.95,34.6,35.95,35.95,CTE
2021-06-23,35.0,35.0,34.05,34.45,34.25,CTE
2021-06-22,34.2,34.25,33.1,34.2,33.8,CTE
2021-06-21,35.35,35.35,33.0,33.1,33.05,CTE
2021-06-18,36.45,36.45,34.35,34.5,34.7,CTE
2021-06-17,39.8,39.8,36.15,36.15,36.15,CTE
2021-06-16,40.0,40.0,37.2,38.55,38.05,CTE
2021-06-15,37.5,39.3,37.5,38.5,38.7,CTE
2021-06-14,37.0,37.45,35.0,37.45,37.45,CTE
2021-06-11,35.1,35.7,34.6,35.7,35.7,CTE
2021-06-10,33.35,34.2,32.0,34.0,34.0,CTE
2021-06-09,33.95,34.35,32.4,32.5,32.8,CTE
2021-06-08,33.45,34.75,32.8,33.3,33.3,CTE
2021-06-07,33.75,34.7,31.9,33.1,33.45,CTE
2021-06-04,33.35,34.5,33.0,33.95,33.55,CTE
2021-06-03,32.7,35.1,32.55,33.3,33.0,CTE
2021-06-02,34.9,35.0,33.05,33.6,33.45,CTE
2021-06-01,33.65,34.95,33.35,33.35,33.45,CTE
2021-05-31,37.5,37.5,34.7,34.7,34.9,CTE
2021-05-28,36.35,36.45,35.2,36.45,36.45,CTE
2021-05-27,34.75,34.75,34.05,34.75,34.75,CTE
2021-05-26,32.7,33.1,31.6,33.1,33.1,CTE
2021-05-25,31.45,32.9,31.45,31.5,31.55,CTE
2021-05-24,33.75,33.75,31.15,31.2,31.35,CTE
2021-05-21,31.2,32.75,31.2,32.75,32.75,CTE
2021-05-20,30.0,31.2,30.0,31.2,31.2,CTE
2021-05-19,30.95,31.1,28.8,29.65,29.75,CTE
