DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,188.5,207.7,184.25,196.0,195.65,CYBERTECH
2021-07-15,169.25,194.35,168.75,187.1,188.6,CYBERTECH
2021-07-14,165.2,170.9,162.75,167.95,168.3,CYBERTECH
2021-07-13,162.7,167.5,162.0,164.95,165.2,CYBERTECH
2021-07-12,168.2,169.3,160.0,161.55,161.25,CYBERTECH
2021-07-09,169.0,171.6,166.0,166.6,166.7,CYBERTECH
2021-07-08,169.5,177.9,166.0,170.25,168.95,CYBERTECH
2021-07-07,165.0,174.7,163.6,169.45,169.25,CYBERTECH
2021-07-06,172.8,176.5,161.0,164.0,164.2,CYBERTECH
2021-07-05,162.9,174.9,159.0,170.9,171.2,CYBERTECH
2021-07-02,159.9,162.7,153.5,161.9,160.7,CYBERTECH
2021-07-01,156.8,164.8,154.3,158.35,158.7,CYBERTECH
2021-06-30,146.6,157.9,143.75,156.0,155.55,CYBERTECH
2021-06-29,141.0,147.5,138.5,146.0,144.95,CYBERTECH
2021-06-28,143.35,143.8,139.75,140.0,140.1,CYBERTECH
2021-06-25,140.65,144.8,140.65,141.5,142.25,CYBERTECH
2021-06-24,139.5,142.25,138.9,139.0,139.45,CYBERTECH
2021-06-23,142.3,143.7,138.1,139.0,139.15,CYBERTECH
2021-06-22,143.0,144.35,141.5,142.05,142.0,CYBERTECH
2021-06-21,138.8,144.9,137.0,143.0,141.65,CYBERTECH
2021-06-18,144.9,145.2,132.6,140.85,140.3,CYBERTECH
2021-06-17,143.2,148.4,139.0,142.7,142.1,CYBERTECH
2021-06-16,148.5,149.3,144.0,145.7,145.5,CYBERTECH
2021-06-15,147.65,151.15,147.0,147.2,147.8,CYBERTECH
2021-06-14,151.0,151.9,145.0,148.3,147.65,CYBERTECH
2021-06-11,149.9,153.65,148.35,150.5,151.0,CYBERTECH
2021-06-10,148.2,151.15,147.5,148.35,148.5,CYBERTECH
2021-06-09,154.85,157.0,145.45,147.5,146.9,CYBERTECH
2021-06-08,144.75,158.5,143.1,154.0,153.35,CYBERTECH
2021-06-07,144.0,144.9,142.0,143.05,143.15,CYBERTECH
2021-06-04,144.75,144.75,141.5,141.8,142.0,CYBERTECH
2021-06-03,145.8,147.2,142.0,143.6,142.55,CYBERTECH
2021-06-02,142.0,146.5,141.0,146.0,145.2,CYBERTECH
2021-06-01,146.65,146.7,141.05,142.0,141.9,CYBERTECH
