DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,2296.0,2310.0,2238.95,2250.25,2251.9,DALBHARAT
2021-07-15,2192.35,2298.0,2183.05,2293.0,2271.55,DALBHARAT
2021-07-14,2196.5,2210.0,2150.0,2175.0,2180.35,DALBHARAT
2021-07-13,2168.6,2199.0,2125.05,2180.0,2196.45,DALBHARAT
2021-07-12,2139.0,2175.0,2110.7,2167.5,2168.6,DALBHARAT
2021-07-09,2058.6,2125.0,2043.8,2125.0,2119.8,DALBHARAT
2021-07-08,2049.9,2074.0,2035.0,2062.0,2059.85,DALBHARAT
2021-07-07,2007.9,2064.9,2002.05,2041.0,2044.85,DALBHARAT
2021-07-06,1969.55,2050.0,1934.0,2004.95,2002.05,DALBHARAT
2021-07-05,1953.0,1980.0,1905.05,1970.0,1969.55,DALBHARAT
2021-07-02,1892.0,1949.9,1886.2,1946.0,1937.65,DALBHARAT
2021-07-01,1893.0,1920.85,1877.1,1890.95,1890.25,DALBHARAT
2021-06-30,1883.95,1944.0,1861.05,1897.0,1891.15,DALBHARAT
2021-06-29,1880.0,1888.0,1854.2,1876.0,1874.15,DALBHARAT
2021-06-28,1850.0,1900.0,1846.75,1865.3,1865.55,DALBHARAT
2021-06-25,1814.7,1872.5,1810.15,1845.0,1832.55,DALBHARAT
2021-06-24,1822.05,1823.0,1770.0,1800.1,1801.05,DALBHARAT
2021-06-23,1863.9,1877.0,1786.15,1804.0,1824.6,DALBHARAT
2021-06-22,1820.0,1851.85,1820.0,1845.0,1849.05,DALBHARAT
2021-06-21,1760.0,1820.0,1750.0,1805.0,1817.0,DALBHARAT
2021-06-18,1819.55,1838.05,1728.0,1795.0,1789.8,DALBHARAT
2021-06-17,1823.0,1849.95,1800.0,1800.0,1805.1,DALBHARAT
2021-06-16,1877.0,1900.0,1821.2,1830.0,1841.45,DALBHARAT
2021-06-15,1796.0,1883.8,1791.9,1855.0,1859.0,DALBHARAT
2021-06-14,1786.5,1820.0,1772.35,1796.0,1799.15,DALBHARAT
2021-06-11,1799.0,1814.95,1778.4,1791.5,1786.5,DALBHARAT
2021-06-10,1758.0,1799.85,1752.9,1797.85,1793.8,DALBHARAT
2021-06-09,1800.0,1830.0,1751.2,1759.0,1756.2,DALBHARAT
2021-06-08,1789.0,1809.0,1770.25,1803.05,1790.6,DALBHARAT
2021-06-07,1809.5,1819.9,1746.95,1768.0,1768.8,DALBHARAT
2021-06-04,1798.4,1815.35,1775.6,1795.0,1791.05,DALBHARAT
2021-06-03,1785.0,1827.55,1782.35,1789.0,1788.1,DALBHARAT
2021-06-02,1816.0,1816.0,1778.6,1784.95,1784.9,DALBHARAT
2021-06-01,1778.4,1830.0,1767.9,1823.0,1815.3,DALBHARAT
2021-05-31,1779.95,1810.25,1750.8,1763.25,1765.0,DALBHARAT
2021-05-28,1825.0,1829.0,1767.0,1778.55,1776.1,DALBHARAT
2021-05-27,1858.4,1858.4,1790.0,1820.0,1821.05,DALBHARAT
2021-05-26,1860.0,1880.85,1825.0,1845.75,1845.65,DALBHARAT
2021-05-25,1878.5,1911.0,1850.0,1852.1,1859.2,DALBHARAT
2021-05-24,1848.8,1890.0,1800.35,1888.0,1878.5,DALBHARAT
2021-05-21,1832.1,1870.0,1811.75,1830.0,1830.95,DALBHARAT
2021-05-20,1830.25,1830.25,1792.35,1815.75,1814.65,DALBHARAT
2021-05-19,1840.0,1853.05,1771.0,1800.05,1794.85,DALBHARAT
2021-05-18,1822.7,1837.05,1792.15,1828.0,1816.5,DALBHARAT
2021-05-17,1748.0,1827.0,1712.5,1780.7,1777.85,DALBHARAT
2021-05-14,1715.0,1740.0,1665.0,1731.15,1727.5,DALBHARAT
2021-05-12,1722.3,1743.6,1668.7,1715.0,1700.75,DALBHARAT
2021-05-11,1652.6,1743.0,1632.9,1725.0,1722.3,DALBHARAT
2021-05-10,1650.0,1688.5,1629.2,1650.0,1652.6,DALBHARAT
2021-05-07,1582.6,1676.35,1571.95,1635.0,1631.9,DALBHARAT
2021-05-06,1547.8,1585.0,1540.0,1570.0,1567.2,DALBHARAT
2021-05-05,1560.0,1590.0,1530.85,1533.0,1538.5,DALBHARAT
2021-05-04,1569.0,1576.55,1541.15,1564.4,1552.3,DALBHARAT
2021-05-03,1534.0,1599.25,1502.95,1544.75,1546.45,DALBHARAT
2021-04-30,1544.95,1564.0,1480.8,1507.0,1506.35,DALBHARAT
2021-04-29,1530.0,1543.9,1520.05,1541.0,1537.5,DALBHARAT
2021-04-28,1532.5,1548.7,1507.45,1511.0,1510.3,DALBHARAT
2021-04-27,1480.0,1547.0,1474.7,1535.0,1529.8,DALBHARAT
2021-04-26,1435.0,1477.6,1434.9,1474.95,1471.15,DALBHARAT
2021-04-23,1450.55,1494.2,1405.1,1439.9,1424.4,DALBHARAT
2021-04-22,1465.0,1499.85,1456.05,1479.0,1478.95,DALBHARAT
2021-04-20,1525.0,1564.75,1428.0,1455.0,1447.35,DALBHARAT
2021-04-19,1530.0,1530.0,1488.0,1497.2,1503.5,DALBHARAT
2021-04-16,1593.0,1600.0,1538.1,1541.8,1559.95,DALBHARAT
2021-04-15,1555.0,1600.0,1542.0,1598.0,1578.25,DALBHARAT
2021-04-13,1481.0,1558.0,1479.45,1557.0,1541.1,DALBHARAT
2021-04-12,1540.0,1540.0,1438.9,1470.0,1479.75,DALBHARAT
2021-04-09,1575.0,1594.95,1527.0,1557.0,1556.0,DALBHARAT
2021-04-08,1564.5,1572.0,1541.0,1551.5,1559.15,DALBHARAT
2021-04-07,1563.0,1573.85,1541.05,1547.85,1549.0,DALBHARAT
2021-04-06,1540.0,1576.0,1503.9,1563.0,1562.4,DALBHARAT
2021-04-05,1583.95,1583.95,1525.0,1538.0,1536.9,DALBHARAT
2021-04-01,1598.0,1599.9,1550.0,1557.0,1560.35,DALBHARAT
2021-03-31,1600.0,1600.05,1548.0,1585.0,1589.0,DALBHARAT
2021-03-30,1574.0,1605.9,1537.15,1590.55,1584.0,DALBHARAT
2021-03-26,1559.95,1580.0,1520.0,1543.0,1551.45,DALBHARAT
2021-03-25,1582.0,1593.25,1500.0,1522.0,1516.8,DALBHARAT
2021-03-24,1577.9,1653.0,1549.4,1579.0,1560.4,DALBHARAT
2021-03-23,1592.2,1607.9,1545.05,1556.0,1563.0,DALBHARAT
2021-03-22,1590.9,1600.0,1565.0,1589.35,1583.9,DALBHARAT
2021-03-19,1564.0,1589.8,1520.8,1578.95,1575.1,DALBHARAT
2021-03-18,1562.4,1589.0,1515.25,1574.0,1572.5,DALBHARAT
2021-03-17,1650.0,1689.75,1528.6,1562.95,1558.6,DALBHARAT
2021-03-16,1472.35,1570.0,1470.9,1523.05,1523.15,DALBHARAT
2021-03-15,1513.0,1513.0,1445.2,1472.0,1472.35,DALBHARAT
2021-03-12,1475.0,1504.9,1470.0,1479.0,1474.6,DALBHARAT
2021-03-10,1459.8,1475.25,1452.9,1468.0,1470.3,DALBHARAT
2021-03-09,1462.0,1479.45,1441.0,1447.8,1451.55,DALBHARAT
2021-03-08,1482.6,1494.9,1442.0,1449.9,1449.1,DALBHARAT
2021-03-05,1492.0,1514.95,1467.0,1468.0,1474.95,DALBHARAT
2021-03-04,1498.7,1509.0,1480.0,1492.0,1487.85,DALBHARAT
2021-03-03,1515.0,1539.0,1494.05,1495.25,1502.45,DALBHARAT
2021-03-02,1489.9,1510.0,1460.3,1498.0,1493.0,DALBHARAT
2021-03-01,1438.0,1501.0,1423.3,1467.25,1469.1,DALBHARAT
2021-02-26,1416.0,1574.0,1415.55,1422.0,1436.15,DALBHARAT
2021-02-25,1452.0,1485.0,1431.95,1444.9,1444.45,DALBHARAT
2021-02-24,1467.0,1472.95,1365.6,1450.0,1449.6,DALBHARAT
2021-02-23,1431.1,1494.5,1431.1,1450.0,1448.35,DALBHARAT
2021-02-22,1484.0,1508.35,1392.8,1410.0,1425.75,DALBHARAT
2021-02-19,1476.0,1494.9,1466.6,1478.0,1476.3,DALBHARAT
2021-02-18,1470.0,1510.0,1437.8,1470.5,1475.65,DALBHARAT
2021-02-17,1444.95,1476.0,1405.0,1455.15,1455.3,DALBHARAT
2021-02-16,1446.95,1497.0,1368.05,1440.0,1444.8,DALBHARAT
2021-02-15,1488.9,1488.9,1426.85,1474.15,1474.85,DALBHARAT
2021-02-12,1408.65,1500.0,1384.0,1486.0,1481.45,DALBHARAT
2021-02-11,1366.0,1400.0,1352.8,1400.0,1398.15,DALBHARAT
2021-02-10,1354.0,1370.65,1305.6,1367.9,1365.2,DALBHARAT
2021-02-09,1344.9,1352.0,1303.55,1351.8,1348.8,DALBHARAT
2021-02-08,1245.0,1340.0,1245.0,1334.95,1332.65,DALBHARAT
2021-02-05,1265.0,1304.85,1206.0,1221.5,1240.05,DALBHARAT
2021-02-04,1254.0,1274.1,1241.15,1265.05,1268.0,DALBHARAT
2021-02-03,1266.65,1275.25,1240.05,1244.0,1244.0,DALBHARAT
2021-02-02,1230.0,1270.8,1204.0,1270.0,1258.0,DALBHARAT
2021-02-01,1160.75,1223.0,1135.6,1215.0,1219.3,DALBHARAT
2021-01-29,1156.6,1170.0,1132.1,1147.0,1154.95,DALBHARAT
2021-01-28,1135.0,1155.65,1125.55,1141.05,1140.85,DALBHARAT
2021-01-27,1132.85,1165.8,1115.5,1155.0,1157.0,DALBHARAT
2021-01-25,1167.0,1180.45,1139.3,1145.25,1149.85,DALBHARAT
2021-01-22,1159.4,1166.05,1125.0,1150.0,1155.05,DALBHARAT
2021-01-21,1180.0,1185.0,1144.0,1150.0,1149.65,DALBHARAT
2021-01-20,1147.85,1179.0,1125.45,1177.0,1172.05,DALBHARAT
2021-01-19,1130.0,1150.0,1115.55,1141.05,1138.95,DALBHARAT
2021-01-18,1146.3,1149.0,1081.0,1130.0,1124.35,DALBHARAT
2021-01-15,1170.0,1179.85,1125.1,1137.0,1139.45,DALBHARAT
2021-01-14,1158.0,1184.45,1158.0,1175.0,1178.95,DALBHARAT
