DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,16.9,17.5,16.55,16.9,29.15,7.5,DBSTOCKBRO
2021-11-11,17.95,17.95,16.55,16.9,29.15,7.5,DBSTOCKBRO
2021-11-10,17.8,17.8,16.55,17.1,29.15,7.5,DBSTOCKBRO
2021-11-09,16.9,17.65,16.9,17.35,29.15,7.5,DBSTOCKBRO
2021-11-08,16.6,17.95,16.6,17.2,29.15,7.5,DBSTOCKBRO
2021-11-04,17.25,17.4,16.65,17.2,29.15,7.5,DBSTOCKBRO
2021-11-03,16.5,17.45,16.5,17.25,29.15,7.5,DBSTOCKBRO
2021-11-02,16.7,17.35,16.2,17.0,29.15,7.5,DBSTOCKBRO
2021-11-01,16.95,16.95,16.25,16.7,29.15,7.5,DBSTOCKBRO
2021-10-29,17.45,17.5,16.15,16.45,29.15,7.5,DBSTOCKBRO
2021-10-28,17.1,17.35,16.35,16.7,29.15,7.5,DBSTOCKBRO
2021-10-27,17.6,17.85,16.6,16.75,29.15,7.5,DBSTOCKBRO
2021-10-26,17.85,17.85,16.65,17.05,29.15,7.5,DBSTOCKBRO
2021-10-25,18.45,18.45,17.2,17.5,29.15,7.5,DBSTOCKBRO
2021-10-22,17.3,17.7,17.1,17.65,29.15,7.5,DBSTOCKBRO
2021-10-21,17.0,17.8,17.0,17.3,29.15,7.5,DBSTOCKBRO
2021-10-20,17.05,17.95,17.0,17.2,29.15,7.5,DBSTOCKBRO
2021-10-19,17.2,18.05,17.05,17.85,29.15,7.5,DBSTOCKBRO
2021-10-18,18.5,18.5,17.15,17.7,29.15,7.5,DBSTOCKBRO
2021-10-14,17.9,18.25,17.2,17.95,29.15,7.5,DBSTOCKBRO
2021-10-13,18.2,18.2,17.3,17.55,29.15,7.5,DBSTOCKBRO
2021-10-12,17.15,18.75,17.1,17.8,29.15,7.5,DBSTOCKBRO
2021-08-25,22.75,22.75,22.75,22.75,29.15,7.5,DBSTOCKBRO
2021-08-24,23.9,23.9,23.9,23.9,29.15,7.5,DBSTOCKBRO
2021-08-23,25.15,25.15,25.15,25.15,29.15,7.5,DBSTOCKBRO
2021-08-20,29.15,29.15,26.45,26.45,29.15,7.5,DBSTOCKBRO
2021-08-18,27.8,27.8,27.8,27.8,27.8,7.5,DBSTOCKBRO
2021-08-17,26.5,26.5,26.5,26.5,26.5,7.5,DBSTOCKBRO
2021-08-16,25.25,25.25,25.25,25.25,25.25,7.5,DBSTOCKBRO
2021-08-13,24.05,24.05,24.05,24.05,24.05,7.5,DBSTOCKBRO
2021-08-12,22.95,22.95,22.95,22.95,22.95,7.5,DBSTOCKBRO
2021-08-11,21.9,21.9,21.9,21.9,21.9,7.5,DBSTOCKBRO
2021-08-10,20.9,20.9,20.9,20.9,20.9,7.5,DBSTOCKBRO
2021-08-09,19.0,19.0,19.0,19.0,19.1,7.5,DBSTOCKBRO
2021-08-06,17.3,17.3,16.5,17.3,19.1,7.5,DBSTOCKBRO
2021-08-05,15.75,15.75,15.75,15.75,19.1,7.5,DBSTOCKBRO
2021-08-04,15.0,15.0,15.0,15.0,19.1,7.5,DBSTOCKBRO
2021-08-03,14.4,14.8,14.05,14.3,19.1,7.5,DBSTOCKBRO
2021-08-02,14.45,14.75,13.65,14.1,19.1,7.5,DBSTOCKBRO
2021-07-30,14.4,14.8,13.4,14.15,19.1,7.5,DBSTOCKBRO
2021-07-29,14.6,14.6,13.8,14.1,19.1,7.5,DBSTOCKBRO
2021-07-28,14.75,14.75,13.75,14.1,19.1,7.5,DBSTOCKBRO
2021-07-27,14.5,14.8,13.85,14.35,19.1,7.5,DBSTOCKBRO
2021-07-26,15.35,15.35,14.15,14.2,19.1,7.5,DBSTOCKBRO
2021-07-23,15.15,15.15,14.15,14.85,19.1,7.5,DBSTOCKBRO
2021-07-22,15.2,15.2,14.1,14.5,19.1,7.5,DBSTOCKBRO
2021-07-20,14.4,15.4,14.4,14.6,19.1,7.4,DBSTOCKBRO
2021-06-02,19.1,19.1,18.5,19.1,19.1,7.4,DBSTOCKBRO
2021-06-01,16.7,17.4,15.85,17.4,17.4,7.4,DBSTOCKBRO
2021-05-31,15.8,15.85,15.1,15.85,15.85,7.4,DBSTOCKBRO
2021-05-28,14.15,14.45,12.05,14.45,14.45,7.3,DBSTOCKBRO
