DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-08-06,105.45,108.0,103.0,103.85,119.85,57.3,DEEPINDS
2021-08-05,108.5,108.9,103.8,104.85,119.85,57.3,DEEPINDS
2021-08-04,112.9,116.9,107.05,107.6,119.85,57.3,DEEPINDS
2021-08-03,113.5,119.85,110.0,112.7,119.85,57.3,DEEPINDS
2021-08-02,100.9,118.7,100.0,113.0,118.7,57.3,DEEPINDS
2021-07-30,101.75,101.8,98.5,98.95,111.9,57.3,DEEPINDS
2021-07-29,100.8,105.8,97.4,101.0,111.9,57.3,DEEPINDS
2021-07-28,99.0,101.65,97.25,99.15,111.9,57.3,DEEPINDS
2021-07-27,101.0,102.25,98.0,98.35,111.9,57.3,DEEPINDS
2021-07-26,102.0,104.15,98.05,98.9,111.9,57.3,DEEPINDS
2021-07-23,107.7,111.9,101.2,103.1,111.9,57.3,DEEPINDS
2021-07-22,94.75,106.5,94.75,103.75,108.9,57.3,DEEPINDS
2021-07-20,96.25,98.0,92.7,94.75,108.9,57.3,DEEPINDS
2021-07-19,95.4,98.4,95.05,96.25,108.9,57.3,DEEPINDS
2021-07-16,96.5,96.9,93.25,93.75,108.9,57.3,DEEPINDS
2021-07-15,99.0,99.0,95.0,95.8,108.9,57.3,DEEPINDS
2021-07-14,99.95,101.1,97.45,99.2,108.9,57.3,DEEPINDS
2021-07-13,101.45,101.6,98.05,98.9,108.9,57.3,DEEPINDS
2021-07-12,100.9,104.9,99.05,99.7,108.9,57.3,DEEPINDS
2021-07-09,100.4,103.7,99.15,99.8,108.9,57.3,DEEPINDS
2021-07-08,102.75,105.4,98.0,99.45,108.9,57.3,DEEPINDS
2021-07-07,94.0,108.9,90.2,102.75,108.9,57.3,DEEPINDS
2021-07-06,86.0,99.8,85.15,93.5,99.8,57.3,DEEPINDS
2021-07-05,87.75,90.0,81.1,85.5,97.3,57.3,DEEPINDS
2021-07-02,82.55,87.2,82.55,86.85,97.3,57.3,DEEPINDS
2021-07-01,82.95,85.0,82.0,83.45,97.3,57.3,DEEPINDS
2021-06-30,81.95,85.0,80.0,81.7,97.3,57.3,DEEPINDS
2021-06-29,81.0,83.15,80.35,81.4,97.3,57.3,DEEPINDS
2021-06-28,81.8,83.5,79.65,81.0,97.3,57.3,DEEPINDS
2021-06-25,84.9,84.9,81.25,81.8,97.3,57.3,DEEPINDS
2021-06-24,85.9,87.8,80.6,85.25,97.3,57.3,DEEPINDS
2021-06-23,87.7,91.4,81.5,83.05,97.3,57.3,DEEPINDS
2021-06-22,87.5,90.0,85.15,85.7,97.3,57.3,DEEPINDS
2021-06-21,78.0,85.0,75.65,84.2,97.3,57.3,DEEPINDS
2021-06-18,80.0,82.0,77.2,80.2,97.3,57.3,DEEPINDS
2021-06-17,80.7,84.9,80.55,80.85,97.3,57.3,DEEPINDS
2021-06-16,86.05,86.35,82.05,82.7,97.3,57.3,DEEPINDS
2021-06-15,84.45,87.35,82.95,85.6,97.3,57.3,DEEPINDS
2021-06-14,88.0,88.0,82.1,83.5,97.3,57.3,DEEPINDS
2021-06-11,82.15,93.0,81.0,85.2,97.3,57.3,DEEPINDS
2021-06-10,86.95,88.0,78.15,79.9,97.3,57.3,DEEPINDS
2021-06-09,85.5,97.3,84.25,87.4,97.3,57.3,DEEPINDS
2021-06-08,68.5,81.1,68.5,81.1,81.1,57.3,DEEPINDS
2021-06-07,66.0,68.3,65.0,67.6,71.85,57.3,DEEPINDS
2021-06-04,61.95,65.5,60.95,64.3,71.85,57.3,DEEPINDS
2021-06-03,61.95,64.15,60.45,61.1,71.85,57.3,DEEPINDS
2021-06-02,61.85,63.0,60.9,61.1,71.85,57.3,DEEPINDS
2021-06-01,63.0,63.05,61.0,61.65,71.85,57.3,DEEPINDS
2021-05-31,63.2,65.0,61.25,62.75,71.85,57.3,DEEPINDS
2021-05-28,64.1,65.75,62.8,63.25,71.85,57.3,DEEPINDS
2021-05-27,67.55,67.7,64.55,65.1,71.85,57.3,DEEPINDS
2021-05-26,66.1,68.5,65.95,67.2,71.85,57.3,DEEPINDS
2021-05-25,69.0,69.95,65.0,66.65,71.85,57.3,DEEPINDS
2021-05-24,69.75,69.75,64.5,67.8,71.85,57.3,DEEPINDS
2021-05-21,63.05,68.45,60.35,68.1,71.85,57.3,DEEPINDS
2021-05-20,61.0,63.05,59.85,62.25,71.85,57.3,DEEPINDS
2021-05-19,61.9,62.45,57.8,61.7,71.85,57.3,DEEPINDS
2021-05-18,63.8,63.8,60.0,60.45,71.85,57.3,DEEPINDS
2021-05-17,62.0,64.8,57.3,61.05,71.85,57.3,DEEPINDS
2021-05-14,67.9,71.85,59.9,61.95,71.85,59.9,DEEPINDS
2021-05-12,66.55,66.55,66.55,66.55,66.55,60.0,DEEPINDS
2021-05-11,60.0,60.5,60.0,60.5,60.5,60.0,DEEPINDS
