DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-20,341.0,342.95,336.0,337.3,453.8,312.0,DFMFOODS
2021-10-19,340.1,346.25,339.0,340.9,453.8,312.0,DFMFOODS
2021-10-18,341.95,352.0,338.45,343.2,453.8,312.0,DFMFOODS
2021-10-14,341.5,343.25,338.0,339.45,453.8,312.0,DFMFOODS
2021-10-13,343.95,346.0,338.1,343.3,453.8,312.0,DFMFOODS
2021-10-12,341.5,345.0,341.0,342.2,453.8,312.0,DFMFOODS
2021-10-11,344.0,346.95,340.3,343.25,453.8,312.0,DFMFOODS
2021-10-08,348.05,348.95,341.95,342.45,453.8,312.0,DFMFOODS
2021-10-07,349.05,351.45,345.15,347.15,453.8,312.0,DFMFOODS
2021-10-06,347.9,359.85,346.7,347.8,453.8,312.0,DFMFOODS
2021-10-05,348.0,352.4,346.5,347.9,453.8,312.0,DFMFOODS
2021-10-04,351.95,355.0,345.2,348.8,453.8,312.0,DFMFOODS
2021-10-01,358.7,359.6,348.05,349.6,453.8,312.0,DFMFOODS
2021-09-30,358.25,362.0,356.0,358.6,453.8,312.0,DFMFOODS
2021-09-29,352.15,365.0,351.1,356.45,453.8,312.0,DFMFOODS
2021-09-28,362.3,365.6,351.0,353.65,453.8,312.0,DFMFOODS
2021-09-27,357.9,362.0,352.15,360.45,453.8,312.0,DFMFOODS
2021-09-24,360.0,361.0,354.0,357.05,453.8,312.0,DFMFOODS
2021-09-23,356.95,366.75,354.55,359.95,453.8,312.0,DFMFOODS
2021-09-22,347.95,357.0,344.1,352.45,453.8,312.0,DFMFOODS
2021-09-21,345.2,347.6,338.85,346.3,453.8,312.0,DFMFOODS
2021-09-20,345.05,354.8,345.05,346.45,453.8,312.0,DFMFOODS
2021-09-17,360.35,363.8,348.1,353.4,453.8,312.0,DFMFOODS
2021-09-16,373.3,376.0,361.3,363.55,453.8,312.0,DFMFOODS
2021-09-15,367.05,375.0,360.05,368.45,453.8,312.0,DFMFOODS
2021-09-14,349.8,368.0,342.0,365.05,453.8,312.0,DFMFOODS
2021-09-13,340.95,356.05,336.0,350.45,453.8,312.0,DFMFOODS
2021-09-09,340.9,344.0,337.0,338.05,453.8,312.0,DFMFOODS
2021-09-08,340.0,344.85,336.1,337.55,453.8,312.0,DFMFOODS
2021-09-07,340.0,340.0,336.05,339.15,453.8,312.0,DFMFOODS
2021-09-06,344.8,344.8,339.0,340.0,453.8,312.0,DFMFOODS
2021-09-03,346.0,346.0,340.0,340.75,453.8,283.0,DFMFOODS
2021-09-02,345.0,346.1,339.55,345.15,453.8,283.0,DFMFOODS
2021-09-01,346.15,347.0,340.25,343.25,453.8,283.0,DFMFOODS
2021-08-31,346.1,348.7,340.1,344.4,453.8,283.0,DFMFOODS
2021-08-30,345.0,351.8,344.0,346.95,453.8,283.0,DFMFOODS
2021-08-27,337.15,344.95,334.0,342.05,453.8,262.2,DFMFOODS
2021-08-26,342.75,342.75,335.2,336.4,453.8,262.2,DFMFOODS
2021-08-25,334.5,346.0,334.5,341.05,453.8,262.2,DFMFOODS
2021-08-24,332.5,336.85,321.5,332.8,453.8,262.2,DFMFOODS
2021-08-23,338.05,338.95,321.3,330.35,453.8,262.2,DFMFOODS
2021-08-20,333.9,339.8,331.0,336.35,453.8,236.5,DFMFOODS
2021-08-18,338.9,338.9,331.8,334.35,453.8,236.5,DFMFOODS
2021-08-17,338.85,339.1,331.5,332.7,453.8,236.5,DFMFOODS
2021-08-16,338.75,341.65,332.25,336.0,453.8,236.5,DFMFOODS
2021-08-13,351.3,353.3,337.25,338.75,453.8,219.7,DFMFOODS
2021-08-12,346.05,353.3,340.3,351.5,453.8,219.7,DFMFOODS
2021-08-11,345.0,348.0,332.3,345.35,453.8,219.7,DFMFOODS
2021-08-10,343.9,346.45,335.2,342.0,453.8,219.7,DFMFOODS
2021-08-09,342.0,345.3,335.3,340.45,453.8,219.7,DFMFOODS
2021-08-06,348.9,354.4,338.1,339.8,453.8,175.35,DFMFOODS
2021-08-05,355.0,356.0,343.0,345.4,453.8,175.35,DFMFOODS
