DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-26,1011.9,1022.45,993.15,1000.0,1001.45,1053.9,658.0,DHANUKA
2021-07-23,992.5,1035.0,986.75,1001.1,1004.95,1053.9,658.0,DHANUKA
2021-07-22,1000.0,1004.6,985.35,1000.1,1000.3,1053.9,658.0,DHANUKA
2021-07-20,998.0,1006.15,974.6,995.0,993.3,1053.9,658.0,DHANUKA
2021-07-19,993.0,1012.0,979.9,998.0,998.3,1053.9,658.0,DHANUKA
2021-07-16,991.0,1007.95,985.85,1000.15,1001.15,1053.9,658.0,DHANUKA
2021-07-15,1009.0,1009.0,978.95,990.1,991.15,1053.9,658.0,DHANUKA
2021-07-14,1000.25,1010.0,993.05,1000.0,1000.15,1053.9,658.0,DHANUKA
2021-07-13,1001.0,1014.6,995.0,1000.1,1000.25,1053.9,658.0,DHANUKA
2021-07-12,1010.0,1016.0,995.0,1001.8,1001.1,1053.9,658.0,DHANUKA
2021-07-09,1016.8,1016.8,993.55,1000.0,1000.1,1053.9,658.0,DHANUKA
2021-07-08,1008.0,1008.0,991.55,1003.55,1002.7,1053.9,658.0,DHANUKA
2021-07-07,1005.0,1012.65,988.0,1003.0,1001.1,1053.9,658.0,DHANUKA
2021-07-06,1018.85,1053.9,995.45,1008.6,1004.55,1053.9,658.0,DHANUKA
2021-07-05,1000.9,1033.0,983.0,1020.0,1013.85,1033.0,658.0,DHANUKA
2021-07-02,991.0,1014.95,981.5,989.0,993.65,1019.9,658.0,DHANUKA
2021-07-01,965.15,1009.25,957.9,974.3,974.0,1019.9,658.0,DHANUKA
2021-06-30,964.0,979.0,954.1,955.3,960.3,1019.9,658.0,DHANUKA
2021-06-29,967.0,972.0,951.0,955.5,954.1,1019.9,658.0,DHANUKA
2021-06-28,960.85,979.0,952.0,967.3,962.8,1019.9,658.0,DHANUKA
2021-06-25,960.85,965.95,950.0,961.0,960.55,1019.9,658.0,DHANUKA
2021-06-24,966.0,966.0,945.0,961.2,960.85,1019.9,658.0,DHANUKA
2021-06-23,948.0,974.9,943.0,960.0,960.25,1019.9,658.0,DHANUKA
2021-06-22,967.0,968.0,943.15,946.6,947.55,1019.9,658.0,DHANUKA
