DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-28,350.8,350.8,338.2,339.7,476.0,232.5,DREDGECORP
2021-10-27,354.0,357.9,347.05,349.7,476.0,232.5,DREDGECORP
2021-10-26,342.9,355.85,342.65,352.15,476.0,232.5,DREDGECORP
2021-10-25,347.5,350.7,340.7,342.2,476.0,232.5,DREDGECORP
2021-10-22,353.2,359.0,345.5,347.45,476.0,232.5,DREDGECORP
2021-10-21,358.0,360.0,350.1,353.5,476.0,232.5,DREDGECORP
2021-10-20,365.0,365.15,355.2,357.55,476.0,232.5,DREDGECORP
2021-10-19,380.95,383.0,364.1,365.35,476.0,232.5,DREDGECORP
2021-10-18,379.9,392.0,376.6,380.95,476.0,232.5,DREDGECORP
2021-10-14,386.45,388.25,376.0,377.95,476.0,232.5,DREDGECORP
2021-10-13,366.8,396.15,366.8,386.1,476.0,232.5,DREDGECORP
2021-10-12,363.6,372.8,361.95,365.15,476.0,232.5,DREDGECORP
2021-10-11,364.9,372.6,364.5,365.65,476.0,232.5,DREDGECORP
2021-10-08,364.9,369.95,361.0,362.15,476.0,232.5,DREDGECORP
2021-10-07,365.55,372.0,361.0,363.75,476.0,232.5,DREDGECORP
2021-10-06,364.0,374.5,362.0,362.6,476.0,232.5,DREDGECORP
2021-10-05,355.9,367.95,355.8,362.3,476.0,232.5,DREDGECORP
2021-10-04,355.6,363.9,354.1,357.0,476.0,232.5,DREDGECORP
2021-10-01,354.7,364.2,352.1,352.95,476.0,232.5,DREDGECORP
2021-09-30,351.0,363.3,351.0,356.0,476.0,232.5,DREDGECORP
2021-09-29,343.95,355.65,343.0,350.15,476.0,232.5,DREDGECORP
2021-09-28,348.65,356.9,344.0,345.65,476.0,232.5,DREDGECORP
2021-09-27,355.0,358.15,345.1,347.0,476.0,232.5,DREDGECORP
2021-09-24,356.8,358.15,348.95,350.15,476.0,232.5,DREDGECORP
2021-09-23,355.4,360.25,353.7,355.25,476.0,232.5,DREDGECORP
2021-09-22,353.4,358.7,351.5,352.6,476.0,232.5,DREDGECORP
2021-09-21,353.0,356.7,348.95,352.0,476.0,232.5,DREDGECORP
2021-09-20,360.0,368.95,353.2,355.2,476.0,232.5,DREDGECORP
2021-09-17,375.9,379.2,361.8,364.4,476.0,232.5,DREDGECORP
2021-09-16,375.9,384.4,372.75,374.3,476.0,232.5,DREDGECORP
2021-09-15,374.4,384.4,372.0,374.1,476.0,232.5,DREDGECORP
2021-09-14,363.8,378.0,362.3,373.55,476.0,232.5,DREDGECORP
2021-09-13,361.9,369.0,359.2,363.8,476.0,232.5,DREDGECORP
