DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,399.6,400.6,393.8,394.0,394.7,DREDGECORP
2021-07-15,397.6,403.8,396.2,396.2,397.35,DREDGECORP
2021-07-14,399.9,404.0,396.1,396.2,397.9,DREDGECORP
2021-07-13,399.9,405.05,397.0,397.0,398.75,DREDGECORP
2021-07-12,401.4,403.9,395.1,397.75,397.15,DREDGECORP
2021-07-09,398.0,403.9,395.0,397.0,397.9,DREDGECORP
2021-07-08,404.7,406.0,394.95,397.8,398.1,DREDGECORP
2021-07-07,398.9,406.5,396.2,401.25,402.8,DREDGECORP
2021-07-06,402.1,411.0,396.1,398.0,399.35,DREDGECORP
2021-07-05,405.9,411.5,403.1,403.25,404.5,DREDGECORP
2021-07-02,398.0,410.0,398.0,403.0,402.7,DREDGECORP
2021-07-01,395.15,403.95,395.15,395.5,396.75,DREDGECORP
2021-06-30,403.0,406.6,395.6,399.9,398.4,DREDGECORP
2021-06-29,417.35,424.45,412.1,413.5,413.65,DREDGECORP
2021-06-28,424.5,425.0,411.65,414.25,416.05,DREDGECORP
2021-06-25,414.0,434.8,410.85,420.35,421.35,DREDGECORP
2021-06-24,419.8,420.45,409.45,413.0,411.85,DREDGECORP
2021-06-23,432.05,435.3,414.0,418.0,417.15,DREDGECORP
2021-06-22,410.55,476.0,409.3,431.0,428.85,DREDGECORP
2021-06-21,393.0,412.9,391.6,406.95,407.35,DREDGECORP
2021-06-18,409.0,412.25,388.0,401.4,401.05,DREDGECORP
2021-06-17,415.3,425.8,404.2,406.0,406.8,DREDGECORP
2021-06-16,400.0,439.7,399.95,415.3,419.25,DREDGECORP
2021-06-15,398.0,404.0,396.3,397.0,397.95,DREDGECORP
2021-06-14,408.65,410.2,396.55,399.15,398.9,DREDGECORP
2021-06-11,416.95,418.85,407.15,408.05,408.65,DREDGECORP
2021-06-10,406.1,420.55,406.1,419.0,415.5,DREDGECORP
2021-06-09,426.0,431.0,401.3,406.0,405.35,DREDGECORP
2021-06-08,435.0,442.0,422.1,423.25,425.0,DREDGECORP
2021-06-07,406.1,433.6,404.35,431.0,428.25,DREDGECORP
2021-06-04,394.0,411.7,390.85,403.0,404.0,DREDGECORP
2021-06-03,388.2,403.2,388.15,394.45,393.4,DREDGECORP
2021-06-02,382.8,389.7,382.0,387.15,387.5,DREDGECORP
2021-06-01,393.9,394.45,380.65,382.5,381.75,DREDGECORP
2021-05-31,394.0,395.45,389.0,391.0,392.1,DREDGECORP
2021-05-28,401.35,403.0,391.65,394.0,392.8,DREDGECORP
2021-05-27,396.7,404.0,393.05,398.05,398.2,DREDGECORP
2021-05-26,400.0,407.75,392.95,393.5,393.9,DREDGECORP
2021-05-25,401.7,404.7,394.5,397.0,397.8,DREDGECORP
2021-05-24,406.9,408.9,396.0,397.2,398.5,DREDGECORP
2021-05-21,388.3,412.0,388.3,404.5,404.8,DREDGECORP
2021-05-20,395.7,399.0,390.0,391.3,391.7,DREDGECORP
2021-05-19,391.8,406.25,388.5,393.9,393.6,DREDGECORP
2021-05-18,388.4,397.25,388.4,392.4,392.65,DREDGECORP
2021-05-17,388.5,394.0,384.35,389.0,388.35,DREDGECORP
2021-05-14,402.0,402.25,386.1,386.1,387.65,DREDGECORP
2021-05-12,401.9,415.0,396.0,398.3,399.1,DREDGECORP
2021-05-11,378.95,417.7,375.9,397.3,398.8,DREDGECORP
2021-05-10,384.45,387.55,380.1,381.2,380.9,DREDGECORP
2021-05-07,390.9,394.0,380.3,381.75,381.6,DREDGECORP
2021-05-06,382.0,401.8,380.0,387.7,388.45,DREDGECORP
