DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-09-09,510.0,521.9,505.5,512.6,525.0,161.0,EASEMYTRIP
2021-09-08,511.55,525.0,498.2,510.1,525.0,161.0,EASEMYTRIP
2021-09-07,474.0,511.05,468.5,503.0,511.05,161.0,EASEMYTRIP
2021-09-06,478.45,481.7,468.15,474.6,507.3,161.0,EASEMYTRIP
2021-09-03,487.0,495.0,473.0,475.95,507.3,161.0,EASEMYTRIP
2021-09-02,444.95,486.95,444.75,482.15,507.3,161.0,EASEMYTRIP
2021-09-01,451.7,454.5,441.5,443.65,507.3,161.0,EASEMYTRIP
2021-08-31,456.4,467.35,444.1,450.05,507.3,161.0,EASEMYTRIP
2021-08-30,446.75,469.9,442.35,454.1,507.3,161.0,EASEMYTRIP
2021-08-27,434.0,446.45,430.0,443.85,507.3,161.0,EASEMYTRIP
2021-08-26,428.0,438.4,428.0,436.05,507.3,161.0,EASEMYTRIP
2021-08-25,432.0,444.85,425.0,427.55,507.3,161.0,EASEMYTRIP
2021-08-24,419.75,436.35,413.25,429.4,507.3,161.0,EASEMYTRIP
2021-08-23,449.45,456.9,409.0,414.05,507.3,161.0,EASEMYTRIP
2021-08-20,450.55,462.75,435.75,440.95,507.3,161.0,EASEMYTRIP
2021-08-18,478.0,480.75,460.25,463.8,507.3,161.0,EASEMYTRIP
2021-08-17,470.35,484.7,461.25,475.6,507.3,161.0,EASEMYTRIP
2021-08-16,480.0,493.25,464.55,469.05,507.3,161.0,EASEMYTRIP
2021-08-13,486.0,497.0,465.55,472.05,507.3,161.0,EASEMYTRIP
2021-08-12,452.0,488.8,445.2,484.5,507.3,161.0,EASEMYTRIP
2021-08-11,455.55,460.45,426.55,449.55,507.3,161.0,EASEMYTRIP
2021-08-10,493.9,496.6,433.9,455.8,507.3,161.0,EASEMYTRIP
2021-08-09,482.0,507.3,481.25,492.2,507.3,161.0,EASEMYTRIP
2021-08-06,443.6,499.0,443.5,474.45,499.0,161.0,EASEMYTRIP
2021-08-05,459.4,462.05,437.5,441.95,487.8,161.0,EASEMYTRIP
2021-08-04,473.0,487.8,450.5,458.25,487.8,161.0,EASEMYTRIP
2021-08-03,454.7,475.8,440.25,471.1,475.8,161.0,EASEMYTRIP
2021-08-02,420.0,450.0,420.0,449.25,467.0,161.0,EASEMYTRIP
2021-07-30,414.0,415.3,408.05,409.1,467.0,161.0,EASEMYTRIP
