DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-01-15,1.8,1.8,1.8,1.8,1.8,EASTSILK
2021-01-14,1.75,1.75,1.75,1.75,1.75,EASTSILK
2021-01-13,1.7,1.7,1.7,1.7,1.7,EASTSILK
2021-01-12,1.65,1.65,1.65,1.65,1.65,EASTSILK
2021-01-11,1.55,1.6,1.55,1.6,1.6,EASTSILK
2021-01-08,1.55,1.55,1.55,1.55,1.55,EASTSILK
2021-01-07,1.5,1.5,1.5,1.5,1.5,EASTSILK
2021-01-06,1.35,1.45,1.35,1.45,1.45,EASTSILK
2021-01-05,1.45,1.45,1.35,1.4,1.4,EASTSILK
2021-01-04,1.4,1.4,1.4,1.4,1.4,EASTSILK
2021-01-01,1.4,1.4,1.4,1.4,1.4,EASTSILK
2020-12-31,1.4,1.4,1.4,1.4,1.4,EASTSILK
2020-12-30,1.4,1.4,1.4,1.4,1.4,EASTSILK
2020-12-29,1.45,1.45,1.4,1.4,1.4,EASTSILK
2020-12-28,1.4,1.4,1.4,1.4,1.4,EASTSILK
2020-12-24,1.4,1.4,1.4,1.4,1.4,EASTSILK
2020-12-22,1.4,1.4,1.4,1.4,1.4,EASTSILK
2020-12-21,1.4,1.4,1.4,1.4,1.4,EASTSILK
2020-12-18,1.4,1.4,1.4,1.4,1.4,EASTSILK
2020-12-17,1.4,1.4,1.35,1.4,1.4,EASTSILK
2020-12-16,1.3,1.35,1.3,1.35,1.35,EASTSILK
2020-12-15,1.3,1.3,1.3,1.3,1.3,EASTSILK
2020-12-14,1.25,1.25,1.25,1.25,1.25,EASTSILK
2020-12-11,1.2,1.2,1.2,1.2,1.2,EASTSILK
2020-12-10,1.25,1.25,1.25,1.25,1.25,EASTSILK
2020-12-09,1.25,1.25,1.25,1.25,1.25,EASTSILK
2020-12-08,1.15,1.2,1.15,1.2,1.2,EASTSILK
2020-12-07,1.1,1.15,1.1,1.15,1.15,EASTSILK
2020-12-04,1.05,1.1,1.05,1.1,1.1,EASTSILK
2020-12-03,1.0,1.05,1.0,1.05,1.05,EASTSILK
2020-12-02,0.95,1.05,0.95,1.05,1.05,EASTSILK
2020-12-01,0.95,1.0,0.95,1.0,1.0,EASTSILK
2020-11-27,0.95,0.95,0.95,0.95,0.95,EASTSILK
