DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,472.05,517.0,468.35,517.0,505.65,EIMCOELECO
2021-07-15,478.05,479.85,469.0,471.0,470.0,EIMCOELECO
2021-07-14,489.9,489.9,472.25,473.8,473.15,EIMCOELECO
2021-07-13,498.0,498.0,476.05,478.5,478.25,EIMCOELECO
2021-07-12,495.0,498.1,478.0,484.8,485.8,EIMCOELECO
2021-07-09,493.9,505.0,483.95,490.0,490.3,EIMCOELECO
2021-07-08,509.5,509.5,481.95,487.05,486.9,EIMCOELECO
2021-07-07,491.3,520.0,490.8,498.0,500.05,EIMCOELECO
2021-07-06,526.45,528.0,486.0,491.0,488.9,EIMCOELECO
2021-07-05,509.9,541.8,496.65,517.0,518.65,EIMCOELECO
2021-07-02,410.0,470.0,409.0,449.6,451.5,EIMCOELECO
2021-07-01,410.9,425.95,395.0,409.0,410.4,EIMCOELECO
2021-06-30,376.7,438.9,358.8,406.05,406.1,EIMCOELECO
2021-06-29,366.1,375.25,364.05,365.0,365.75,EIMCOELECO
2021-06-28,370.0,382.0,364.0,364.15,366.75,EIMCOELECO
2021-06-25,379.05,379.6,364.4,368.0,369.35,EIMCOELECO
2021-06-24,368.95,381.6,367.45,376.7,374.2,EIMCOELECO
2021-06-23,386.85,386.85,367.0,367.0,371.95,EIMCOELECO
2021-06-22,379.65,382.0,373.05,379.0,374.45,EIMCOELECO
2021-06-21,388.8,388.8,370.25,376.0,380.3,EIMCOELECO
2021-06-18,384.95,388.0,367.0,372.0,371.85,EIMCOELECO
2021-06-17,382.05,386.7,380.0,381.85,381.6,EIMCOELECO
2021-06-16,395.5,395.5,377.55,378.85,379.9,EIMCOELECO
2021-06-15,392.05,395.05,378.0,385.85,382.85,EIMCOELECO
2021-06-14,375.0,387.9,373.45,380.35,384.1,EIMCOELECO
2021-06-11,399.9,399.9,372.2,374.5,378.15,EIMCOELECO
2021-06-10,381.2,399.2,375.0,397.0,389.05,EIMCOELECO
2021-06-09,378.95,390.0,378.0,378.0,379.45,EIMCOELECO
2021-06-08,371.2,389.0,371.2,380.0,380.1,EIMCOELECO
2021-06-07,388.2,394.15,377.1,378.0,379.7,EIMCOELECO
2021-06-04,393.0,400.0,383.2,383.55,386.9,EIMCOELECO
2021-06-03,368.6,395.0,357.6,390.95,385.65,EIMCOELECO
2021-06-02,364.7,380.0,350.05,360.5,360.85,EIMCOELECO
2021-06-01,386.4,386.4,352.55,356.0,361.85,EIMCOELECO
2021-05-31,380.0,388.8,366.15,373.6,369.4,EIMCOELECO
2021-05-28,353.95,392.95,350.3,369.0,363.65,EIMCOELECO
2021-05-27,355.95,361.7,353.0,353.0,354.6,EIMCOELECO
2021-05-26,348.0,358.9,347.4,358.9,355.2,EIMCOELECO
2021-05-25,348.0,359.7,348.0,349.05,350.4,EIMCOELECO
2021-05-24,347.95,358.0,345.5,358.0,353.25,EIMCOELECO
2021-05-21,355.05,355.9,341.6,346.0,347.95,EIMCOELECO
2021-05-20,357.85,358.75,346.0,346.3,346.8,EIMCOELECO
2021-05-19,352.05,356.85,347.25,353.7,353.0,EIMCOELECO
2021-05-18,368.0,368.0,343.95,350.0,351.4,EIMCOELECO
2021-05-17,348.05,363.6,340.0,347.55,352.7,EIMCOELECO
2021-05-14,363.0,364.0,345.95,347.6,350.0,EIMCOELECO
2021-05-12,365.75,383.0,361.85,376.0,377.45,EIMCOELECO
2021-05-11,365.3,372.0,363.65,371.0,368.2,EIMCOELECO
2021-05-10,375.3,375.55,360.95,369.0,366.85,EIMCOELECO
2021-05-07,368.1,375.0,364.0,366.5,367.45,EIMCOELECO
2021-05-06,354.55,375.7,354.55,369.25,367.1,EIMCOELECO
2021-05-05,334.95,368.95,334.95,362.0,357.75,EIMCOELECO
