DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,542.4,567.8,542.4,556.55,621.8,366.7,EMAMILTD
2021-11-11,555.55,555.55,538.1,541.9,621.8,366.7,EMAMILTD
2021-11-10,569.9,569.9,552.1,555.6,621.8,366.7,EMAMILTD
2021-11-09,557.85,578.5,555.45,569.95,621.8,366.7,EMAMILTD
2021-11-08,557.0,562.25,550.1,557.85,621.8,366.7,EMAMILTD
2021-11-04,570.0,570.5,562.05,563.75,621.8,344.6,EMAMILTD
2021-11-03,559.5,571.0,545.45,566.3,621.8,344.6,EMAMILTD
2021-11-02,552.95,559.0,544.5,557.95,621.8,344.6,EMAMILTD
2021-11-01,537.0,553.0,535.1,549.3,621.8,344.6,EMAMILTD
2021-10-29,525.1,538.0,512.2,531.25,621.8,344.6,EMAMILTD
2021-10-28,530.5,537.0,525.0,529.6,621.8,344.6,EMAMILTD
2021-10-27,520.0,537.85,518.75,529.25,621.8,344.6,EMAMILTD
2021-10-26,521.05,532.05,507.95,520.65,621.8,344.6,EMAMILTD
2021-10-25,537.5,541.85,517.35,522.95,621.8,344.6,EMAMILTD
2021-10-22,538.5,548.0,532.2,542.8,621.8,344.6,EMAMILTD
2021-10-21,533.05,551.5,527.55,541.95,621.8,344.6,EMAMILTD
2021-10-20,536.1,545.25,527.3,533.05,621.8,344.6,EMAMILTD
2021-10-19,544.65,547.7,542.0,544.0,621.8,344.6,EMAMILTD
2021-10-18,551.6,557.65,540.6,544.65,621.8,344.6,EMAMILTD
2021-10-14,544.0,551.95,540.1,550.25,621.8,334.4,EMAMILTD
2021-10-13,538.8,546.85,538.75,541.5,621.8,334.4,EMAMILTD
2021-10-12,544.85,545.35,532.1,535.5,621.8,334.4,EMAMILTD
2021-10-11,551.7,558.8,540.45,545.2,621.8,334.4,EMAMILTD
2021-10-08,546.7,554.7,544.95,551.8,621.8,334.4,EMAMILTD
2021-10-07,548.7,555.35,541.85,545.55,621.8,334.4,EMAMILTD
2021-10-06,569.5,573.5,543.25,551.15,621.8,334.4,EMAMILTD
2021-10-05,559.2,576.0,556.1,566.55,621.8,334.4,EMAMILTD
2021-10-04,569.85,576.0,559.2,565.05,621.8,334.4,EMAMILTD
2021-10-01,569.9,579.5,568.65,569.95,621.8,334.4,EMAMILTD
2021-09-30,589.7,589.75,570.0,574.0,621.8,334.4,EMAMILTD
2021-09-29,577.4,590.0,574.3,586.55,621.8,334.4,EMAMILTD
2021-09-28,585.0,589.6,572.5,580.15,621.8,334.4,EMAMILTD
2021-09-27,592.0,598.85,586.05,589.2,621.8,334.4,EMAMILTD
2021-09-24,589.55,598.15,576.1,585.3,621.8,334.4,EMAMILTD
2021-09-23,586.65,588.5,581.15,584.4,621.8,334.4,EMAMILTD
2021-09-22,583.7,593.0,579.35,584.6,621.8,334.4,EMAMILTD
2021-09-21,580.0,585.8,568.05,581.1,621.8,334.4,EMAMILTD
2021-09-20,574.9,592.65,566.4,575.15,621.8,334.4,EMAMILTD
2021-09-17,597.5,600.0,576.05,580.4,621.8,334.4,EMAMILTD
2021-09-16,594.7,596.55,586.5,593.95,621.8,334.4,EMAMILTD
2021-09-15,597.6,603.5,588.3,592.0,621.8,334.4,EMAMILTD
2021-09-14,591.65,607.95,589.95,594.5,621.8,334.4,EMAMILTD
2021-09-13,605.0,605.0,586.05,591.05,621.8,334.4,EMAMILTD
2021-09-09,577.0,606.0,573.4,595.85,621.8,334.4,EMAMILTD
2021-09-08,587.35,587.35,577.0,581.85,621.8,334.4,EMAMILTD
2021-09-07,603.9,604.0,582.0,587.35,621.8,334.4,EMAMILTD
2021-09-06,602.65,611.05,596.7,599.45,621.8,334.4,EMAMILTD
2021-09-03,599.1,610.0,598.55,605.65,621.8,334.4,EMAMILTD
2021-09-02,596.45,603.95,592.05,597.05,621.8,334.4,EMAMILTD
2021-09-01,598.2,604.95,592.85,598.45,621.8,334.4,EMAMILTD
2021-08-31,610.0,611.0,592.5,597.2,621.8,334.4,EMAMILTD
2021-08-30,600.5,614.5,591.35,608.2,621.8,334.4,EMAMILTD
2021-08-27,590.0,599.9,585.9,596.55,621.8,334.4,EMAMILTD
2021-08-26,588.5,597.25,580.0,593.15,621.8,334.4,EMAMILTD
2021-08-25,594.95,605.0,587.0,588.5,621.8,334.4,EMAMILTD
2021-08-24,611.0,621.8,579.1,588.1,621.8,334.4,EMAMILTD
2021-08-23,596.0,608.0,575.45,603.25,608.0,334.4,EMAMILTD
2021-08-20,582.8,597.0,570.6,586.2,608.0,322.0,EMAMILTD
2021-08-18,594.85,608.0,587.0,597.45,608.0,322.0,EMAMILTD
2021-08-17,572.95,599.0,563.05,590.15,599.0,322.0,EMAMILTD
2021-08-16,564.8,577.35,552.5,569.4,582.6,322.0,EMAMILTD
2021-08-13,560.3,566.3,556.0,562.95,582.6,265.0,EMAMILTD
2021-08-12,553.15,564.45,552.0,555.3,582.6,265.0,EMAMILTD
2021-08-11,556.0,562.15,548.65,553.15,582.6,265.0,EMAMILTD
2021-08-10,565.0,577.8,544.65,561.55,582.6,265.0,EMAMILTD
2021-08-09,565.6,573.55,552.75,567.25,582.6,265.0,EMAMILTD
2021-08-06,578.2,578.2,564.05,566.05,582.6,236.0,EMAMILTD
2021-08-05,563.9,580.0,560.0,575.1,582.6,236.0,EMAMILTD
2021-08-04,566.35,568.5,557.5,561.85,582.6,236.0,EMAMILTD
2021-08-03,574.85,582.6,560.0,563.65,582.6,236.0,EMAMILTD
2021-08-02,565.0,578.9,556.2,569.8,578.9,236.0,EMAMILTD
2021-07-30,553.85,568.0,544.05,558.85,578.5,235.55,EMAMILTD
2021-07-29,559.9,566.0,541.25,551.8,578.5,235.55,EMAMILTD
2021-07-28,556.0,560.0,550.4,555.3,578.5,235.55,EMAMILTD
2021-07-27,562.5,565.0,553.15,555.8,578.5,235.55,EMAMILTD
2021-07-26,552.0,563.9,552.0,559.6,578.5,235.55,EMAMILTD
2021-07-23,552.0,559.45,548.1,549.95,578.5,235.55,EMAMILTD
2021-07-22,535.5,551.9,535.5,548.1,578.5,235.55,EMAMILTD
2021-07-20,541.9,547.0,531.0,534.3,578.5,235.55,EMAMILTD
2021-07-19,550.0,557.35,532.25,542.2,578.5,235.55,EMAMILTD
2021-07-16,570.0,572.25,553.7,558.65,578.5,227.55,EMAMILTD
2021-07-15,569.9,575.65,565.45,568.45,578.5,227.55,EMAMILTD
2021-07-14,566.9,574.0,557.15,572.1,578.5,227.55,EMAMILTD
2021-07-13,578.2,578.5,559.0,564.6,578.5,227.55,EMAMILTD
2021-07-12,572.55,578.0,568.0,576.8,578.0,227.55,EMAMILTD
2021-07-09,551.65,570.0,550.0,565.5,574.0,225.8,EMAMILTD
2021-07-08,554.5,571.15,542.05,549.1,574.0,225.8,EMAMILTD
2021-07-07,551.5,565.0,547.1,552.35,574.0,225.8,EMAMILTD
2021-07-06,563.0,565.0,548.05,550.4,574.0,225.8,EMAMILTD
2021-07-05,558.0,563.55,553.55,559.3,574.0,225.8,EMAMILTD
2021-07-02,567.0,568.5,557.35,563.6,574.0,204.5,EMAMILTD
2021-07-01,562.55,574.0,550.3,561.5,574.0,204.5,EMAMILTD
2021-06-30,550.0,563.7,547.65,560.35,566.6,204.5,EMAMILTD
2021-06-29,547.9,552.0,540.35,549.9,566.6,204.5,EMAMILTD
2021-06-28,542.9,550.0,534.55,546.0,566.6,204.5,EMAMILTD
2021-06-25,557.0,557.55,539.0,539.95,566.6,201.4,EMAMILTD
2021-06-24,553.9,561.5,545.0,553.2,566.6,201.4,EMAMILTD
2021-06-23,532.0,551.5,530.25,549.7,566.6,201.4,EMAMILTD
2021-06-22,533.0,540.0,524.75,528.65,566.6,201.4,EMAMILTD
2021-06-21,529.9,537.3,524.05,531.25,566.6,201.4,EMAMILTD
2021-06-18,547.0,555.5,527.1,542.7,566.6,190.0,EMAMILTD
2021-06-17,543.85,555.45,543.3,545.9,566.6,190.0,EMAMILTD
2021-06-16,538.0,547.0,534.55,542.7,566.6,190.0,EMAMILTD
2021-06-15,537.0,545.3,532.0,534.75,566.6,190.0,EMAMILTD
2021-06-14,544.8,544.8,530.0,536.65,566.6,190.0,EMAMILTD
2021-06-11,564.75,564.75,539.0,543.1,566.6,184.15,EMAMILTD
2021-06-10,546.2,558.9,546.15,554.3,566.6,184.15,EMAMILTD
2021-06-09,557.9,566.3,536.95,539.7,566.6,184.15,EMAMILTD
2021-06-08,540.65,557.45,535.35,552.85,566.6,184.15,EMAMILTD
2021-06-07,544.4,546.7,530.6,534.8,566.6,184.15,EMAMILTD
2021-06-04,552.0,566.6,536.65,538.6,566.6,184.15,EMAMILTD
2021-06-03,532.5,550.0,521.55,548.6,550.0,184.15,EMAMILTD
2021-06-02,509.9,530.8,509.25,527.75,547.0,184.15,EMAMILTD
2021-06-01,502.9,514.9,502.05,507.5,547.0,184.15,EMAMILTD
2021-05-31,506.5,506.5,499.95,501.1,547.0,184.15,EMAMILTD
2021-05-28,506.5,506.9,499.6,503.35,547.0,184.15,EMAMILTD
2021-05-27,504.0,510.0,499.0,502.4,547.0,184.15,EMAMILTD
2021-05-26,510.0,510.7,495.65,504.25,547.0,184.15,EMAMILTD
2021-05-25,517.0,520.0,498.5,499.85,547.0,184.15,EMAMILTD
2021-05-24,506.25,517.0,506.25,511.55,547.0,184.15,EMAMILTD
2021-05-21,500.0,514.95,500.0,503.9,547.0,184.15,EMAMILTD
2021-05-20,510.0,510.0,499.0,499.95,547.0,184.15,EMAMILTD
2021-05-19,520.0,520.0,506.7,508.25,547.0,184.15,EMAMILTD
2021-05-18,510.0,520.7,501.1,513.1,547.0,184.15,EMAMILTD
2021-05-17,506.7,512.0,503.5,508.05,547.0,184.15,EMAMILTD
2021-05-14,494.0,505.7,484.2,499.75,547.0,168.85,EMAMILTD
2021-05-12,486.0,494.0,485.0,488.4,547.0,168.85,EMAMILTD
2021-05-11,482.35,485.0,478.2,483.95,547.0,168.85,EMAMILTD
2021-05-10,483.9,487.9,481.9,483.5,547.0,168.85,EMAMILTD
2021-05-07,487.25,493.15,480.2,483.75,547.0,168.85,EMAMILTD
2021-05-06,487.95,488.05,483.05,485.45,547.0,168.85,EMAMILTD
2021-05-05,494.95,497.5,482.1,488.6,547.0,168.85,EMAMILTD
2021-05-04,489.1,496.0,487.0,490.6,547.0,168.85,EMAMILTD
2021-05-03,490.3,491.95,483.0,486.55,547.0,168.85,EMAMILTD
