DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,103.05,106.9,102.5,103.75,125.9,69.05,EMMBI
2021-11-11,103.3,107.0,102.35,103.65,125.9,69.05,EMMBI
2021-11-10,104.0,106.1,102.65,103.25,125.9,69.05,EMMBI
2021-11-09,103.5,107.2,102.25,104.0,125.9,69.05,EMMBI
2021-11-08,105.9,105.9,101.6,104.15,125.9,69.05,EMMBI
2021-11-04,106.9,106.9,103.95,104.5,125.9,69.05,EMMBI
2021-11-03,107.0,107.8,101.35,101.9,125.9,69.05,EMMBI
2021-11-02,104.9,106.85,103.15,104.8,125.9,69.05,EMMBI
2021-11-01,105.5,106.5,102.05,104.0,125.9,69.05,EMMBI
2021-10-29,104.25,105.85,102.45,103.1,125.9,69.05,EMMBI
2021-10-28,101.3,105.6,101.3,104.25,125.9,69.05,EMMBI
2021-10-27,104.4,104.4,100.55,103.05,125.9,69.05,EMMBI
2021-10-26,103.0,103.1,99.0,102.55,125.9,69.05,EMMBI
2021-10-25,101.4,103.3,98.4,99.35,125.9,69.05,EMMBI
2021-10-22,103.9,103.9,100.1,101.4,125.9,69.05,EMMBI
2021-10-21,103.85,103.85,98.4,101.2,125.9,69.05,EMMBI
2021-10-20,106.35,106.35,101.0,101.65,125.9,69.05,EMMBI
2021-10-19,107.15,107.9,104.0,104.45,125.9,69.05,EMMBI
2021-10-18,109.5,110.85,106.65,107.15,125.9,69.05,EMMBI
2021-10-14,108.95,112.9,107.0,108.05,125.9,69.05,EMMBI
2021-10-13,106.2,108.85,105.15,107.5,125.9,69.05,EMMBI
2021-10-12,107.0,107.0,104.65,104.95,125.9,69.05,EMMBI
2021-10-11,106.0,108.0,104.4,104.95,125.9,69.05,EMMBI
2021-10-08,109.1,109.1,104.25,105.9,125.9,69.05,EMMBI
2021-10-07,108.15,109.95,106.2,106.6,125.9,69.05,EMMBI
2021-10-06,109.0,112.1,105.8,106.75,125.9,69.05,EMMBI
2021-10-05,105.25,111.4,105.25,108.55,125.9,69.05,EMMBI
2021-10-04,107.6,110.75,105.75,106.65,125.9,69.05,EMMBI
2021-10-01,105.35,108.75,105.05,107.9,125.9,69.05,EMMBI
2021-09-30,106.95,109.7,106.95,108.35,125.9,69.05,EMMBI
2021-09-29,105.0,111.0,104.3,107.1,125.9,69.05,EMMBI
2021-09-28,103.0,107.7,103.0,106.75,125.9,69.05,EMMBI
2021-09-27,107.0,107.95,103.45,104.2,125.9,69.05,EMMBI
2021-09-24,109.0,109.0,105.1,106.35,125.9,69.05,EMMBI
2021-09-23,107.95,109.05,106.0,107.4,125.9,69.05,EMMBI
2021-09-22,106.6,109.1,104.15,105.75,125.9,69.05,EMMBI
2021-09-21,103.05,108.15,101.95,106.85,125.9,69.05,EMMBI
2021-09-20,108.95,108.95,103.25,104.4,125.9,69.05,EMMBI
2021-09-17,103.95,112.25,101.05,109.55,125.9,69.05,EMMBI
2021-09-16,103.6,104.5,101.1,102.0,125.9,69.05,EMMBI
2021-09-15,105.5,105.5,102.05,103.5,125.9,69.05,EMMBI
2021-09-14,101.9,106.15,101.8,103.65,125.9,69.05,EMMBI
2021-09-13,103.2,105.1,100.0,101.75,125.9,69.05,EMMBI
2021-09-09,103.3,103.9,102.0,102.55,125.9,69.05,EMMBI
