DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,192.9,192.9,185.25,187.1,187.4,ENIL
2021-07-15,193.0,194.6,189.0,191.45,190.7,ENIL
2021-07-14,188.45,191.5,186.35,189.9,189.25,ENIL
2021-07-13,187.0,193.4,187.0,188.0,188.4,ENIL
2021-07-12,191.95,192.0,185.05,188.0,187.7,ENIL
2021-07-09,190.1,190.1,184.05,185.8,185.85,ENIL
2021-07-08,192.3,196.0,187.2,188.3,189.55,ENIL
2021-07-07,184.0,197.5,183.05,194.0,191.8,ENIL
2021-07-06,181.7,184.6,178.25,182.6,182.6,ENIL
2021-07-05,174.95,181.4,172.2,180.4,180.05,ENIL
2021-07-02,172.0,175.0,169.25,172.0,172.15,ENIL
2021-07-01,178.5,178.5,169.95,171.6,172.6,ENIL
2021-06-30,177.15,178.1,173.0,174.85,174.85,ENIL
2021-06-29,178.6,179.3,174.0,175.5,175.55,ENIL
2021-06-28,177.8,179.35,176.0,177.1,177.6,ENIL
2021-06-25,176.5,179.0,175.3,176.1,176.9,ENIL
2021-06-24,181.0,181.6,175.7,177.3,176.5,ENIL
2021-06-23,186.0,186.0,177.55,178.2,179.0,ENIL
2021-06-22,184.0,187.0,180.9,181.95,181.4,ENIL
2021-06-21,175.05,183.5,175.05,181.5,181.05,ENIL
2021-06-18,185.9,187.55,173.0,178.75,179.35,ENIL
2021-06-17,184.8,192.0,182.1,184.4,184.45,ENIL
2021-06-16,197.4,197.4,182.25,186.0,184.8,ENIL
2021-06-15,199.0,212.0,196.55,203.0,203.65,ENIL
2021-06-14,193.4,198.0,187.75,197.4,196.35,ENIL
2021-06-11,195.9,198.0,182.3,186.0,186.1,ENIL
2021-06-10,179.45,204.85,179.25,193.3,194.05,ENIL
2021-06-09,180.55,187.4,175.05,177.1,178.65,ENIL
2021-06-08,183.95,183.95,175.05,180.55,179.4,ENIL
2021-06-07,179.0,184.0,173.2,179.6,180.9,ENIL
2021-06-04,175.35,179.8,173.25,174.1,173.85,ENIL
2021-06-03,173.05,177.7,171.0,176.0,176.45,ENIL
2021-06-02,173.0,174.05,169.05,173.25,172.0,ENIL
2021-06-01,175.65,178.0,168.55,171.0,170.6,ENIL
2021-05-31,179.5,182.9,171.9,172.5,174.0,ENIL
2021-05-28,187.8,189.35,177.3,179.5,179.15,ENIL
2021-05-27,192.8,192.9,182.0,187.8,187.1,ENIL
2021-05-26,179.0,194.2,178.2,191.5,188.85,ENIL
2021-05-25,172.85,182.25,169.15,178.75,176.7,ENIL
2021-05-24,159.1,170.6,157.1,170.0,167.95,ENIL
2021-05-21,155.0,157.05,153.75,156.1,156.0,ENIL
2021-05-20,151.2,155.7,151.2,154.35,153.95,ENIL
2021-05-19,149.4,153.95,147.25,151.95,152.2,ENIL
2021-05-18,150.0,151.9,147.1,147.55,147.5,ENIL
2021-05-17,150.5,151.15,148.55,148.55,149.1,ENIL
2021-05-14,152.1,155.4,149.05,150.5,150.05,ENIL
2021-05-12,152.0,155.4,149.5,153.95,151.5,ENIL
2021-05-11,147.95,157.4,146.6,151.1,150.85,ENIL
2021-05-10,148.8,150.85,147.0,147.1,148.4,ENIL
2021-05-07,149.95,149.95,146.9,147.15,147.1,ENIL
2021-05-06,149.4,149.5,147.05,149.0,148.55,ENIL
2021-05-05,146.05,149.0,143.05,147.1,147.8,ENIL
2021-05-04,146.3,149.4,145.75,145.75,146.0,ENIL
2021-05-03,149.0,149.0,145.0,146.05,146.0,ENIL
2021-04-30,149.95,149.95,145.75,146.5,146.1,ENIL
2021-04-29,147.75,151.8,147.25,149.0,149.05,ENIL
2021-04-28,147.0,150.0,144.55,149.75,148.95,ENIL
2021-04-27,147.0,149.0,143.95,146.0,146.75,ENIL
2021-04-26,145.65,147.95,144.25,144.5,144.5,ENIL
2021-04-23,146.55,148.0,142.2,142.2,144.25,ENIL
2021-04-22,143.7,147.95,141.0,147.75,147.15,ENIL
2021-04-20,142.55,148.15,140.55,141.0,141.1,ENIL
2021-04-19,145.0,145.0,140.5,142.7,142.2,ENIL
2021-04-16,143.7,148.15,142.25,145.5,145.25,ENIL
2021-04-15,145.0,145.0,140.0,142.25,142.0,ENIL
2021-04-13,143.8,145.05,140.15,143.0,142.65,ENIL
2021-04-12,148.0,149.55,140.1,140.1,141.4,ENIL
2021-04-09,156.9,156.9,150.4,150.5,151.0,ENIL
2021-04-08,155.0,157.1,151.5,152.0,152.3,ENIL
2021-04-07,157.0,163.0,153.55,154.8,154.45,ENIL
2021-04-06,141.95,157.95,141.9,157.95,155.35,ENIL
2021-04-05,148.5,148.5,140.1,143.5,142.9,ENIL
2021-04-01,145.6,149.3,145.2,147.5,146.5,ENIL
2021-03-31,150.0,150.0,142.85,145.05,145.2,ENIL
2021-03-30,153.25,153.9,147.5,149.0,148.45,ENIL
2021-03-26,154.85,154.85,149.65,152.85,150.9,ENIL
2021-03-25,153.65,153.65,146.3,152.0,151.1,ENIL
2021-03-24,155.95,158.0,148.15,150.1,151.7,ENIL
2021-03-23,155.05,159.8,152.55,156.0,156.05,ENIL
2021-03-22,153.0,156.0,150.0,153.65,153.55,ENIL
2021-03-19,154.95,157.0,145.05,152.0,150.0,ENIL
2021-03-18,166.6,167.2,156.4,157.8,157.2,ENIL
2021-03-17,175.45,176.0,165.0,165.1,165.8,ENIL
2021-03-16,178.0,178.85,170.5,173.0,173.85,ENIL
2021-03-15,171.05,178.65,166.0,176.0,176.6,ENIL
