DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-27,66.75,69.0,64.5,66.25,66.1,76.8,30.05,EQUITASBNK
2021-07-26,64.2,66.0,62.5,63.15,63.1,76.8,30.05,EQUITASBNK
2021-07-23,66.85,66.85,63.65,64.2,64.15,76.8,30.05,EQUITASBNK
2021-07-22,64.0,65.8,63.05,65.3,65.1,76.8,30.05,EQUITASBNK
2021-07-20,65.2,65.85,60.55,62.2,62.1,76.8,30.05,EQUITASBNK
2021-07-19,65.8,66.45,65.25,65.9,65.75,76.8,30.05,EQUITASBNK
2021-07-16,66.3,66.75,65.55,65.65,65.75,76.8,30.05,EQUITASBNK
2021-07-15,66.2,66.7,65.15,65.15,65.45,76.8,30.05,EQUITASBNK
2021-07-14,68.75,68.75,65.8,66.1,66.2,76.8,30.05,EQUITASBNK
2021-07-13,70.0,70.0,67.25,68.0,68.45,76.8,30.05,EQUITASBNK
2021-07-12,70.0,76.8,68.65,69.5,69.9,76.8,30.05,EQUITASBNK
2021-07-09,64.4,65.85,62.7,64.95,65.15,70.3,30.05,EQUITASBNK
2021-07-08,67.0,68.5,63.5,64.3,64.0,70.3,30.05,EQUITASBNK
2021-07-07,59.3,70.3,58.75,68.65,67.3,70.3,30.05,EQUITASBNK
2021-07-06,58.9,59.5,58.5,58.55,58.6,68.25,30.05,EQUITASBNK
2021-07-05,59.6,59.6,58.5,59.0,58.85,68.25,30.05,EQUITASBNK
2021-07-02,58.9,59.45,58.05,58.9,58.4,68.25,30.05,EQUITASBNK
2021-07-01,58.85,59.5,58.5,58.65,58.9,68.25,30.05,EQUITASBNK
2021-06-30,59.65,59.8,58.7,59.0,58.95,68.25,30.05,EQUITASBNK
2021-06-29,60.95,61.2,59.0,59.4,59.4,68.25,30.05,EQUITASBNK
2021-06-28,58.75,62.0,58.45,60.9,60.65,68.25,30.05,EQUITASBNK
2021-06-25,58.95,59.9,58.4,59.9,58.75,68.25,30.05,EQUITASBNK
2021-06-24,59.3,59.6,58.6,58.7,58.7,68.25,30.05,EQUITASBNK
2021-06-23,60.1,60.5,59.05,59.3,59.25,68.25,30.05,EQUITASBNK
2021-06-22,59.0,61.05,59.0,60.15,60.05,68.25,30.05,EQUITASBNK
2021-06-21,57.45,59.4,57.1,59.0,58.95,68.25,30.05,EQUITASBNK
2021-06-18,59.7,59.9,57.4,58.0,57.95,68.25,30.05,EQUITASBNK
2021-06-17,60.0,60.75,58.6,59.5,59.0,68.25,30.05,EQUITASBNK
2021-06-16,60.3,60.5,59.65,59.9,59.8,68.25,30.05,EQUITASBNK
2021-06-15,60.0,61.0,59.95,60.15,60.05,68.25,30.05,EQUITASBNK
2021-06-14,60.55,60.6,59.0,59.95,59.9,68.25,30.05,EQUITASBNK
2021-06-11,60.35,61.5,59.65,60.6,60.55,68.25,30.05,EQUITASBNK
2021-06-10,59.95,61.9,58.7,59.7,59.6,68.25,30.05,EQUITASBNK
2021-06-09,60.9,61.0,58.15,59.0,58.9,68.25,30.05,EQUITASBNK
2021-06-08,60.8,61.05,60.0,60.4,60.4,68.25,30.05,EQUITASBNK
2021-06-07,62.0,63.0,60.1,60.4,60.3,68.25,30.05,EQUITASBNK
2021-06-04,61.9,61.9,60.5,61.15,60.95,68.25,30.05,EQUITASBNK
2021-06-03,60.9,62.0,60.6,61.15,60.9,68.25,30.05,EQUITASBNK
2021-06-02,60.5,61.2,59.4,60.2,60.45,68.25,30.05,EQUITASBNK
2021-06-01,59.2,60.5,58.65,60.1,60.1,68.25,30.05,EQUITASBNK
2021-05-31,61.15,61.35,58.0,59.2,59.15,68.25,30.05,EQUITASBNK
2021-05-28,63.5,63.75,60.65,61.15,61.05,68.25,30.05,EQUITASBNK
2021-05-27,64.5,64.5,62.0,62.7,62.55,68.25,30.05,EQUITASBNK
2021-05-26,61.2,64.5,60.1,64.2,63.8,68.25,30.05,EQUITASBNK
2021-05-25,59.95,60.9,59.5,60.0,60.05,68.25,30.05,EQUITASBNK
2021-05-24,60.0,60.0,59.05,59.6,59.5,68.25,30.05,EQUITASBNK
2021-05-21,57.0,58.3,56.9,58.0,58.05,68.25,30.05,EQUITASBNK
2021-05-20,56.0,56.9,55.45,56.5,56.65,68.25,30.05,EQUITASBNK
2021-05-19,55.65,55.9,55.3,55.3,55.4,68.25,30.05,EQUITASBNK
2021-05-18,56.5,56.5,55.3,55.6,55.5,68.25,30.05,EQUITASBNK
2021-05-17,56.9,56.9,55.4,55.6,55.6,68.25,30.05,EQUITASBNK
2021-05-14,57.0,57.1,55.5,55.6,55.8,68.25,30.05,EQUITASBNK
2021-05-12,56.2,57.45,56.1,56.1,56.3,68.25,30.05,EQUITASBNK
2021-05-11,55.75,56.6,55.75,56.15,56.1,68.25,30.05,EQUITASBNK
2021-05-10,58.5,58.7,56.5,56.55,56.8,68.25,30.05,EQUITASBNK
2021-05-07,58.05,58.85,57.1,57.95,57.35,68.25,30.05,EQUITASBNK
2021-05-06,59.4,59.4,57.2,58.0,57.75,68.25,30.05,EQUITASBNK
2021-05-05,56.6,58.75,56.3,58.25,58.05,68.25,30.05,EQUITASBNK
2021-05-04,55.0,57.5,54.7,56.25,56.0,68.25,30.05,EQUITASBNK
2021-05-03,55.5,55.55,54.1,54.95,54.65,68.25,30.05,EQUITASBNK
2021-04-30,55.75,56.9,55.0,55.6,55.5,68.25,30.05,EQUITASBNK
2021-04-29,54.95,56.35,54.5,54.65,54.75,68.25,30.05,EQUITASBNK
2021-04-28,53.95,54.55,53.65,54.2,54.25,68.25,30.05,EQUITASBNK
2021-04-27,52.0,53.6,52.0,53.3,53.2,68.25,30.05,EQUITASBNK
2021-04-26,51.1,54.45,51.1,51.85,51.8,68.25,30.05,EQUITASBNK
2021-04-23,51.1,51.7,50.6,51.1,51.1,68.25,30.05,EQUITASBNK
2021-04-22,51.1,52.9,50.0,51.05,51.15,68.25,30.05,EQUITASBNK
2021-04-20,50.65,52.0,50.4,51.35,51.05,68.25,30.05,EQUITASBNK
2021-04-19,50.55,51.9,50.0,50.65,51.0,68.25,30.05,EQUITASBNK
2021-04-16,54.95,54.95,52.6,52.8,53.0,68.25,30.05,EQUITASBNK
2021-04-15,51.0,55.0,51.0,52.5,52.7,68.25,30.05,EQUITASBNK
2021-04-13,52.25,56.35,52.0,53.95,53.85,68.25,30.05,EQUITASBNK
2021-04-12,55.05,55.7,51.0,52.25,52.05,68.25,30.05,EQUITASBNK
2021-04-09,57.5,57.5,55.55,56.2,56.35,68.25,30.05,EQUITASBNK
2021-04-08,58.0,58.05,56.2,56.55,56.6,68.25,30.05,EQUITASBNK
2021-04-07,58.95,59.2,57.0,57.25,57.1,68.25,30.05,EQUITASBNK
2021-04-06,59.25,60.05,58.2,58.95,58.8,68.25,30.05,EQUITASBNK
2021-04-05,62.8,63.0,58.0,59.05,59.15,68.25,30.05,EQUITASBNK
2021-04-01,60.1,62.5,59.7,62.0,61.85,68.25,30.05,EQUITASBNK
2021-03-31,60.55,61.0,59.8,60.15,60.25,68.25,30.05,EQUITASBNK
2021-03-30,60.0,60.9,59.55,60.25,60.0,68.25,30.05,EQUITASBNK
2021-03-26,60.0,62.5,58.25,60.25,60.6,68.25,30.05,EQUITASBNK
2021-03-25,59.0,60.6,57.15,59.9,60.05,68.25,30.05,EQUITASBNK
2021-03-24,61.85,62.45,59.9,60.5,60.05,68.25,30.05,EQUITASBNK
2021-03-23,58.1,62.35,58.0,60.9,61.15,68.25,30.05,EQUITASBNK
2021-03-22,57.2,58.5,55.25,58.0,57.95,68.25,30.05,EQUITASBNK
2021-03-19,53.9,56.1,52.3,56.0,55.25,68.25,30.05,EQUITASBNK
2021-03-18,57.5,58.7,54.35,55.2,55.0,68.25,30.05,EQUITASBNK
2021-03-17,58.9,58.9,56.6,57.1,57.3,68.25,30.05,EQUITASBNK
2021-03-16,59.1,59.8,56.25,58.4,58.4,68.25,30.05,EQUITASBNK
2021-03-15,59.4,59.9,57.05,58.9,59.05,68.25,30.05,EQUITASBNK
