DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-16,25.7,25.7,24.5,24.65,24.75,36.85,16.75,EROSMEDIA
2021-07-15,25.1,25.5,24.3,25.3,25.2,36.85,16.75,EROSMEDIA
2021-07-14,26.35,26.4,24.0,24.8,24.6,36.85,16.75,EROSMEDIA
2021-07-13,26.5,26.7,26.15,26.4,26.4,36.85,16.75,EROSMEDIA
2021-07-12,26.95,27.75,25.8,25.8,26.05,36.85,16.75,EROSMEDIA
2021-07-09,26.8,27.0,25.9,26.15,26.1,36.85,16.75,EROSMEDIA
2021-07-08,27.5,27.5,26.1,26.3,26.45,36.85,16.75,EROSMEDIA
2021-07-07,29.0,29.15,27.05,27.8,27.5,36.85,16.75,EROSMEDIA
2021-07-06,28.0,29.6,26.5,29.1,29.15,36.85,16.75,EROSMEDIA
2021-07-05,25.6,27.55,25.45,27.55,27.55,36.85,16.75,EROSMEDIA
2021-07-02,26.1,26.2,24.75,25.05,25.05,36.85,16.75,EROSMEDIA
2021-07-01,27.0,27.45,25.7,26.2,25.95,36.85,16.75,EROSMEDIA
2021-06-30,28.5,28.5,26.6,26.8,26.75,36.85,16.75,EROSMEDIA
2021-06-29,26.7,28.55,26.05,27.95,28.0,36.85,16.75,EROSMEDIA
2021-06-28,29.5,29.75,27.7,27.75,27.8,36.85,16.75,EROSMEDIA
2021-06-25,28.4,29.15,27.85,28.65,28.75,36.85,16.75,EROSMEDIA
2021-06-24,29.5,29.5,27.8,28.0,27.95,36.85,16.75,EROSMEDIA
2021-06-23,29.5,30.4,29.05,29.2,29.3,36.85,16.75,EROSMEDIA
2021-06-22,30.15,30.15,28.8,29.1,29.1,36.85,16.75,EROSMEDIA
2021-06-21,28.05,29.9,27.8,29.55,29.6,36.85,16.75,EROSMEDIA
2021-06-18,30.4,30.4,28.2,29.15,29.15,36.85,16.75,EROSMEDIA
