DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-05-19,0.95,0.95,0.95,0.95,0.95,FCSSOFT
2021-05-18,1.1,1.1,1.0,1.0,1.0,FCSSOFT
2021-05-17,1.05,1.05,1.05,1.05,1.05,FCSSOFT
2021-05-14,1.0,1.0,1.0,1.0,1.0,FCSSOFT
2021-05-12,0.95,0.95,0.95,0.95,0.95,FCSSOFT
2021-05-11,0.9,0.9,0.8,0.9,0.9,FCSSOFT
2021-05-10,0.85,0.85,0.8,0.85,0.85,FCSSOFT
2021-05-07,0.75,0.8,0.75,0.8,0.8,FCSSOFT
2021-05-06,0.7,0.75,0.65,0.75,0.75,FCSSOFT
2021-05-05,0.7,0.7,0.65,0.7,0.7,FCSSOFT
2021-05-04,0.7,0.7,0.65,0.7,0.65,FCSSOFT
2021-05-03,0.7,0.7,0.65,0.7,0.65,FCSSOFT
2021-04-30,0.7,0.75,0.65,0.7,0.7,FCSSOFT
2021-04-29,0.7,0.7,0.65,0.7,0.7,FCSSOFT
2021-04-28,0.65,0.65,0.6,0.65,0.65,FCSSOFT
2021-04-27,0.65,0.65,0.6,0.65,0.6,FCSSOFT
2020-12-16,0.75,0.75,0.65,0.65,0.7,FCSSOFT
2020-12-15,0.8,0.8,0.7,0.7,0.7,FCSSOFT
2020-12-14,0.75,0.75,0.75,0.75,0.75,FCSSOFT
2020-12-11,0.7,0.7,0.7,0.7,0.7,FCSSOFT
2020-12-10,0.65,0.65,0.65,0.65,0.65,FCSSOFT
2020-12-09,0.6,0.6,0.55,0.6,0.6,FCSSOFT
2020-12-08,0.45,0.5,0.45,0.5,0.5,FCSSOFT
2020-12-07,0.4,0.45,0.4,0.4,0.45,FCSSOFT
2020-12-04,0.45,0.45,0.4,0.45,0.45,FCSSOFT
2020-12-03,0.45,0.45,0.4,0.45,0.4,FCSSOFT
2020-12-02,0.45,0.45,0.4,0.45,0.4,FCSSOFT
2020-12-01,0.4,0.45,0.4,0.45,0.4,FCSSOFT
2020-11-27,0.45,0.45,0.35,0.4,0.4,FCSSOFT
2020-11-26,0.45,0.45,0.4,0.45,0.4,FCSSOFT
2020-11-25,0.4,0.45,0.4,0.45,0.4,FCSSOFT
2020-11-24,0.4,0.45,0.4,0.45,0.4,FCSSOFT
2020-11-23,0.45,0.45,0.4,0.4,0.4,FCSSOFT
2020-11-20,0.45,0.45,0.4,0.4,0.45,FCSSOFT
2020-11-19,0.4,0.45,0.4,0.45,0.4,FCSSOFT
2020-11-18,0.4,0.45,0.4,0.4,0.45,FCSSOFT
2020-11-17,0.45,0.45,0.4,0.4,0.4,FCSSOFT
2020-11-14,0.4,0.45,0.4,0.45,0.4,FCSSOFT
2020-11-13,0.4,0.45,0.4,0.45,0.4,FCSSOFT
2020-11-12,0.4,0.45,0.35,0.45,0.4,FCSSOFT
2020-11-11,0.4,0.45,0.35,0.35,0.4,FCSSOFT
2020-11-10,0.45,0.45,0.35,0.45,0.4,FCSSOFT
2020-11-09,0.4,0.45,0.35,0.4,0.4,FCSSOFT
2020-11-06,0.45,0.45,0.4,0.45,0.4,FCSSOFT
2020-11-05,0.45,0.45,0.4,0.45,0.4,FCSSOFT
2020-11-04,0.45,0.45,0.4,0.4,0.45,FCSSOFT
2020-11-03,0.45,0.45,0.4,0.4,0.4,FCSSOFT
2020-11-02,0.45,0.45,0.4,0.4,0.4,FCSSOFT
2020-10-30,0.4,0.45,0.4,0.45,0.45,FCSSOFT
2020-10-29,0.4,0.45,0.35,0.4,0.4,FCSSOFT
2020-10-28,0.4,0.45,0.35,0.4,0.4,FCSSOFT
2020-10-27,0.45,0.45,0.4,0.45,0.4,FCSSOFT
2020-10-26,0.5,0.5,0.4,0.45,0.45,FCSSOFT
2020-10-23,0.4,0.45,0.35,0.45,0.45,FCSSOFT
2020-10-22,0.4,0.4,0.35,0.35,0.4,FCSSOFT
2020-10-21,0.35,0.4,0.35,0.4,0.4,FCSSOFT
2020-10-20,0.4,0.4,0.35,0.4,0.4,FCSSOFT
2020-10-19,0.4,0.4,0.35,0.35,0.4,FCSSOFT
2020-10-16,0.45,0.45,0.35,0.4,0.4,FCSSOFT
2020-10-15,0.45,0.45,0.4,0.45,0.4,FCSSOFT
2020-10-14,0.45,0.45,0.4,0.45,0.4,FCSSOFT
2020-10-13,0.45,0.45,0.4,0.45,0.4,FCSSOFT
2020-10-12,0.4,0.45,0.4,0.45,0.45,FCSSOFT
2020-10-09,0.45,0.45,0.4,0.4,0.4,FCSSOFT
2020-10-08,0.45,0.45,0.35,0.4,0.4,FCSSOFT
2020-10-07,0.45,0.45,0.35,0.4,0.4,FCSSOFT
2020-10-06,0.4,0.45,0.4,0.45,0.4,FCSSOFT
2020-10-05,0.45,0.45,0.4,0.45,0.45,FCSSOFT
2020-10-01,0.45,0.45,0.4,0.45,0.45,FCSSOFT
