DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-26,381.5,384.7,375.3,376.65,376.1,404.9,255.2,FDC
2021-07-23,383.35,388.7,378.0,379.0,379.35,404.9,255.2,FDC
2021-07-22,375.2,388.0,373.0,383.35,381.65,404.9,255.2,FDC
2021-07-20,371.2,377.4,364.15,374.0,375.2,404.9,255.2,FDC
2021-07-19,378.7,378.7,371.85,373.55,374.3,404.9,255.2,FDC
2021-07-16,380.0,388.6,375.55,378.0,378.9,404.9,238.0,FDC
2021-07-15,375.0,384.0,366.75,380.9,377.85,404.9,238.0,FDC
2021-07-14,381.15,381.15,372.0,372.5,373.85,404.9,238.0,FDC
2021-07-13,386.45,388.7,376.05,380.0,381.15,404.9,238.0,FDC
2021-07-12,366.5,380.0,360.6,375.5,374.95,404.9,238.0,FDC
2021-07-09,371.15,372.9,365.0,366.0,367.2,404.9,236.6,FDC
2021-07-08,368.7,379.85,364.0,370.45,371.15,404.9,236.6,FDC
2021-07-07,360.5,363.7,352.95,357.5,356.95,404.9,236.6,FDC
2021-07-06,362.2,367.85,352.5,361.05,360.3,404.9,236.6,FDC
2021-07-05,362.7,366.0,359.15,361.6,361.15,404.9,236.6,FDC
2021-07-02,359.7,369.0,356.1,359.1,359.55,404.9,236.6,FDC
2021-07-01,354.8,364.0,348.0,358.0,359.0,404.9,236.6,FDC
2021-06-30,355.45,356.95,352.0,354.2,353.95,404.9,236.6,FDC
2021-06-29,358.8,359.7,352.5,354.0,354.35,404.9,236.6,FDC
2021-06-28,358.0,362.05,353.8,355.6,357.7,404.9,236.6,FDC
2021-06-25,352.0,357.8,348.05,352.0,351.55,404.9,236.6,FDC
2021-06-24,357.8,359.05,346.9,350.0,349.6,404.9,236.6,FDC
2021-06-23,361.5,364.5,354.0,354.45,355.5,404.9,236.6,FDC
2021-06-22,366.0,370.0,358.0,361.1,359.55,404.9,236.6,FDC
2021-06-21,342.0,366.0,333.3,363.5,362.3,404.9,236.6,FDC
2021-06-18,358.5,358.5,340.25,346.95,345.45,404.9,236.6,FDC
2021-06-17,357.15,360.0,349.5,354.0,353.4,404.9,236.6,FDC
2021-06-16,383.0,383.0,354.0,358.05,359.85,404.9,236.6,FDC
2021-06-15,381.3,404.9,375.0,380.0,382.35,404.9,236.6,FDC
2021-06-14,338.0,394.9,337.5,380.0,381.3,394.9,236.6,FDC
2021-06-11,339.3,339.85,335.35,338.55,337.5,379.0,236.6,FDC
2021-06-10,339.45,340.95,336.15,338.0,338.15,379.0,236.6,FDC
2021-06-09,342.0,344.5,336.15,336.15,337.0,379.0,236.6,FDC
2021-06-08,336.4,343.8,335.0,340.0,340.05,379.0,236.6,FDC
2021-06-07,336.9,341.75,332.25,335.0,333.55,379.0,236.6,FDC
2021-06-04,339.45,339.45,335.65,336.0,336.9,379.0,236.6,FDC
2021-06-03,339.95,341.95,336.0,337.7,336.95,379.0,236.6,FDC
2021-06-02,337.0,341.0,332.7,340.0,339.95,379.0,236.6,FDC
