DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,176.8,179.8,175.8,177.4,201.6,103.6,GAEL
2021-11-11,172.7,179.9,172.65,176.8,201.6,103.6,GAEL
2021-11-10,171.8,174.45,170.4,172.7,201.6,103.6,GAEL
2021-11-09,169.9,172.35,168.85,171.0,201.6,103.6,GAEL
2021-11-08,172.25,172.35,167.2,168.45,201.6,103.6,GAEL
2021-11-04,169.3,172.0,168.8,171.55,201.6,103.6,GAEL
2021-11-03,170.85,172.1,167.05,168.0,201.6,103.6,GAEL
2021-11-02,172.3,174.8,168.65,169.55,201.6,103.6,GAEL
2021-11-01,164.35,172.8,163.0,171.0,201.6,103.6,GAEL
2021-10-29,168.0,168.75,163.5,164.35,201.6,103.6,GAEL
2021-10-28,174.2,174.2,166.1,166.7,201.6,103.6,GAEL
2021-10-27,168.6,176.95,167.3,174.15,201.6,103.6,GAEL
2021-10-26,169.0,170.6,166.0,168.3,201.6,103.6,GAEL
2021-10-25,170.45,170.45,165.1,168.1,201.6,103.6,GAEL
2021-10-22,170.3,171.4,168.0,169.8,201.6,103.6,GAEL
2021-10-21,169.95,171.8,165.6,168.95,201.6,103.6,GAEL
2021-10-20,173.95,175.0,168.0,169.3,201.6,103.6,GAEL
2021-10-19,179.85,181.8,172.35,174.3,201.6,103.6,GAEL
2021-10-18,179.0,183.05,177.65,178.85,201.6,103.6,GAEL
2021-10-14,182.0,182.7,176.5,177.45,201.6,103.6,GAEL
2021-10-13,175.0,181.95,174.55,179.55,201.6,103.6,GAEL
2021-10-12,172.45,174.6,171.5,173.7,201.6,103.6,GAEL
2021-10-11,171.0,173.4,170.0,171.85,201.6,103.6,GAEL
2021-10-08,169.05,174.65,168.85,169.45,201.6,103.6,GAEL
2021-10-07,170.7,170.7,167.4,169.0,201.6,103.6,GAEL
2021-10-06,172.6,173.55,168.5,168.9,201.6,103.6,GAEL
2021-10-05,170.9,173.0,170.15,170.85,201.6,103.6,GAEL
2021-10-04,174.0,174.15,168.8,170.3,201.6,103.6,GAEL
2021-10-01,174.0,174.0,168.9,170.15,226.2,103.6,GAEL
2021-09-30,176.2,177.4,172.1,173.25,226.2,103.6,GAEL
2021-09-29,171.0,176.75,171.0,174.25,226.2,103.6,GAEL
2021-09-28,173.7,174.9,172.0,173.6,226.2,103.6,GAEL
2021-09-27,174.95,174.95,170.0,172.7,226.2,103.6,GAEL
2021-09-24,175.4,176.35,172.0,172.4,226.2,103.6,GAEL
2021-09-23,176.55,176.85,173.5,173.95,226.2,103.6,GAEL
2021-09-22,173.25,175.8,172.45,173.75,226.2,103.6,GAEL
2021-09-21,175.35,175.95,171.15,173.15,226.2,103.6,GAEL
2021-09-20,173.1,181.0,173.1,175.35,226.2,103.6,GAEL
2021-09-17,176.75,184.9,172.0,181.55,226.2,103.6,GAEL
2021-09-16,178.0,179.15,171.0,175.45,226.2,103.6,GAEL
2021-09-15,179.6,179.6,176.5,177.2,226.2,103.6,GAEL
2021-09-14,178.7,179.7,177.05,177.6,226.2,103.6,GAEL
2021-09-13,176.9,180.15,176.1,176.65,226.2,103.6,GAEL
2021-09-09,175.0,179.3,172.7,176.8,226.2,103.6,GAEL
2021-09-08,173.85,177.9,173.25,174.2,226.2,103.6,GAEL
2021-09-07,174.7,178.0,172.7,173.85,226.2,103.6,GAEL
2021-09-06,181.95,182.95,172.0,173.6,226.2,103.6,GAEL
2021-09-03,184.8,186.1,179.3,180.05,226.2,103.6,GAEL
2021-09-02,176.1,186.8,176.1,184.8,226.2,103.6,GAEL
2021-09-01,183.05,185.4,176.1,177.0,226.2,103.6,GAEL
2021-08-31,170.05,187.8,168.3,182.85,226.2,103.6,GAEL
2021-08-30,165.5,173.0,165.0,170.4,226.2,103.6,GAEL
2021-08-27,167.0,167.0,163.0,164.75,226.2,103.6,GAEL
2021-08-26,164.75,168.8,162.4,166.45,226.2,103.6,GAEL
2021-08-25,163.0,166.9,162.95,163.75,226.2,103.6,GAEL
