DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,3157.0,3157.0,3100.1,3145.0,3138.75,GALAXYSURF
2021-07-15,3214.0,3219.4,3120.65,3131.95,3132.75,GALAXYSURF
2021-07-14,3202.0,3250.0,3167.5,3189.0,3188.25,GALAXYSURF
2021-07-13,3149.95,3217.35,3110.1,3201.95,3189.95,GALAXYSURF
2021-07-12,3170.0,3170.0,3118.95,3132.95,3127.7,GALAXYSURF
2021-07-09,3145.85,3159.95,3110.0,3140.0,3142.25,GALAXYSURF
2021-07-08,3159.0,3175.0,3112.0,3135.1,3145.85,GALAXYSURF
2021-07-07,3130.0,3155.0,3101.7,3150.0,3140.65,GALAXYSURF
2021-07-06,3062.0,3137.55,3062.0,3108.0,3105.3,GALAXYSURF
2021-07-05,3116.85,3189.0,3031.15,3049.0,3054.7,GALAXYSURF
2021-07-02,3037.6,3096.7,3015.05,3065.25,3056.15,GALAXYSURF
2021-07-01,3048.5,3052.3,2991.05,3005.0,3022.45,GALAXYSURF
2021-06-30,3015.0,3035.0,3011.0,3019.0,3022.95,GALAXYSURF
2021-06-29,3020.05,3049.0,3003.0,3009.9,3014.8,GALAXYSURF
2021-06-28,3040.3,3048.0,3018.05,3020.0,3030.95,GALAXYSURF
2021-06-25,3038.0,3055.0,3016.0,3030.0,3040.3,GALAXYSURF
2021-06-24,3040.0,3060.0,3013.0,3045.0,3033.15,GALAXYSURF
2021-06-23,3068.0,3069.0,3012.95,3040.0,3041.1,GALAXYSURF
2021-06-22,3079.95,3083.65,3020.0,3020.65,3032.4,GALAXYSURF
2021-06-21,3000.0,3077.0,2972.0,3042.1,3050.3,GALAXYSURF
2021-06-18,3035.0,3044.05,2977.0,3021.4,3010.05,GALAXYSURF
2021-06-17,3030.0,3100.0,2980.0,3022.0,3023.1,GALAXYSURF
2021-06-16,3078.85,3079.0,3026.0,3031.35,3030.35,GALAXYSURF
2021-06-15,3100.0,3120.0,3075.05,3082.5,3078.85,GALAXYSURF
2021-06-14,3120.35,3120.35,3041.0,3100.75,3098.8,GALAXYSURF
2021-06-11,3100.0,3121.55,3070.1,3090.0,3094.7,GALAXYSURF
2021-06-10,3063.95,3079.9,3020.55,3061.0,3068.6,GALAXYSURF
2021-06-09,3120.0,3129.0,3007.75,3020.0,3027.5,GALAXYSURF
2021-06-08,3079.0,3127.0,3050.0,3066.0,3061.8,GALAXYSURF
2021-06-07,3024.95,3062.15,3003.1,3045.0,3036.35,GALAXYSURF
2021-06-04,3000.0,3009.0,2946.05,2974.0,2974.95,GALAXYSURF
2021-06-03,2985.0,3000.0,2971.0,2980.35,2985.75,GALAXYSURF
2021-06-02,2960.0,2987.0,2942.0,2986.1,2969.1,GALAXYSURF
2021-06-01,2949.95,2986.0,2915.0,2964.0,2965.15,GALAXYSURF
2021-05-31,2999.0,2999.0,2923.0,2946.0,2942.6,GALAXYSURF
2021-05-28,3032.1,3071.95,2955.55,2976.0,2971.0,GALAXYSURF
2021-05-27,3059.0,3072.85,3001.0,3040.0,3057.6,GALAXYSURF
2021-05-26,3100.0,3100.0,3041.35,3050.0,3058.6,GALAXYSURF
2021-05-25,3100.0,3100.0,3025.0,3035.15,3037.6,GALAXYSURF
2021-05-24,3114.95,3114.95,3053.0,3076.5,3082.8,GALAXYSURF
2021-05-21,3112.25,3134.0,3052.0,3090.0,3073.0,GALAXYSURF
2021-05-20,3146.1,3170.35,3081.0,3090.0,3104.5,GALAXYSURF
2021-05-19,3150.0,3172.0,3121.0,3140.0,3133.95,GALAXYSURF
2021-05-18,3261.0,3294.7,3110.0,3134.0,3148.55,GALAXYSURF
2021-05-17,2911.35,3176.95,2911.35,3145.0,3132.1,GALAXYSURF
2021-05-14,2872.5,2925.0,2858.3,2911.35,2902.05,GALAXYSURF
2021-05-12,2886.0,2898.8,2841.0,2875.0,2856.25,GALAXYSURF
2021-05-11,2861.0,2922.0,2860.0,2886.0,2878.3,GALAXYSURF
2021-05-10,2900.0,2909.0,2863.0,2879.7,2871.95,GALAXYSURF
2021-05-07,2880.05,2930.0,2866.3,2880.0,2886.95,GALAXYSURF
2021-05-06,2994.75,2994.75,2837.05,2880.0,2870.75,GALAXYSURF
2021-05-05,2869.0,2994.0,2811.0,2944.0,2887.35,GALAXYSURF
2021-05-04,2914.0,2950.0,2780.0,2823.95,2810.35,GALAXYSURF
2021-05-03,2912.0,2970.0,2875.55,2900.0,2897.9,GALAXYSURF
2021-04-30,2918.0,2960.0,2875.0,2923.8,2922.15,GALAXYSURF
2021-04-29,2875.0,2974.0,2850.0,2880.35,2911.65,GALAXYSURF
2021-04-28,2670.0,2887.35,2667.2,2835.0,2822.05,GALAXYSURF
2021-04-27,2673.75,2695.0,2572.25,2649.0,2640.3,GALAXYSURF
2021-04-26,2630.0,2673.35,2630.0,2661.0,2660.4,GALAXYSURF
2021-04-23,2614.2,2650.0,2590.85,2635.0,2616.4,GALAXYSURF
2021-04-22,2625.0,2650.0,2520.25,2600.0,2600.5,GALAXYSURF
2021-04-20,2579.0,2644.45,2532.25,2583.95,2582.6,GALAXYSURF
2021-04-19,2567.4,2593.05,2509.1,2592.0,2569.5,GALAXYSURF
2021-04-16,2639.95,2697.95,2535.5,2580.0,2567.4,GALAXYSURF
2021-04-15,2625.0,2649.0,2567.6,2580.0,2606.65,GALAXYSURF
