DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-26,109.9,115.95,108.15,112.05,113.2,125.9,24.1,GANESHHOUC
2021-07-23,114.0,114.0,109.3,109.3,110.65,125.9,23.8,GANESHHOUC
2021-07-22,121.95,125.9,114.15,114.15,115.05,125.9,23.8,GANESHHOUC
2021-07-20,120.25,123.35,119.25,120.0,120.15,123.35,23.8,GANESHHOUC
2021-06-16,103.75,103.75,99.25,101.95,101.8,103.75,21.7,GANESHHOUC
2021-06-15,103.4,103.4,103.4,103.4,103.4,103.4,21.7,GANESHHOUC
2021-06-14,98.5,98.5,95.3,98.5,98.5,98.5,21.7,GANESHHOUC
2021-06-11,91.95,93.85,88.5,93.85,93.85,95.9,21.05,GANESHHOUC
2021-06-10,91.85,93.5,89.0,89.85,89.4,95.9,21.05,GANESHHOUC
2021-06-09,91.9,94.95,88.05,90.4,91.8,95.9,21.05,GANESHHOUC
2021-06-08,93.95,93.95,89.4,89.4,90.45,95.9,21.05,GANESHHOUC
2021-06-07,95.9,95.9,86.8,94.0,94.1,95.9,21.05,GANESHHOUC
2021-06-04,91.35,91.35,91.35,91.35,91.35,91.35,20.0,GANESHHOUC
2021-06-03,87.0,87.0,82.3,87.0,87.0,88.0,20.0,GANESHHOUC
2021-06-02,78.95,79.1,77.95,79.1,79.1,88.0,20.0,GANESHHOUC
2021-06-01,68.95,71.95,68.2,71.95,71.95,88.0,20.0,GANESHHOUC
2021-05-31,59.1,65.45,59.05,65.45,65.45,88.0,20.0,GANESHHOUC
2021-05-28,64.85,67.2,57.6,58.35,59.5,88.0,19.6,GANESHHOUC
2021-05-27,67.7,67.75,62.55,62.9,63.45,88.0,19.6,GANESHHOUC
2021-05-26,65.0,67.5,65.0,66.8,66.55,88.0,19.6,GANESHHOUC
2021-05-25,62.6,65.45,60.5,64.8,64.55,88.0,19.6,GANESHHOUC
2021-05-24,62.75,62.75,60.1,60.5,60.75,88.0,19.6,GANESHHOUC
2021-05-21,62.9,64.5,61.6,62.35,62.15,88.0,19.6,GANESHHOUC
2021-05-20,65.35,65.35,61.0,61.25,61.45,88.0,19.6,GANESHHOUC
2021-05-19,65.0,65.4,63.6,64.7,64.15,88.0,19.6,GANESHHOUC
2021-05-18,66.85,67.55,64.5,64.5,64.85,88.0,19.6,GANESHHOUC
2021-05-17,65.9,67.0,65.05,65.15,66.15,88.0,19.6,GANESHHOUC
2021-05-14,65.65,69.9,65.1,65.1,65.5,88.0,19.6,GANESHHOUC
2021-05-12,70.35,70.35,65.0,65.5,65.55,88.0,19.6,GANESHHOUC
2021-05-11,69.35,69.35,66.0,68.3,67.9,88.0,19.6,GANESHHOUC
2021-05-10,74.0,75.15,67.5,68.0,68.45,88.0,19.6,GANESHHOUC
2021-05-07,72.15,75.8,70.9,75.5,74.3,88.0,19.6,GANESHHOUC
2021-05-06,74.05,75.5,73.0,74.05,73.65,88.0,19.6,GANESHHOUC
2021-05-05,74.45,76.0,72.0,76.0,75.1,88.0,19.6,GANESHHOUC
2021-05-04,69.05,74.1,69.05,74.0,73.7,88.0,19.6,GANESHHOUC
2021-05-03,68.1,74.0,66.75,73.1,72.8,88.0,19.6,GANESHHOUC
2021-04-30,70.1,71.6,67.0,70.65,70.2,88.0,19.6,GANESHHOUC
2021-04-29,68.85,71.0,64.25,69.75,70.0,88.0,19.6,GANESHHOUC
2021-04-28,71.45,71.45,65.15,66.0,66.55,88.0,19.6,GANESHHOUC
2021-04-27,71.65,71.65,66.05,67.25,67.45,88.0,19.6,GANESHHOUC
2021-04-26,64.25,70.85,64.2,68.5,68.65,88.0,19.6,GANESHHOUC
2021-04-23,67.75,68.25,63.9,64.65,64.7,88.0,19.6,GANESHHOUC
2021-04-22,70.55,71.85,66.4,67.35,67.15,88.0,19.6,GANESHHOUC
2021-04-20,70.9,74.85,70.9,73.4,73.4,88.0,19.6,GANESHHOUC
2021-04-19,74.1,77.5,68.75,70.85,70.65,88.0,19.6,GANESHHOUC
2021-04-16,80.25,82.85,75.9,76.0,76.35,88.0,19.6,GANESHHOUC
2021-04-15,84.7,87.0,78.0,80.5,81.05,88.0,19.6,GANESHHOUC
2021-04-13,77.5,85.45,75.0,84.2,82.45,88.0,19.6,GANESHHOUC
2021-04-12,82.75,88.0,73.55,77.5,77.8,88.0,19.6,GANESHHOUC
2021-04-09,77.0,81.7,75.0,81.7,81.7,81.7,19.0,GANESHHOUC
2021-04-08,74.3,74.3,70.9,74.3,74.3,74.3,19.0,GANESHHOUC
2021-04-07,67.55,67.55,67.55,67.55,67.55,67.55,19.0,GANESHHOUC
2021-04-06,64.35,64.35,64.35,64.35,64.35,64.35,19.0,GANESHHOUC
2021-04-05,61.3,61.3,61.3,61.3,61.3,63.5,19.0,GANESHHOUC
2021-04-01,57.9,58.4,57.9,58.4,58.4,63.5,17.35,GANESHHOUC
2021-03-31,53.0,55.65,51.9,55.65,55.65,63.5,17.35,GANESHHOUC
2021-03-30,56.3,56.3,52.65,53.35,53.0,63.5,17.35,GANESHHOUC
2021-03-26,58.9,59.0,55.0,55.0,55.0,63.5,17.35,GANESHHOUC
2021-03-25,58.55,60.75,57.45,58.2,57.85,63.5,17.35,GANESHHOUC
2021-03-24,63.5,63.5,59.1,61.0,60.45,63.5,17.35,GANESHHOUC
2021-03-23,59.85,61.3,58.4,61.3,61.3,62.0,17.35,GANESHHOUC
2021-03-22,56.0,58.4,56.0,58.4,58.4,62.0,17.35,GANESHHOUC
2021-03-19,52.5,55.65,50.35,55.65,55.65,62.0,17.35,GANESHHOUC
2021-03-18,51.95,54.4,51.95,53.4,53.0,62.0,17.35,GANESHHOUC
2021-03-17,51.05,52.65,49.1,52.15,51.95,62.0,17.35,GANESHHOUC
2021-03-16,52.2,52.25,49.75,51.85,50.15,62.0,17.35,GANESHHOUC
2021-03-15,53.4,53.4,51.1,51.2,51.45,62.0,17.35,GANESHHOUC
2021-03-12,54.3,55.7,51.25,52.6,53.6,62.0,17.35,GANESHHOUC
2021-03-10,52.65,55.45,51.5,54.0,53.2,62.0,17.35,GANESHHOUC
2021-03-09,55.8,56.0,52.0,54.1,53.15,62.0,17.35,GANESHHOUC
2021-03-08,55.95,58.4,53.1,53.1,53.5,62.0,17.35,GANESHHOUC
2021-03-05,54.05,57.1,54.0,56.2,55.65,62.0,17.35,GANESHHOUC
2021-03-04,56.05,56.85,54.7,55.05,55.45,62.0,17.35,GANESHHOUC
2021-03-03,62.0,62.0,57.55,57.55,57.55,62.0,17.35,GANESHHOUC
2021-03-02,60.0,61.7,56.0,60.55,60.55,61.7,17.35,GANESHHOUC
2021-03-01,58.85,58.85,57.05,58.85,58.8,58.85,17.35,GANESHHOUC
2021-02-26,55.8,56.05,52.05,56.05,56.05,56.05,17.35,GANESHHOUC
2021-02-25,53.4,53.4,53.35,53.4,53.4,53.4,17.35,GANESHHOUC
2021-02-24,50.0,50.9,50.0,50.9,50.9,52.25,17.35,GANESHHOUC
2021-02-23,48.35,48.5,46.15,48.5,48.5,52.25,17.35,GANESHHOUC
2021-02-22,46.0,46.2,43.6,46.2,46.2,52.25,17.35,GANESHHOUC
2021-02-19,43.8,44.35,43.1,44.35,44.0,52.25,17.35,GANESHHOUC
2021-02-18,41.3,42.25,41.3,42.25,42.25,52.25,17.35,GANESHHOUC
2021-02-17,41.6,41.6,40.15,40.2,40.25,52.25,17.35,GANESHHOUC
