DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,282.0,286.5,267.25,270.25,313.9,42.05,GENESYS
2021-11-11,283.0,295.0,276.05,279.7,313.9,42.05,GENESYS
2021-11-10,269.9,285.45,266.0,285.4,313.9,42.05,GENESYS
2021-11-09,293.8,293.8,271.7,271.9,313.9,42.05,GENESYS
2021-11-08,284.6,286.0,275.15,286.0,313.9,42.05,GENESYS
2021-11-04,269.0,272.4,265.0,272.4,313.9,42.05,GENESYS
2021-11-03,259.45,259.45,259.45,259.45,313.9,42.05,GENESYS
2021-11-02,257.65,259.45,237.2,247.1,313.9,42.05,GENESYS
2021-11-01,243.8,247.95,238.15,247.95,313.9,42.05,GENESYS
2021-10-29,235.9,239.75,230.0,236.15,313.9,42.05,GENESYS
2021-10-28,222.5,241.45,222.5,228.85,313.9,42.05,GENESYS
2021-10-27,241.05,244.4,229.65,230.55,313.9,42.05,GENESYS
2021-10-26,243.55,253.2,235.0,241.7,313.9,42.05,GENESYS
2021-10-25,258.0,259.85,241.15,241.15,313.9,42.05,GENESYS
2021-10-22,274.0,278.4,252.0,253.8,313.9,42.05,GENESYS
2021-10-21,249.85,265.15,246.1,265.15,313.9,42.05,GENESYS
2021-10-20,264.9,264.9,252.55,252.55,313.9,42.05,GENESYS
2021-10-19,270.25,278.8,265.4,265.8,313.9,42.05,GENESYS
2021-10-18,294.0,298.85,279.3,279.35,313.9,42.05,GENESYS
2021-10-14,276.6,305.7,276.6,293.95,313.9,42.05,GENESYS
2021-10-13,313.0,313.9,291.15,291.15,313.9,42.05,GENESYS
2021-10-12,306.45,306.45,278.6,306.45,306.45,42.05,GENESYS
2021-10-11,291.9,291.9,291.9,291.9,291.9,42.05,GENESYS
2021-10-08,278.0,278.0,278.0,278.0,278.0,42.05,GENESYS
2021-10-07,264.8,264.8,264.8,264.8,264.8,42.05,GENESYS
2021-10-06,252.2,252.2,252.2,252.2,252.2,42.05,GENESYS
2021-10-05,240.2,240.2,240.2,240.2,240.2,42.05,GENESYS
2021-10-04,228.8,228.8,217.95,228.8,228.8,42.05,GENESYS
2021-10-01,217.95,217.95,217.95,217.95,217.95,42.05,GENESYS
2021-09-30,207.6,207.6,207.6,207.6,207.6,42.05,GENESYS
2021-09-29,197.75,197.75,197.75,197.75,197.75,42.05,GENESYS
2021-09-28,188.35,188.35,171.6,188.35,188.7,42.05,GENESYS
2021-09-27,179.4,179.4,165.55,179.4,188.7,42.05,GENESYS
2021-09-24,170.9,170.9,170.9,170.9,188.7,42.05,GENESYS
2021-09-23,162.8,162.8,162.8,162.8,188.7,42.05,GENESYS
2021-09-22,155.05,155.05,155.05,155.05,188.7,42.05,GENESYS
2021-09-21,145.75,147.7,139.1,147.7,188.7,42.05,GENESYS
2021-09-20,144.55,144.55,136.15,140.7,188.7,42.05,GENESYS
2021-09-17,149.95,149.95,139.25,140.2,188.7,42.05,GENESYS
2021-09-16,145.0,148.0,143.9,146.55,188.7,42.05,GENESYS
2021-09-15,148.5,150.0,144.05,145.65,188.7,42.05,GENESYS
2021-09-14,146.45,148.9,143.3,146.6,188.7,42.05,GENESYS
2021-09-13,149.5,149.5,144.55,147.2,188.7,42.05,GENESYS
2021-09-09,140.25,147.1,139.15,146.2,188.7,42.05,GENESYS
2021-09-08,141.25,143.5,138.05,140.25,188.7,42.05,GENESYS
2021-09-07,147.1,147.1,141.2,144.5,188.7,42.05,GENESYS
2021-09-06,149.9,149.9,145.0,147.1,188.7,42.05,GENESYS
2021-09-03,145.0,147.9,140.1,145.35,188.7,42.05,GENESYS
2021-09-02,144.0,149.0,140.0,142.15,188.7,42.05,GENESYS
2021-09-01,135.55,143.85,135.55,142.75,188.7,42.05,GENESYS
2021-08-31,140.0,144.0,136.55,137.9,188.7,42.05,GENESYS
2021-08-30,139.45,139.45,131.25,139.45,188.7,42.05,GENESYS
2021-08-27,128.95,132.85,126.2,132.85,188.7,42.05,GENESYS
2021-08-26,129.65,131.9,125.1,126.55,188.7,42.05,GENESYS
2021-08-25,132.45,132.5,127.0,129.65,188.7,42.05,GENESYS
2021-08-24,134.55,134.6,125.55,129.45,188.7,42.05,GENESYS
2021-08-23,134.95,134.95,124.8,129.05,188.7,42.05,GENESYS
2021-08-20,138.1,138.1,131.15,131.35,188.7,39.45,GENESYS
2021-08-18,139.0,140.45,134.05,138.05,188.7,39.45,GENESYS
2021-08-17,133.35,140.0,133.1,133.8,188.7,39.45,GENESYS
2021-08-16,139.0,144.8,132.1,133.35,188.7,39.45,GENESYS
2021-08-13,144.0,149.9,137.85,139.05,188.7,34.55,GENESYS
2021-08-12,145.9,148.85,140.05,145.1,188.7,34.55,GENESYS
2021-08-11,142.0,144.9,138.0,142.15,188.7,34.55,GENESYS
2021-08-10,155.8,155.8,145.25,145.25,188.7,34.55,GENESYS
2021-08-09,151.7,153.65,147.3,152.85,188.7,34.55,GENESYS
2021-08-06,152.35,152.95,143.35,146.35,188.7,27.5,GENESYS
2021-08-05,150.05,153.95,146.3,150.6,188.7,27.5,GENESYS
2021-08-04,153.9,154.85,148.0,149.75,188.7,27.5,GENESYS
2021-08-03,161.1,166.0,153.1,153.5,188.7,27.5,GENESYS
2021-08-02,154.2,162.75,151.35,161.15,188.7,27.5,GENESYS
2021-07-30,145.05,155.0,145.05,155.0,188.7,27.5,GENESYS
2021-07-29,154.0,154.7,144.15,147.65,188.7,27.5,GENESYS
2021-07-28,159.0,159.8,149.6,150.75,188.7,27.5,GENESYS
2021-07-27,161.15,163.9,155.7,157.45,188.7,27.5,GENESYS
2021-07-26,160.05,164.65,156.25,157.85,188.7,27.5,GENESYS
2021-07-23,162.8,169.9,159.0,162.25,188.7,27.5,GENESYS
2021-07-22,156.0,165.5,152.1,162.85,188.7,27.5,GENESYS
2021-07-20,159.2,162.9,157.65,157.65,188.7,27.5,GENESYS
2021-07-19,167.0,171.95,165.9,165.9,188.7,27.5,GENESYS
2021-07-16,188.7,188.7,170.8,174.6,188.7,27.5,GENESYS
2021-07-15,179.75,179.75,179.75,179.75,179.75,27.5,GENESYS
2021-07-14,171.2,171.2,171.2,171.2,171.2,27.5,GENESYS
2021-07-13,163.05,163.05,163.05,163.05,166.4,27.5,GENESYS
2021-07-12,152.0,155.3,149.25,155.3,166.4,27.5,GENESYS
2021-07-09,155.7,155.7,146.75,147.95,166.4,27.5,GENESYS
2021-07-08,151.0,158.4,146.75,153.15,166.4,27.5,GENESYS
2021-07-07,163.75,163.75,152.15,153.25,166.4,27.5,GENESYS
2021-07-06,166.4,166.4,153.05,160.15,166.4,27.5,GENESYS
2021-07-05,156.9,158.5,156.9,158.5,158.5,27.5,GENESYS
2021-07-02,134.75,144.1,132.45,144.1,144.1,27.5,GENESYS
